          MJD       m       dm    uJy   duJy  F  err     chi/N         RA       Dec         x         y    maj   min   phi  apfit    Sky     ZP             Obs  Mask  o0_Nmasked  o1_mean  o1_mean_err  o1_stddev    o1_X2norm  o1_Nvalid  o1_Nnan  Noffsetlc  o2_mean  o2_mean_err  o2_stddev  o2_X2norm  o2_Nused  o2_Nskipped  o2_Nin
 57233.373157  19.919    0.855     39     33  o    0      2.00  299.61892  62.13773   5140.42   6158.60   3.57  3.34 -84.7 -0.440  18.45  19.36  02a57233o0100o     0           0      8.0       20.041     49.091       1.9790          7        0          7   17.862       13.193     49.001     1.8859         7            0       7
 57233.409910  19.168    0.478     78     37  o    0      5.05  299.61892  62.13773   5555.25   4246.60   3.53  3.29 -81.7 -0.431  18.42  19.25  02a57233o0125o     0           0     41.0       12.547     30.733       0.6259          7        0          7   35.134       13.554     28.972     0.5947         7            0       7
 57234.372875 -21.423    4.000    -10     39  o    0      2.12  299.61892  62.13773   5143.40   6160.42   3.81  3.56 -85.1 -0.446  18.20  19.00  02a57234o0066o     0           0     20.0       16.894     41.382       0.7164          7        0          7   26.122       17.819     40.582     0.6968         7            0       7
 57320.254883  18.253    0.263    182     48  o    0      9.04  299.61892  62.13773   5509.95   4476.64   3.96  3.55 -28.4 -0.419  18.15  19.32  02a57320o0116o  1024           0    132.0       38.154     93.457       2.4497          7        0          7  143.511       21.744     92.769     2.4030         7            0       7
 57320.276640  18.667    0.429    124     53  o    0     12.00  299.61892  62.13773   5499.03   4476.09   3.87  3.51 -48.0 -0.424  18.21  19.30  02a57320o0150o  1028           3    162.0       27.374     67.052       1.3207          7        0          7  173.451       27.726     39.883     0.4880         4            0       4
 57320.295913  19.872    1.450     41     59  o    0     12.23  299.61892  62.13773   4021.05   5934.80   4.17  3.03 -71.2 -0.483  18.19  19.28  02a57320o0180o  1028           3    226.0       30.294     74.206       1.4115          7        0          7  220.209       28.988    105.275     2.5730         4            0       4
 57320.319230 -19.402    0.905    -63     57  o    0      9.26  299.61892  62.13773   4018.34   5934.64   4.15  3.08 -71.8 -0.461  18.16  19.23  02a57320o0215o  1024           2    143.0       36.921     90.437       2.4975          7        0          7  148.517       24.777     61.991     1.1245         5            0       5
 57328.238159  14.611    0.007   5198     39  o    0    399.10  299.61892  62.13773   5568.62   4494.02   3.82  3.45 -65.9 -0.438  18.85  20.49  02a57328o0097o     4           7   3712.0      651.727   1596.398    1440.5607          7        0          7      NaN          NaN        NaN        NaN         0            0       0
 57328.255812  14.568    0.007   5403     39  o    0    424.59  299.61892  62.13773   5563.50   4491.63   3.91  3.39 -68.6 -0.445  18.43  19.97  02a57328o0125o     4           7   4484.0      474.121   1161.354     624.5276          7        0          7      NaN          NaN        NaN        NaN         0            0       0
 57328.271612  17.290    0.089    441     39  o    0     28.14  299.61892  62.13773   4082.26   5952.05   4.18  3.22 -76.5 -0.458  18.63  20.20  02a57328o0150o  1028           6    628.0      275.657    675.218     332.9565          7        0          7  373.000       39.000        NaN        NaN         1            0       1
