          MJD          m        dm   uJy   duJy  F  err   chi/N         RA      Dec         x         y   maj   min   phi  apfit  mag5sig    Sky             Obs     Mask    __tmp_SN  c1_mean  c1_mean_err  c1_stdev  c1_stdev_err  c1_X2norm  c1_Nvalid  c1_Nnan  c2_mean  c2_mean_err  c2_stdev  c2_stdev_err  c2_X2norm  c2_Ngood  c2_Nclip  c2_Nmask  c2_Nnan
 57495.310467  18.110074       NaN    33     58  o    0    1.27  185.46033  4.48168   9188.61   1420.43  4.42  3.86  32.4 -0.523    18.27  19.09  02a57495o0191o 0x000000    0.568966   -16.94        21.25     88.14         22.04       2.17          8        0      NaN          NaN       NaN           NaN        NaN         0         0         8        0
 57495.330229  18.073966       NaN    43     57  o    0    1.00  185.46033  4.48168   9209.02   1460.50  4.81  3.73  27.7 -0.538    18.35  19.21  02a57495o0229o 0x000000    0.754386   -33.95        20.06     82.20         20.55       2.12          8        0   -53.61        32.50     11.85          4.84       0.04         3         1         4        0
 57495.341867  18.336727       NaN  -100     56  o    0    0.96  185.46033  4.48168   9149.31   1380.67  4.66  3.71  26.2 -0.548    18.33  19.18  02a57495o0251o 0x000000   -1.785714   -14.77        20.60     51.22         12.81       0.73          8        0   -16.00        59.00       NaN           NaN        NaN         1         0         7        0
 57495.362903  18.298627       NaN   -61     58  o    0    0.94  185.46033  4.48168   9125.39   1499.42  4.93  4.11  31.8 -0.488    18.25  19.22  02a57495o0291o 0x000000   -1.051724    14.75        20.33     54.59         13.65       0.93          8        0    18.63        31.93     81.30         33.19       2.21         3         0         5        0
 57505.424308  19.014394       NaN   -68     30  o    0    1.11  185.46033  4.48168   1376.16   9143.77  3.81  3.60 -58.7 -0.447    18.86  20.15  02a57505o0395o 0x000000   -2.266667    19.13        11.33     43.31         10.83       1.94          8        0    11.53        12.07     39.95         10.68       1.70         7         0         1        0
 57505.439476  18.878500       NaN   -31     34  o    0    0.99  185.46033  4.48168   1415.97   9106.96  3.84  3.65 -57.6 -0.441    18.78  20.05  02a57505o0425o 0x000000   -0.911765    11.47        12.37     35.31          8.83       1.08          8        0     3.04        13.35     30.97          8.28       0.79         7         0         1        0
 57505.455315  18.816441       NaN   -49     36  o    0    1.18  185.46033  4.48168   1356.68   9087.59  3.81  3.59 -56.9 -0.451    18.75  19.95  02a57505o0456o 0x000000   -1.361111    -0.07        12.95     27.59          6.90       0.58          8        0     3.99        14.01     27.87          7.45       0.58         7         0         1        0
 57505.470088  18.640491       NaN    19     36  o    0    1.30  185.46033  4.48168   1434.32   9164.20  3.85  3.63 -53.3 -0.445    18.67  19.84  02a57505o0485o 0x000000    0.527778    14.52        13.70     25.37          6.34       0.42          8        0    10.79        14.64     24.52          6.55       0.40         7         0         1        0
 57505.484908  18.550302       NaN   -34     46  o    0    0.84  185.46033  4.48168   1335.69   9183.50  3.92  3.66 -53.4 -0.434    18.59  19.72  02a57505o0514o 0x000000   -0.739130    17.34        15.70     37.97          9.49       0.70          8        0     9.05        18.66     42.12         12.16       0.84         6         0         2        0
 57506.415422  18.369531       NaN    64     33  o    0    1.03  185.46033  4.48168   1373.38   9143.05  4.29  3.83 -55.6 -0.424    18.88  20.39  02a57506o0374o 0x000000    1.939394   -11.31        11.34     36.04          9.01       1.24          8        0    -4.56        12.18     33.92          9.07       1.07         7         0         1        0
 57506.433899  18.776955       NaN     7     35  o    0    1.00  185.46033  4.48168   1416.39   9105.07  4.28  3.90 -54.9 -0.427    18.76  20.18  02a57506o0410o 0x000000    0.200000    10.52        12.63     39.99         10.00       1.25          8        0     6.71        13.54     41.63         11.13       1.35         7         0         1        0
 57506.452394  18.489118       NaN    17     43  o    0    0.84  185.46033  4.48168   1357.66   9085.67  4.30  3.91 -53.1 -0.420    18.65  20.01  02a57506o0446o 0x000000    0.395349    -6.66        13.97     25.04          6.26       0.41          8        0    -1.31        14.96     22.02          5.88       0.31         7         0         1        0
