         MJD         m       dm   uJy  duJy F  err  chi/N        RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57735.637639 18.438271      NaN    24    43 o    0   0.74 160.25912 -27.08345  5250.20  6108.74 3.55 3.41  86.5 -0.435    18.43 19.18 02a57735o0771o 0x000000   0.558140
57735.664525 18.598565      NaN   -17    44 o    0   1.14 160.25912 -27.08345  5233.72  6067.71 3.71 3.58 -89.6 -0.425    18.29 19.01 02a57735o0822o 0x000000  -0.386364
57735.671946 17.047121      NaN   185   122 o    0   1.26 160.25912 -27.08345  5284.96  6144.26 3.51 3.32  89.9 -0.434    17.61 17.49 02a57735o0836o 0x100002   1.516393
57763.571238 18.566153      NaN    34    34 o    0   0.98 160.25912 -27.08345  3540.29  5687.73 3.47 3.41  69.6 -0.445    18.64 19.54 02a57763o0625o 0x000000   1.000000
57763.593006 19.014394      NaN   -28    30 o    0   1.16 160.25912 -27.08345  3524.58  5651.75 3.44 3.38  72.0 -0.449    18.67 19.59 02a57763o0668o 0x000000  -0.933333
57763.598569 18.910912      NaN    -4    33 o    0   1.06 160.25912 -27.08345  3577.18  5730.02 3.41 3.37  61.0 -0.452    18.68 19.61 02a57763o0679o 0x000000  -0.121212
57763.612286 19.051202      NaN   -45    29 o    0   1.16 160.25912 -27.08345  3597.77  5612.89 3.35 3.34  53.9 -0.459    18.75 19.71 02a57763o0706o 0x000000  -1.551724
57763.626620 19.051202      NaN    -2    29 o    0   1.01 160.25912 -27.08345  3565.22  5669.48 3.29 3.26  -9.2 -0.469    18.89 19.98 02a57763o0733o 0x000000  -0.068966
57767.566282 18.474346      NaN    19    43 o    0   0.86 160.25912 -27.08345  5745.16  5507.39 3.41 3.30 -79.4 -0.457    18.44 19.13 02a57767o0697o 0x000000   0.441860
57767.581731 18.058851      NaN    76    47 o    0   0.66 160.25912 -27.08345  5729.32  5471.56 3.41 3.32 -80.5 -0.454    18.44 19.14 02a57767o0727o 0x000000   1.617021
57767.597158 18.467034      NaN    26    41 o    0   1.07 160.25912 -27.08345  5782.21  5549.26 3.42 3.32 -82.8 -0.447    18.43 19.13 02a57767o0757o 0x000000   0.634146
57767.613235 18.452558      NaN    28    41 o    0   0.91 160.25912 -27.08345  5819.64  5432.89 3.40 3.28 -77.4 -0.456    18.43 19.12 02a57767o0788o 0x000000   0.682927
57767.628664 18.311179      NaN    49    41 o    0   1.20 160.25912 -27.08345  5769.95  5488.16 3.42 3.34 -86.2 -0.450    18.42 19.10 02a57767o0818o 0x000000   1.195122
57771.559930 18.693037      NaN    37    28 o    0   1.01 160.25912 -27.08345  3579.85  4175.92 3.66 3.58  82.3 -0.414    18.78 19.87 02a57771o0700o 0x000000   1.321429
57771.575407 18.826541      NaN    14    31 o    0   0.81 160.25912 -27.08345  3564.36  4138.74 3.62 3.57  46.1 -0.419    18.76 19.83 02a57771o0730o 0x000000   0.451613
57771.591504 18.729535      NaN    21    32 o    0   0.79 160.25912 -27.08345  3617.25  4216.48 3.67 3.61  11.3 -0.413    18.73 19.81 02a57771o0761o 0x000000   0.656250
57771.607683 19.014394      NaN   -15    30 o    0   1.24 160.25912 -27.08345  3637.86  4099.54 3.98 3.73  -1.6 -0.401    18.65 19.79 02a57771o0792o 0x000000  -0.500000
57771.623188 18.944322      NaN   -28    32 o    0   1.03 160.25912 -27.08345  3605.69  4154.59 4.11 3.68  -1.2 -0.393    18.61 19.77 02a57771o0822o 0x000000  -0.875000
57799.486439 18.900000      NaN    10    30 o    0   0.99 160.25912 -27.08345  5243.61  5153.30 3.54 3.44  81.1 -0.434    18.78 19.83 02a57799o0517o 0x000000   0.333333
57799.501963 19.169763      NaN   -12    26 o    0   1.13 160.25912 -27.08345  5228.29  5117.48 3.60 3.49  81.8 -0.423    18.75 19.83 02a57799o0547o 0x000000  -0.461538
57799.518057 18.431198      NaN    70    28 o    0   1.23 160.25912 -27.08345  5282.28  5194.31 3.50 3.39  86.9 -0.437    18.77 19.79 02a57799o0578o 0x000000   2.500000
57799.534256 18.944322      NaN   -14    32 o    0   1.12 160.25912 -27.08345  5301.97  5077.52 4.05 3.73   9.1 -0.402    18.60 19.74 02a57799o0609o 0x000000  -0.437500
57799.549760 19.051202      NaN   -23    29 o    0   1.23 160.25912 -27.08345  5268.58  5133.25 3.54 3.49  -5.8 -0.430    18.66 19.65 02a57799o0639o 0x000000  -0.793103
57804.535068 18.481707      NaN    24    41 o    0   1.11 160.25912 -27.08345  6511.85  2749.59 4.36 4.08  89.6 -0.584    18.66 20.54 01a57804o0504o 0x000000   0.585366
57804.548814 18.382935      NaN    23    46 o    0   0.88 160.25912 -27.08345  6442.40  2673.20 4.41 4.19 -89.6 -0.584    18.56 20.38 01a57804o0531o 0x000000   0.500000
57804.562715 18.623526      NaN   -13    43 o    0   1.37 160.25912 -27.08345  6425.08  2791.83 4.70 4.48 -88.1 -0.580    18.41 20.25 01a57804o0558o 0x000000  -0.302326
57806.514460 18.574166      NaN    21    38 o    0   0.79 160.25912 -27.08345  5256.84  4311.06 4.24 4.05 -75.2 -0.542    18.66 20.53 01a57806o0584o 0x000000   0.552632
57806.528701 17.909502      NaN   108    47 o    0   0.87 160.25912 -27.08345  5273.77  4349.96 4.22 4.03 -75.5 -0.542    18.68 20.55 01a57806o0612o 0x000000   2.297872
57806.542591 18.702047      NaN   -58    40 o    0   0.87 160.25912 -27.08345  5221.44  4273.95 4.33 4.15 -84.5 -0.538    18.60 20.45 01a57806o0639o 0x000000  -1.450000
57806.556553 18.574166      NaN    18    39 o    0   1.09 160.25912 -27.08345  5204.64  4390.94 4.38 4.23 -77.4 -0.524    18.52 20.32 01a57806o0666o 0x000000   0.461538
