         MJD         m       dm   uJy  duJy F  err  chi/N     RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  __tmp_SN
57721.475769 19.631075      NaN   -12    17 c    0   1.05 84.132 16.64239  8437.89  5273.92 4.02 3.76 -87.5 -0.389    19.66 21.69 02a57721o0523c 0x000000 -0.705882
57721.480277 19.436675      NaN     7    18 c    0   1.48 84.132 16.64239  2099.56  5210.77 4.07 3.88  62.8 -0.401    19.68 21.70 02a57721o0531c 0x000000  0.388889
57721.496131 19.212347      NaN    24    17 c    0   1.58 84.132 16.64239  8472.38  5316.32 4.17 3.94  88.8 -0.379    19.61 21.69 02a57721o0561c 0x000000  1.411765
57721.517916 19.401649      NaN   -16    21 c    0   0.94 84.132 16.64239  8489.96  5202.13 4.50 4.26   2.3 -0.348    19.51 21.65 02a57721o0600c 0x000000 -0.761905
57721.526648 19.510313      NaN   -29    19 c    0   1.54 84.132 16.64239  8453.24  5259.02 5.18 4.90   3.3 -0.326    19.36 21.64 02a57721o0615c 0x000000 -1.526316
57745.410362 18.816441      NaN    42    22 c    0   1.80 84.132 16.64239   781.29  3276.44 4.98 4.12   6.1 -0.355    19.46 21.52 02a57745o0422c 0x000000  1.909091
57745.429475 19.569016      NaN   -37    18 c    0   1.40 84.132 16.64239   759.56  3233.96 4.17 4.01  47.9 -0.373    19.58 21.55 02a57745o0454c 0x000000 -2.055556
57745.434870 16.738722      NaN   132   200 c    0   0.36 84.132 16.64239 10524.12  3298.77 4.09 3.83  85.8 -0.403    19.57 21.52 02a57745o0463c 0x100002  0.660000
57745.435386 15.834145 0.012895  1684    20 c    0 115.15 84.132 16.64239   818.31  3311.61 4.59 4.08   9.4 -0.374    19.52 21.56 02a57745o0464c 0x100001 84.200000
57745.450958 19.696897      NaN   -15    16 c    0   1.40 84.132 16.64239   837.94  3195.92 4.08 3.74  70.5 -0.393    19.64 21.55 02a57745o0491c 0x000000 -0.937500
57745.459820 19.038793 0.259096    88    21 c    0   3.56 84.132 16.64239   801.08  3253.68 5.91 4.20   1.7 -0.327    19.37 21.56 02a57745o0506c 0x000000  4.190476
57753.413369 18.933071      NaN    16    27 c    0   1.31 84.132 16.64239  8149.48  4024.72 3.87 3.51  82.9 -0.397    18.95 20.82 02a57753o0301c 0x000000  0.592593
57753.417383 18.693037      NaN    40    27 c    0   0.83 84.132 16.64239  8133.35  3991.47 3.84 3.52  87.2 -0.402    19.18 21.06 02a57753o0309c 0x000000  1.481481
57753.434697 16.793477      NaN   234   154 c    0   1.17 84.132 16.64239  8204.79  4066.17 3.86 3.53  83.9 -0.397    17.05 18.76 02a57753o0339c 0x100002  1.519481
57753.440705 19.631075      NaN   -62    17 c    0   0.88 84.132 16.64239  8225.07  3955.77 3.89 3.57  83.4 -0.393    19.61 21.57 02a57753o0351c 0x000000 -3.647059
57753.455478 19.401649      NaN   -39    21 c    0   0.84 84.132 16.64239  8170.33  4008.89 3.89 3.59  84.5 -0.392    19.49 21.43 02a57753o0377c 0x000000 -1.857143
57757.378419 19.569016      NaN   -34    18 c    0   2.16 84.132 16.64239   797.29  4049.98 3.97 3.75  69.7 -0.395    19.61 21.47 02a57757o0343c 0x000000 -1.888889
57757.397135 19.569016      NaN   -18    18 c    0   1.75 84.132 16.64239   779.44  4008.99 3.99 3.67  71.1 -0.396    19.71 21.65 02a57757o0374c 0x000000 -1.000000
57757.402642 19.063754      NaN    38    16 c    0   2.01 84.132 16.64239   838.04  4092.64 3.96 3.71  70.1 -0.394    19.70 21.64 02a57757o0385c 0x000000  2.375000
57757.425676 19.510313      NaN   -10    19 c    0   1.48 84.132 16.64239   857.44  3976.05 3.97 3.68  68.3 -0.398    19.69 21.63 02a57757o0427c 0x000000 -0.526316
57757.440865 19.696897      NaN   -33    16 c    0   1.72 84.132 16.64239   820.55  4028.56 3.94 3.61  69.9 -0.403    19.71 21.63 02a57757o0453c 0x000000 -2.062500
57777.366753 19.510313      NaN   -47    19 c    0   0.69 84.132 16.64239  7772.17  2603.31 3.96 3.71  76.4 -0.401    19.67 21.66 02a57777o0333c 0x000000 -2.473684
57777.385994 19.569016      NaN   -28    18 c    0   1.15 84.132 16.64239  7755.07  2563.61 3.94 3.65  80.8 -0.405    19.67 21.66 02a57777o0368c 0x000000 -1.555556
57777.390860 18.944322      NaN     3    31 c    0   0.62 84.132 16.64239  7812.42  2647.44 4.25 3.61  77.1 -0.378    19.56 21.60 02a57777o0378c 0x000000  0.096774
57777.413969 19.510313      NaN   -21    19 c    0   1.21 84.132 16.64239  7835.87  2531.37 3.93 3.77  80.3 -0.396    19.64 21.65 02a57777o0419c 0x000000 -1.105263
57777.428112 19.569016      NaN   -38    18 c    0   1.26 84.132 16.64239  7799.99  2583.51 3.86 3.70  77.1 -0.400    19.65 21.62 02a57777o0444c 0x000000 -2.111111
