         MJD         m       dm    uJy  duJy F  err  chi/N     RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57701.526529 19.351140      NaN    -29    22 o    0   2.44 84.132 16.64239  1465.72  5319.00 3.55 3.39  59.0 -0.484    19.37 20.97 02a57701o0571o 0x000000  -1.318182
57701.530223 19.169763      NaN    -25    26 o    0   1.10 84.132 16.64239  1505.15  5356.82 3.61 3.38  60.3 -0.477    19.36 20.96 02a57701o0578o 0x000000  -0.961538
57701.547335 18.847027      NaN      3    34 o    0   1.52 84.132 16.64239  9092.62  5172.19 3.61 3.14 -89.9 -0.458    18.60 20.15 02a57701o0608o 0x000000   0.088235
57701.554332 19.351140      NaN    -39    22 o    0   1.30 84.132 16.64239  9112.31  5054.63 3.67 3.13  88.4 -0.458    19.33 20.94 02a57701o0620o 0x000000  -1.772727
57701.569839 18.816441      NaN     21    29 o    0   1.54 84.132 16.64239  9073.27  5116.58 3.57 3.09  86.8 -0.465    18.63 20.20 02a57701o0646o 0x000000   0.724138
57705.465564 18.005163      NaN     54    58 o    0   0.98 84.132 16.64239  9377.63  8473.48 3.93 3.25  87.0 -0.493    18.46 19.19 02a57705o0520o 0x100002   0.931034
57705.469978 18.417189      NaN    -21    52 o    0   0.98 84.132 16.64239  9413.06  8511.14 3.90 3.25  87.4 -0.493    18.50 19.26 02a57705o0528o 0x000000  -0.403846
57705.485807 18.376212      NaN    -19    54 o    0   1.24 84.132 16.64239  9340.36  8432.95 3.79 3.21  89.0 -0.490    18.49 19.22 02a57705o0557o 0x000000  -0.351852
57705.494110 18.280067      NaN     -4    59 o    0   0.89 84.132 16.64239  9317.21  8556.28 3.81 3.14 -89.0 -0.486    18.50 19.22 02a57705o0571o 0x100002  -0.067797
57705.508969 18.396507      NaN    -46    53 o    0   1.34 84.132 16.64239  9355.09  8495.14 3.77 3.16  88.7 -0.488    18.51 19.22 02a57705o0596o 0x000000  -0.867925
57737.426831 18.191747      NaN    -58    64 o    0   1.06 84.132 16.64239  8608.39  2103.36 3.60 3.17 -87.2 -0.482    18.05 18.49 02a57737o0449o 0x100002  -0.906250
57737.432128 17.033415      NaN    -72   186 o    0   1.01 84.132 16.64239  1931.12  8385.75 3.52 3.25  19.5 -0.533    18.04 18.45 02a57737o0457o 0x100002  -0.387097
57737.445714 17.093415      NaN   -271   176 o    0   1.02 84.132 16.64239  1874.30  8308.40 3.49 3.23  16.5 -0.535    18.05 18.47 02a57737o0480o 0x100002  -1.539773
57737.458756 17.995680      NaN     44    62 o    0   1.16 84.132 16.64239  8659.76  2028.93 3.60 3.16  90.0 -0.481    18.05 18.50 02a57737o0501o 0x100002   0.709677
57737.470363 18.125925      NaN   -174    68 o    0   0.86 84.132 16.64239  8620.55  2088.23 3.62 3.17  89.1 -0.481    18.04 18.50 02a57737o0521o 0x100002  -2.558824
57761.364458 18.816441      NaN    -12    36 o    0   2.02 84.132 16.64239  1401.54  5149.36 3.65 3.41  64.4 -0.469    18.67 19.59 02a57761o0293o 0x000000  -0.333333
57761.381019 18.786693      NaN    -37    37 o    0   0.79 84.132 16.64239  9092.26  5256.94 3.64 3.10 -87.7 -0.454    18.69 19.62 02a57761o0324o 0x000000  -1.000000
57761.388011 18.847027      NaN    -18    35 o    0   1.44 84.132 16.64239  9147.12  5334.08 3.62 3.08 -87.1 -0.462    18.74 19.70 02a57761o0335o 0x000000  -0.514286
57761.402208 18.910912      NaN    -64    33 o    0   0.96 84.132 16.64239  9169.92  5222.95 3.65 3.11 -88.2 -0.457    18.76 19.76 02a57761o0363o 0x000000  -1.939394
57761.410072 18.757738      NaN    -28    38 o    0   0.83 84.132 16.64239  9131.69  5278.01 3.63 3.12 -86.8 -0.457    18.76 19.77 02a57761o0377o 0x000000  -0.736842
57769.367706 18.910912      NaN    -76    33 o    0   1.32 84.132 16.64239  1007.74  3522.03 4.17 3.85   1.6 -0.414    18.89 20.25 02a57769o0296o 0x000000  -2.303030
57769.371604 18.847027      NaN   -104    35 o    0   1.91 84.132 16.64239   990.49  3488.68 4.37 3.86  -2.0 -0.404    18.86 20.25 02a57769o0304o 0x000000  -2.971429
57769.388848 18.910912      NaN    -21    33 o    0   2.02 84.132 16.64239  1045.50  3561.40 4.84 3.93  -3.8 -0.393    18.76 20.18 02a57769o0333o 0x000000  -0.636364
57769.394709 18.675237      NaN    -82    41 o    0   2.03 84.132 16.64239  1067.91  3450.43 4.93 4.04  -8.4 -0.396    18.71 20.15 02a57769o0345o 0x000000  -2.000000
57769.410077 19.014394      NaN    -55    30 o    0   1.58 84.132 16.64239  1030.97  3502.64 3.74 3.47  74.0 -0.446    18.94 20.11 02a57769o0371o 0x000000  -1.833333
57789.303699 18.757738      NaN    -57    38 o    0   1.26 84.132 16.64239   445.89  1979.08 3.82 3.48  87.7 -0.439    18.69 19.59 02a57789o0177o 0x000000  -1.500000
57789.307138 19.014394      NaN    -37    30 o    0   1.44 84.132 16.64239 10224.24  2042.18 3.69 2.90  88.1 -0.482    18.77 19.77 02a57789o0184o 0x000000  -1.233333
57789.308096 18.878500      NaN    -36    34 o    0   1.70 84.132 16.64239   429.65  1945.54 3.81 3.41  85.3 -0.438    18.70 19.60 02a57789o0186o 0x000000  -1.058824
57789.323941 18.910912      NaN    -44    33 o    0   1.20 84.132 16.64239   483.69  2019.31 3.88 3.48  86.0 -0.431    18.75 19.74 02a57789o0215o 0x000000  -1.333333
57789.324420 18.944322      NaN    -72    32 o    0   1.56 84.132 16.64239 10203.82  2000.83 3.74 2.96  86.5 -0.478    18.79 19.79 02a57789o0216o 0x000000  -2.250000
57789.330609 18.816441      NaN    -67    36 o    0   1.16 84.132 16.64239 10259.36  2078.83 3.76 3.05  84.7 -0.483    18.78 19.83 02a57789o0227o 0x000000  -1.861111
57789.331085 18.649074      NaN     24    34 o    0   1.47 84.132 16.64239   501.56  1900.98 3.81 3.49  88.5 -0.438    18.79 19.80 02a57789o0228o 0x000000   0.705882
57789.345234 18.786693      NaN    -89    37 o    0   1.20 84.132 16.64239   468.28  1960.76 3.85 3.49  87.5 -0.437    18.80 19.81 02a57789o0253o 0x000000  -2.405405
57789.345888 18.511660      NaN     23    40 o    0   0.79 84.132 16.64239 10280.75  1964.94 3.72 2.92  86.8 -0.477    18.84 19.95 02a57789o0254o 0x000000   0.575000
57789.353856 18.847027      NaN    -91    35 o    0   1.03 84.132 16.64239 10241.23  2021.92 3.77 3.20  80.6 -0.486    18.84 19.96 02a57789o0268o 0x000000  -2.600000
57793.328638 18.550302      NaN    -55    46 o    0   1.41 84.132 16.64239  8313.44  3790.72 3.65 3.17  88.9 -0.458    18.31 18.93 02a57793o0205o 0x000000  -1.195652
57793.337062 18.438271      NaN     -2    51 o    0   1.00 84.132 16.64239  8295.64  3753.32 3.63 3.14 -89.5 -0.454    18.32 18.94 02a57793o0218o 0x000000  -0.039216
57793.355435 18.459772      NaN    -24    50 o    0   0.92 84.132 16.64239  8351.94  3828.88 3.63 3.15  86.7 -0.458    18.29 18.90 02a57793o0250o 0x000000  -0.480000
57793.362322 18.459772      NaN   -101    50 o    0   1.32 84.132 16.64239  8374.27  3715.87 3.70 3.60  57.4 -0.429    18.22 18.88 02a57793o0262o 0x000000  -2.020000
57793.382216 18.169360      NaN     37    53 o    0   0.99 84.132 16.64239  8336.91  3773.14 3.64 3.37  83.3 -0.443    18.23 18.82 02a57793o0293o 0x000000   0.698113
57797.297480 18.816441      NaN      9    33 o    0   1.30 84.132 16.64239   977.64  4083.31 3.75 3.42  70.1 -0.458    18.85 19.92 02a57797o0063o 0x000000   0.272727
57797.310185 18.796518      NaN     11    33 o    0   1.85 84.132 16.64239   958.31  4046.51 3.69 3.38  68.5 -0.470    18.83 19.86 02a57797o0083o 0x000000   0.333333
57797.313067 17.613631      NaN    108    73 o    0   7.53 84.132 16.64239  2220.84  6913.15 4.38 3.46 -62.4 -0.533    18.44 20.07 01a57797o0204o 0x100002   1.479452
57797.321565 18.191747 0.344947    192    61 o    0   2.73 84.132 16.64239  2239.40  6951.94 4.14 3.95 -73.9 -0.569    18.77 20.15 01a57797o0220o 0x100002   3.147541
57797.329676 18.847027      NaN      0    35 o    0   1.65 84.132 16.64239  1014.20  4121.88 3.70 3.37  69.2 -0.465    18.81 19.82 02a57797o0115o 0x000000   0.000000
57797.335034 18.816441      NaN    -77    36 o    0   1.58 84.132 16.64239  1034.52  4009.58 3.72 3.41  69.1 -0.460    18.79 19.81 02a57797o0124o 0x000000  -2.138889
57797.341295 17.427921      NaN    175    71 o    0   2.24 84.132 16.64239  2182.81  6874.81 4.16 3.97 -75.4 -0.563    18.76 20.12 01a57797o0256o 0x100002   2.464789
57797.347909 17.685696      NaN    120    62 o    0   3.43 84.132 16.64239  2164.95  6991.48 4.23 4.03 -77.9 -0.563    18.72 20.09 01a57797o0267o 0x100002   1.935484
57797.350298 18.816441      NaN     -4    36 o    0   1.11 84.132 16.64239   998.96  4063.04 3.65 3.36  69.0 -0.471    18.77 19.75 02a57797o0151o 0x000000  -0.111111
57797.362832 17.774377      NaN     63    73 o    0   3.08 84.132 16.64239  2201.94  6932.22 4.15 3.97 -79.0 -0.570    18.73 20.04 01a57797o0293o 0x100002   0.863014
57799.269663 18.280067 0.312839    177    51 o    0   2.98 84.132 16.64239  2504.78  7429.87 3.90 3.77 -68.9 -0.599    19.23 21.13 01a57799o0095o 0x000000   3.470588
57799.284724 18.024380 0.247199    224    51 o    0   3.33 84.132 16.64239  2524.91  7469.33 3.80 3.72 -57.7 -0.601    19.28 21.16 01a57799o0122o 0x000000   4.392157
57799.299385 18.243872 0.255118    183    43 o    0   5.79 84.132 16.64239  2470.03  7392.19 3.90 3.77 -65.6 -0.602    19.29 21.22 01a57799o0149o 0x000000   4.255814
57799.314732 17.766704 0.191151    284    50 o    0   5.23 84.132 16.64239  2452.11  7509.15 4.07 3.87 -70.0 -0.586    19.26 21.22 01a57799o0176o 0x000000   5.680000
57801.232307 16.952814 0.095747    601    53 o    0  29.09 84.132 16.64239   743.77  2532.66 4.28 4.02 -83.4 -0.576    18.76 20.56 01a57801o0025o 0x100001  11.339623
57801.240040 17.755295 0.226983    287    60 o    0  18.23 84.132 16.64239   722.07  2490.86 4.25 3.99 -83.1 -0.575    18.81 20.60 01a57801o0038o 0x100003   4.783333
57801.246646 16.857740 0.289640    656   175 o    0   2.69 84.132 16.64239 10510.06  2485.46 4.08 3.07  54.5 -0.614    18.80 20.62 01a57801o0051o 0x100002   3.748571
57801.247144 17.494268 0.163604    365    55 o    0  18.86 84.132 16.64239   796.48  2565.59 4.27 4.02 -84.6 -0.562    18.84 20.61 01a57801o0052o 0x100001   6.636364
57801.264802 17.416785      NaN    188    68 o    0   3.08 84.132 16.64239  9769.35  8071.06 3.68 3.06  80.0 -0.624    18.85 20.61 01a57801o0083o 0x100002   2.764706
57801.265301 17.116274 0.119704    517    57 o    0  10.27 84.132 16.64239    95.71  8131.37 4.03 3.82  74.0 -0.519    18.84 20.63 01a57801o0084o 0x100001   9.070175
57801.275806 18.174913      NaN     -1    65 o    0   0.61 84.132 16.64239    38.87  8053.01 4.12 3.91  69.5 -0.509    18.83 20.66 01a57801o0101o 0x100002  -0.015385
57801.312206 19.128787      NaN    -52    27 o    0   1.76 84.132 16.64239   684.42  4708.04 3.92 3.56  77.3 -0.430    19.27 20.88 02a57801o0185o 0x000000  -1.925926
57801.320578 19.169763      NaN    -30    26 o    0   2.29 84.132 16.64239 10438.37  4776.53 3.93 3.04  86.9 -0.472    19.29 20.90 02a57801o0198o 0x000000  -1.153846
57801.324712 19.089302      NaN     -2    28 o    0   1.21 84.132 16.64239 10421.89  4739.31 3.96 3.23  76.8 -0.487    19.25 20.86 02a57801o0205o 0x000000  -0.071429
57801.325578 19.256669      NaN    -22    24 o    0   1.78 84.132 16.64239   668.09  4670.40 3.85 3.50  75.9 -0.433    19.28 20.87 02a57801o0206o 0x000000  -0.916667
57801.341125 19.128787      NaN    -30    27 o    0   1.56 84.132 16.64239   724.87  4743.65 3.79 3.44  79.6 -0.440    19.27 20.82 02a57801o0234o 0x000000  -1.111111
57801.346746 19.169763      NaN    -99    26 o    0   2.11 84.132 16.64239 10479.25  4817.34 3.88 2.92  88.7 -0.473    19.29 20.85 02a57801o0244o 0x000000  -3.807692
57801.347244 19.128787      NaN    -69    27 o    0   1.49 84.132 16.64239   745.88  4628.75 3.78 3.46  76.3 -0.435    19.26 20.81 02a57801o0245o 0x000000  -2.555556
57801.361386 19.302877      NaN    -61    23 o    0   1.43 84.132 16.64239   710.56  4682.99 3.80 3.42  79.3 -0.437    19.24 20.78 02a57801o0270o 0x000000  -2.652174
57801.361886 18.978793      NaN   -190    31 o    0   3.23 84.132 16.64239 10499.76  4698.21 3.95 3.12  86.0 -0.473    19.26 20.84 02a57801o0271o 0x000000  -6.129032
57801.370254 19.169763      NaN    -72    26 o    0   1.82 84.132 16.64239 10463.80  4758.68 3.87 3.04  86.8 -0.467    19.27 20.83 02a57801o0286o 0x000000  -2.769231
57803.292503 18.203116 0.285720    190    50 o    0   6.30 84.132 16.64239  1015.27  5674.50 4.40 4.12 -90.0 -0.539    18.65 20.52 01a57803o0018o 0x000000   3.800000
57805.241909 17.967720 0.211627    236    46 o    0   6.10 84.132 16.64239  2880.08  6150.36 3.79 3.66 -62.9 -0.639    18.78 20.52 01a57805o0055o 0x000000   5.130435
57805.247444 17.870951      NaN     54    68 o    0   2.60 84.132 16.64239  7673.29  4362.46 3.59 3.40  65.5 -0.637    18.76 20.54 01a57805o0065o 0x100002   0.794118
57805.265613 18.323878 0.325721    170    51 o    0   2.90 84.132 16.64239  2845.86  6115.74 3.98 3.81 -73.3 -0.594    18.81 20.63 01a57805o0098o 0x000000   3.333333
57805.278342 18.481707 0.317596    147    43 o    0   3.99 84.132 16.64239  2827.51  6230.87 3.87 3.75 -69.5 -0.607    18.85 20.66 01a57805o0121o 0x000000   3.418605
57807.244828 17.623637      NaN   -297   108 o    0   4.36 84.132 16.64239 10496.59  6513.49 4.32 3.18  77.0 -0.631    18.79 20.66 01a57807o0004o 0x100002  -2.750000
57807.245345 18.191747 0.265779    192    47 o    0   5.93 84.132 16.64239   818.27  6606.09 4.14 3.94 -85.8 -0.537    18.78 20.67 01a57807o0005o 0x000000   4.085106
57807.249403 17.940462 0.296110    242    66 o    0   3.21 84.132 16.64239  9815.85  4034.92 4.07 3.28  68.6 -0.617    18.78 20.69 01a57807o0012o 0x100002   3.666667
57807.273439 17.990970 0.188006    231    40 o    0   6.58 84.132 16.64239   745.96  6643.67 4.24 4.04  87.8 -0.493    18.81 20.67 01a57807o0056o 0x000000   5.775000
