         MJD         m       dm   uJy  duJy F  err  chi/N        RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57903.615295 19.841877      NaN   -38    14 c    0   2.05 300.93717 -27.98842  5865.35  3581.08 2.61 2.57  57.6 -0.457    19.05 20.05 02a57903o0742c 0x000000  -2.714286
57981.395004 20.449472      NaN   -57     8 c    0   2.21 300.93717 -27.98842  4247.22  3342.25 2.65 2.55 -60.3 -0.390    19.66 21.39 02a57981o0315c 0x000000  -7.125000
57981.403314 20.594452      NaN   -76     7 c    0   2.75 300.93717 -27.98842  4217.20  3300.57 2.62 2.51 -71.5 -0.389    19.67 21.40 02a57981o0332c 0x000000 -10.857143
57981.411630 20.449472      NaN   -91     8 c    0   1.43 300.93717 -27.98842  4285.97  3378.71 2.71 2.56 -67.8 -0.387    19.63 21.38 02a57981o0349c 0x000000 -11.375000
57981.419911 20.449472      NaN   -90     8 c    0   1.95 300.93717 -27.98842  4304.41  3262.02 2.71 2.54 -71.8 -0.387    19.62 21.42 02a57981o0366c 0x000000 -11.250000
57985.393542 20.321591      NaN   -17     9 c    0   2.31 300.93717 -27.98842  4652.40  5897.20 2.65 2.50  45.0 -0.427    19.62 21.37 02a57985o0331c 0x000000  -1.888889
57985.401838 20.207197      NaN   -58    10 c    0   1.80 300.93717 -27.98842  4638.53  5854.65 2.70 2.58  56.8 -0.428    19.56 21.36 02a57985o0348c 0x000000  -5.800000
57985.410164 20.321591      NaN   -41     9 c    0   1.40 300.93717 -27.98842  4690.97  5932.09 2.64 2.53  48.5 -0.435    19.57 21.36 02a57985o0365c 0x000000  -4.555556
57985.418485 20.009244      NaN   -42    12 c    0   1.77 300.93717 -27.98842  4709.63  5815.64 2.79 2.62  59.8 -0.424    19.18 20.98 02a57985o0382c 0x000000  -3.500000
57989.386870 18.009935 0.047830   227    10 c    0   2.38 300.93717 -27.98842  4212.38  4598.22 2.56 2.46  58.4 -0.403    19.64 21.32 02a57989o0311c 0x000000  22.700000
57989.395321 18.079051 0.056071   213    11 c    0   2.11 300.93717 -27.98842  4199.08  4555.16 2.52 2.44  70.1 -0.405    19.62 21.29 02a57989o0328c 0x000000  19.363636
57989.403763 18.094452 0.062042   210    12 c    0   1.56 300.93717 -27.98842  4252.14  4632.78 2.49 2.39  78.5 -0.410    19.43 20.98 02a57989o0345c 0x000000  17.500000
57989.412163 18.005163 0.085716   228    18 c    0   1.18 300.93717 -27.98842  4288.64  4515.75 2.52 2.43  79.8 -0.406    19.09 20.68 02a57989o0362c 0x000000  12.666667
58013.329812 16.562492 0.017654   861    14 c    0   3.53 300.93717 -27.98842  1827.93  8135.06 2.67 2.53  17.8 -0.421    19.54 21.25 02a58013o0250c 0x000000  61.500000
58013.338127 16.563754 0.020200   860    16 c    0   1.52 300.93717 -27.98842  1814.00  8094.43 2.66 2.56  27.4 -0.424    19.50 21.22 02a58013o0268c 0x000000  53.750000
58013.345494 16.552451 0.018741   869    15 c    0   3.09 300.93717 -27.98842  1869.01  8171.18 2.61 2.51  23.5 -0.421    19.56 21.20 02a58013o0284c 0x000000  57.933333
58013.354001 16.547464 0.017412   873    14 c    0   2.06 300.93717 -27.98842  1906.67  8054.80 2.65 2.61  13.1 -0.417    19.47 21.13 02a58013o0302c 0x000000  62.357143
58017.322041 16.829962 0.025812   673    16 c    0   1.50 300.93717 -27.98842  2214.86  9347.67 2.98 2.45  20.3 -0.459    19.50 21.20 02a58017o0094c 0x000000  42.062500
58017.329883 16.893066 0.025647   635    15 c    0   2.19 300.93717 -27.98842  2184.20  9307.72 3.06 2.57  19.2 -0.452    19.45 21.22 02a58017o0111c 0x000000  42.333333
58017.338191 16.881162 0.023676   642    14 c    0   2.93 300.93717 -27.98842  2254.67  9386.21 2.98 2.52  18.5 -0.459    19.48 21.22 02a58017o0129c 0x000000  45.857143
58017.346001 16.856087 0.026441   657    16 c    0   1.68 300.93717 -27.98842  2275.10  9268.14 3.01 2.52  22.9 -0.459    19.44 21.21 02a58017o0146c 0x000000  41.062500
58018.334171 16.995180 0.026298   578    14 c    0   2.51 300.93717 -27.98842  2839.32  8923.65 3.30 3.21  45.2 -0.394    19.26 21.09 02a58018o0021c 0x000000  41.285714
58018.344551 17.002720 0.028373   574    15 c    0   1.36 300.93717 -27.98842  2806.12  8882.61 3.12 2.97 -81.6 -0.377    19.34 21.06 02a58018o0038c 0x000000  38.266667
58021.304932 17.075064 0.028306   537    14 c    0   1.89 300.93717 -27.98842  3830.64  9457.33 2.62 2.32  22.1 -0.444    19.58 21.07 02a58021o0198c 0x000000  38.357143
