         MJD         m       dm    uJy   duJy F  err  chi/N        RA       Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57703.210027 18.729535      NaN   -199     39 o    0   0.98 300.93717 -27.98842  4044.13  4519.67  3.58  3.50  76.8 -0.430    18.46 19.24 02a57703o0064o 0x000000  -5.102564
57703.221426 18.702047      NaN    -94     40 o    0   1.17 300.93717 -27.98842  4027.50  4481.23  3.77  3.64  84.3 -0.414    18.38 19.20 02a57703o0086o 0x000000  -2.350000
57883.596612 17.922662      NaN   -116     82 o    0   1.48 300.93717 -27.98842  4069.64  6231.25  2.13  2.04  66.2 -0.521    17.11 17.12 02a57883o0694o 0x100002  -1.414634
57883.616999 16.834813      NaN     94    192 o    0   1.07 300.93717 -27.98842  4101.69  6269.95  2.14  2.05  36.5 -0.531    16.78 16.81 02a57883o0730o 0x100002   0.489583
57907.605740 20.009244      NaN    -49     12 o    0   1.92 300.93717 -27.98842  3620.81  4405.48  2.35  2.23  41.9 -0.450    19.31 20.32 02a57907o0615o 0x000000  -4.083333
57910.606031 19.922338      NaN    -85     13 o    0   1.66 300.93717 -27.98842  6292.75  4730.62  3.18  3.09  12.6 -0.429    19.28 20.81 01a57910o0736o 0x000000  -6.538462
57910.621088 18.675237      NaN    -79     41 o    0   1.04 300.93717 -27.98842  6314.85  4828.74  3.13  3.02  49.9 -0.440    18.09 18.37 01a57910o0766o 0x000000  -1.926829
57911.461814 18.944322      NaN    -64     32 o    0   0.81 300.93717 -27.98842  3967.37  6136.34  2.28  2.19 -23.7 -0.495    18.40 18.87 02a57911o0419o 0x000000  -2.000000
57911.479684 18.757738      NaN     24     30 o    0   1.01 300.93717 -27.98842  3983.27  6175.26  2.61  2.53 -19.5 -0.486    18.41 19.09 02a57911o0453o 0x000000   0.800000
57911.489108 19.169763      NaN    -51     26 o    0   1.46 300.93717 -27.98842  3913.07  6099.37  2.43  2.34 -40.7 -0.487    18.56 19.14 02a57911o0471o 0x000000  -1.961538
57911.499603 19.128787      NaN    -32     27 o    0   1.57 300.93717 -27.98842  3895.51  6215.73  2.40  2.28 -27.5 -0.496    18.60 19.20 02a57911o0491o 0x000000  -1.185185
57911.511708 19.256669      NaN    -43     24 o    0   2.36 300.93717 -27.98842  3926.79  6156.44  2.13  2.01 -24.0 -0.510    18.75 19.24 02a57911o0514o 0x000000  -1.791667
57922.514326 19.922338      NaN    -72     13 o    0   1.59 300.93717 -27.98842  5054.62  3882.93  3.06  2.85  55.9 -0.451    19.25 20.50 01a57922o0556o 0x000000  -5.538462
57922.524901 19.841877      NaN    -91     14 o    0   1.34 300.93717 -27.98842  5553.02  6492.79  3.05  2.84  62.3 -0.434    19.24 20.50 01a57922o0577o 0x000000  -6.500000
57922.541673 19.569016      NaN    -82     18 o    0   0.84 300.93717 -27.98842  5498.13  6482.56  3.41  3.02  11.6 -0.413    19.16 20.49 01a57922o0609o 0x000000  -4.555556
57922.549167 19.696897      NaN    -52     16 o    0   1.25 300.93717 -27.98842  5486.96  6627.79  3.53  3.14   5.8 -0.398    19.06 20.45 01a57922o0624o 0x000000  -3.250000
57923.513286 13.954206      NaN  -5918   3171 o    0   1.18 300.93717 -27.98842  3782.44  6218.55  2.28  2.05 -29.5 -0.515    13.70 14.56 02a57923o0537o 0x100002  -1.866288
57923.522260 16.628787      NaN   -775    270 o    0   1.49 300.93717 -27.98842  6655.82  4183.13  2.42  2.27 -53.7 -0.427    16.13 16.91 02a57923o0555o 0x100002  -2.870370
57923.539316 16.971031      NaN   -442    197 o    0   0.99 300.93717 -27.98842  6722.80  4260.17  2.42  2.30 -50.6 -0.441    16.43 17.11 02a57923o0589o 0x100002  -2.243655
57923.546210 16.943818      NaN   -698    202 o    0   1.07 300.93717 -27.98842  6740.93  4145.91  2.40  2.23 -53.4 -0.429    16.42 17.05 02a57923o0603o 0x100002  -3.455446
57930.513277 19.696897      NaN   -120     16 o    0   1.22 300.93717 -27.98842  6253.85  6992.03  3.81  3.49 -48.9 -0.414    19.08 20.73 01a57930o0527o 0x000000  -7.500000
57930.521605 19.631075      NaN   -122     17 o    0   1.34 300.93717 -27.98842  6225.54  6987.65  4.47  4.06 -25.9 -0.386    18.94 20.74 01a57930o0543o 0x000000  -7.176471
57930.523080 19.631075      NaN   -136     17 o    0   1.10 300.93717 -27.98842  6276.59  7072.59  4.62  3.75  -8.5 -0.397    18.97 20.73 01a57930o0546o 0x000000  -8.000000
57930.530444 19.454622      NaN   -136     20 o    0   1.25 300.93717 -27.98842  6215.70  7139.11  6.06  4.33  -3.5 -0.357    18.71 20.72 01a57930o0561o 0x000000  -6.800000
57934.494864 20.009244      NaN    -70     12 o    0   1.84 300.93717 -27.98842  4141.57  4337.73  2.93  2.82  60.4 -0.463    19.34 20.83 01a57934o0525o 0x000000  -5.833333
57934.505204 20.009244      NaN   -134     12 o    0   1.51 300.93717 -27.98842  4167.51  4416.99  2.94  2.83  39.6 -0.462    19.33 20.81 01a57934o0546o 0x000000 -11.166667
57934.520891 20.009244      NaN    -49     12 o    0   1.62 300.93717 -27.98842  4127.28  4401.51  3.01  2.78  70.3 -0.459    19.35 20.79 01a57934o0577o 0x000000  -4.083333
57934.528758 19.841877      NaN   -112     14 o    0   1.12 300.93717 -27.98842  4115.09  4548.85  2.93  2.73  64.9 -0.466    19.39 20.80 01a57934o0593o 0x000000  -8.000000
57938.477236 19.351140      NaN    -89     22 o    0   1.29 300.93717 -27.98842  4527.98  4247.68  5.02  3.21  -5.9 -0.420    18.60 20.02 01a57938o0379o 0x000000  -4.045455
57938.479423 19.454622      NaN   -129     20 o    0   1.27 300.93717 -27.98842  6076.89  6082.82  3.46  2.86 -58.3 -0.442    18.90 20.03 01a57938o0383o 0x000000  -6.450000
57938.487522 19.401649      NaN   -108     21 o    0   1.27 300.93717 -27.98842  4484.80  4211.20  4.38  3.27  -7.3 -0.404    18.68 20.05 01a57938o0399o 0x000000  -5.142857
57938.502746 19.696897      NaN    -94     16 o    0   1.62 300.93717 -27.98842  4465.13  4387.56  3.76  3.10 -16.3 -0.422    18.86 20.17 01a57938o0429o 0x000000  -5.875000
57940.432022 19.256669      NaN   -118     24 o    0   2.33 300.93717 -27.98842  5940.83  7614.16  2.17  1.97   7.0 -0.501    18.85 19.31 02a57940o0340o 0x000000  -4.916667
57940.441320 19.351140      NaN    -66     22 o    0   1.65 300.93717 -27.98842  5973.08  7654.04  2.09  1.95  -1.9 -0.504    18.92 19.32 02a57940o0359o 0x000000  -3.000000
57940.450595 19.401649      NaN    -62     21 o    0   2.72 300.93717 -27.98842  5901.95  7576.84  2.06  1.89  -6.4 -0.519    18.91 19.34 02a57940o0378o 0x000000  -2.952381
57940.459880 19.454622      NaN    -20     20 o    0   1.81 300.93717 -27.98842  5881.66  7693.63  2.01  1.89  -6.4 -0.535    18.90 19.35 02a57940o0397o 0x000000  -1.000000
57948.476147 19.922338      NaN    -99     13 o    0   4.46 300.93717 -27.98842  3666.10  2725.99  2.20  2.04  45.9 -0.462    19.20 19.93 02a57948o0469o 0x000000  -7.615385
57948.485919 19.841877      NaN    -26     14 o    0   2.45 300.93717 -27.98842  3652.46  2683.56  2.24  2.08  50.2 -0.448    19.18 19.91 02a57948o0489o 0x000000  -1.857143
57948.490794 19.696897      NaN    -59     16 o    0   3.15 300.93717 -27.98842  3704.45  2764.19  2.28  2.13  54.4 -0.463    19.14 19.90 02a57948o0499o 0x000000  -3.687500
57948.500565 19.841877      NaN    -98     14 o    0   3.02 300.93717 -27.98842  3740.84  2647.86  2.19  2.05  61.4 -0.449    19.18 19.88 02a57948o0519o 0x000000  -7.000000
57950.464689 19.089302      NaN    -78     28 o    0   1.06 300.93717 -27.98842  4344.70  7189.82  3.21  2.66 -85.0 -0.462    18.65 19.85 01a57950o0460o 0x000000  -2.785714
57950.471492 19.510313      NaN    -81     19 o    0   1.32 300.93717 -27.98842  4333.37  7177.17  3.25  2.69 -84.2 -0.452    18.97 20.28 01a57950o0474o 0x000000  -4.263158
57950.478771 18.978793      NaN    -97     31 o    0   1.12 300.93717 -27.98842  4302.97  7168.45  3.25  3.04 -79.8 -0.428    18.47 19.74 01a57950o0489o 0x000000  -3.129032
57950.488484 19.766969      NaN    -82     15 o    0   1.52 300.93717 -27.98842  4273.04  7325.34  3.33  2.78 -83.5 -0.449    19.11 20.50 01a57950o0509o 0x000000  -5.466667
57954.456053 19.766969      NaN    -55     15 o    0   1.48 300.93717 -27.98842  5379.47  5520.57  3.61  2.78 -87.2 -0.425    19.08 20.61 01a57954o0504o 0x000000  -3.666667
57954.464810 19.841877      NaN   -118     14 o    0   1.29 300.93717 -27.98842  5403.16  5594.40  3.63  2.84 -85.4 -0.427    19.05 20.56 01a57954o0522o 0x000000  -8.428571
57954.475986 19.696897      NaN    -39     16 o    0   1.28 300.93717 -27.98842  5342.38  5560.89  3.73  2.87 -84.8 -0.426    19.04 20.57 01a57954o0545o 0x000000  -2.437500
57954.486189 19.696897      NaN    -81     16 o    0   1.19 300.93717 -27.98842  5329.13  5718.84  3.72  2.80 -87.2 -0.423    19.03 20.57 01a57954o0566o 0x000000  -5.062500
57958.444910 19.631075      NaN   -102     17 o    0   1.25 300.93717 -27.98842  5409.51  6023.52  4.03  3.11 -85.1 -0.404    18.99 20.64 01a57958o0151o 0x000000  -6.000000
57958.453654 19.766969      NaN   -119     15 o    0   1.55 300.93717 -27.98842  5430.79  6097.35  3.87  2.96 -85.3 -0.415    19.00 20.61 01a57958o0169o 0x000000  -7.933333
57958.461891 19.696897      NaN    -85     16 o    0   0.99 300.93717 -27.98842  5367.12  6053.25  3.96  3.04 -86.6 -0.410    18.99 20.62 01a57958o0186o 0x000000  -5.312500
