         MJD         m       dm  uJy  duJy F  err  chi/N       RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57721.364241 19.696897      NaN -135    16 c    0   0.93 40.95179 32.52607   449.73  6864.85 4.13 3.83  26.9 -0.399    19.70 21.75 02a57721o0328c 0x000000  -8.437500
57721.374562 19.766969      NaN  -95    15 c    0   1.16 40.95179 32.52607   431.83  6823.95 4.48 4.17   8.9 -0.365    19.61 21.75 02a57721o0347c 0x000000  -6.333333
57721.385446 19.841877      NaN -130    14 c    0   1.53 40.95179 32.52607 10168.05  6903.06 4.19 4.16  28.1 -0.385    19.61 21.67 02a57721o0367c 0x000000  -9.285714
57721.396229 19.841877      NaN -143    14 c    0   1.28 40.95179 32.52607 10133.56  6862.37 4.17 4.11 -50.5 -0.387    19.62 21.72 02a57721o0387c 0x000000 -10.214286
57721.397253 19.841877      NaN -112    14 c    0   1.43 40.95179 32.52607   499.31  6900.81 4.76 4.20   6.5 -0.357    19.56 21.74 02a57721o0389c 0x000000  -8.000000
57721.417238 19.696897      NaN  -86    16 c    0   1.07 40.95179 32.52607   514.64  6783.11 4.20 3.94  50.5 -0.395    19.66 21.75 02a57721o0423c 0x000000  -5.375000
57721.417748 19.922338      NaN -154    13 c    0   1.50 40.95179 32.52607 10200.34  6943.55 4.18 3.74  85.5 -0.412    19.68 21.73 02a57721o0424c 0x000000 -11.846154
57721.421152 19.569016      NaN -129    18 c    0   1.11 40.95179 32.52607 10217.87  6827.83 5.30 4.40   1.9 -0.351    19.47 21.75 02a57721o0430c 0x000000  -7.166667
57721.421927 19.841877      NaN  -74    14 c    0   1.19 40.95179 32.52607   481.49  6842.15 4.07 3.81  48.6 -0.402    19.69 21.73 02a57721o0431c 0x000000  -5.285714
57721.440416 19.766969      NaN -105    15 c    0   1.21 40.95179 32.52607 10183.34  6884.31 4.24 3.86  86.3 -0.409    19.63 21.67 02a57721o0461c 0x000000  -7.000000
57745.319262 19.922338      NaN -106    13 c    0   1.45 40.95179 32.52607  2547.89  4841.92 3.88 3.73  53.1 -0.404    19.66 21.57 02a57745o0260c 0x000000  -8.153846
57745.329506 19.841877      NaN  -86    14 c    0   1.60 40.95179 32.52607  2530.75  4801.79 3.93 3.73  63.1 -0.392    19.65 21.57 02a57745o0279c 0x000000  -6.142857
57745.349522 19.922338      NaN  -86    13 c    0   1.46 40.95179 32.52607  2582.15  4877.48 3.83 3.68  57.5 -0.400    19.67 21.59 02a57745o0316c 0x000000  -6.615385
57745.352819 19.766969      NaN  -96    15 c    0   1.40 40.95179 32.52607  2616.55  4761.18 3.89 3.68  67.0 -0.394    19.68 21.59 02a57745o0322c 0x000000  -6.400000
57745.375454 19.841877      NaN  -77    14 c    0   1.47 40.95179 32.52607  2567.64  4818.80 3.85 3.63  68.2 -0.400    19.68 21.59 02a57745o0362c 0x000000  -5.500000
57753.311481 18.878500      NaN  -58    34 c    0   1.09 40.95179 32.52607   152.55  5580.05 4.21 3.94  79.8 -0.358    18.52 20.39 02a57753o0125c 0x100002  -1.705882
57753.322305 19.351140      NaN -115    22 c    0   1.30 40.95179 32.52607  9881.46  5643.46 4.23 3.62  83.2 -0.418    19.22 21.16 02a57753o0144c 0x000000  -5.227273
57753.332583 18.417189      NaN -150    52 c    0   0.95 40.95179 32.52607   220.25  5654.19 4.06 3.82  73.6 -0.372    18.28 20.07 02a57753o0162c 0x100002  -2.884615
57753.333587 18.574166      NaN -128    45 c    0   1.00 40.95179 32.52607  9865.44  5603.15 4.17 3.58  82.7 -0.424    18.62 20.44 02a57753o0164c 0x100002  -2.844444
57753.354863 18.079051      NaN -148    71 c    0   2.01 40.95179 32.52607   239.94  5535.53 4.01 3.79  74.7 -0.369    17.53 19.22 02a57753o0201c 0x100002  -2.084507
57753.355370 18.094452      NaN -306    70 c    0   1.29 40.95179 32.52607  9917.04  5681.74 4.15 3.58  83.0 -0.426    17.63 19.37 02a57753o0202c 0x100002  -4.371429
57753.357988 18.786693      NaN -178    37 c    0   1.06 40.95179 32.52607  9934.77  5565.99 4.12 3.60  80.3 -0.428    18.60 20.40 02a57753o0207c 0x100002  -4.810811
57753.358495 18.878500      NaN -112    34 c    0   1.04 40.95179 32.52607   207.21  5593.81 3.96 3.75  69.4 -0.369    18.59 20.37 02a57753o0208c 0x100002  -3.294118
57753.377422 19.014394      NaN -128    30 c    0   1.59 40.95179 32.52607  9902.54  5621.57 4.10 3.53  80.9 -0.433    18.75 20.58 02a57753o0239c 0x100002  -4.266667
57757.308085 19.510313      NaN -136    19 c    0   0.96 40.95179 32.52607  2564.65  5612.07 3.80 3.62  66.2 -0.389    19.46 21.14 02a57757o0219c 0x000000  -7.157895
57757.319339 19.631075      NaN -136    17 c    0   1.25 40.95179 32.52607  2549.09  5572.29 3.80 3.65  64.6 -0.388    19.45 21.14 02a57757o0239c 0x000000  -8.000000
57757.320823 19.766969      NaN  -83    15 c    0   1.50 40.95179 32.52607  2598.56  5649.02 3.81 3.65  63.3 -0.390    19.45 21.13 02a57757o0242c 0x000000  -5.533333
