         MJD         m       dm   uJy  duJy F  err  chi/N       RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask    __tmp_SN
57701.415903 19.454622      NaN  -539    20 o    0   1.69 40.95179 32.52607  1062.97  6693.90 3.62 3.38  55.0 -0.480    19.03 20.30 02a57701o0374o 0x000000  -26.950000
57701.426712 19.401649      NaN  -470    21 o    0   1.57 40.95179 32.52607  1045.45  6655.13 3.50 3.32  46.8 -0.495    19.08 20.35 02a57701o0394o 0x000000  -22.380952
57701.446935 19.569016      NaN  -533    18 o    0   1.97 40.95179 32.52607  1092.77  6731.97 3.52 3.35  53.5 -0.490    19.12 20.46 02a57701o0431o 0x000000  -29.611111
57701.470259 19.454622      NaN  -496    20 o    0   1.41 40.95179 32.52607  1111.71  6615.08 3.55 3.36  58.0 -0.478    19.20 20.61 02a57701o0472o 0x000000  -24.800000
57701.473697 19.454622      NaN  -471    20 o    0   1.45 40.95179 32.52607  1078.35  6674.19 3.59 3.39  57.0 -0.478    19.23 20.67 02a57701o0478o 0x000000  -23.550000
57705.376974 18.280067      NaN  -517    59 o    0   1.10 40.95179 32.52607  7616.67  6908.09 3.69 3.19  86.5 -0.468    18.23 18.73 02a57705o0368o 0x100002   -8.762712
57705.396549 18.336727      NaN  -469    56 o    0   1.16 40.95179 32.52607  7632.32  6948.48 3.64 3.24  83.6 -0.461    18.25 18.76 02a57705o0403o 0x100002   -8.375000
57705.407494 18.574166      NaN  -435    45 o    0   1.00 40.95179 32.52607  2940.44  3582.23 3.58 3.46 -66.2 -0.443    18.23 18.68 02a57705o0422o 0x100002   -9.666667
57705.410511 18.481707      NaN  -430    49 o    0   0.91 40.95179 32.52607  2956.23  3460.93 3.57 3.44 -66.3 -0.452    18.23 18.69 02a57705o0427o 0x100002   -8.775510
57705.428864 18.526952      NaN  -413    47 o    0   0.99 40.95179 32.52607  2907.18  3525.15 3.61 3.45 -66.9 -0.438    18.22 18.67 02a57705o0460o 0x100002   -8.787234
57737.320925 18.910912      NaN  -470    33 o    0   1.19 40.95179 32.52607   614.14  3686.71 3.75 3.40  80.7 -0.428    18.68 19.54 02a57737o0255o 0x000000  -14.242424
57737.330758 19.014394      NaN  -450    30 o    0   1.26 40.95179 32.52607   596.56  3646.53 3.81 3.46  78.5 -0.424    18.66 19.54 02a57737o0273o 0x000000  -15.000000
57737.340330 18.944322      NaN  -568    32 o    0   1.36 40.95179 32.52607 10331.96  3730.87 3.86 2.96  86.5 -0.462    18.64 19.47 02a57737o0290o 0x000000  -17.750000
57737.351593 18.978793      NaN  -452    31 o    0   1.12 40.95179 32.52607   664.79  3723.12 3.78 3.45  74.0 -0.426    18.67 19.52 02a57737o0310o 0x000000  -14.580645
57737.352603 18.878500      NaN  -555    34 o    0   1.08 40.95179 32.52607 10298.90  3692.09 3.83 2.96  84.4 -0.467    18.65 19.47 02a57737o0312o 0x000000  -16.323529
57737.354149 18.757738      NaN  -541    38 o    0   0.81 40.95179 32.52607 10365.66  3772.09 3.88 3.15  83.3 -0.462    18.63 19.47 02a57737o0315o 0x000000  -14.236842
57737.354676 19.014394      NaN  -570    30 o    0   1.55 40.95179 32.52607   682.24  3607.00 3.76 3.45  75.6 -0.433    18.66 19.51 02a57737o0316o 0x000000  -19.000000
57737.373376 18.396507      NaN  -488    53 o    0   0.81 40.95179 32.52607   633.48  3664.90 3.79 3.46  74.9 -0.431    18.47 19.32 02a57737o0349o 0x100002   -9.207547
57737.373876 18.847027      NaN  -501    35 o    0   1.06 40.95179 32.52607 10384.01  3656.17 3.89 3.04  86.9 -0.454    18.60 19.44 02a57737o0350o 0x000000  -14.314286
57737.376943 18.816441      NaN  -583    36 o    0   1.03 40.95179 32.52607 10351.01  3714.44 3.85 3.14  81.9 -0.453    18.60 19.42 02a57737o0356o 0x000000  -16.194444
57761.293669 18.598565      NaN  -482    44 o    0   1.24 40.95179 32.52607  1114.64  6854.42 3.64 3.42  62.2 -0.469    18.52 19.33 02a57761o0171o 0x100002  -10.954545
57761.303854 18.574166      NaN  -539    45 o    0   1.04 40.95179 32.52607  1099.08  6815.28 3.63 3.42  62.0 -0.470    18.50 19.31 02a57761o0189o 0x100002  -11.977778
57761.306365 18.550302      NaN  -485    46 o    0   1.29 40.95179 32.52607  1166.11  6891.96 4.18 3.67   4.4 -0.433    18.37 19.30 02a57761o0194o 0x100002  -10.543478
57761.324934 18.526952      NaN  -415    47 o    0   1.21 40.95179 32.52607  1186.95  6774.68 3.86 3.58   9.8 -0.455    18.41 19.25 02a57761o0227o 0x100002   -8.829787
57761.328724 18.598565      NaN  -476    44 o    0   1.52 40.95179 32.52607  1154.22  6833.09 3.63 3.46  38.9 -0.479    18.45 19.24 02a57761o0234o 0x100002  -10.818182
57765.327260 18.317510      NaN  -492    57 o    0   0.96 40.95179 32.52607  9489.50  3804.28 3.81 3.16  86.8 -0.444    18.32 18.94 02a57765o0265o 0x100002   -8.631579
57765.340833 18.649074      NaN  -404    42 o    0   1.42 40.95179 32.52607  9474.37  3784.77 3.71 3.11  87.7 -0.450    18.35 18.94 02a57765o0290o 0x100002   -9.619048
57765.355548 18.550302      NaN  -398    46 o    0   1.15 40.95179 32.52607  9541.03  3843.14 3.71 3.06  86.3 -0.450    18.34 18.91 02a57765o0316o 0x100002   -8.652174
57765.370115 18.504094      NaN  -406    48 o    0   1.29 40.95179 32.52607  9559.21  3725.73 3.73 3.07  86.6 -0.464    18.29 18.84 02a57765o0342o 0x100002   -8.458333
57765.384344 18.298627      NaN  -403    58 o    0   0.92 40.95179 32.52607  9508.35  3782.20 3.69 3.03  86.7 -0.461    18.26 18.76 02a57765o0368o 0x100002   -6.948276
57769.282049 19.696897      NaN  -480    16 o    0   1.37 40.95179 32.52607  2767.25  5084.84 3.69 3.55  69.3 -0.423    19.37 21.01 02a57769o0152o 0x000000  -30.000000
57769.290630 19.696897      NaN  -531    16 o    0   1.84 40.95179 32.52607  2752.04  5046.57 3.67 3.53  72.1 -0.424    19.36 20.99 02a57769o0164o 0x000000  -33.187500
57769.310731 19.569016      NaN  -513    18 o    0   1.11 40.95179 32.52607  2801.25  5121.98 3.93 3.66   4.6 -0.407    19.25 20.93 02a57769o0195o 0x000000  -28.500000
57769.314766 19.454622      NaN  -474    20 o    0   1.13 40.95179 32.52607  2835.89  5004.44 3.88 3.64   1.5 -0.418    19.20 20.79 02a57769o0203o 0x000000  -23.700000
57769.332795 19.454622      NaN  -520    20 o    0   1.38 40.95179 32.52607  2788.11  5060.89 3.55 3.43  71.7 -0.438    19.02 20.27 02a57769o0234o 0x000000  -26.000000
57789.230475 19.014394      NaN  -524    30 o    0   1.20 40.95179 32.52607  2221.02  3557.61 3.75 3.53  75.9 -0.427    18.71 19.69 02a57789o0040o 0x000000  -17.466667
57789.241055 18.978793      NaN  -496    31 o    0   1.29 40.95179 32.52607  2204.68  3517.59 3.73 3.53  79.1 -0.435    18.72 19.70 02a57789o0061o 0x000000  -16.000000
