         MJD         m       dm   uJy  duJy F  err  chi/N       RA     Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask    __tmp_SN
57716.399980 20.009244      NaN  -540    12 c    0   1.34 32.11658 6.38787  4726.13  3194.67 4.18 4.02 -88.9 -0.358    19.55 21.57 02a57716o0424c 0x000000  -45.000000
57716.431242 19.569016      NaN  -532    18 c    0   1.11 32.11658 6.38787  4766.67  3234.65 4.20 4.19  19.7 -0.354    19.28 21.29 02a57716o0482c 0x000000  -29.555556
57716.447083 18.816441      NaN  -606    36 c    0   1.15 32.11658 6.38787  4789.08  3117.11 4.26 4.22  12.2 -0.351    18.46 20.38 02a57716o0512c 0x100002  -16.833333
57716.462583 18.174913      NaN  -505    65 c    0   1.12 32.11658 6.38787  4751.42  3174.68 4.47 4.35 -17.5 -0.352    17.87 19.77 02a57716o0541c 0x100002   -7.769231
57744.333074 19.841877      NaN  -540    14 c    0   1.16 32.11658 6.38787  6543.37  1951.70 3.83 3.71 -82.0 -0.393    19.62 21.48 02a57744o0287c 0x000000  -38.571429
57744.346272 19.841877      NaN  -564    14 c    0   1.07 32.11658 6.38787  6525.24  1912.14 3.82 3.70 -82.5 -0.398    19.63 21.50 02a57744o0312c 0x000000  -40.285714
57744.359398 19.922338      NaN  -561    13 c    0   1.06 32.11658 6.38787  6583.26  1989.20 3.82 3.69 -81.6 -0.392    19.62 21.47 02a57744o0337c 0x000000  -43.153846
57752.326929 17.099602      NaN -1097   175 c    0   1.23 32.11658 6.38787  5206.14  2895.31 3.90 3.85 -71.6 -0.391    16.79 18.40 02a57752o0231c 0x100002   -6.268571
57752.371223 16.193934      NaN  -276   403 c    0   0.78 32.11658 6.38787  5250.22  2910.33 3.95 3.71  75.4 -0.374    15.99 17.56 02a57752o0315c 0x100002   -0.684864
57756.290107 19.696897      NaN  -569    16 c    0   1.04 32.11658 6.38787  7508.14  1582.01 3.81 3.67 -86.0 -0.406    19.57 21.37 02a57756o0188c 0x000000  -35.562500
57756.304347 19.766969      NaN  -552    15 c    0   1.14 32.11658 6.38787  7490.22  1542.14 3.79 3.70 -86.3 -0.407    19.57 21.37 02a57756o0213c 0x000000  -36.800000
57756.318963 19.841877      NaN  -552    14 c    0   1.18 32.11658 6.38787  7549.31  1620.10 3.77 3.65 -85.9 -0.410    19.58 21.38 02a57756o0239c 0x000000  -39.428571
57756.333671 19.841877      NaN  -534    14 c    0   1.24 32.11658 6.38787  7572.67  1500.62 3.77 3.66 -82.4 -0.411    19.61 21.44 02a57756o0265c 0x000000  -38.142857
57756.350454 19.922338      NaN  -563    13 c    0   1.10 32.11658 6.38787  7536.14  1557.07 3.80 3.74 -82.3 -0.405    19.65 21.57 02a57756o0297c 0x000000  -43.307692
57776.271622 19.256669      NaN  -603    24 c    0   0.89 32.11658 6.38787  6063.73  2350.87 3.87 3.74  89.8 -0.385    18.97 20.73 02a57776o0120c 0x000000  -25.125000
57776.285815 18.125925      NaN  -373    68 c    0   0.94 32.11658 6.38787  6047.27  2310.87 3.82 3.73 -85.0 -0.386    18.13 19.88 02a57776o0148c 0x100002   -5.485294
