         MJD         m       dm     uJy  duJy F  err  chi/N       RA     Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs     Mask    __tmp_SN
57700.430738 19.014394      NaN   -1183    30 o    0   0.91 32.11658 6.38787  6444.47  1823.97  3.63 3.51 -76.0 -0.439    18.78 20.01 02a57700o0241o 0x000000  -39.433333
57700.449247 19.128787      NaN   -1177    27 o    0   1.09 32.11658 6.38787  6426.92  1786.67  3.63 3.49 -77.8 -0.435    18.81 20.18 02a57700o0277o 0x000000  -43.592593
57700.458013 19.631075      NaN   -1070    17 o    0   1.31 32.11658 6.38787  6486.95  1865.83  3.68 3.52 -73.7 -0.431    19.01 20.41 02a57700o0294o 0x000000  -62.941176
57700.480104 19.454622      NaN   -1178    20 o    0   1.19 32.11658 6.38787  6509.51  1747.05  3.67 3.52 -74.7 -0.437    18.95 20.35 02a57700o0336o 0x000000  -58.900000
57700.482666 19.128787      NaN   -1196    27 o    0   1.13 32.11658 6.38787  6469.37  1804.18  3.65 3.50 -72.0 -0.443    18.83 20.19 02a57700o0341o 0x000000  -44.296296
57704.388496 18.142010      NaN    -986    67 o    0   1.07 32.11658 6.38787  5674.33  2424.24  3.68 3.55 -80.3 -0.441    17.96 18.36 02a57704o0188o 0x100002  -14.716418
57704.391585 18.261819      NaN   -1197    60 o    0   0.96 32.11658 6.38787  5656.69  2385.13  3.66 3.52 -81.9 -0.445    17.95 18.36 02a57704o0194o 0x100002  -19.950000
57704.413724 18.208845      NaN   -1083    63 o    0   1.16 32.11658 6.38787  5715.26  2465.00  3.74 3.57 -85.1 -0.425    17.92 18.33 02a57704o0237o 0x100002  -17.190476
57704.423120 18.243872      NaN   -1040    61 o    0   1.25 32.11658 6.38787  5729.74  2344.53  3.68 3.54 -85.1 -0.427    17.92 18.32 02a57704o0255o 0x100002  -17.049180
57704.440025 18.174913      NaN   -1182    65 o    0   1.15 32.11658 6.38787  5694.70  2403.65  3.68 3.60 -71.5 -0.429    17.95 18.40 02a57704o0288o 0x100002  -18.184615
57712.427223 15.067796      NaN   -6660  1137 o    0   1.41 32.11658 6.38787  7224.89  4850.41  4.15 3.93 -88.5 -0.392    15.03 16.11 02a57712o0034o 0x100002   -5.857520
57712.455812 17.664614      NaN   -1213   104 o    0   0.91 32.11658 6.38787  7302.35  4811.60  4.07 3.81  86.1 -0.387    17.51 18.67 02a57712o0088o 0x100002  -11.663462
57712.475640 17.334149      NaN   -1658   141 o    0   0.99 32.11658 6.38787  7265.50  4868.19  3.95 3.80  87.7 -0.390    17.08 18.07 02a57712o0126o 0x100002  -11.758865
57736.348988 18.675237      NaN   -1179    41 o    0   1.00 32.11658 6.38787  6548.84  1614.57  3.58 3.44 -77.8 -0.462    18.38 18.99 02a57736o0311o 0x100002  -28.756098
57736.362105 18.675237      NaN   -1120    41 o    0   1.40 32.11658 6.38787  6530.98  1576.19  3.56 3.49 -80.8 -0.454    18.35 18.95 02a57736o0336o 0x100002  -27.317073
57736.374156 18.649074      NaN   -1152    42 o    0   1.25 32.11658 6.38787  6589.15  1654.10  3.52 3.45 -71.4 -0.463    18.36 18.94 02a57736o0359o 0x100002  -27.428571
57736.386714 18.623526      NaN   -1110    43 o    0   1.30 32.11658 6.38787  6610.41  1536.37  3.57 3.50 -74.5 -0.459    18.32 18.90 02a57736o0383o 0x100002  -25.813953
57736.399825 18.574166      NaN   -1096    45 o    0   1.10 32.11658 6.38787  6573.47  1594.01  3.61 3.54 -72.9 -0.452    18.28 18.83 02a57736o0408o 0x100002  -24.355556
57764.287591 17.210554      NaN   -1054   158 o    0   1.06 32.11658 6.38787  6559.84  4451.72  3.56 3.31 -89.3 -0.418    17.02 16.99 02a57764o0194o 0x100002   -6.670886
57764.297335 15.690052      NaN   -1824   641 o    0   0.84 32.11658 6.38787  6540.92  4412.66  3.62 3.42  84.8 -0.340    15.74 15.35 02a57764o0213o 0x100002   -2.845554
57768.277210 16.378500      NaN    -782   340 o    0   0.97 32.11658 6.38787  7403.63  2535.77  3.66 3.42 -82.8 -0.433    16.14 17.36 02a57768o0177o 0x100002   -2.300000
57768.285149 13.744485 0.095025   11540  1010 o    0   1.78 32.11658 6.38787  7385.08  2497.00  3.62 3.34 -81.8 -0.458    14.89 15.94 02a57768o0193o 0x100002   11.425743
57768.294960 16.482301      NaN   -1566   309 o    0   1.30 32.11658 6.38787  7443.03  2574.88  3.64 3.41 -83.1 -0.430    16.25 17.20 02a57768o0212o 0x100002   -5.067961
57768.307474 15.457646      NaN    -926   794 o    0   1.15 32.11658 6.38787  7464.22  2456.78  3.62 3.38 -78.8 -0.431    15.48 15.76 02a57768o0236o 0x100002   -1.166247
57768.321146 16.496447      NaN    -822   305 o    0   1.14 32.11658 6.38787  7426.65  2513.75  3.64 3.38 -79.8 -0.440    16.31 16.66 02a57768o0262o 0x100002   -2.695082
57788.208385 17.357499      NaN   -1221   138 o    0   0.96 32.11658 6.38787  4990.25  4728.95  4.03 3.80  86.6 -0.436    17.35 17.22 02a57788o0027o 0x100002   -8.847826
57788.212364 18.048890      NaN   -1307    73 o    0   1.06 32.11658 6.38787  4970.99  4690.99  3.96 3.81  82.2 -0.451    17.82 18.14 02a57788o0035o 0x100002  -17.904110
57788.219542 18.504094      NaN   -1208    48 o    0   1.06 32.11658 6.38787  5027.27  4767.37  3.86 3.63  79.1 -0.492    18.28 19.06 02a57788o0049o 0x100002  -25.166667
57788.229930 18.550302      NaN   -1182    46 o    0   1.07 32.11658 6.38787  5045.48  4650.52  3.86 3.60  84.0 -0.498    18.36 19.26 02a57788o0069o 0x100002  -25.695652
57788.242854 18.847027      NaN   -1156    35 o    0   1.78 32.11658 6.38787  5006.49  4706.47  3.83 3.80  70.9 -0.484    18.33 19.25 02a57788o0093o 0x100002  -33.028571
57941.574582 19.212347      NaN   -1081    25 o    0   1.70 32.11658 6.38787  2739.70  7307.82  2.43 2.20  29.6 -0.486    18.68 19.27 02a57941o0120o 0x000000  -43.240000
57941.582691 19.510313      NaN   -1024    19 o    0   2.25 32.11658 6.38787  2755.94  7349.50  2.35 2.08  39.5 -0.510    18.76 19.36 02a57941o0135o 0x000000  -53.894737
57941.591722 19.256669      NaN   -1078    24 o    0   1.36 32.11658 6.38787  2704.73  7268.96  2.42 2.17  28.7 -0.514    18.82 19.48 02a57941o0150o 0x000000  -44.916667
57941.600064 19.401649      NaN   -1043    21 o    0   1.15 32.11658 6.38787  2684.00  7386.94  2.51 2.34  36.6 -0.482    18.87 19.62 02a57941o0162o 0x000000  -49.666667
57943.596576 18.298627      NaN   -1060    58 o    0   1.00 32.11658 6.38787  8354.51  5311.93  3.23 3.06 -64.9 -0.450    18.02 18.56 01a57943o0701o 0x100002  -18.275862
57943.603991 19.212347      NaN   -1020    25 o    0   1.41 32.11658 6.38787  8337.77  5256.75  3.04 2.95 -63.8 -0.458    18.32 18.89 01a57943o0716o 0x000000  -40.800000
57943.610921 17.935984      NaN   -1081    81 o    0   1.56 32.11658 6.38787  8397.88  5317.43  3.12 3.02 -59.8 -0.458    17.75 18.08 01a57943o0730o 0x100002  -13.345679
57943.617936 18.729535      NaN   -1114    39 o    0   1.12 32.11658 6.38787  8419.21  5184.14  3.35 3.19 -44.8 -0.453    18.14 18.68 01a57943o0744o 0x100002  -28.564103
57963.630391 18.174913      NaN    -979    65 o    0   0.87 32.11658 6.38787  8865.29  1827.31  3.50 2.87 -82.5 -0.439    17.96 18.70 01a57963o0560o 0x100002  -15.061538
57972.558882 18.550302      NaN   -1067    46 o    0   0.97 32.11658 6.38787  8318.07  4064.19  3.43 2.73 -82.8 -0.456    18.08 18.62 01a57972o0487o 0x100002  -23.195652
57972.567264 18.504094      NaN   -1106    48 o    0   1.10 32.11658 6.38787  8302.36  4001.12  3.42 2.76 -83.5 -0.447    17.96 18.39 01a57972o0504o 0x100002  -23.041667
57972.575633 18.191747      NaN   -1154    64 o    0   0.95 32.11658 6.38787  8361.38  4052.16  3.53 2.92 -85.5 -0.435    17.59 18.13 01a57972o0521o 0x100002  -18.031250
57972.583932 18.317510      NaN   -1170    57 o    0   0.99 32.11658 6.38787  8383.18  3908.46  3.69 3.16 -84.6 -0.422    17.80 18.33 01a57972o0538o 0x100002  -20.526316
57974.589117 19.922338      NaN    -972    13 o    0   2.54 32.11658 6.38787  3213.27  6703.05  1.89 1.77 -22.2 -0.510    19.18 19.64 02a57974o0676o 0x000000  -74.769231
57974.597859 19.766969      NaN    -885    15 o    0   4.46 32.11658 6.38787  3229.42  6742.45  1.88 1.78 -13.5 -0.503    19.18 19.66 02a57974o0693o 0x000000  -59.000000
57974.606580 20.207197      NaN   -1025    10 o    0   3.96 32.11658 6.38787  3171.12  6665.83  1.88 1.79 -12.6 -0.504    19.18 19.67 02a57974o0710o 0x000000 -102.500000
57974.615324 19.922338      NaN    -964    13 o    0   4.17 32.11658 6.38787  3151.60  6783.66  1.86 1.79  12.7 -0.515    19.23 19.68 02a57974o0727o 0x000000  -74.153846
57976.595222 19.089302      NaN   -1145    28 o    0   1.10 32.11658 6.38787  7559.47  4527.76  5.39 3.14  -2.1 -0.362    18.39 19.68 01a57976o0670o 0x000000  -40.892857
57976.604102 19.401649      NaN   -1022    21 o    0   1.11 32.11658 6.38787  7543.64  4457.10  3.00 2.71 -83.5 -0.445    18.81 19.68 01a57976o0687o 0x000000  -48.666667
57976.612989 19.569016      NaN   -1055    18 o    0   1.50 32.11658 6.38787  7603.85  4501.71  3.01 2.69 -86.0 -0.455    18.84 19.68 01a57976o0704o 0x000000  -58.611111
57976.621821 19.401649      NaN   -1107    21 o    0   1.06 32.11658 6.38787  7624.29  4352.30  3.01 2.70 -83.8 -0.451    18.76 19.62 01a57976o0721o 0x000000  -52.714286
57980.615636 20.207197      NaN   -1036    10 o    0   1.49 32.11658 6.38787  2309.59  5241.64  2.87 2.61 -83.6 -0.467    19.25 20.54 01a57980o0717o 0x000000 -103.600000
57980.625303 19.841877      NaN   -1062    14 o    0   1.55 32.11658 6.38787  7919.18  4993.68  3.10 2.72 -89.3 -0.449    19.11 20.35 01a57980o0734o 0x000000  -75.857143
57980.635117 18.574166      NaN   -1043    45 o    0   1.10 32.11658 6.38787  7978.77  5030.51  3.08 2.67  88.1 -0.469    18.06 18.67 01a57980o0751o 0x100002  -23.177778
57988.592329 20.009244      NaN   -1077    12 o    0   1.06 32.11658 6.38787  2250.41  5253.03  3.17 2.87   3.5 -0.450    19.16 20.81 01a57988o0720o 0x000000  -89.750000
57988.601325 20.207197      NaN   -1056    10 o    0   1.29 32.11658 6.38787  7972.41  4982.83  2.98 2.85 -70.4 -0.444    19.28 20.77 01a57988o0737o 0x000000 -105.600000
57988.611331 20.321591      NaN   -1088     9 o    0   1.17 32.11658 6.38787  2218.72  5288.05  3.00 2.95   2.8 -0.433    19.18 20.79 01a57988o0754o 0x000000 -120.888889
57988.621702 19.696897      NaN   -1093    16 o    0   0.97 32.11658 6.38787  2205.47  5447.88  4.51 2.90  -0.6 -0.430    18.99 20.77 01a57988o0771o 0x000000  -68.312500
57992.529750 20.761819      NaN   -1056     6 o    0   1.08 32.11658 6.38787  7588.57  8051.22  3.27 2.84 -81.1 -0.424    19.37 21.02 01a57992o0524o 0x000000 -176.000000
57992.537017 21.514394      NaN   -1118     3 o    0   1.45 32.11658 6.38787  7571.10  7986.84  3.28 2.69 -80.0 -0.438    19.40 21.03 01a57992o0538o 0x000000 -372.666667
57992.544806 21.954622      NaN    -972     2 o    0   2.00 32.11658 6.38787  7632.53  8038.69  3.31 2.67 -82.4 -0.437    19.41 21.10 01a57992o0553o 0x000000 -486.000000
57992.552046 20.594452      NaN   -1053     7 o    0   0.93 32.11658 6.38787  7653.34  7896.15  3.31 2.65 -83.3 -0.438    19.43 21.10 01a57992o0567o 0x000000 -150.428571
57994.560061 22.707197      NaN    -824     1 o    0 112.94 32.11658 6.38787  4510.51  1265.92  2.01 1.92 -85.4 -0.454    19.81 21.13 02a57994o0586o 0x100001 -824.000000
57994.568067 22.707197      NaN    -829     1 o    0  58.01 32.11658 6.38787  4535.24  1303.87  2.02 1.98 -72.9 -0.456    19.80 21.20 02a57994o0600o 0x100001 -829.000000
57994.576592 22.707197      NaN    -805     1 o    0  72.36 32.11658 6.38787  4477.35  1227.88  2.01 1.98 -51.9 -0.456    19.79 21.20 02a57994o0615o 0x100001 -805.000000
57994.584281 20.761819      NaN    -943     6 o    0   3.73 32.11658 6.38787  4457.77  1345.43  1.95 1.95  33.3 -0.457    19.81 21.23 02a57994o0629o 0x000000 -157.166667
57996.523582 21.514394      NaN   -1176     3 o    0   1.74 32.11658 6.38787  4844.02  8723.16  3.89 3.08  -2.1 -0.401    19.16 21.03 01a57996o0405o 0x000000 -392.000000
57996.530779 21.954622      NaN   -1144     2 o    0   1.67 32.11658 6.38787  4826.20  8659.07  3.19 3.01 -13.6 -0.418    19.29 21.06 01a57996o0419o 0x000000 -572.000000
57996.538529 20.103715      NaN   -1086    11 o    0   0.94 32.11658 6.38787  4906.19  8709.65  3.48 3.28 -84.8 -0.420    19.22 21.03 01a57996o0434o 0x000000  -98.727273
57996.545759 20.321591      NaN   -1072     9 o    0   1.24 32.11658 6.38787  4906.89  8566.75  3.38 3.20 -76.7 -0.414    19.26 21.04 01a57996o0448o 0x000000 -119.111111
57998.523546 20.959772      NaN    -872     5 o    0   3.49 32.11658 6.38787  3109.33  3156.90  1.95 1.89 -30.3 -0.457    19.46 20.27 02a57998o0543o 0x000000 -174.400000
