         MJD         m       dm  uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  __tmp_SN
57698.224787 19.510313      NaN  -74    19 c    0   1.12 292.09004 56.57936  4046.29  2689.03 3.95 3.78 -87.0 -0.366    19.28 20.91 02a57698o0092c 0x000000 -3.894737
57698.229426 19.631075      NaN  -43    17 c    0   1.61 292.09004 56.57936  4027.17  2648.95 3.96 3.79 -88.5 -0.365    19.28 20.91 02a57698o0101c 0x000000 -2.529412
57698.245896 19.510313      NaN  -17    19 c    0   1.53 292.09004 56.57936  4079.41  2723.55 3.93 3.79 -85.2 -0.370    19.26 20.89 02a57698o0133c 0x000000 -0.894737
57698.264011 19.014394      NaN   36    18 c    0   1.21 292.09004 56.57936  4098.84  2603.07 3.92 3.80 -86.1 -0.372    19.23 20.84 02a57698o0168c 0x000000  2.000000
57698.272732 19.454622      NaN  -34    20 c    0   1.20 292.09004 56.57936  4065.22  2660.81 4.00 3.87  89.5 -0.368    19.18 20.81 02a57698o0185c 0x000000 -1.700000
57718.215428 19.026525      NaN   23    22 c    0   1.24 292.09004 56.57936  3895.40  2309.61 4.32 4.16  88.9 -0.354    19.13 21.69 02a57718o0049c 0x000000  1.045455
57718.226280 18.900000 0.249719  100    23 c    0   1.61 292.09004 56.57936  3884.60  2269.90 4.16 4.03  88.8 -0.355    18.94 20.75 02a57718o0070c 0x000000  4.347826
57718.242321 18.857417      NaN   38    22 c    0   1.57 292.09004 56.57936  3936.75  2346.64 4.50 4.43 -84.1 -0.347    19.03 20.96 02a57718o0101c 0x000000  1.727273
57834.630573 19.302877      NaN  -22    23 c    0   1.46 292.09004 56.57936  6855.47  8685.58 3.71 3.68   5.0 -0.444    18.75 20.41 02a57834o0693c 0x000000 -0.956522
57834.644722 18.944322      NaN  -35    32 c    0   1.26 292.09004 56.57936  6876.05  8726.20 3.84 3.81  65.8 -0.434    18.44 19.80 02a57834o0719c 0x100002 -1.093750
57838.625423 19.454622      NaN   -8    20 c    0   1.47 292.09004 56.57936  7789.28  5397.57 4.29 3.93  81.1 -0.379    18.88 20.91 02a57838o0693c 0x000000 -0.400000
57838.639637 19.026525      NaN   11    26 c    0   1.15 292.09004 56.57936  7809.58  5438.83 4.53 4.31  83.7 -0.354    18.60 20.44 02a57838o0719c 0x100002  0.423077
57838.653941 16.359507      NaN   30   336 c    0   0.89 292.09004 56.57936  7745.26  5365.21 3.93 3.69  89.2 -0.490    17.04 17.06 02a57838o0745c 0x100002  0.089286
57894.543726 20.009244      NaN  -42    12 c    0   1.56 292.09004 56.57936  7967.93  6046.90 2.71 2.56  32.7 -0.455    19.61 21.38 02a57894o0585c 0x000000 -3.500000
57894.559964 20.207197      NaN  -28    10 c    0   1.84 292.09004 56.57936  2486.76  4375.97 2.74 2.46  17.5 -0.477    19.72 21.49 02a57894o0613c 0x000000 -2.800000
57894.576677 20.103715      NaN  -41    11 c    0   1.80 292.09004 56.57936  2549.91  4451.17 2.73 2.40  17.4 -0.473    19.74 21.49 02a57894o0642c 0x000000 -3.727273
57894.593655 20.207197      NaN   -7    10 c    0   1.54 292.09004 56.57936  2557.06  4331.28 2.83 2.54  20.5 -0.481    19.69 21.49 02a57894o0671c 0x000000 -0.700000
57894.609533 19.674510      NaN   16    11 c    0   1.55 292.09004 56.57936  2524.93  4390.76 2.68 2.38  16.4 -0.477    19.63 21.19 02a57894o0699c 0x000000  1.454545
57898.538221 20.103715      NaN  -10    11 c    0   1.19 292.09004 56.57936  7413.33  7075.78 2.91 2.69  67.2 -0.453    19.65 21.61 02a57898o0416c 0x000000 -0.909091
57898.553973 20.207197      NaN   -9    10 c    0   1.98 292.09004 56.57936  3043.30  3351.23 2.94 2.47  18.6 -0.480    19.74 21.63 02a57898o0444c 0x000000 -0.900000
57898.570104 20.103715      NaN  -29    11 c    0   1.07 292.09004 56.57936  7371.63  7034.98 2.72 2.54  37.5 -0.462    19.75 21.70 02a57898o0472c 0x000000 -2.636364
57898.586501 20.405150      NaN    1     8 c    0   3.42 292.09004 56.57936  3121.34  3304.00 2.93 2.38  26.4 -0.477    19.80 21.69 02a57898o0500c 0x000000  0.125000
57898.602883 20.207197      NaN    3     9 c    0   3.16 292.09004 56.57936  3077.66  3363.69 2.99 2.43  23.1 -0.473    19.73 21.55 02a57898o0528c 0x000000  0.333333
57902.524016 20.171596      NaN    4     9 c    0   1.48 292.09004 56.57936  4708.07  8206.94 2.61 2.55   6.3 -0.456    19.64 21.48 02a57902o0563c 0x000000  0.444444
57902.538031 19.791368      NaN   11    11 c    0   1.41 292.09004 56.57936  4728.47  8246.89 2.63 2.55  22.1 -0.454    19.65 21.44 02a57902o0589c 0x000000  1.000000
57902.554053 20.207197      NaN  -12    10 c    0   1.35 292.09004 56.57936  4672.39  8167.20 2.70 2.50  18.1 -0.454    19.78 21.63 02a57902o0617c 0x000000 -1.200000
57902.569630 20.207197      NaN   -8    10 c    0   1.37 292.09004 56.57936  4650.69  8284.09 2.73 2.51  12.9 -0.451    19.74 21.61 02a57902o0645c 0x000000 -0.800000
