         MJD         m       dm   uJy  duJy F  err  chi/N        RA      Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57702.229260 19.128787      NaN   -50    27 o    0   1.20 292.09004 56.57936  3703.24  4878.83  3.56 3.44  88.6 -0.435    18.78 19.84 02a57702o0099o 0x000000  -1.851852
57702.246864 19.089302      NaN   -17    28 o    0   1.35 292.09004 56.57936  3676.53  4839.33  3.56 3.42  86.3 -0.431    18.74 19.78 02a57702o0133o 0x000000  -0.607143
57702.259849 18.796518      NaN    17    31 o    0   1.27 292.09004 56.57936  3727.17  4912.74  3.50 3.37 -85.8 -0.449    18.71 19.71 02a57702o0158o 0x000000   0.548387
57702.271691 18.978793      NaN   -18    31 o    0   1.48 292.09004 56.57936  3748.15  4793.78  3.46 3.29 -80.0 -0.457    18.70 19.66 02a57702o0181o 0x000000  -0.580645
57702.276920 18.767304      NaN    26    29 o    0   1.43 292.09004 56.57936  3715.62  4852.55  3.45 3.31 -84.4 -0.451    18.68 19.62 02a57702o0191o 0x000000   0.896552
57706.233278 18.598565      NaN   -24    44 o    0   1.57 292.09004 56.57936  4028.42  3050.67  4.03 3.89 -85.2 -0.391    18.15 18.85 02a57706o0106o 0x100002  -0.545455
57706.243217 18.649074      NaN     0    42 o    0   1.38 292.09004 56.57936  4007.05  3009.94  3.72 3.58 -80.9 -0.418    18.23 18.81 02a57706o0125o 0x000000   0.000000
57706.254888 18.526952      NaN  -110    47 o    0   1.24 292.09004 56.57936  4069.76  3085.02  3.68 3.51 -80.8 -0.431    18.19 18.76 02a57706o0146o 0x100002  -2.340426
57706.258484 18.304885      NaN    23    50 o    0   1.16 292.09004 56.57936  4079.33  2967.51  3.81 3.68 -74.5 -0.405    18.15 18.74 02a57706o0153o 0x100002   0.460000
57706.272835 18.174913      NaN    42    51 o    0   0.98 292.09004 56.57936  4046.06  3025.34  3.63 3.47 -79.6 -0.433    18.17 18.66 02a57706o0181o 0x100002   0.823529
57710.224372 19.256669      NaN   -24    24 o    0   1.31 292.09004 56.57936  2050.34  3393.43  3.86 3.71  87.8 -0.413    19.02 20.50 02a57710o0068o 0x000000  -1.000000
57710.230522 18.757738      NaN    42    24 o    0   1.53 292.09004 56.57936  2029.06  3353.48  3.77 3.61  88.3 -0.418    19.03 20.43 02a57710o0080o 0x000000   1.750000
57710.252247 19.212347      NaN    -8    25 o    0   1.29 292.09004 56.57936  2090.07  3426.33  3.67 3.52  89.2 -0.429    18.99 20.32 02a57710o0122o 0x000000  -0.320000
57710.256910 18.806434      NaN    34    25 o    0   1.17 292.09004 56.57936  2110.28  3310.82  3.63 3.47 -86.6 -0.437    19.00 20.32 02a57710o0131o 0x000000   1.360000
57798.664932 16.852786      NaN   269   130 o    0   1.44 292.09004 56.57936  4617.93  2876.03  4.17 3.61  86.7 -0.938    18.01 18.95 01a57798o0834o 0x100002   2.069231
