         MJD         m       dm    uJy  duJy F  err   chi/N       RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask     __tmp_SN
57699.528870 19.014394      NaN   -926    30 c    0    2.65 75.80477 -22.8331  9532.39  6150.94 4.07 3.72  86.7 -0.403    18.90 20.67 02a57699o0668c 0x100002   -30.866667
57699.543816 19.922338      NaN  -1018    13 c    0    5.97 75.80477 -22.8331  9516.81  6111.19 3.83 3.39 -88.2 -0.432    19.12 20.81 02a57699o0697c 0x000000   -78.307692
57699.558725 19.569016      NaN   -673    18 c    0    5.33 75.80477 -22.8331  9570.91  6188.18 3.75 3.25 -86.4 -0.434    19.18 20.84 02a57699o0726c 0x000000   -37.388889
57699.573625 19.631075      NaN   -637    17 c    0    3.88 75.80477 -22.8331  9589.79  6073.95 3.81 3.30 -85.4 -0.439    19.27 20.97 02a57699o0755c 0x000000   -37.470588
57699.588504 19.401649      NaN   -536    21 c    0    3.97 75.80477 -22.8331  9555.71  6131.25 3.75 3.29 -83.9 -0.439    19.10 20.77 02a57699o0784c 0x000000   -25.523810
57715.485225 19.128787      NaN  -1039    27 c    0    2.67 75.80477 -22.8331  7634.06  4067.83 4.08 3.82  86.5 -0.362    18.84 20.82 02a57715o0594c 0x100002   -38.481481
57715.498728 18.675237      NaN  -6113    41 c    0    1.93 75.80477 -22.8331  7618.22  4030.51 4.78 4.60  74.8 -0.340    18.16 20.24 02a57715o0620c 0x100002  -149.097561
57747.399498 20.103715      NaN  -1063    11 c    0    7.79 75.80477 -22.8331  7665.89  4329.31 4.25 4.18  17.2 -0.362    19.50 21.60 02a57747o0426c 0x000000   -96.636364
57747.412468 20.449472      NaN  -1277     8 c    0   12.00 75.80477 -22.8331  7649.49  4291.87 4.14 4.06  22.7 -0.357    19.55 21.61 02a57747o0452c 0x100001  -159.625000
57747.425917 20.009244      NaN   -929    12 c    0    4.16 75.80477 -22.8331  7703.84  4370.17 4.06 4.01   6.8 -0.362    19.58 21.63 02a57747o0479c 0x000000   -77.416667
57747.439376 20.009244      NaN  -1039    12 c    0    4.95 75.80477 -22.8331  7722.30  4254.05 4.46 4.02   3.8 -0.368    19.54 21.66 02a57747o0506c 0x000000   -86.583333
57747.452365 20.103715      NaN  -1031    11 c    0   14.02 75.80477 -22.8331  7688.85  4312.01 4.08 3.97   0.2 -0.366    19.57 21.62 02a57747o0532c 0x100001   -93.727273
57755.370495 19.766969      NaN   -404    15 c    0   11.70 75.80477 -22.8331   220.58  5594.08 3.87 3.68  53.1 -0.390    19.77 21.80 02a57755o0342c 0x100001   -26.933333
