         MJD         m       dm    uJy  duJy F  err   chi/N       RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask     __tmp_SN
57703.511654 19.014394      NaN    -48    30 o    0    3.75 75.80477 -22.8331  7970.87  4728.64 3.52 3.14 -86.7 -0.453    18.86 19.91 02a57703o0647o 0x000000    -1.600000
57703.524036 19.212347      NaN   -522    25 o    0    6.35 75.80477 -22.8331  7955.66  4691.82 3.48 3.12 -85.6 -0.460    18.87 19.93 02a57703o0671o 0x000000   -20.880000
57703.538515 18.921935      NaN      5    31 o    0    4.53 75.80477 -22.8331  8009.75  4789.00 3.43 3.12 -82.0 -0.473    18.91 20.00 02a57703o0699o 0x000000     0.161290
57703.552988 19.212347      NaN   -755    25 o    0    5.79 75.80477 -22.8331  8028.46  4673.72 3.48 3.12 -85.7 -0.462    19.01 20.20 02a57703o0727o 0x000000   -30.200000
57703.566468 19.302877      NaN   -251    23 o    0    6.32 75.80477 -22.8331  7994.74  4711.70 3.46 3.08 -85.9 -0.466    19.25 20.67 02a57703o0753o 0x000000   -10.913043
57707.506720 18.356290      NaN   -584    55 o    0    1.56 75.80477 -22.8331  8410.09  3268.39 3.98 3.90  65.6 -0.383    18.10 18.77 02a57707o0615o 0x100002   -10.618182
57707.519604 18.417189      NaN    -16    52 o    0    2.30 75.80477 -22.8331  8394.97  3230.89 4.18 3.81   5.1 -0.385    18.08 18.75 02a57707o0640o 0x000000    -0.307692
57707.532985 18.438271      NaN   -584    51 o    0    1.70 75.80477 -22.8331  8450.20  3309.70 3.92 3.84  73.6 -0.400    18.10 18.74 02a57707o0666o 0x000000   -11.450980
57707.547405 18.356290      NaN   -575    55 o    0    1.70 75.80477 -22.8331  8469.07  3194.70 3.87 3.71  86.9 -0.408    18.11 18.72 02a57707o0694o 0x100002   -10.454545
57707.561294 18.376212      NaN   -749    54 o    0    1.80 75.80477 -22.8331  8435.16  3250.64 3.79 3.64  78.7 -0.430    18.08 18.69 02a57707o0721o 0x100002   -13.870370
57711.479341 19.351140      NaN  -1535    22 o    0    4.69 75.80477 -22.8331   830.48  6321.22 3.86 3.65  24.0 -0.428    18.91 20.22 02a57711o0489o 0x000000   -69.772727
57711.492240 19.014394      NaN  -1288    30 o    0    3.36 75.80477 -22.8331   815.04  6282.56 3.73 3.54  61.3 -0.442    18.80 19.95 02a57711o0514o 0x000000   -42.933333
57711.493272 17.610315 0.115856    328    35 o    0    6.67 75.80477 -22.8331 10466.62  6307.95 3.92 3.20  85.8 -0.457    18.78 19.93 02a57711o0516o 0x000000     9.371429
57711.506112 18.649074      NaN  -1343    42 o    0    3.29 75.80477 -22.8331   870.72  6362.46 3.66 3.45  61.6 -0.456    18.28 19.13 02a57711o0541o 0x000000   -31.976190
57711.506621 18.459772      NaN    -67    50 o    0    2.72 75.80477 -22.8331 10450.11  6273.14 3.97 3.35  83.0 -0.442    18.25 19.13 02a57711o0542o 0x000000    -1.340000
57711.520094 18.376212      NaN  -1543    54 o    0    2.07 75.80477 -22.8331   891.13  6245.95 3.70 3.55  52.5 -0.448    18.04 18.85 02a57711o0568o 0x100002   -28.574074
57711.520612 17.357499 0.249142    414    95 o    0    4.80 75.80477 -22.8331 10506.54  6350.88 3.93 3.34  83.6 -0.451    18.00 18.80 02a57711o0569o 0x100002     4.357895
57711.533490 18.623526      NaN   -835    43 o    0    3.07 75.80477 -22.8331   854.89  6304.70 3.85 3.68  61.2 -0.431    18.25 19.25 02a57711o0594o 0x000000   -19.418605
57711.534512 16.943818 0.152290    606    85 o    0    3.95 75.80477 -22.8331 10525.54  6236.24 4.05 3.44  84.4 -0.437    18.29 19.27 02a57711o0596o 0x100002     7.129412
57711.547424 18.481707      NaN   -214    49 o    0    9.71 75.80477 -22.8331 10489.84  6296.05 4.03 3.54  82.3 -0.443    18.68 19.85 02a57711o0621o 0x000000    -4.367347
57735.427471 18.376212      NaN   -253    54 o    0    2.49 75.80477 -22.8331  9192.03  4602.95 3.79 3.23  84.2 -0.463    18.10 18.59 02a57735o0362o 0x100002    -4.685185
57735.439834 18.298627      NaN   -883    58 o    0    1.59 75.80477 -22.8331  9174.60  4567.74 3.90 3.36  82.3 -0.445    18.09 18.59 02a57735o0386o 0x100002   -15.224138
57735.452630 18.317510      NaN   -479    57 o    0    2.29 75.80477 -22.8331  9247.83  4645.97 4.06 3.54  83.0 -0.433    18.02 18.57 02a57735o0411o 0x100002    -8.403509
57735.466016 18.280067      NaN   -179    59 o    0    1.63 75.80477 -22.8331  9267.75  4529.98 3.80 3.16  86.1 -0.467    18.11 18.55 02a57735o0437o 0x100002    -3.033898
57735.479429 18.261819      NaN  -1137    60 o    0    1.74 75.80477 -22.8331  9215.35  4589.31 3.85 3.44  82.9 -0.451    18.04 18.53 02a57735o0463o 0x100002   -18.950000
57743.468522 19.510313      NaN   -876    19 o    0    4.37 75.80477 -22.8331  8197.58  3357.44 4.24 3.97 -88.8 -0.392    19.06 20.74 02a57743o0554o 0x000000   -46.105263
