         MJD         m       dm  uJy  duJy F  err  chi/N       RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57716.457808 18.598565      NaN  -68    44 c    0   1.09 52.39267 10.97319  6419.38  2395.29 4.01 3.88  88.5 -0.388    18.44 20.26 02a57716o0532c 0x100002  -1.545455
57716.495230 17.533643      NaN   37   105 c    0   1.16 52.39267 10.97319  6459.50  2435.29 4.24 4.12  87.3 -0.366    17.53 19.34 02a57716o0604c 0x100002   0.352381
57716.496787 17.922662      NaN  -36    82 c    0   0.73 52.39267 10.97319  6479.27  2318.57 4.29 4.20 -88.3 -0.367    17.70 19.56 02a57716o0607c 0x100002  -0.439024
57716.514767 18.878500      NaN -126    34 c    0   1.10 52.39267 10.97319  6444.41  2375.73 4.52 4.08  -0.6 -0.372    18.64 20.54 02a57716o0642c 0x100002  -3.705882
57752.381744 16.509579      NaN  217   229 c    0   1.02 52.39267 10.97319  6912.93  2097.11 3.86 3.66  71.3 -0.414    16.64 18.24 02a57752o0335c 0x100002   0.947598
57752.397410 15.850384      NaN -166   553 c    0   0.88 52.39267 10.97319  6971.51  2174.27 3.93 3.61  72.6 -0.408    15.72 17.29 02a57752o0365c 0x100002  -0.300181
57752.421021 17.707197      NaN  -54   100 c    0   1.07 52.39267 10.97319  6992.85  2055.83 3.85 3.79  50.7 -0.409    17.58 19.23 02a57752o0411c 0x100002  -0.540000
57752.421520 17.718109      NaN -122    99 c    0   1.14 52.39267 10.97319  6954.57  2113.92 3.81 3.74  37.0 -0.409    17.56 19.19 02a57752o0412c 0x100002  -1.232323
57756.340265 19.569016      NaN  -79    18 c    0   1.16 52.39267 10.97319  7463.32 10457.40 3.36 3.08 -28.8 -0.431    19.72 21.65 02a57756o0278c 0x000000  -4.388889
57756.341788 19.631075      NaN  -33    17 c    0   1.04 52.39267 10.97319  9243.03   779.53 3.78 3.56  85.5 -0.433    19.71 21.61 02a57756o0280c 0x000000  -1.941176
57756.360464 19.631075      NaN  -87    17 c    0   1.06 52.39267 10.97319  9227.48   740.96 3.81 3.61  82.3 -0.444    19.73 21.66 02a57756o0316c 0x000000  -5.117647
57756.367655 19.212347      NaN  -80    25 c    0   1.11 52.39267 10.97319  7504.76 10495.06 3.36 3.10 -33.2 -0.426    19.75 21.70 02a57756o0328c 0x100002  -3.200000
57756.372087 19.696897      NaN  -85    16 c    0   1.62 52.39267 10.97319  9284.90   818.01 3.81 3.61  79.4 -0.442    19.72 21.65 02a57756o0336c 0x000000  -5.312500
57756.386883 19.569016      NaN  -75    18 c    0   0.76 52.39267 10.97319  7527.67 10376.21 3.31 3.03 -33.8 -0.424    19.73 21.66 02a57756o0365c 0x000000  -4.166667
57756.388374 19.696897      NaN -126    16 c    0   1.33 52.39267 10.97319  9309.69   699.37 3.79 3.64  78.5 -0.439    19.71 21.64 02a57756o0368c 0x000000  -7.875000
57756.389390 19.569016      NaN  -50    18 c    0   1.08 52.39267 10.97319  7489.69 10434.11 3.35 3.02 -31.0 -0.424    19.71 21.67 02a57756o0370c 0x000000  -2.777778
57756.402638 19.302877      NaN  -78    23 c    0   0.79 52.39267 10.97319  9272.13   757.13 3.82 3.62  83.6 -0.438    19.70 21.61 02a57756o0393c 0x000000  -3.391304
57776.327306 17.751519      NaN  -87    96 c    0   1.11 52.39267 10.97319  7783.94  1552.72 3.76 3.63  82.3 -0.416    17.38 19.04 02a57776o0228c 0x100002  -0.906250
57776.342994 19.696897      NaN  -82    16 c    0   0.91 52.39267 10.97319  7765.70  1512.80 3.77 3.65  82.6 -0.420    19.63 21.52 02a57776o0258c 0x000000  -5.125000
57776.359849 19.631075      NaN  -61    17 c    0   1.36 52.39267 10.97319  7823.61  1589.99 3.76 3.62  77.9 -0.413    19.59 21.46 02a57776o0290c 0x000000  -3.588235
57776.376477 19.766969      NaN  -93    15 c    0   1.18 52.39267 10.97319  7844.99  1472.37 3.90 3.82  72.1 -0.404    19.60 21.52 02a57776o0322c 0x000000  -6.200000
57776.393004 19.569016      NaN  -85    18 c    0   1.20 52.39267 10.97319  7806.73  1530.18 3.95 3.90  78.4 -0.403    19.43 21.35 02a57776o0354c 0x000000  -4.722222
57780.317575 19.922338      NaN  -88    13 c    0   1.36 52.39267 10.97319  7622.75  3087.54 3.82 3.61  88.2 -0.379    19.67 21.58 02a57780o0206c 0x000000  -6.769231
57780.333227 19.841877      NaN  -90    14 c    0   1.19 52.39267 10.97319  7606.41  3048.36 3.82 3.59 -89.7 -0.384    19.65 21.53 02a57780o0236c 0x000000  -6.428571
57780.349655 19.922338      NaN  -86    13 c    0   1.19 52.39267 10.97319  7664.22  3125.70 3.83 3.61  88.6 -0.386    19.62 21.48 02a57780o0267c 0x000000  -6.615385
57780.366423 19.766969      NaN  -82    15 c    0   1.13 52.39267 10.97319  7685.62  3007.60 3.83 3.67  89.6 -0.386    19.57 21.43 02a57780o0299c 0x000000  -5.466667
57780.382716 19.696897      NaN  -79    16 c    0   1.17 52.39267 10.97319  7648.61  3065.23 3.83 3.72 -89.5 -0.385    19.52 21.36 02a57780o0330c 0x000000  -4.937500
57784.305570 19.766969      NaN  -77    15 c    0   1.24 52.39267 10.97319  9368.60  1263.52 4.07 3.73 -89.0 -0.403    19.54 21.45 02a57784o0003c 0x000000  -5.133333
57784.320585 19.766969      NaN  -60    15 c    0   1.27 52.39267 10.97319  9346.34  1225.20 3.92 3.64  82.4 -0.430    19.55 21.44 02a57784o0032c 0x000000  -4.000000
57784.335780 19.510313      NaN  -51    19 c    0   1.00 52.39267 10.97319  9406.08  1303.52 3.93 3.75  75.2 -0.426    19.53 21.43 02a57784o0061c 0x000000  -2.684211
57784.351004 19.631075      NaN -118    17 c    0   0.98 52.39267 10.97319  9427.21  1185.57 3.90 3.72  72.1 -0.436    19.52 21.40 02a57784o0090c 0x000000  -6.941176
57784.366805 19.631075      NaN  -97    17 c    0   1.34 52.39267 10.97319  9387.60  1243.60 4.00 3.86  68.7 -0.422    19.44 21.34 02a57784o0120c 0x000000  -5.705882
57804.315684 19.212347      NaN  -87    25 c    0   1.13 52.39267 10.97319  6460.63  3506.56 3.90 3.76  83.8 -0.368    18.87 20.61 02a57804o0211c 0x100002  -3.480000
57808.264618 17.762888      NaN  -99    95 c    0   1.37 52.39267 10.97319  6500.70  2327.96 3.85 3.74  87.8 -0.396    17.29 18.81 02a57808o0084c 0x100002  -1.042105
57808.292995 19.169763      NaN -111    26 c    0   0.83 52.39267 10.97319  6544.95  2362.43 3.81 3.79  88.8 -0.403    18.95 20.63 02a57808o0140c 0x100002  -4.269231
57836.253599 19.089302      NaN  -75    28 c    0   1.05 52.39267 10.97319  6900.06  2658.16 4.02 3.67  89.5 -0.419    18.35 19.70 02a57836o0049c 0x100002  -2.678571
57836.267851 18.878500      NaN  -95    34 c    0   0.83 52.39267 10.97319  6879.91  2617.16 4.07 3.76 -88.6 -0.403    18.28 19.64 02a57836o0076c 0x100002  -2.794118
57840.244084 19.169763      NaN -144    26 c    0   1.26 52.39267 10.97319  7120.49  2233.80 3.87 3.68 -80.6 -0.386    18.30 19.54 02a57840o0030c 0x100002  -5.538462
57840.255673 18.878500      NaN  -53    34 c    0   0.79 52.39267 10.97319  7098.50  2195.92 3.86 3.72 -85.9 -0.390    18.26 19.51 02a57840o0052c 0x100002  -1.558824
57987.642578 17.089310      NaN   56   158 c    0   1.69 52.39267 10.97319  3000.36  8016.96 2.41 2.31   7.4 -0.436    17.35 18.03 02a57987o0584c 0x100002   0.354430
58019.549934 17.368040 0.026481  410    10 c    0   1.55 52.39267 10.97319  3470.93  1874.63 2.39 2.31  86.9 -0.414    19.73 21.39 02a58019o0666c 0x000000  41.000000
58019.563543 17.321391 0.027904  428    11 c    0   1.07 52.39267 10.97319  3431.02  1835.65 2.39 2.33  82.2 -0.409    19.78 21.43 02a58019o0692c 0x000000  38.909091
58019.564000 17.381362 0.026808  405    10 c    0   1.75 52.39267 10.97319  3488.12  1914.15 2.38 2.32 -89.8 -0.401    19.76 21.42 02a58019o0693c 0x000000  40.500000
58019.572114 17.274231 0.024289  447    10 c    0   1.60 52.39267 10.97319  3413.16  1953.51 2.44 2.36  89.4 -0.397    19.74 21.45 02a58019o0709c 0x000000  44.700000
58071.455442 19.950541      NaN   11     9 c    0   1.20 52.39267 10.97319  5607.41  8883.50 2.57 2.27  15.6 -0.464    19.75 21.47 02a58071o0463c 0x000000   1.222222
58071.470357 19.766969      NaN   18     9 c    0   1.57 52.39267 10.97319  5643.86  8920.50 2.61 2.26   9.0 -0.463    19.73 21.47 02a58071o0493c 0x000000   2.000000
58071.470814 20.321591      NaN    0     9 c    0   1.23 52.39267 10.97319  5587.06  8842.11 2.57 2.30  13.5 -0.458    19.72 21.46 02a58071o0494c 0x000000   0.000000
58071.477495 19.609992      NaN   22    10 c    0   0.91 52.39267 10.97319  5665.05  8806.19 2.55 2.26  12.0 -0.460    19.73 21.46 02a58071o0507c 0x000000   2.200000
58075.451474 20.594452      NaN   -3     7 c    0   1.61 52.39267 10.97319  5625.72  7828.54 2.37 2.20  15.0 -0.447    19.77 21.53 02a58075o0467c 0x000000  -0.428571
58075.456599 20.321591      NaN   -3     9 c    0   0.76 52.39267 10.97319  5611.70  7793.84 2.36 2.22  17.2 -0.472    19.81 21.55 02a58075o0476c 0x000000  -0.333333
58075.457056 20.207197      NaN   -3    10 c    0   1.09 52.39267 10.97319  5668.48  7871.89 2.38 2.24  13.2 -0.462    19.78 21.55 02a58075o0477c 0x000000  -0.300000
58075.470981 20.449472      NaN  -12     8 c    0   1.15 52.39267 10.97319  5683.05  7751.56 2.34 2.22  10.1 -0.466    19.82 21.58 02a58075o0504c 0x000000  -1.500000
58079.441155 20.321591      NaN  -19     9 c    0   1.16 52.39267 10.97319  5328.30  6357.70 2.32 2.25  31.1 -0.461    19.78 21.43 02a58079o0526c 0x000000  -2.111111
58079.455838 20.594452      NaN  -16     7 c    0   1.37 52.39267 10.97319  5309.69  6315.63 2.31 2.23  29.1 -0.462    19.76 21.42 02a58079o0557c 0x000000  -2.285714
58079.462553 20.449472      NaN   -3     8 c    0   1.38 52.39267 10.97319  5369.15  6395.18 2.30 2.23  23.0 -0.467    19.76 21.41 02a58079o0568c 0x000000  -0.375000
58079.476071 19.950541      NaN    8    10 c    0   0.95 52.39267 10.97319  5387.28  6276.97 2.30 2.23  19.4 -0.456    19.73 21.40 02a58079o0595c 0x000000   0.800000
58134.367108 20.321591      NaN  -64     9 c    0   1.13 52.39267 10.97319  6702.07  8223.64 2.67 2.49  -6.6 -0.453    19.69 21.62 02a58134o0366c 0x000000  -7.111111
58134.377010 20.207197      NaN  -44    10 c    0   1.04 52.39267 10.97319  6683.70  8184.46 2.55 2.47  -7.1 -0.450    19.68 21.61 02a58134o0387c 0x000000  -4.400000
58134.386991 20.207197      NaN  -44    10 c    0   1.09 52.39267 10.97319  6741.52  8262.24 2.96 2.90   7.0 -0.418    19.55 21.60 02a58134o0408c 0x000000  -4.400000
58134.396951 20.207197      NaN  -74    10 c    0   0.95 52.39267 10.97319  6761.95  8145.38 2.93 2.86   9.0 -0.419    19.56 21.55 02a58134o0429c 0x000000  -7.400000
58135.369762 20.207197      NaN  -62    10 c    0   1.24 52.39267 10.97319  6840.23  7598.47 3.11 3.01  40.4 -0.411    19.50 21.51 02a58135o0369c 0x000000  -6.200000
58135.380132 20.103715      NaN  -50    11 c    0   1.06 52.39267 10.97319  6823.14  7558.77 2.86 2.79  26.6 -0.445    19.53 21.47 02a58135o0390c 0x000000  -4.545455
58135.390528 20.009244      NaN  -57    12 c    0   1.10 52.39267 10.97319  6880.05  7636.68 3.39 3.29  38.8 -0.397    19.37 21.44 02a58135o0411c 0x000000  -4.750000
58135.400814 20.103715      NaN  -57    11 c    0   1.14 52.39267 10.97319  6899.77  7521.01 3.09 3.02  35.3 -0.405    19.46 21.40 02a58135o0432c 0x000000  -5.181818
58162.302420 20.103715      NaN  -59    11 c    0   1.23 52.39267 10.97319  5478.48  6779.96 3.13 3.03  12.5 -0.416    19.45 21.45 02a58162o0206c 0x000000  -5.363636
58163.310306 15.591354      NaN -691   702 c    0   1.03 52.39267 10.97319  6997.37  8456.90 2.71 2.67  25.0 -0.445    15.37 16.70 02a58163o0221c 0x100002  -0.984330
58167.302159 19.051202      NaN   -1    29 c    0   1.12 52.39267 10.97319  7594.62  5845.40 3.13 2.82  71.7 -0.414    18.27 20.60 02a58167o0201c 0x100002  -0.034483
58167.312300 19.256669      NaN -101    24 c    0   1.13 52.39267 10.97319  7575.34  5805.42 3.30 2.92  70.6 -0.405    18.43 20.71 02a58167o0222c 0x000000  -4.208333
58167.322344 19.051202      NaN  -58    29 c    0   1.19 52.39267 10.97319  7631.58  5883.41 3.49 3.16  58.1 -0.392    18.42 20.72 02a58167o0243c 0x100002  -2.000000
58167.332484 19.128787      NaN  -73    27 c    0   1.13 52.39267 10.97319  7649.87  5768.66 3.36 3.10  71.2 -0.404    18.25 20.49 02a58167o0264c 0x100002  -2.703704
58375.630296 20.449472      NaN  -75     8 c    0   1.22 52.39267 10.97319  5093.91  7511.07 2.51 2.47  -0.3 -0.463    19.64 21.36 02a58375o0332c 0x000000  -9.375000
