         MJD         m       dm   uJy  duJy F  err  chi/N       RA      Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57700.491383 19.089302      NaN  -192    28 o    0   1.07 52.39267 10.97319  8149.32  1023.67  3.62 3.34 -84.9 -0.472    18.89 20.26 02a57700o0358o 0x000000  -6.857143
57700.503799 19.051202      NaN  -150    29 o    0   1.35 52.39267 10.97319  8130.80   982.40  3.67 3.45 -87.0 -0.457    18.85 20.22 02a57700o0382o 0x000000  -5.172414
57700.518637 18.944322      NaN  -205    32 o    0   0.93 52.39267 10.97319  8190.53  1063.07  3.66 3.49  89.1 -0.466    18.72 20.09 02a57700o0410o 0x000000  -6.406250
57700.539497 18.574166      NaN  -156    45 o    0   1.20 52.39267 10.97319  8212.17   944.34  3.64 3.42  89.7 -0.471    18.34 19.66 02a57700o0450o 0x100002  -3.466667
57700.540535 18.526952      NaN  -233    47 o    0   1.01 52.39267 10.97319  8172.21  1002.86  3.63 3.39 -86.0 -0.463    18.32 19.64 02a57700o0452o 0x100002  -4.957447
57704.430806 18.816441      NaN  -205    36 o    0   1.36 52.39267 10.97319  7382.15  1621.31  3.61 3.43 -81.4 -0.464    18.46 19.18 02a57704o0270o 0x000000  -5.694444
57704.451390 18.847027      NaN  -147    35 o    0   1.14 52.39267 10.97319  7364.28  1584.79  3.58 3.38 -89.2 -0.476    18.50 19.23 02a57704o0310o 0x000000  -4.200000
57704.466723 18.847027      NaN  -181    35 o    0   1.10 52.39267 10.97319  7418.36  1661.97  3.56 3.35 -84.1 -0.467    18.55 19.34 02a57704o0340o 0x000000  -5.171429
57704.482686 18.729535      NaN  -190    39 o    0   1.13 52.39267 10.97319  7435.84  1544.01  3.54 3.37 -87.8 -0.469    18.47 19.13 02a57704o0371o 0x000000  -4.871795
57704.502533 18.944322      NaN  -192    32 o    0   1.45 52.39267 10.97319  7398.73  1602.74  3.64 3.49 -82.9 -0.452    18.49 19.29 02a57704o0409o 0x000000  -6.000000
57712.484120 17.172296      NaN    59   144 o    0   0.81 52.39267 10.97319  8928.32  4061.77  3.92 3.47  85.9 -0.436    17.22 18.00 02a57712o0142o 0x100002   0.409722
57712.498811 15.360481      NaN   463   714 o    0   1.21 52.39267 10.97319  8985.93  4139.53  4.11 3.78  80.8 -0.419    15.50 16.04 02a57712o0170o 0x100002   0.648459
57712.516115 11.895034      NaN 11092 17431 o    0   0.97 52.39267 10.97319  9008.69  4022.27  4.03 3.90 -90.0 -0.434    11.87 12.31 02a57712o0203o 0x100002   0.636338
57712.534642 17.527492      NaN  -353   118 o    0   1.02 52.39267 10.97319  8972.19  4079.69  3.95 3.62  80.1 -0.419    17.50 18.50 02a57712o0239o 0x100002  -2.991525
57736.400386 17.633737      NaN  -119   107 o    0   0.78 52.39267 10.97319  6493.70 10483.74  3.35 3.04 -21.9 -0.526    18.20 18.65 02a57736o0409o 0x100002  -1.112150
57736.405163 18.243872      NaN  -166    61 o    0   1.13 52.39267 10.97319  8250.53   809.08  3.60 3.40  83.7 -0.476    18.17 18.61 02a57736o0418o 0x100002  -2.721311
57736.413055 17.896499      NaN  -107    84 o    0   1.46 52.39267 10.97319  6476.10 10444.41  3.33 2.94 -16.8 -0.503    18.17 18.62 02a57736o0433o 0x100002  -1.273810
