         MJD         m       dm   uJy  duJy F  err  chi/N       RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57721.430890 19.569016      NaN  -119    18 c    0   0.91 65.84308 25.41133  2624.89  2831.59 4.97 4.47  -5.1 -0.341    19.41 21.54 02a57721o0445c 0x000000  -6.611111
57721.442730 19.841877      NaN  -100    14 c    0   1.16 65.84308 25.41133  2604.46  2792.58 4.04 3.97  40.9 -0.372    19.62 21.57 02a57721o0465c 0x000000  -7.142857
57721.445833 19.766969      NaN  -136    15 c    0   1.09 65.84308 25.41133  2675.11  2870.64 4.27 4.09  82.7 -0.369    19.56 21.57 02a57721o0471c 0x000000  -9.066667
57721.469382 19.696897      NaN  -105    16 c    0   1.03 65.84308 25.41133  2694.28  2754.80 4.39 4.23 -10.9 -0.353    19.54 21.61 02a57721o0512c 0x000000  -6.562500
57721.484232 19.510313      NaN  -108    19 c    0   0.91 65.84308 25.41133  2661.43  2813.33 5.55 4.34  -0.1 -0.343    19.40 21.64 02a57721o0538c 0x000000  -5.684211
57745.384240 19.696897      NaN   -79    16 c    0   0.99 65.84308 25.41133  4747.60   836.09 3.98 3.82 -29.1 -0.412    19.61 21.54 02a57745o0377c 0x000000  -4.937500
57745.396332 19.841877      NaN  -122    14 c    0   1.11 65.84308 25.41133  4729.28   796.84 4.03 3.85 -22.5 -0.400    19.60 21.53 02a57745o0397c 0x000000  -8.714286
57745.399581 19.841877      NaN  -121    14 c    0   1.18 65.84308 25.41133  4782.20   875.89 3.86 3.73 -66.3 -0.415    19.65 21.52 02a57745o0403c 0x000000  -8.642857
57745.416409 19.631075      NaN  -120    17 c    0   0.96 65.84308 25.41133  4803.27   759.86 5.25 4.06  -3.8 -0.357    19.42 21.55 02a57745o0432c 0x000000  -7.058824
57745.425068 19.569016      NaN  -145    18 c    0   0.89 65.84308 25.41133  4768.38   817.07 5.29 4.26  -4.5 -0.351    19.39 21.58 02a57745o0447c 0x000000  -8.055556
57753.367268 19.569016      NaN  -148    18 c    0   1.20 65.84308 25.41133  2351.72  1578.08 3.96 3.82 -63.5 -0.408    19.37 21.27 02a57753o0222c 0x000000  -8.222222
57753.379691 18.675237      NaN  -104    41 c    0   1.47 65.84308 25.41133  2315.80  1537.69 3.97 3.86 -62.8 -0.406    18.53 20.34 02a57753o0243c 0x100002  -2.536585
57753.382808 19.169763      NaN  -175    26 c    0   1.09 65.84308 25.41133  2386.53  1616.10 3.90 3.77 -73.9 -0.412    18.94 20.79 02a57753o0249c 0x100002  -6.730769
57753.400164 19.766969      NaN  -117    15 c    0   1.30 65.84308 25.41133  2406.37  1500.72 3.92 3.84 -45.3 -0.403    19.60 21.53 02a57753o0278c 0x000000  -7.800000
57753.408387 19.631075      NaN  -130    17 c    0   1.15 65.84308 25.41133  2372.03  1557.50 4.03 3.89 -18.4 -0.398    19.55 21.50 02a57753o0293c 0x000000  -7.647059
57757.354409 19.766969      NaN  -127    15 c    0   1.08 65.84308 25.41133  4764.56  1616.72 3.79 3.69 -80.6 -0.405    19.51 21.25 02a57757o0301c 0x000000  -8.466667
57757.365544 19.569016      NaN  -129    18 c    0   0.80 65.84308 25.41133  4748.03  1577.32 3.79 3.67 -84.3 -0.409    19.54 21.30 02a57757o0321c 0x000000  -7.166667
57757.386149 19.766969      NaN  -143    15 c    0   0.92 65.84308 25.41133  4800.49  1654.88 3.82 3.75 -72.9 -0.396    19.65 21.55 02a57757o0355c 0x000000  -9.533333
57757.391550 19.696897      NaN  -147    16 c    0   0.74 65.84308 25.41133  4819.23  1538.22 3.76 3.70 -73.6 -0.405    19.70 21.60 02a57757o0365c 0x000000  -9.187500
57757.406166 19.841877      NaN  -118    14 c    0   1.13 65.84308 25.41133  4787.44  1598.27 3.77 3.72 -60.0 -0.404    19.70 21.62 02a57757o0391c 0x000000  -8.428571
57777.325873 19.766969      NaN  -136    15 c    0   1.12 65.84308 25.41133  1947.52   123.88 4.22 4.02 -24.8 -0.380    19.53 21.51 02a57777o0254c 0x000000  -9.066667
57777.326352 19.569016      NaN  -123    18 c    0   0.98 65.84308 25.41133  6459.66  9849.13 4.03 3.93  75.5 -0.415    19.45 21.45 02a57777o0255c 0x000000  -6.833333
57777.336261 19.569016      NaN  -122    18 c    0   1.02 65.84308 25.41133  1913.22    83.13 4.21 3.99 -20.8 -0.387    19.53 21.53 02a57777o0274c 0x000000  -6.777778
57777.351303 19.631075      NaN  -104    17 c    0   0.89 65.84308 25.41133  6445.53  9811.68 3.98 3.87  84.8 -0.417    19.45 21.42 02a57777o0303c 0x000000  -6.117647
57777.352804 19.766969      NaN  -131    15 c    0   1.08 65.84308 25.41133  1987.72   162.44 4.18 3.96 -19.5 -0.392    19.52 21.49 02a57777o0306c 0x000000  -8.733333
57777.360920 19.696897      NaN  -126    16 c    0   0.99 65.84308 25.41133  6517.88  9887.35 3.91 3.83  76.7 -0.423    19.45 21.40 02a57777o0322c 0x000000  -7.875000
57777.372625 19.631075      NaN  -102    17 c    0   0.79 65.84308 25.41133  6535.86  9773.22 3.81 3.71  79.2 -0.426    19.46 21.39 02a57777o0344c 0x000000  -6.000000
57777.374785 16.639564      NaN   337   155 c    0   0.52 65.84308 25.41133  2008.33    42.57 4.10 3.90 -19.5 -0.385    19.52 21.46 02a57777o0348c 0x100002   2.174194
57777.380954 19.841877      NaN  -118    14 c    0   1.28 65.84308 25.41133  1974.16   100.47 4.11 3.91 -20.2 -0.389    19.51 21.44 02a57777o0360c 0x000000  -8.428571
57777.383539 19.766969      NaN  -135    15 c    0   1.02 65.84308 25.41133  6484.56  9827.85 3.81 3.73  81.0 -0.425    19.44 21.36 02a57777o0364c 0x000000  -9.000000
57781.324991 19.569016      NaN  -111    18 c    0   0.86 65.84308 25.41133  6815.03 10128.85 3.63 3.56 -35.1 -0.432    19.64 21.54 02a57781o0187c 0x000000  -6.166667
57781.335149 19.696897      NaN  -104    16 c    0   1.01 65.84308 25.41133  2289.59   357.51 3.98 3.87 -78.3 -0.397    19.64 21.54 02a57781o0207c 0x000000  -6.500000
57781.340116 19.696897      NaN  -132    16 c    0   0.98 65.84308 25.41133  6798.68 10088.87 3.59 3.55 -56.6 -0.437    19.64 21.52 02a57781o0217c 0x000000  -8.250000
