         MJD         m       dm   uJy  duJy F  err  chi/N       RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask    __tmp_SN
57701.482404 19.510313      NaN  -279    19 o    0   0.97 65.84308 25.41133  3242.47  2675.56 3.57 3.50 -86.7 -0.438    19.33 20.84 02a57701o0493o 0x000000  -14.684211
57701.493496 19.302877      NaN  -254    23 o    0   0.68 65.84308 25.41133  3222.70  2636.32 3.60 3.51 -68.0 -0.439    19.36 20.94 02a57701o0512o 0x000000  -11.043478
57701.497111 19.569016      NaN  -183    18 o    0   1.16 65.84308 25.41133  3275.93  2715.03 3.56 3.54 -70.9 -0.433    19.37 20.97 02a57701o0519o 0x000000  -10.166667
57701.520565 19.569016      NaN  -226    18 o    0   1.19 65.84308 25.41133  3311.50  2600.10 3.50 3.46 -76.0 -0.446    19.39 20.96 02a57701o0560o 0x000000  -12.555556
57701.534172 19.510313      NaN  -278    19 o    0   1.15 65.84308 25.41133  3258.65  2657.57 3.57 3.52 -60.5 -0.439    19.39 20.99 02a57701o0585o 0x000000  -14.631579
57705.416077 17.922662      NaN  -209    82 o    0   0.91 65.84308 25.41133 10507.04  1163.04 3.65 3.01  80.2 -0.496    18.39 18.98 02a57705o0437o 0x100002   -2.548780
57705.421080 13.647954      NaN  4387  2742 o    0   0.24 65.84308 25.41133 10528.06  1202.72 3.68 2.84  84.3 -0.519    18.36 18.94 02a57705o0446o 0x100002    1.599927
57705.422614 18.702047      NaN  -192    40 o    0   1.73 65.84308 25.41133  1019.24  1132.80 3.88 3.62 -36.5 -0.461    18.37 18.96 02a57705o0449o 0x000000   -4.800000
57705.434840 17.696393      NaN  -432   101 o    0   0.50 65.84308 25.41133 10470.16  1128.91 3.76 3.03  79.2 -0.479    18.31 18.91 02a57705o0470o 0x100002   -4.277228
57705.442030 18.623526      NaN  -183    43 o    0   1.24 65.84308 25.41133  1032.77  1174.03 3.89 3.62 -35.3 -0.460    18.42 19.07 02a57705o0482o 0x100002   -4.255814
57705.448883 16.965534      NaN  -132   198 o    0   0.38 65.84308 25.41133    58.77  9201.09 3.53 3.28  50.2 -0.516    18.30 18.87 02a57705o0494o 0x100002   -0.666667
57705.449832 18.550302      NaN  -324    46 o    0   1.32 65.84308 25.41133   977.53  1096.49 4.03 3.68 -25.0 -0.446    18.36 18.99 02a57705o0495o 0x100002   -7.043478
57705.461679 18.459772      NaN  -205    50 o    0   1.12 65.84308 25.41133   945.35  1210.83 3.91 3.71 -42.3 -0.459    18.35 19.00 02a57705o0514o 0x100002   -4.100000
