         MJD         m       dm   uJy  duJy F  err  chi/N        RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57895.603955 20.009244      NaN  -282    12 c    0   4.24 288.34226 -16.80115  6513.79  8133.98 2.79 2.59  16.6 -0.467    19.49 21.19 02a57895o0702c 0x000000 -23.500000
57895.620797 18.261819      NaN  -214    60 c    0   2.09 288.34226 -16.80115  6499.35  8092.91 2.77 2.66   9.8 -0.491    18.27 19.10 02a57895o0734c 0x100002  -3.566667
57899.595076 19.841877      NaN  -129    14 c    0   2.86 288.34226 -16.80115  6364.11  6929.35 2.64 2.48  29.7 -0.480    19.60 21.40 02a57899o0695c 0x000000  -9.214286
57899.611384 19.766969      NaN  -291    15 c    0   3.29 288.34226 -16.80115  6347.69  6892.07 2.61 2.52  26.1 -0.485    19.35 20.75 02a57899o0726c 0x000000 -19.400000
57903.583068 20.207197      NaN  -188    10 c    0   5.53 288.34226 -16.80115  8078.12  5831.25 2.64 2.59   5.2 -0.441    19.68 21.38 02a57903o0679c 0x000000 -18.800000
57903.599483 20.009244      NaN  -148    12 c    0   3.69 288.34226 -16.80115  8061.34  5794.73 2.64 2.62 -24.7 -0.444    19.65 21.34 02a57903o0711c 0x000000 -12.333333
57903.616308 19.454622      NaN  -131    20 c    0   3.14 288.34226 -16.80115  8136.35  5871.77 2.66 2.60 -46.1 -0.445    18.95 19.91 02a57903o0744c 0x000000  -6.550000
57981.371545 20.207197      NaN  -125    10 c    0   5.49 288.34226 -16.80115  6455.41  5596.23 2.75 2.62 -58.3 -0.382    19.62 21.49 02a57981o0267c 0x000000 -12.500000
57981.379839 20.321591      NaN  -180     9 c    0   4.11 288.34226 -16.80115  6437.35  5559.23 2.83 2.68 -60.7 -0.383    19.62 21.47 02a57981o0284c 0x000000 -20.000000
57981.388189 20.207197      NaN  -230    10 c    0   6.06 288.34226 -16.80115  6494.14  5635.77 2.84 2.68 -57.1 -0.385    19.58 21.45 02a57981o0301c 0x000000 -23.000000
57981.396459 20.594452      NaN  -252     7 c    0   6.06 288.34226 -16.80115  6514.20  5518.87 2.80 2.62 -57.6 -0.381    19.59 21.43 02a57981o0318c 0x000000 -36.000000
57985.370047 19.696897      NaN  -158    16 c    0   4.54 288.34226 -16.80115  6861.59  8153.72 2.52 2.46  48.7 -0.455    19.13 20.77 02a57985o0283c 0x000000  -9.875000
57985.378372 18.944322      NaN  -126    32 c    0   1.42 288.34226 -16.80115  6844.29  8115.97 2.69 2.59  40.9 -0.442    18.35 20.01 02a57985o0300c 0x000000  -3.937500
57985.386710 19.922338      NaN  -254    13 c    0   4.90 288.34226 -16.80115  6900.80  8193.06 2.49 2.46  33.6 -0.467    19.66 21.41 02a57985o0317c 0x000000 -19.538462
57985.394994 19.922338      NaN  -241    13 c    0   3.72 288.34226 -16.80115  6937.81  8076.12 2.64 2.63  20.0 -0.464    19.56 21.40 02a57985o0334c 0x000000 -18.538462
57989.362968 20.009244      NaN  -214    12 c    0   3.07 288.34226 -16.80115  6416.51  6855.13 2.56 2.51 -82.3 -0.422    19.61 21.46 02a57989o0263c 0x000000 -17.833333
57989.371421 20.009244      NaN  -137    12 c    0   4.21 288.34226 -16.80115  6399.58  6817.34 2.59 2.51 -60.5 -0.421    19.61 21.43 02a57989o0280c 0x000000 -11.416667
57989.379895 20.207197      NaN  -110    10 c    0   7.07 288.34226 -16.80115  6457.34  6893.66 2.52 2.46 -57.1 -0.430    19.64 21.39 02a57989o0297c 0x000000 -11.000000
57989.388344 20.103715      NaN  -174    11 c    0   5.56 288.34226 -16.80115  6477.36  6776.85 2.54 2.47 -61.0 -0.427    19.58 21.34 02a57989o0314c 0x000000 -15.818182
58013.306694 19.169763      NaN  -262    26 c    0   3.79 288.34226 -16.80115  3948.89 10497.02 3.35 3.23  51.8 -0.408    19.35 21.32 02a58013o0200c 0x000000 -10.076923
58013.310386 18.356290 0.072382   165    11 c    0   5.77 288.34226 -16.80115  7752.75   831.38 2.96 2.77 -80.0 -0.413    19.55 21.39 02a58013o0208c 0x000000  15.000000
58013.314567 19.569016      NaN   -10    18 c    0  11.63 288.34226 -16.80115  3933.01 10456.43 2.68 2.60  41.0 -0.434    19.55 21.30 02a58013o0217c 0x100001  -0.555556
58013.318277 17.630360 0.040462   322    12 c    0   5.69 288.34226 -16.80115  7736.28   791.20 2.70 2.51 -87.2 -0.428    19.62 21.38 02a58013o0225c 0x000000  26.833333
58013.325644 17.546052 0.040559   348    13 c    0   5.96 288.34226 -16.80115  7793.24   869.05 2.80 2.60 -89.8 -0.419    19.55 21.34 02a58013o0241c 0x000000  26.769231
58013.330281 17.425126 0.041866   389    15 c    0   8.27 288.34226 -16.80115  4028.66 10415.56 2.63 2.58  11.0 -0.437    19.50 21.24 02a58013o0251c 0x000000  25.933333
58013.333963 18.191747 0.067859   192    12 c    0   6.37 288.34226 -16.80115  7814.85   750.59 2.78 2.62 -80.9 -0.423    19.54 21.31 02a58013o0259c 0x000000  16.000000
58017.302665 16.908564 0.026016   626    15 c    0   5.01 288.34226 -16.80115  8134.56  2036.40 3.07 2.68  50.5 -0.447    19.48 21.28 02a58017o0053c 0x000000  41.733333
58017.310047 16.866048 0.026685   651    16 c    0   4.89 288.34226 -16.80115  8117.81  1997.30 3.07 2.71  47.6 -0.448    19.49 21.28 02a58017o0069c 0x000000  40.687500
58017.318831 16.779527 0.026181   705    17 c    0   4.72 288.34226 -16.80115  8174.67  2074.36 3.03 2.71  47.7 -0.450    19.47 21.26 02a58017o0087c 0x000000  41.470588
58017.326647 17.109992 0.033407   520    16 c    0   3.03 288.34226 -16.80115  8195.85  1956.55 3.20 2.85  50.1 -0.434    19.44 21.28 02a58017o0104c 0x000000  32.500000
58018.332786 16.859397 0.024864   655    15 c    0   5.45 288.34226 -16.80115  8776.43  1619.59 3.20 3.03  78.2 -0.418    19.36 21.15 02a58018o0018c 0x000000  43.666667
58018.342707 16.882855 0.027101   641    16 c    0   3.81 288.34226 -16.80115  8794.42  1500.88 3.11 2.74 -57.4 -0.404    19.38 21.13 02a58018o0034c 0x000000  40.062500
58021.275874 16.774917 0.026070   708    17 c    0  11.01 288.34226 -16.80115   109.89  2074.73 2.50 2.21  42.9 -0.540    19.46 21.03 02a58021o0135c 0x100001  41.647059
58021.283687 16.485820 0.021151   924    18 c    0  35.62 288.34226 -16.80115    92.78  2034.74 2.53 2.23  39.9 -0.522    19.41 21.02 02a58021o0152c 0x100001  51.333333
58021.285084 16.669763 0.022272   780    16 c    0   5.35 288.34226 -16.80115  9726.21  2091.41 2.61 2.47  77.4 -0.484    19.58 21.09 02a58021o0155c 0x000000  48.750000
58021.291588 16.791918 0.026481   697    17 c    0  11.76 288.34226 -16.80115   151.68  2113.09 2.44 2.17  47.5 -0.538    19.42 21.03 02a58021o0169c 0x100001  41.000000
58021.292956 16.721068 0.020431   744    14 c    0   9.85 288.34226 -16.80115  9709.69  2053.66 2.60 2.52  70.4 -0.480    19.58 21.10 02a58021o0172c 0x000000  53.142857
58021.298925 16.591890 0.020730   838    16 c    0  12.79 288.34226 -16.80115   171.21  1995.17 2.47 2.18  44.1 -0.543    19.38 21.05 02a58021o0185c 0x100001  52.375000
58021.300321 16.826741 0.022519   675    14 c    0   9.10 288.34226 -16.80115  9766.69  2130.12 2.56 2.51  71.6 -0.478    19.57 21.13 02a58021o0188c 0x000000  48.214286
58021.308135 16.685184 0.022590   769    16 c    0   7.23 288.34226 -16.80115  9787.61  2012.69 2.58 2.53  63.5 -0.485    19.57 21.16 02a58021o0205c 0x000000  48.062500
58021.320579 16.672551 0.019538   778    14 c    0  10.09 288.34226 -16.80115  1267.37  3162.29 2.43 2.24  55.5 -0.492    19.44 21.13 02a58021o0227c 0x100001  55.571429
58073.201609 19.454622      NaN  -183    20 c    0   1.78 288.34226 -16.80115  8310.98  3629.80 2.92 2.83  84.4 -0.428    19.09 20.47 02a58073o0020c 0x000000  -9.150000
58073.209709 19.351140      NaN  -181    22 c    0   1.53 288.34226 -16.80115  8291.51  3589.14 3.27 3.07  77.6 -0.425    18.92 20.52 02a58073o0035c 0x000000  -8.227273
58081.194725 17.870951      NaN  -120    86 c    0   1.33 288.34226 -16.80115  7988.86  1436.01 4.58 3.90  44.8 -0.395    17.41 18.64 02a58081o0029c 0x100002  -1.395349
58253.562064 19.510313      NaN  -345    19 c    0   2.80 288.34226 -16.80115  1130.19  8694.06 2.77 2.39  32.7 -0.487    19.25 20.87 02a58253o0322c 0x000000 -18.157895
58254.619230 19.401649      NaN  -138    21 c    0   2.42 288.34226 -16.80115   807.17  2404.10 2.61 2.40  43.2 -0.485    18.71 19.92 02a58254o0585c 0x000000  -6.571429
58286.564520 20.207197      NaN  -168    10 c    0   6.66 288.34226 -16.80115  9411.05  1312.47 2.66 2.51 -70.2 -0.447    19.59 21.40 02a58286o0687c 0x000000 -16.800000
58286.575844 20.009244      NaN  -265    12 c    0   3.72 288.34226 -16.80115  9393.73  1273.87 2.70 2.57 -74.7 -0.444    19.57 21.37 02a58286o0710c 0x000000 -22.083333
58286.587261 20.103715      NaN  -153    11 c    0   4.37 288.34226 -16.80115  9451.59  1351.22 2.75 2.60 -72.0 -0.446    19.58 21.38 02a58286o0733c 0x000000 -13.909091
58286.598273 20.009244      NaN  -192    12 c    0   4.39 288.34226 -16.80115  9474.57  1233.58 2.76 2.64  65.4 -0.458    19.57 21.34 02a58286o0756c 0x000000 -16.000000
58309.444975 20.009244      NaN  -187    12 c    0   5.20 288.34226 -16.80115  5613.53  9727.29 2.67 2.48  21.1 -0.459    19.58 21.37 02a58309o0438c 0x000000 -15.583333
58309.454119 19.766969      NaN  -234    15 c    0   3.33 288.34226 -16.80115  5595.35  9689.09 2.66 2.48  21.8 -0.458    19.52 21.29 02a58309o0458c 0x000000 -15.600000
58309.456405 19.631075      NaN  -181    17 c    0   2.98 288.34226 -16.80115  5651.56  9767.24 2.70 2.57  29.0 -0.427    19.52 21.27 02a58309o0463c 0x000000 -10.647059
58309.459148 20.009244      NaN  -215    12 c    0   4.62 288.34226 -16.80115  5688.02  9650.56 2.77 2.73  25.6 -0.398    19.48 21.28 02a58309o0469c 0x000000 -17.916667
58310.518576 20.103715      NaN  -200    11 c    0   3.91 288.34226 -16.80115  9132.04  1614.77 2.74 2.59 -72.8 -0.445    19.47 21.15 02a58310o0585c 0x000000 -18.181818
58310.529292 19.922338      NaN  -180    13 c    0   3.70 288.34226 -16.80115  9114.64  1576.76 2.74 2.57 -66.4 -0.443    19.45 21.13 02a58310o0608c 0x000000 -13.846154
58310.540023 19.351140      NaN  -177    22 c    0   1.61 288.34226 -16.80115  9171.60  1654.74 2.84 2.71 -69.5 -0.426    18.84 20.49 02a58310o0631c 0x000000  -8.045455
58310.550761 19.510313      NaN  -208    19 c    0   2.02 288.34226 -16.80115  9192.55  1537.49 2.75 2.69  83.9 -0.463    19.29 20.95 02a58310o0654c 0x000000 -10.947368
58313.442532 19.841877      NaN  -244    14 c    0   3.16 288.34226 -16.80115  6450.80  9877.63 2.81 2.69  49.0 -0.405    19.29 21.03 02a58313o0079c 0x000000 -17.428571
58313.444818 20.009244      NaN  -318    12 c    0   3.60 288.34226 -16.80115  6431.19  9998.15 3.21 3.02  59.4 -0.373    19.26 21.04 02a58313o0084c 0x000000 -26.500000
58333.440635 19.351140      NaN  -229    22 c    0   2.13 288.34226 -16.80115  1111.59   144.36 2.95 2.46  43.4 -0.527    19.04 20.46 02a58333o0434c 0x000000 -10.409091
58333.448539 19.351140      NaN  -161    22 c    0   4.29 288.34226 -16.80115  1093.67   104.58 3.08 2.56  45.4 -0.494    19.08 20.50 02a58333o0451c 0x000000  -7.318182
58333.450905 19.631075      NaN  -256    17 c    0   2.92 288.34226 -16.80115  7023.12  9860.81 2.97 2.79  73.4 -0.399    19.09 20.46 02a58333o0456c 0x000000 -15.058824
58333.457008 17.131075      NaN  -896   170 c    0   1.01 288.34226 -16.80115  1150.95   185.93 2.82 2.48  51.2 -0.478    16.80 18.03 02a58333o0469c 0x100002  -5.270588
58333.458932 16.495261 0.324773   916   274 c    0   1.42 288.34226 -16.80115  6987.22  9821.77 2.70 2.60  26.5 -0.567    18.31 19.92 02a58333o0473c 0x100002   3.343066
