         MJD         m       dm    uJy  duJy F  err  chi/N        RA       Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs     Mask    __tmp_SN
57855.629138 18.757738      NaN   -227    38 o    0   2.36 288.34226 -16.80115  3254.91  2818.86  3.49 3.40 -78.2 -0.463    17.86 18.35 02a57855o0825o 0x000000   -5.973684
57882.604614 19.014394      NaN    -64    30 o    0   2.96 288.34226 -16.80115  1662.71  5876.10  2.83 2.75 -55.4 -0.496    18.76 19.65 01a57882o0610o 0x000000   -2.133333
57882.618548 18.816441      NaN    -17    36 o    0   1.45 288.34226 -16.80115  1681.69  5914.18  2.89 2.81 -58.6 -0.490    18.62 19.44 01a57882o0637o 0x000000   -0.472222
57883.557053 18.261819      NaN    -69    60 o    0   1.70 288.34226 -16.80115  1854.17  3986.31  2.27 2.15  20.8 -0.493    17.59 17.83 02a57883o0620o 0x100002   -1.150000
57883.575588 18.261819      NaN   -128    60 o    0   1.69 288.34226 -16.80115  1870.12  4026.26  2.15 2.02  19.1 -0.481    17.57 17.72 02a57883o0655o 0x100002   -2.133333
57883.594743 16.788807      NaN    195   168 o    0   0.79 288.34226 -16.80115  1811.44  3950.66  2.13 2.02  18.1 -0.465    16.87 16.74 02a57883o0691o 0x100002    1.160714
57883.615231 17.845990      NaN    -89    88 o    0   1.72 288.34226 -16.80115  1783.17  4066.74  1.98 1.91  22.9 -0.496    17.27 17.44 02a57883o0727o 0x100002   -1.011364
57886.613531 18.847027      NaN   -114    35 o    0   1.55 288.34226 -16.80115  2518.68  2691.08  3.96 3.14 -28.6 -0.457    18.25 18.94 01a57886o0805o 0x000000   -3.257143
57886.624010 18.317510      NaN   -182    57 o    0   1.58 288.34226 -16.80115  2544.22  2771.21  4.06 3.10 -21.5 -0.464    17.73 18.11 01a57886o0826o 0x000000   -3.192982
57891.612274 19.454622      NaN   -201    20 o    0   4.03 288.34226 -16.80115  5774.04  6343.86  2.54 2.46 -14.3 -0.412    18.95 19.71 02a57891o0430o 0x000000  -10.050000
57907.573565 19.302877      NaN     15    18 o    0   3.29 288.34226 -16.80115  5822.53  6668.19  2.53 2.49 -77.6 -0.484    18.95 20.23 02a57907o0552o 0x000000    0.833333
57907.590441 19.401649      NaN    -19    21 o    0   4.15 288.34226 -16.80115  5807.51  6630.23  2.24 2.16 -71.0 -0.501    18.85 19.99 02a57907o0585o 0x000000   -0.904762
57907.606753 19.766969      NaN    -37    15 o    0   6.40 288.34226 -16.80115  5865.75  6706.60  2.27 2.18 -61.1 -0.508    19.12 20.21 02a57907o0617o 0x000000   -2.466667
57909.608995 19.089302      NaN     24    20 o    0   1.88 288.34226 -16.80115  1959.85  2683.41  3.71 3.09   0.5 -0.447    18.92 20.25 01a57909o0743o 0x000000    1.200000
57910.569142 18.675237      NaN    -66    41 o    0   1.46 288.34226 -16.80115  3856.65  2490.50  3.18 2.84  53.0 -0.473    18.12 18.91 01a57910o0662o 0x000000   -1.609756
57910.584153 16.123526      NaN  -4359   430 o    0   3.08 288.34226 -16.80115  3882.47  2589.20  3.11 2.84  56.4 -0.454    15.82 16.84 01a57910o0692o 0x100002  -10.137209
57910.599056 19.766969      NaN    -18    15 o    0   3.41 288.34226 -16.80115  3831.78  2571.83  3.06 2.82  55.6 -0.486    19.30 20.90 01a57910o0722o 0x000000   -1.200000
57910.614017 19.401649      NaN   -137    21 o    0   2.39 288.34226 -16.80115  3819.28  2745.89  3.06 2.89  75.4 -0.482    18.98 20.10 01a57910o0752o 0x000000   -6.523810
57911.425799 18.878500      NaN    -84    34 o    0   3.06 288.34226 -16.80115  1728.20  3889.40  2.10 1.98  11.3 -0.498    18.24 18.57 02a57911o0350o 0x000000   -2.470588
57911.441951 18.623526      NaN     42    29 o    0   5.04 288.34226 -16.80115  1746.04  3927.48  2.16 2.09   9.7 -0.498    18.56 19.08 02a57911o0381o 0x000000    1.448276
57911.459196 19.256669      NaN   -208    24 o    0   4.89 288.34226 -16.80115  1691.08  3851.89  2.12 2.04   9.2 -0.489    18.68 19.16 02a57911o0414o 0x000000   -8.666667
57911.468137 18.606822 0.223778    131    27 o    0   2.47 288.34226 -16.80115  1670.78  3967.64  2.16 2.10  -2.6 -0.486    18.68 19.24 02a57911o0431o 0x000000    4.851852
57911.474979 19.302877      NaN    -69    23 o    0   2.88 288.34226 -16.80115  1708.36  3909.78  2.15 2.11  13.5 -0.486    18.68 19.28 02a57911o0444o 0x000000   -3.000000
57917.619674 17.473643      NaN    -69   124 o    0   1.72 288.34226 -16.80115  2152.62  5692.02  2.98 2.77 -48.2 -0.513    17.66 17.66 01a57917o0647o 0x100002   -0.556452
57918.610181 18.631975      NaN     32    32 o    0   1.59 288.34226 -16.80115  1417.47  3140.19  3.12 2.85 -50.8 -0.479    18.43 19.16 01a57918o0744o 0x000000    1.000000
57922.493444 18.816441      NaN    -10    36 o    0   1.94 288.34226 -16.80115  3101.85  4243.41  3.08 2.74  55.6 -0.468    18.14 19.35 01a57922o0514o 0x000000   -0.277778
57922.503263 19.510313      NaN   -182    19 o    0   2.03 288.34226 -16.80115  3126.74  4320.14  5.03 3.15   2.3 -0.423    18.90 20.62 01a57922o0534o 0x000000   -9.578947
57922.521932 19.766969      NaN    -46    15 o    0   2.50 288.34226 -16.80115  3081.22  4319.18  3.06 2.75  60.5 -0.475    19.23 20.62 01a57922o0571o 0x000000   -3.066667
