         MJD         m       dm  uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57699.224403 19.128787      NaN -116    27 c    0   1.17 355.44496 -1.35092  3227.08  1380.02 3.95 3.73 -84.0 -0.396    18.86 20.16 02a57699o0090c 0x000000  -4.296296
57699.239423 18.878500      NaN -143    34 c    0   1.11 355.44496 -1.35092  3246.23  1420.46 3.92 3.74 -82.5 -0.399    18.60 19.80 02a57699o0119c 0x100002  -4.205882
57699.255331 18.110074      NaN  -62    69 c    0   0.95 355.44496 -1.35092  3184.72  1343.33 3.89 3.71 -82.4 -0.410    17.84 18.83 02a57699o0150c 0x100002  -0.898551
57699.269791 18.336727      NaN  -75    56 c    0   0.99 355.44496 -1.35092  3162.73  1461.90 3.87 3.70 -79.0 -0.402    18.13 19.16 02a57699o0178c 0x100002  -1.339286
57699.284234 18.356290      NaN  -92    55 c    0   1.03 355.44496 -1.35092  3200.48  1404.65 3.87 3.69 -85.8 -0.410    18.03 19.12 02a57699o0206c 0x100002  -1.672727
57716.313697 19.169763      NaN -177    26 c    0   1.42 355.44496 -1.35092  5077.56  7497.13 4.20 4.08  78.3 -0.365    18.88 20.76 02a57716o0260c 0x000000  -6.807692
57716.328879 18.729535      NaN -180    39 c    0   1.32 355.44496 -1.35092  5061.27  7457.31 4.53 4.23   4.3 -0.354    18.40 20.28 02a57716o0289c 0x100002  -4.615385
57716.343599 17.990970      NaN -163    77 c    0   1.19 355.44496 -1.35092  5121.95  7534.83 4.52 4.39  15.4 -0.361    17.79 19.63 02a57716o0317c 0x100002  -2.116883
57716.358235 19.569016      NaN -158    18 c    0   2.13 355.44496 -1.35092  5143.14  7417.22 4.47 4.41  36.8 -0.352    19.16 21.13 02a57716o0345c 0x000000  -8.777778
57716.372973 19.510313      NaN -216    19 c    0   1.35 355.44496 -1.35092  5104.21  7474.82 4.20 4.13  21.1 -0.372    19.31 21.22 02a57716o0373c 0x000000 -11.368421
57744.255174 19.631075      NaN -171    17 c    0   1.30 355.44496 -1.35092  6884.56  6252.87 3.91 3.70  89.7 -0.385    19.37 21.09 02a57744o0137c 0x000000 -10.058824
57744.266529 19.631075      NaN -140    17 c    0   1.38 355.44496 -1.35092  6866.60  6212.76 3.96 3.75 -89.1 -0.382    19.35 21.06 02a57744o0159c 0x000000  -8.235294
57744.278932 19.454622      NaN -101    20 c    0   1.47 355.44496 -1.35092  6926.73  6288.53 3.86 3.69  89.1 -0.390    19.35 21.04 02a57744o0183c 0x000000  -5.050000
57744.291952 19.454622      NaN  -67    20 c    0   1.02 355.44496 -1.35092  6949.13  6172.50 3.94 3.80  87.3 -0.383    19.31 21.05 02a57744o0208c 0x000000  -3.350000
57744.304386 19.696897      NaN -101    16 c    0   2.24 355.44496 -1.35092  6910.56  6229.41 3.95 3.79  85.1 -0.382    19.30 21.02 02a57744o0232c 0x000000  -6.312500
