         MJD         m       dm   uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57700.372928 19.051202      NaN   -94    29 o    0   2.00 355.44496 -1.35092  6826.07  6168.85 3.46 3.30 -56.1 -0.474    18.70 19.72 02a57700o0130o 0x000000  -3.241379
57700.388655 18.944322      NaN  -158    32 o    0   1.80 355.44496 -1.35092  6845.79  6051.46 3.62 3.45 -74.7 -0.449    18.56 19.54 02a57700o0160o 0x000000  -4.937500
57700.403252 18.786693      NaN  -127    37 o    0   1.47 355.44496 -1.35092  6806.86  6109.65 3.67 3.48 -83.0 -0.440    18.49 19.45 02a57700o0188o 0x000000  -3.432432
57704.357455 18.261819      NaN  -148    60 o    0   1.33 355.44496 -1.35092  6004.66  6687.77 3.75 3.59  81.6 -0.438    18.17 18.77 02a57704o0129o 0x100002  -2.466667
57704.375065 18.191747      NaN   -83    64 o    0   1.30 355.44496 -1.35092  6072.88  6763.86 3.74 3.58  83.6 -0.441    18.14 18.71 02a57704o0162o 0x100002  -1.296875
57704.385346 18.261819      NaN   -43    60 o    0   1.47 355.44496 -1.35092  6087.96  6646.13 3.68 3.51  83.7 -0.443    18.13 18.67 02a57704o0182o 0x100002  -0.716667
57704.397308 18.243872      NaN  -186    61 o    0   1.61 355.44496 -1.35092  6049.86  6705.36 3.74 3.55  88.5 -0.433    18.09 18.62 02a57704o0205o 0x100002  -3.049180
57706.190816 18.191747      NaN  -150    64 o    0   1.48 355.44496 -1.35092 10303.31   890.74 3.88 3.25  86.6 -0.448    17.98 18.35 02a57706o0025o 0x100002  -2.343750
57706.191326 18.079051      NaN  -249    71 o    0   1.00 355.44496 -1.35092 10303.15   890.68 3.79 3.10  88.7 -0.464    18.04 18.43 02a57706o0026o 0x100002  -3.507042
57706.191835 18.174913      NaN   -84    65 o    0   1.35 355.44496 -1.35092 10302.89   890.67 3.78 3.02 -89.7 -0.425    18.09 18.49 02a57706o0027o 0x100002  -1.292308
57706.192350 18.034118      NaN  -176    74 o    0   0.93 355.44496 -1.35092 10302.88   890.60 3.88 3.27  88.2 -0.454    18.09 18.56 02a57706o0028o 0x100002  -2.378378
57706.192868 18.142010      NaN   -14    67 o    0   0.98 355.44496 -1.35092 10303.08   890.53 3.80 3.09  89.6 -0.457    18.15 18.61 02a57706o0029o 0x100002  -0.208955
57706.193386 18.261819      NaN    -5    60 o    0   1.19 355.44496 -1.35092 10303.02   890.68 3.84 3.25  85.4 -0.447    18.14 18.66 02a57706o0030o 0x100002  -0.083333
57706.193902 17.981610      NaN    50    61 o    0   1.07 355.44496 -1.35092 10303.16   890.76 3.78 3.04  89.7 -0.445    18.19 18.70 02a57706o0031o 0x100002   0.819672
57706.194416 18.298627      NaN  -183    58 o    0   1.26 355.44496 -1.35092 10303.09   890.85 3.76 3.05 -89.8 -0.426    18.22 18.74 02a57706o0032o 0x100002  -3.155172
57706.194927 18.191747      NaN   -80    64 o    0   0.90 355.44496 -1.35092 10303.06   890.85 3.85 3.25  87.5 -0.444    18.21 18.78 02a57706o0033o 0x100002  -1.250000
57706.195439 18.273950      NaN     1    59 o    0   1.26 355.44496 -1.35092 10303.15   890.85 3.86 3.31  85.9 -0.457    18.22 18.80 02a57706o0034o 0x100002   0.016949
57707.190948 18.438271      NaN  -124    51 o    0   1.50 355.44496 -1.35092  8358.23   896.41 3.69 3.46  88.1 -0.464    18.17 18.72 02a57707o0005o 0x100002  -2.431373
57707.191455 18.298627      NaN  -171    58 o    0   1.08 355.44496 -1.35092  8357.89   896.22 3.78 3.63  82.6 -0.470    18.20 18.83 02a57707o0006o 0x100002  -2.948276
57707.191964 18.298627      NaN  -142    58 o    0   0.89 355.44496 -1.35092  8357.61   896.13 3.69 3.60  75.5 -0.467    18.26 18.92 02a57707o0007o 0x100002  -2.448276
57707.192483 18.459772      NaN  -102    50 o    0   1.11 355.44496 -1.35092  8357.31   896.04 3.70 3.60  70.8 -0.470    18.31 19.01 02a57707o0008o 0x100002  -2.040000
