         MJD         m       dm  uJy  duJy F  err  chi/N        RA      Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57718.647762 18.757738      NaN  -61    38 c    0   1.49 196.35004 56.32418  3247.62  8719.44  4.29 4.09  49.9 -0.397    18.51 20.32 02a57718o0872c 0x100002  -1.605263
57718.658639 17.311291      NaN   54   126 c    0   1.33 196.35004 56.32418  3257.96  8759.54  4.69 4.56  51.5 -0.387    17.57 18.72 02a57718o0893c 0x100002   0.428571
57718.666907 13.106513      NaN  650  6706 c    0   1.18 196.35004 56.32418  3204.33  8680.77 36.13 9.22  -4.7 -0.136    16.24 16.21 02a57718o0909c 0x100002   0.096928
57746.590363 19.766969      NaN  -36    15 c    0   1.48 196.35004 56.32418  5164.16  8372.40  4.02 3.95  79.2 -0.402    19.61 21.71 02a57746o0774c 0x000000  -2.400000
57746.601926 19.841877      NaN  -80    14 c    0   2.05 196.35004 56.32418  5184.10  8411.16  4.17 4.08  69.8 -0.395    19.58 21.71 02a57746o0796c 0x000000  -5.714286
57746.613455 19.631075      NaN  -22    17 c    0   1.44 196.35004 56.32418  5119.13  8334.20  4.24 4.15  71.0 -0.379    19.56 21.70 02a57746o0818c 0x000000  -1.294118
57746.624948 19.696897      NaN  -16    16 c    0   1.81 196.35004 56.32418  5094.16  8450.35  3.98 3.88  81.4 -0.409    19.63 21.68 02a57746o0840c 0x000000  -1.000000
57746.636338 19.569016      NaN  -72    18 c    0   1.19 196.35004 56.32418  5138.08  8393.79  4.28 4.16  80.3 -0.382    19.54 21.67 02a57746o0862c 0x000000  -4.000000
57750.584758 19.510313      NaN  -84    19 c    0   1.12 196.35004 56.32418  2965.35  6572.40  4.51 4.39  72.8 -0.358    19.47 21.65 02a57750o0596c 0x000000  -4.421053
57778.555489 19.841877      NaN  -41    14 c    0   1.71 196.35004 56.32418  3291.60  6316.23  3.72 3.64 -76.8 -0.401    19.78 21.84 02a57778o0540c 0x000000  -2.928571
57778.567439 19.766969      NaN  -57    15 c    0   1.66 196.35004 56.32418  3314.09  6355.69  3.75 3.64 -77.3 -0.402    19.77 21.84 02a57778o0562c 0x000000  -3.800000
57778.580806 19.766969      NaN  -44    15 c    0   1.53 196.35004 56.32418  3251.52  6279.84  3.72 3.65 -78.2 -0.401    19.77 21.81 02a57778o0586c 0x000000  -2.933333
