         MJD         m       dm    uJy  duJy F  err   chi/N        RA      Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  __tmp_SN
57762.556370 19.014394      NaN   -117    30 o    0    2.09 196.35004 56.32418  1325.80  8213.55  3.43 3.10  24.4 -0.460    18.86 19.95 02a57762o0713o 0x000000 -3.900000
57762.568441 18.978793      NaN    -60    31 o    0    1.16 196.35004 56.32418  1335.49  8273.90  3.40 3.14  29.6 -0.454    18.95 20.11 02a57762o0735o 0x000000 -1.935484
57762.580407 19.169763      NaN    -48    26 o    0    1.60 196.35004 56.32418  1280.62  8174.56  3.40 3.16  32.1 -0.469    19.08 20.40 02a57762o0757o 0x000000 -1.846154
57762.592256 19.351140      NaN     -6    22 o    0    1.37 196.35004 56.32418  1254.32  8291.60  3.33 3.09  25.2 -0.459    19.36 20.91 02a57762o0779o 0x000000 -0.272727
57762.603338 19.454622      NaN     -1    20 o    0    1.58 196.35004 56.32418  1296.38  8235.40  3.37 3.13  29.9 -0.461    19.57 21.33 02a57762o0800o 0x000000 -0.050000
57766.570749 18.459772      NaN    -66    50 o    0    1.63 196.35004 56.32418  3718.69  8240.82  3.42 3.32  13.1 -0.457    18.46 19.16 02a57766o0688o 0x100002 -1.320000
57766.583890 18.298627      NaN    -56    58 o    0    1.06 196.35004 56.32418  3738.90  8282.06  3.53 3.45  16.2 -0.450    18.43 19.18 02a57766o0711o 0x100002 -0.965517
57766.597687 18.298627      NaN    -14    58 o    0    1.28 196.35004 56.32418  3672.91  8205.25  3.34 3.23   4.0 -0.452    18.51 19.21 02a57766o0735o 0x100002 -0.241379
57766.611190 18.261819      NaN   -101    60 o    0    1.26 196.35004 56.32418  3649.16  8322.67  3.30 3.20   2.7 -0.472    18.52 19.22 02a57766o0759o 0x100002 -1.683333
57766.624012 18.311179      NaN     10    54 o    0    1.61 196.35004 56.32418  3691.36  8266.12  3.35 3.26   6.8 -0.465    18.52 19.24 02a57766o0782o 0x100002  0.185185
57774.554029 18.955691      NaN     20    25 o    0    1.28 196.35004 56.32418  3327.14  9170.60  3.35 2.96   0.1 -0.453    19.32 20.88 02a57774o0712o 0x000000  0.800000
57774.566836 19.197966      NaN     10    22 o    0    1.59 196.35004 56.32418  3347.11  9210.37  3.40 3.03   2.7 -0.441    19.26 20.83 02a57774o0736o 0x000000  0.454545
