         MJD         m       dm   uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57713.296405 16.440934      NaN  -126   321 c    0   1.34 359.09121 32.45665   584.84  3705.83 4.15 3.77  70.0 -0.374    16.60 18.18 02a57713o0228c 0x100002  -0.392523
57713.305477 17.430723      NaN  -495   129 c    0   1.16 359.09121 32.45665   567.70  3666.24 4.56 4.30  68.8 -0.363    17.25 19.02 02a57713o0244c 0x100002  -3.837209
57713.316064 18.191747      NaN  -406    64 c    0   1.22 359.09121 32.45665 10242.99  3736.89 4.32 3.98  85.2 -0.395    17.92 19.78 02a57713o0264c 0x100002  -6.343750
57713.325652 17.909502      NaN  -612    83 c    0   1.90 359.09121 32.45665   616.13  3741.93 4.17 3.88  71.1 -0.374    17.37 19.17 02a57713o0282c 0x100002  -7.373494
57713.326678 17.896499      NaN  -496    84 c    0   1.32 359.09121 32.45665 10226.28  3696.74 4.24 3.86  81.8 -0.404    17.33 19.20 02a57713o0284c 0x100002  -5.904762
57713.327699 18.910912      NaN  -371    33 c    0   1.53 359.09121 32.45665   650.29  3625.09 4.24 4.01  71.4 -0.375    18.37 20.28 02a57713o0286c 0x100002 -11.242424
57713.346085 18.847027      NaN  -348    35 c    0   1.63 359.09121 32.45665   603.63  3682.64 4.10 3.74  66.5 -0.383    18.43 20.23 02a57713o0320c 0x100002  -9.942857
57713.346601 18.729535      NaN  -140    39 c    0   1.18 359.09121 32.45665 10275.47  3776.51 4.05 3.56  84.5 -0.418    18.64 20.49 02a57713o0321c 0x100002  -3.589744
57713.349939 18.944322      NaN  -377    32 c    0   1.58 359.09121 32.45665 10310.32  3660.90 4.07 3.61  85.7 -0.425    18.65 20.49 02a57713o0327c 0x100002 -11.781250
57713.367465 19.089302      NaN  -232    28 c    0   1.61 359.09121 32.45665 10261.38  3718.13 4.58 4.27  76.4 -0.392    18.91 20.98 02a57713o0359c 0x100002  -8.285714
57721.296797 19.922338      NaN  -259    13 c    0   1.51 359.09121 32.45665  1319.02  6831.24 3.93 3.73  44.8 -0.424    19.70 21.69 02a57721o0204c 0x000000 -19.923077
57721.308323 19.922338      NaN  -275    13 c    0   1.67 359.09121 32.45665  1302.14  6792.02 3.88 3.67  39.9 -0.435    19.72 21.71 02a57721o0226c 0x000000 -21.153846
57721.309346 19.841877      NaN  -205    14 c    0   1.27 359.09121 32.45665  1352.00  6868.01 3.98 3.77  47.7 -0.422    19.69 21.70 02a57721o0228c 0x000000 -14.642857
57721.329199 19.696897      NaN  -205    16 c    0   1.17 359.09121 32.45665  1370.25  6750.81 3.83 3.63  45.9 -0.433    19.70 21.65 02a57721o0264c 0x000000 -12.812500
57721.332625 19.766969      NaN  -200    15 c    0   1.27 359.09121 32.45665  1338.01  6809.47 3.79 3.59  45.3 -0.439    19.71 21.66 02a57721o0270c 0x000000 -13.333333
57745.250207 19.922338      NaN  -152    13 c    0   1.17 359.09121 32.45665  3411.88  4837.47 3.85 3.68  68.1 -0.382    19.64 21.54 02a57745o0128c 0x000000 -11.692308
57745.265277 19.922338      NaN  -159    13 c    0   1.45 359.09121 32.45665  3381.07  4797.73 3.78 3.62  72.0 -0.393    19.64 21.53 02a57745o0157c 0x000000 -12.230769
57745.267874 19.696897      NaN  -170    16 c    0   1.06 359.09121 32.45665  3446.79  4874.17 3.81 3.72  60.3 -0.387    19.63 21.52 02a57745o0162c 0x000000 -10.625000
57745.285080 19.766969      NaN  -165    15 c    0   1.16 359.09121 32.45665  3464.99  4756.06 4.02 3.83  12.1 -0.373    19.53 21.45 02a57745o0195c 0x000000 -11.000000
57745.305562 19.766969      NaN  -138    15 c    0   1.27 359.09121 32.45665  3435.21  4811.63 3.81 3.65  73.7 -0.385    19.56 21.39 02a57745o0234c 0x000000  -9.200000
57753.248224 17.623637      NaN  -544   108 c    0   1.28 359.09121 32.45665  1031.76  5565.45 4.27 3.88  53.8 -0.402    17.32 19.00 02a57753o0006c 0x100002  -5.037037
57753.271613 15.705404      NaN  -248   632 c    0   1.46 359.09121 32.45665  1115.09  5523.10 4.10 3.74  67.7 -0.409    15.39 16.85 02a57753o0049c 0x100002  -0.392405
