         MJD         m       dm    uJy  duJy F  err   chi/N        RA      Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs     Mask    __tmp_SN
57701.310990 19.128787      NaN   -154    27 o    0    1.40 359.09121 32.45665  1912.73  6668.88  3.68  3.47  35.1 -0.459    18.82 19.93 02a57701o0217o 0x000000   -5.703704
57701.320755 19.212347      NaN   -160    25 o    0    1.74 359.09121 32.45665  1894.56  6629.32  3.65  3.48  48.3 -0.455    18.83 19.94 02a57701o0235o 0x000000   -6.400000
57701.362607 19.169763      NaN   -195    26 o    0    1.44 359.09121 32.45665  1960.95  6704.58  3.50  3.35  42.4 -0.472    18.84 19.94 02a57701o0276o 0x000000   -7.500000
57701.381303 19.256669      NaN   -130    24 o    0    1.74 359.09121 32.45665  1977.64  6587.14  3.56  3.43  50.5 -0.458    18.88 20.02 02a57701o0310o 0x000000   -5.416667
57701.385225 19.212347      NaN   -113    25 o    0    1.60 359.09121 32.45665  1928.38  6645.96  3.51  3.32  43.3 -0.463    18.88 20.00 02a57701o0317o 0x000000   -4.520000
57705.308325 18.786693      NaN   -154    37 o    0    1.26 359.09121 32.45665  3749.29  3546.35  3.65  3.55 -83.9 -0.440    18.42 19.09 02a57705o0246o 0x000000   -4.162162
57705.318060 18.702047      NaN   -170    40 o    0    1.17 359.09121 32.45665  3716.34  3506.72  3.66  3.54 -80.6 -0.433    18.42 19.08 02a57705o0264o 0x100002   -4.250000
57705.338837 18.786693      NaN    -79    37 o    0    1.40 359.09121 32.45665  3781.57  3585.13  3.60  3.48 -70.4 -0.438    18.38 19.02 02a57705o0302o 0x000000   -2.135135
57705.341012 18.729535      NaN   -122    39 o    0    1.00 359.09121 32.45665  3797.84  3468.35  3.60  3.44 -79.4 -0.438    18.38 19.02 02a57705o0306o 0x000000   -3.128205
57705.360863 18.702047      NaN   -139    40 o    0    1.28 359.09121 32.45665  3767.04  3525.31  3.63  3.50 -67.7 -0.438    18.33 18.96 02a57705o0340o 0x100002   -3.475000
57737.244749 19.051202      NaN    -56    29 o    0    1.34 359.09121 32.45665  1484.73  3656.90  3.73  3.54  76.3 -0.452    18.82 19.85 02a57737o0125o 0x000000   -1.931034
57737.258396 18.978793      NaN   -166    31 o    0    1.09 359.09121 32.45665  1466.21  3619.04  3.77  3.66 -85.9 -0.436    18.72 19.73 02a57737o0149o 0x000000   -5.354839
57737.267539 18.816441      NaN   -157    36 o    0    1.10 359.09121 32.45665  1511.96  3694.12  3.93  3.76 -10.8 -0.425    18.53 19.56 02a57737o0166o 0x000000   -4.361111
57737.273809 19.014394      NaN    -86    30 o    0    1.19 359.09121 32.45665  1528.35  3577.48  3.74  3.71 -69.5 -0.427    18.63 19.60 02a57737o0176o 0x000000   -2.866667
57737.278195 18.878500      NaN   -131    34 o    0    1.13 359.09121 32.45665  1494.73  3636.55  3.72  3.57 -88.7 -0.434    18.68 19.61 02a57737o0182o 0x000000   -3.852941
57761.227226 18.944322      NaN   -178    32 o    0    1.28 359.09121 32.45665  1994.21  6817.80  3.99  3.64  11.5 -0.443    18.68 19.82 02a57761o0056o 0x000000   -5.562500
57761.231826 18.978793      NaN   -177    31 o    0    1.22 359.09121 32.45665  1978.38  6778.62  3.68  3.50  55.4 -0.450    18.75 19.80 02a57761o0065o 0x000000   -5.709677
57761.250906 19.014394      NaN    -94    30 o    0    1.62 359.09121 32.45665  2024.26  6854.44  3.77  3.64  22.7 -0.441    18.67 19.74 02a57761o0098o 0x000000   -3.133333
57761.263189 18.757738      NaN   -100    38 o    0    1.09 359.09121 32.45665  2040.16  6737.21  3.66  3.52  63.3 -0.439    18.68 19.68 02a57761o0120o 0x000000   -2.631579
57761.271562 18.786693      NaN   -107    37 o    0    1.13 359.09121 32.45665  2006.96  6794.99  3.64  3.49  66.4 -0.447    18.65 19.61 02a57761o0135o 0x000000   -2.891892
57765.230396 18.729535      NaN   -135    39 o    0    1.42 359.09121 32.45665 10326.31  3823.88  3.92  3.07  88.9 -0.464    18.40 19.12 02a57765o0082o 0x000000   -3.461538
57765.233073 18.623526      NaN    -89    43 o    0    1.17 359.09121 32.45665 10294.04  3783.41  3.88  3.01  88.2 -0.461    18.41 19.11 02a57765o0087o 0x100002   -2.069767
57765.233569 18.702047      NaN   -168    40 o    0    1.34 359.09121 32.45665   670.88  3782.26  3.82  3.54  76.6 -0.424    18.36 19.05 02a57765o0088o 0x100002   -4.200000
57765.250511 18.649074      NaN    -83    42 o    0    1.32 359.09121 32.45665   633.77  3742.68  3.77  3.44  77.2 -0.423    18.34 18.95 02a57765o0119o 0x100002   -1.976190
