         MJD         m       dm  uJy  duJy F  err  chi/N        RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57715.214676 19.089302      NaN -328    28 c    0   5.16 327.08383 -34.95289  4417.45   119.74 4.51 4.34 -19.6 -0.376    19.03 20.87 02a57715o0073c 0x000000 -11.714286
57715.227080 19.051202      NaN -135    29 c    0   2.81 327.08383 -34.95289  4402.79    78.50 4.42 4.21 -20.3 -0.383    18.94 20.75 02a57715o0097c 0x000000  -4.655172
57715.242160 18.910912      NaN -233    33 c    0   3.34 327.08383 -34.95289  4453.14   157.55 4.46 4.20 -14.3 -0.383    18.95 20.73 02a57715o0126c 0x000000  -7.060606
57981.443913 20.103715      NaN  -20    11 c    0   7.27 327.08383 -34.95289  1293.02  9271.39 2.65 2.52  -4.7 -0.425    19.64 21.40 02a57981o0415c 0x000000  -1.818182
57981.453660 19.841877      NaN  -35    14 c    0   7.96 327.08383 -34.95289  1280.15  9233.55 2.60 2.49  -7.7 -0.426    19.61 21.33 02a57981o0435c 0x000000  -2.500000
57981.455600 19.549093      NaN   10    15 c    0   4.08 327.08383 -34.95289  1327.72  9311.00 2.59 2.48   2.8 -0.421    19.60 21.32 02a57981o0439c 0x000000   0.666667
57981.464353 20.009244      NaN  -34    12 c    0   9.71 327.08383 -34.95289  1362.19  9196.50 2.60 2.48   4.5 -0.423    19.56 21.19 02a57981o0457c 0x000000  -2.833333
57985.447334 19.197966      NaN   22    18 c    0   3.51 327.08383 -34.95289  5350.23  2179.36 3.09 2.75  56.5 -0.403    19.12 20.92 02a57985o0439c 0x000000   1.222222
57985.456609 19.696897      NaN  -77    16 c    0   4.08 327.08383 -34.95289  5337.28  2140.75 3.18 2.88  53.7 -0.390    19.06 20.92 02a57985o0458c 0x000000  -4.812500
57985.465792 18.978793      NaN  -43    31 c    0   1.89 327.08383 -34.95289  5418.43  2100.43 3.52 3.16  56.8 -0.383    18.42 20.36 02a57985o0477c 0x000000  -1.387097
57989.440452 20.321591      NaN   -1     9 c    0   7.84 327.08383 -34.95289  4927.20   870.27 2.74 2.50  66.9 -0.418    19.63 21.32 02a57989o0419c 0x000000  -0.111111
57989.444903 18.738855 0.308873  116    33 c    0  21.04 327.08383 -34.95289  1235.05 10505.38 2.67 2.22   8.2 -0.432    19.58 21.22 02a57989o0428c 0x100001   3.515152
57989.448908 19.142275 0.176432   80    13 c    0   5.95 327.08383 -34.95289  4913.36   830.59 2.69 2.45  66.8 -0.422    19.57 21.24 02a57989o0436c 0x000000   6.153846
57989.461286 19.841877      NaN    6    12 c    0   6.49 327.08383 -34.95289  4963.92   907.79 2.86 2.54  74.9 -0.429    19.42 21.04 02a57989o0461c 0x000000   0.500000
57989.463277 19.841877      NaN   -5    14 c    0   5.25 327.08383 -34.95289  4995.93   790.44 2.80 2.55  68.5 -0.419    19.42 21.04 02a57989o0465c 0x000000  -0.357143
57989.464269 19.401649      NaN   -8    21 c    0  12.26 327.08383 -34.95289  1321.84 10465.18 2.68 2.27  11.4 -0.425    19.36 20.97 02a57989o0467c 0x100001  -0.380952
58013.383042 19.454622      NaN   24    12 c    0   7.05 327.08383 -34.95289  2672.45  4414.53 2.65 2.56  61.5 -0.401    19.59 21.27 02a58013o0364c 0x000000   2.000000
58013.391385 20.103715      NaN   -3    11 c    0   8.36 327.08383 -34.95289  2659.12  4374.69 2.64 2.52  48.4 -0.399    19.57 21.24 02a58013o0382c 0x000000  -0.272727
58013.399264 19.791368      NaN    8    12 c    0   5.24 327.08383 -34.95289  2726.17  4452.80 2.70 2.64  51.7 -0.400    19.55 21.25 02a58013o0399c 0x000000   0.666667
58013.407568 20.103715      NaN   -9    11 c    0   5.35 327.08383 -34.95289  2744.70  4337.72 2.75 2.61  86.0 -0.399    19.53 21.22 02a58013o0417c 0x000000  -0.818182
58017.378234 19.419021      NaN   20    14 c    0  10.14 327.08383 -34.95289  3053.27  5618.41 2.54 2.32  39.2 -0.456    19.57 21.26 02a58017o0216c 0x100001   1.428571
58017.386540 19.549093      NaN   19    12 c    0   9.84 327.08383 -34.95289  3039.34  5580.03 2.55 2.36  36.9 -0.441    19.50 21.22 02a58017o0234c 0x000000   1.583333
58017.395280 19.841877      NaN   -7    14 c    0   4.92 327.08383 -34.95289  3089.63  5657.76 2.53 2.36  43.8 -0.445    19.54 21.22 02a58017o0253c 0x000000  -0.500000
58017.403569 19.841877      NaN  -11    14 c    0   8.00 327.08383 -34.95289  3124.71  5540.58 2.52 2.35  45.6 -0.446    19.49 21.23 02a58017o0271c 0x000000  -0.785714
58021.381360 20.009244      NaN  -10    12 c    0   8.22 327.08383 -34.95289  5729.74  6872.67 2.45 2.36  47.2 -0.461    19.64 21.32 02a58021o0358c 0x000000  -0.833333
58021.390135 19.816329      NaN    7    12 c    0   8.65 327.08383 -34.95289  5717.60  6834.63 2.47 2.42  47.1 -0.460    19.61 21.27 02a58021o0377c 0x000000   0.583333
58021.399332 20.103715      NaN  -40    11 c    0   9.25 327.08383 -34.95289  5783.96  6911.14 2.39 2.37  57.9 -0.460    19.58 21.21 02a58021o0397c 0x000000  -3.636364
58021.409034 19.950541      NaN    2    12 c    0   8.32 327.08383 -34.95289  5803.35  6793.14 2.43 2.40 -74.7 -0.458    19.55 21.19 02a58021o0418c 0x000000   0.166667
