         MJD         m       dm     uJy  duJy F  err    chi/N        RA       Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs     Mask    __tmp_SN
57703.240708 18.623526      NaN    -129    43 o    0     2.19 327.08383 -34.95289  4747.21   792.21  3.68 3.54 -46.4 -0.470    18.40 19.15 02a57703o0123o 0x000000   -3.000000
57703.252596 18.649074      NaN    -145    42 o    0     2.88 327.08383 -34.95289  4732.60   752.13  3.66 3.56 -42.2 -0.465    18.39 19.14 02a57703o0146o 0x000000   -3.452381
57703.263427 18.623526      NaN    -115    43 o    0     2.36 327.08383 -34.95289  4782.85   831.10  3.59 3.46 -45.4 -0.474    18.40 19.11 02a57703o0167o 0x000000   -2.674419
57703.275285 18.459772      NaN     -91    50 o    0     2.26 327.08383 -34.95289  4816.65   711.45  3.69 3.54 -39.6 -0.471    18.35 19.07 02a57703o0190o 0x000000   -1.820000
57711.233805 19.051202      NaN    -106    29 o    0     3.01 327.08383 -34.95289  7179.84  2398.17  4.01 3.92  89.4 -0.405    18.86 20.36 02a57711o0102o 0x000000   -3.655172
57711.246129 18.757738      NaN     -28    38 o    0     2.33 327.08383 -34.95289  7165.40  2358.02  4.02 3.91 -86.1 -0.405    18.47 19.95 02a57711o0126o 0x000000   -0.736842
57711.256941 18.944322      NaN    -105    32 o    0     3.06 327.08383 -34.95289  7214.32  2433.96  3.79 3.67  86.8 -0.434    18.79 20.17 02a57711o0147o 0x000000   -3.281250
57911.587481 18.900000      NaN      19    27 o    0     5.77 327.08383 -34.95289  3282.37  9883.61  2.36 2.21  13.4 -0.496    18.82 19.49 02a57911o0651o 0x000000    0.703704
57911.599650 19.089302      NaN      -1    28 o    0     2.77 327.08383 -34.95289  3297.90  9921.15  2.21 2.02   6.5 -0.490    19.03 19.72 02a57911o0674o 0x000000   -0.035714
57911.601281 19.089302 0.323136      84    25 o    0     4.66 327.08383 -34.95289  6798.68   165.54  2.84 2.11  48.6 -0.468    18.97 19.68 02a57911o0677o 0x000000    3.360000
57911.608095 19.401649      NaN     -11    21 o    0     5.54 327.08383 -34.95289  6813.94   206.52  2.87 2.16  46.9 -0.466    19.05 19.86 02a57911o0690o 0x000000   -0.523810
57911.608629 18.786693      NaN      33    26 o    0     9.24 327.08383 -34.95289  3232.31  9845.54  2.21 1.99   6.8 -0.486    19.20 19.97 02a57911o0691o 0x000000    1.269231
57911.621628 18.376212      NaN    -119    54 o    0     1.63 327.08383 -34.95289  6749.38   126.07  2.82 2.16  49.3 -0.466    17.94 18.51 02a57911o0715o 0x000000   -2.203704
57922.570519 19.026525      NaN      14    25 o    0     3.19 327.08383 -34.95289  2155.57  9905.96  4.19 3.15  -0.1 -0.416    18.79 20.10 01a57922o0666o 0x000000    0.560000
57922.577897 19.454622      NaN      -1    20 o    0     3.19 327.08383 -34.95289  5690.33   175.50  3.81 3.30   4.7 -0.415    18.95 20.23 01a57922o0681o 0x000000   -0.050000
57922.583214 19.454622      NaN    -110    20 o    0     3.06 327.08383 -34.95289  8543.95   459.95  3.62 3.26   1.5 -0.432    18.92 20.22 01a57922o0691o 0x000000   -5.500000
57922.587318 19.351140      NaN       3    21 o    0     4.13 327.08383 -34.95289  2172.53  9884.13  3.24 3.06 -31.9 -0.447    18.93 20.11 01a57922o0699o 0x000000    0.142857
57922.593233 18.657725 0.182404     125    21 o    0     4.40 327.08383 -34.95289  5665.55    78.84  3.32 3.12  56.2 -0.425    19.04 20.27 01a57922o0710o 0x000000    5.952381
57922.600372 19.454622      NaN     -41    20 o    0     4.28 327.08383 -34.95289  8464.37   566.20  3.22 3.16  10.7 -0.446    19.03 20.25 01a57922o0724o 0x000000   -2.050000
57922.603314 19.510313      NaN     -88    19 o    0     3.08 327.08383 -34.95289  4941.30 10184.18  3.42 3.25 -25.0 -0.429    19.02 20.34 01a57922o0730o 0x000000   -4.631579
57923.567230 14.830050      NaN    1693   851 o    0     1.54 327.08383 -34.95289  6610.91   245.52  2.27 2.15  61.2 -0.453    15.15 15.69 02a57923o0644o 0x100002    1.989424
