         MJD         m       dm  uJy  duJy F  err  chi/N       RA     Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  __tmp_SN
57862.260150 19.169763      NaN -121    26 c    0   1.29 77.18263 70.4757  1729.06  9206.68 3.88 3.75  42.4 -0.440    18.47 19.86 02a57862o0078c 0x000000 -4.653846
57862.264518 18.776955      NaN   22    30 c    0   1.10 77.18263 70.4757 10117.36  9281.16 4.24 3.55  86.8 -0.454    18.57 19.99 02a57862o0087c 0x100002  0.733333
57862.269952 19.089302      NaN   -3    28 c    0   1.01 77.18263 70.4757  1708.06  9176.15 3.79 3.73  42.1 -0.450    18.46 19.82 02a57862o0098c 0x100002 -0.107143
57862.274316 19.089302      NaN   -5    28 c    0   1.25 77.18263 70.4757 10102.92  9240.35 4.27 3.43  88.5 -0.454    18.56 19.98 02a57862o0107c 0x100002 -0.178571
57862.279206 19.051202      NaN  -26    29 c    0   1.03 77.18263 70.4757  1757.26  9240.53 3.78 3.73  84.4 -0.445    18.45 19.81 02a57862o0117c 0x100002 -0.896552
57862.286994 19.051202      NaN  -29    29 c    0   1.05 77.18263 70.4757  1778.53  9127.23 3.94 3.92  11.9 -0.430    18.38 19.83 02a57862o0133c 0x100002 -1.000000
57862.297315 18.526952      NaN   45    32 c    0   0.72 77.18263 70.4757 10169.17  9216.04 4.40 3.43  86.5 -0.450    18.56 20.00 02a57862o0154c 0x100002  1.406250
57862.306004 18.649074      NaN   42    28 c    0   1.05 77.18263 70.4757 10127.92  9269.38 4.32 3.42  87.6 -0.452    18.52 19.95 02a57862o0172c 0x100002  1.500000
57870.265208 19.841877      NaN  -41    14 c    0   1.08 77.18263 70.4757  2046.86   724.57 3.16 2.74  17.3 -0.442    18.99 19.99 02a57870o0009c 0x000000 -2.928571
57870.274652 19.652575      NaN    5    15 c    0   1.04 77.18263 70.4757  2025.66   689.12 3.22 2.71  16.1 -0.448    18.99 19.99 02a57870o0027c 0x000000  0.333333
58044.590182 17.146080 0.034536  503    16 c    0   1.29 77.18263 70.4757  6617.82  7481.97 3.73 3.52  33.6 -0.381    19.22 21.32 02a58044o0359c 0x000000 31.437500
58044.600157 17.183409 0.033510  486    15 c    0   1.48 77.18263 70.4757  6602.35  7444.83 3.54 3.29  55.4 -0.385    19.32 21.36 02a58044o0380c 0x000000 32.400000
58044.610065 17.156927 0.032703  498    15 c    0   1.18 77.18263 70.4757  6657.20  7523.52 3.65 3.41  49.5 -0.400    19.38 21.34 02a58044o0401c 0x000000 33.200000
58044.620065 17.201430 0.036343  478    16 c    0   1.33 77.18263 70.4757  6674.26  7405.77 3.94 3.74  49.5 -0.367    19.18 21.31 02a58044o0422c 0x000000 29.875000
58194.260445 19.841877 0.284359   42    11 c    0   1.00 77.18263 70.4757  2453.63   984.31 2.44 2.23  47.9 -0.444    19.58 21.20 02a58194o0102c 0x000000  3.818182
58194.277667 20.071303 0.351268   34    11 c    0   0.83 77.18263 70.4757  2425.97   946.86 2.47 2.23  47.0 -0.440    19.59 21.22 02a58194o0139c 0x000000  3.090909
58194.287452 19.979496 0.293442   37    10 c    0   1.08 77.18263 70.4757  2488.47  1017.95 2.65 2.41  49.8 -0.435    19.51 21.17 02a58194o0160c 0x000000  3.700000
