         MJD         m       dm   uJy  duJy F  err  chi/N       RA     Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57799.221540 18.396507      NaN   -49    53 o    0   1.29 77.18263 70.4757  1781.24   379.85  4.05 3.95 -20.0 -0.633    18.53 19.87 01a57799o0010o 0x100002  -0.924528
57799.244102 18.356290      NaN  -140    55 o    0   0.92 77.18263 70.4757  8865.16 10109.81  3.84 3.38  86.0 -0.631    18.99 20.80 01a57799o0049o 0x100002  -2.545455
57799.256504 18.757738      NaN   -58    38 o    0   1.09 77.18263 70.4757  1863.73   366.65  4.25 4.18  65.4 -0.571    19.08 20.96 01a57799o0071o 0x000000  -1.526316
57799.257557 18.356290      NaN   -60    55 o    0   0.82 77.18263 70.4757  8796.74 10059.20  3.81 3.37  89.8 -0.621    19.06 20.88 01a57799o0073o 0x100002  -1.090909
57799.271376 18.729535      NaN   -72    39 o    0   1.00 77.18263 70.4757  1880.13   409.40  4.37 4.27  56.0 -0.556    19.14 21.08 01a57799o0098o 0x000000  -1.846154
57799.272537 18.550302      NaN   -21    46 o    0   1.09 77.18263 70.4757  8784.41 10180.94  3.64 3.25 -82.3 -0.613    19.12 20.99 01a57799o0100o 0x000000  -0.456522
57799.286407 18.729535      NaN   -82    39 o    0   0.96 77.18263 70.4757  1826.99   329.37  4.51 4.38  71.2 -0.541    19.16 21.15 01a57799o0125o 0x000000  -2.102564
57799.301014 18.847027      NaN   -17    35 o    0   1.04 77.18263 70.4757  1820.14   448.74  4.53 4.44  70.6 -0.534    19.14 21.13 01a57799o0152o 0x000000  -0.485714
57980.632278 18.317510      NaN  -159    57 o    0   2.05 77.18263 70.4757  7547.19  7926.21  2.20 2.08 -54.2 -0.486    18.41 18.67 02a57980o0776o 0x100002  -2.789474
57990.631961 19.128787      NaN  -106    27 o    0   1.21 77.18263 70.4757  2027.29   661.35  3.16 3.04  89.0 -0.414    18.47 19.45 01a57990o0748o 0x000000  -3.925926
58002.578171 18.417189      NaN  -174    52 o    0   1.37 77.18263 70.4757  7258.60  6925.87  3.31 3.18 -56.3 -0.434    18.20 19.02 01a58002o0702o 0x100002  -3.346154
