         MJD         m       dm  uJy  duJy F  err  chi/N       RA      Dec       x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask    __tmp_SN
57718.361616 19.696897      NaN   -8    16 c    0   1.19 39.01071 43.47206 2807.96  6020.10 4.24 4.09 -43.4 -0.369    19.55 21.62 02a57718o0331c 0x000000   -0.500000
57718.375211 19.696897      NaN  -24    16 c    0   1.09 39.01071 43.47206 2793.54  5982.24 4.15 4.10 -27.6 -0.374    19.55 21.60 02a57718o0357c 0x000000   -1.500000
57718.388355 19.169763      NaN   30    16 c    0   1.14 39.01071 43.47206 2845.68  6061.41 4.12 4.02  85.9 -0.374    19.59 21.63 02a57718o0382c 0x000000    1.875000
57718.399236 19.351140      NaN  -32    22 c    0   0.86 39.01071 43.47206 2879.46  5944.72 4.28 4.17   2.8 -0.358    19.20 21.23 02a57718o0403c 0x000000   -1.454545
57718.406617 19.569016      NaN  -24    18 c    0   1.00 39.01071 43.47206 2831.94  6002.76 4.18 4.05   4.7 -0.369    19.43 21.44 02a57718o0417c 0x000000   -1.333333
57746.311463 19.529530      NaN    8    16 c    0   0.92 39.01071 43.47206  996.91  6431.59 3.99 3.78  51.8 -0.425    19.68 21.68 02a57746o0245c 0x000000    0.500000
57746.328687 19.696897      NaN  -24    16 c    0   1.13 39.01071 43.47206  983.61  6390.26 4.04 3.86  48.6 -0.415    19.64 21.64 02a57746o0278c 0x000000   -1.500000
57746.336892 19.696897      NaN   -4    16 c    0   1.24 39.01071 43.47206 1041.39  6446.11 4.53 4.13   9.1 -0.387    19.55 21.64 02a57746o0294c 0x000000   -0.250000
57746.346311 19.510313      NaN  -12    19 c    0   0.81 39.01071 43.47206 1057.40  6329.24 4.79 4.02   5.1 -0.378    19.50 21.62 02a57746o0312c 0x000000   -0.631579
57746.360186 19.549093      NaN    1    18 c    0   0.99 39.01071 43.47206 1014.84  6405.01 4.48 4.27  55.8 -0.377    19.50 21.58 02a57746o0339c 0x000000    0.055556
57750.310276 19.351140      NaN    9    19 c    0   0.88 39.01071 43.47206 3092.21  8160.57 3.77 3.66  16.6 -0.436    19.55 21.54 02a57750o0063c 0x000000    0.473684
57750.323366 19.510313      NaN  -10    19 c    0   0.96 39.01071 43.47206 3063.35  8120.56 3.81 3.73  30.9 -0.427    19.50 21.47 02a57750o0089c 0x000000   -0.526316
57750.334556 19.631075      NaN  -30    17 c    0   0.99 39.01071 43.47206 3119.66  8197.98 3.95 3.85  20.9 -0.412    19.63 21.68 02a57750o0111c 0x000000   -1.764706
57750.346535 19.696897      NaN  -18    16 c    0   0.91 39.01071 43.47206 3150.38  8078.85 3.82 3.71  25.0 -0.424    19.67 21.71 02a57750o0135c 0x000000   -1.125000
57750.367340 19.766969      NaN    0    15 c    0   1.13 39.01071 43.47206 3108.59  8136.40 3.99 3.89  23.1 -0.403    19.67 21.76 02a57750o0176c 0x000000    0.000000
57758.286798 18.857417      NaN   38    22 c    0   1.07 39.01071 43.47206 4512.20  8923.39 3.74 3.65  15.6 -0.439    19.27 20.82 02a57758o0185c 0x000000    1.727273
57778.295804 19.569016      NaN   -1    18 c    0   0.85 39.01071 43.47206 2739.36  8393.05 4.04 3.89  34.0 -0.415    19.50 21.49 02a57778o0030c 0x000000   -0.055556
57778.302575 19.569016      NaN  -48    18 c    0   1.06 39.01071 43.47206 2808.88  8466.54 3.95 3.80  37.4 -0.418    19.51 21.47 02a57778o0044c 0x000000   -2.666667
57778.311483 19.631075      NaN   -8    17 c    0   0.95 39.01071 43.47206 2821.68  8348.13 3.89 3.77  35.8 -0.409    19.53 21.48 02a57778o0062c 0x000000   -0.470588
57778.324912 19.569016      NaN   -6    18 c    0   0.86 39.01071 43.47206 2777.88  8405.48 3.90 3.81  39.4 -0.414    19.51 21.46 02a57778o0090c 0x000000   -0.333333
57782.266842 19.510313      NaN   15    14 c    0   1.39 39.01071 43.47206 2306.91  7428.47 3.99 3.77  26.1 -0.394    19.59 21.57 02a57782o0133c 0x000000    1.071429
57782.280152 19.696897      NaN  -24    16 c    0   1.14 39.01071 43.47206 2295.59  7387.20 3.89 3.70  49.7 -0.403    19.61 21.54 02a57782o0159c 0x000000   -1.500000
57782.288113 19.549093      NaN   10    15 c    0   0.97 39.01071 43.47206 2350.96  7462.44 3.77 3.61  40.1 -0.422    19.62 21.53 02a57782o0175c 0x000000    0.666667
57782.306178 19.334813      NaN   16    17 c    0   0.88 39.01071 43.47206 2366.27  7344.41 3.75 3.59  42.6 -0.420    19.60 21.48 02a57782o0212c 0x000000    0.941176
57782.318767 19.696897      NaN  -29    16 c    0   1.05 39.01071 43.47206 2338.86  7401.67 3.84 3.67  48.1 -0.413    19.55 21.45 02a57782o0238c 0x000000   -1.812500
57786.317401 19.302877      NaN   -7    23 c    0   0.92 39.01071 43.47206 2569.13  8680.13 3.79 3.66  29.9 -0.419    19.20 20.77 02a57786o0017c 0x000000   -0.304348
57806.242769 19.436675      NaN    4    19 c    0   1.04 39.01071 43.47206 1419.13  7494.82 4.12 3.91  53.7 -0.411    19.36 21.23 02a57806o0022c 0x000000    0.210526
57806.253509 19.569016      NaN   -9    18 c    0   0.89 39.01071 43.47206 1390.51  7453.81 3.94 3.72  55.6 -0.420    19.41 21.24 02a57806o0043c 0x000000   -0.500000
57806.264733 19.569016      NaN  -17    18 c    0   1.32 39.01071 43.47206 1445.56  7526.52 4.04 3.85  62.3 -0.407    19.38 21.23 02a57806o0065c 0x000000   -0.944444
57806.296248 19.401649      NaN  -47    21 c    0   1.07 39.01071 43.47206 1433.15  7466.84 4.40 4.24  70.5 -0.383    19.17 21.13 02a57806o0127c 0x000000   -2.238095
57988.595417 20.171596      NaN    4     9 c    0   1.09 39.01071 43.47206 5943.03  2110.61 2.66 2.52 -77.5 -0.400    19.72 21.56 02a57988o0719c 0x000000    0.444444
57988.604575 20.449472      NaN   -7     8 c    0   1.06 39.01071 43.47206 5976.28  2147.30 2.67 2.52 -77.5 -0.398    19.73 21.56 02a57988o0737c 0x000000   -0.875000
57988.613252 20.009244      NaN   12     8 c    0   1.05 39.01071 43.47206 5916.71  2070.19 2.63 2.50 -78.4 -0.399    19.76 21.57 02a57988o0754c 0x000000    1.500000
57988.623095 20.449472      NaN   -8     8 c    0   1.06 39.01071 43.47206 5887.53  2188.45 2.65 2.49 -65.8 -0.396    19.74 21.50 02a57988o0772c 0x000000   -1.000000
58044.518667 16.660063 0.017935  787    13 c    0   1.41 39.01071 43.47206 4981.91  3669.06 3.00 2.80  49.3 -0.379    19.53 21.48 02a58044o0209c 0x000000   60.538462
58044.528539 16.581574 0.016684  846    13 c    0   1.62 39.01071 43.47206 4954.09  3631.30 3.05 2.88  49.4 -0.381    19.50 21.54 02a58044o0229c 0x000000   65.076923
58044.539226 16.636860 0.018906  804    14 c    0   1.44 39.01071 43.47206 5008.22  3708.15 3.56 3.36  50.2 -0.365    19.35 21.52 02a58044o0252c 0x000000   57.428571
58044.547436 16.642275 0.017643  800    13 c    0   1.84 39.01071 43.47206 5037.02  3591.95 3.05 2.89  50.3 -0.378    19.52 21.47 02a58044o0268c 0x000000   61.538462
58076.449529 16.384905 0.073881 1014    69 c    0   1.49 39.01071 43.47206 5479.46  3891.15 2.48 2.27  52.1 -0.421    17.40 18.87 02a58076o0519c 0x100002   14.695652
58344.618685 19.351140      NaN  -28    22 c    0   0.98 39.01071 43.47206 5857.57  9531.59 2.76 2.72 -76.4 -0.392    18.86 20.63 02a58344o0816c 0x000000   -1.272727
58344.627576 18.878500      NaN  -18    34 c    0   1.05 39.01071 43.47206 5873.34  9571.51 2.78 2.75 -30.8 -0.392    18.36 19.82 02a58344o0835c 0x100002   -0.529412
58344.636376 16.436434      NaN  112   285 c    0   0.99 39.01071 43.47206 5817.08  9493.52 2.89 2.79 -56.9 -0.470    16.16 17.20 02a58344o0854c 0x100002    0.392982
58396.511747 19.401649      NaN  -43    21 c    0   1.14 39.01071 43.47206 4932.16  3558.14 2.61 2.50 -57.2 -0.398    18.72 20.39 02a58396o0670c 0x000000   -2.047619
58396.520099 19.014394      NaN   -1    30 c    0   0.93 39.01071 43.47206 4914.67  3520.70 2.57 2.40 -55.5 -0.403    18.53 20.07 02a58396o0688c 0x100002   -0.033333
58396.521523 19.241693      NaN    4    23 c    0   1.32 39.01071 43.47206 4971.53  3598.94 2.50 2.43 -64.0 -0.402    18.54 20.09 02a58396o0691c 0x000000    0.173913
58396.527762 19.454622      NaN  -22    20 c    0   1.48 39.01071 43.47206 4998.67  3484.29 2.49 2.43 -53.4 -0.401    18.76 20.30 02a58396o0704c 0x000000   -1.100000
58400.507947 20.761819      NaN   -4     6 c    0   2.27 39.01071 43.47206 6197.51  1368.65 2.60 2.46  63.2 -0.402    19.76 21.62 02a58400o0492c 0x000000   -0.666667
58400.517755 20.449472      NaN   -4     8 c    0   1.35 39.01071 43.47206 6181.54  1327.92 2.67 2.45  56.4 -0.412    19.78 21.61 02a58400o0513c 0x000000   -0.500000
58400.529886 20.449472      NaN   -3     8 c    0   0.94 39.01071 43.47206 6234.98  1408.48 2.68 2.43  54.9 -0.410    19.80 21.58 02a58400o0539c 0x000000   -0.375000
58400.538363 20.449472      NaN  -15     8 c    0   1.09 39.01071 43.47206 6250.84  1294.85 2.70 2.47  56.6 -0.411    19.74 21.55 02a58400o0556c 0x000000   -1.875000
58424.486667 20.362567      NaN    2     8 c    0   0.91 39.01071 43.47206 2942.24  2226.72 2.51 2.41  47.8 -0.396    19.69 21.41 02a58424o0614c 0x000000    0.250000
58424.494951 20.321591      NaN  -11     9 c    0   1.19 39.01071 43.47206 2927.11  2186.54 2.63 2.49  48.2 -0.398    19.64 21.32 02a58424o0632c 0x000000   -1.222222
