         MJD         m       dm    uJy   duJy F  err  chi/N       RA      Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs     Mask    __tmp_SN
57702.377919 19.128787      NaN   -143     27 o    0   0.99 39.01071 43.47206  7915.56  1863.10  3.57  3.33  88.1 -0.458    18.97 20.12 02a57702o0385o 0x000000   -5.296296
57702.407400 19.089302      NaN   -198     28 o    0   1.00 39.01071 43.47206  2570.13  8552.93  3.19  2.80 -12.3 -0.477    18.97 20.12 02a57702o0440o 0x000000   -7.071429
57702.415842 19.089302      NaN   -212     28 o    0   1.07 39.01071 43.47206  2626.38  8632.34  3.22  2.93  -7.1 -0.445    18.98 20.15 02a57702o0456o 0x000000   -7.571429
57702.424282 19.128787      NaN   -178     27 o    0   1.09 39.01071 43.47206  2652.04  8513.29  3.26  3.00  -0.5 -0.427    18.99 20.16 02a57702o0472o 0x000000   -6.592593
57702.438268 19.169763      NaN   -195     26 o    0   0.99 39.01071 43.47206  2609.49  8575.80  3.21  2.94  -9.8 -0.441    18.97 20.13 02a57702o0498o 0x000000   -7.500000
57706.378754 18.063866      NaN   -154     72 o    0   1.00 39.01071 43.47206  2934.50  6757.07  3.48  3.40  22.3 -0.479    18.11 18.48 02a57706o0385o 0x100002   -2.138889
57706.391871 18.079051      NaN   -109     71 o    0   1.35 39.01071 43.47206  2903.88  6720.70  3.65  3.53  48.7 -0.453    18.07 18.46 02a57706o0410o 0x100002   -1.535211
57706.404910 18.125925      NaN   -134     68 o    0   1.29 39.01071 43.47206  2955.62  6794.71  3.52  3.44  35.9 -0.465    18.09 18.46 02a57706o0435o 0x100002   -1.970588
57706.416375 18.125925      NaN    -68     68 o    0   1.29 39.01071 43.47206  2985.01  6679.72  3.59  3.49  43.5 -0.449    18.07 18.46 02a57706o0457o 0x100002   -1.000000
57706.423686 18.034118      NaN   -202     74 o    0   1.44 39.01071 43.47206  2940.85  6736.50  3.57  3.45  40.5 -0.457    18.08 18.45 02a57706o0471o 0x100002   -2.729730
57710.375390 19.212347      NaN   -204     25 o    0   1.21 39.01071 43.47206  1024.18  7097.91  3.68  3.52  41.4 -0.482    18.92 20.14 02a57710o0360o 0x000000   -8.160000
57710.382874 19.169763      NaN   -222     26 o    0   1.28 39.01071 43.47206  1007.23  7060.62  3.84  3.68  39.5 -0.466    18.90 20.16 02a57710o0374o 0x000000   -8.538462
57710.392407 19.128787      NaN   -158     27 o    0   0.99 39.01071 43.47206  1065.32  7117.85  3.58  3.42  40.7 -0.496    18.96 20.18 02a57710o0392o 0x000000   -5.851852
57710.401007 19.128787      NaN   -250     27 o    0   1.11 39.01071 43.47206  1077.38  6999.55  3.93  3.75  41.4 -0.465    18.87 20.16 02a57710o0408o 0x000000   -9.259259
57710.421545 19.089302      NaN   -226     28 o    0   1.16 39.01071 43.47206  1049.20  7058.15  3.91  3.56  16.9 -0.468    18.85 20.14 02a57710o0447o 0x000000   -8.071429
57762.276947 18.757738      NaN   -155     38 o    0   0.92 39.01071 43.47206  4643.71  6404.14  3.43  3.39  88.4 -0.462    18.60 19.46 02a57762o0181o 0x000000   -4.078947
57762.287903 18.910912      NaN   -138     33 o    0   1.08 39.01071 43.47206  4630.94  6365.47  3.36  3.30 -50.1 -0.472    18.59 19.43 02a57762o0203o 0x000000   -4.181818
57762.302437 18.786693      NaN   -256     37 o    0   1.02 39.01071 43.47206  4686.12  6441.07  3.40  3.38 -59.9 -0.464    18.56 19.38 02a57762o0232o 0x000000   -6.918919
57762.311942 18.786693      NaN   -156     37 o    0   1.02 39.01071 43.47206  4700.53  6322.10  3.46  3.43 -38.6 -0.453    18.53 19.35 02a57762o0251o 0x000000   -4.216216
57762.319027 18.786693      NaN   -162     37 o    0   0.91 39.01071 43.47206  4659.79  6381.92  3.44  3.38 -53.0 -0.462    18.52 19.32 02a57762o0265o 0x000000   -4.378378
57765.313602 18.459772      NaN   -124     50 o    0   1.12 39.01071 43.47206  1647.11  5629.98  3.65  3.43  68.0 -0.457    18.30 18.92 02a57765o0240o 0x100002   -2.480000
57765.325539 18.574166      NaN   -278     45 o    0   1.34 39.01071 43.47206  1620.27  5590.09  3.66  3.51  61.8 -0.442    18.30 18.92 02a57765o0262o 0x100002   -6.177778
57765.338708 18.504094      NaN   -108     48 o    0   1.15 39.01071 43.47206  1677.23  5664.22  3.64  3.48  70.9 -0.452    18.30 18.91 02a57765o0286o 0x100002   -2.250000
57765.353034 18.526952      NaN   -172     47 o    0   1.31 39.01071 43.47206  1706.26  5544.75  3.64  3.46  74.3 -0.446    18.28 18.88 02a57765o0312o 0x100002   -3.659574
57765.367910 18.526952      NaN   -185     47 o    0   1.23 39.01071 43.47206  1662.79  5602.17  3.54  3.33  75.9 -0.475    18.26 18.80 02a57765o0338o 0x100002   -3.936170
57766.287268 18.757738      NaN   -225     38 o    0   0.91 39.01071 43.47206  2369.77  6523.01  3.68  3.52  75.4 -0.439    18.55 19.44 02a57766o0171o 0x000000   -5.921053
57766.294331 18.847027      NaN   -190     35 o    0   1.24 39.01071 43.47206  2355.21  6484.56  3.68  3.53  69.4 -0.438    18.48 19.40 02a57766o0185o 0x000000   -5.428571
57766.320378 18.786693      NaN   -146     37 o    0   1.05 39.01071 43.47206  2410.04  6556.13  3.64  3.50  79.6 -0.438    18.53 19.38 02a57766o0201o 0x000000   -3.945946
57766.341944 18.729535      NaN   -170     39 o    0   0.95 39.01071 43.47206  2427.34  6435.14  3.61  3.50  73.4 -0.442    18.50 19.30 02a57766o0245o 0x000000   -4.358974
