         MJD         m       dm  uJy  duJy F  err  chi/N       RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57699.540705 19.212347      NaN  -51    25 c    0   0.90 79.83454 -17.61159  7565.29  6590.73 3.78 3.56 -88.1 -0.415    19.07 20.81 02a57699o0691c 0x000000  -2.040000
57699.570560 19.401649      NaN  -38    21 c    0   0.75 79.83454 -17.61159  7619.11  6631.95 3.59 3.32 -77.2 -0.448    19.26 20.96 02a57699o0749c 0x000000  -1.809524
57699.584909 19.212347      NaN  -26    25 c    0   0.85 79.83454 -17.61159  7642.54  6515.38 3.57 3.34 -76.6 -0.447    19.10 20.78 02a57699o0777c 0x000000  -1.040000
57699.599227 19.271854      NaN    8    21 c    0   0.82 79.83454 -17.61159  7588.18  6573.21 3.62 3.37 -78.8 -0.439    19.28 20.99 02a57699o0805c 0x000000   0.380952
57715.493036 19.436675      NaN    4    19 c    0   1.00 79.83454 -17.61159  5685.35  4514.90 4.31 4.17  80.5 -0.353    19.39 21.51 02a57715o0609c 0x000000   0.210526
57715.506526 17.341877      NaN -110   140 c    0   1.24 79.83454 -17.61159  5668.24  4478.35 4.15 4.00  83.6 -0.357    17.18 18.99 02a57715o0635c 0x100002  -0.785714
57747.409487 19.674510      NaN    4    15 c    0   1.69 79.83454 -17.61159  5718.54  4777.03 4.10 3.97  12.5 -0.367    19.57 21.61 02a57747o0446c 0x000000   0.266667
57747.422454 19.696897      NaN  -40    16 c    0   1.54 79.83454 -17.61159  5700.65  4741.07 4.46 3.97   3.5 -0.362    19.53 21.64 02a57747o0472c 0x000000  -2.500000
57747.435406 19.841877      NaN  -21    14 c    0   1.35 79.83454 -17.61159  5755.83  4819.88 4.31 4.00   0.3 -0.362    19.57 21.68 02a57747o0498c 0x000000  -1.500000
57747.448372 19.631075      NaN  -14    17 c    0   1.47 79.83454 -17.61159  5776.03  4703.05 4.69 3.98   1.9 -0.357    19.50 21.64 02a57747o0524c 0x000000  -0.823529
57747.461340 19.609992      NaN    4    16 c    0   1.10 79.83454 -17.61159  5741.89  4759.70 4.13 3.90   4.1 -0.375    19.58 21.65 02a57747o0550c 0x000000   0.250000
57755.394732 19.922338      NaN   -3    13 c    0   1.27 79.83454 -17.61159  7891.69  6071.43 3.75 3.48  81.2 -0.408    19.78 21.81 02a57755o0388c 0x000000  -0.230769
57755.407839 19.841877      NaN  -27    14 c    0   1.14 79.83454 -17.61159  7873.97  6033.75 3.75 3.42  86.4 -0.416    19.78 21.79 02a57755o0413c 0x000000  -1.928571
57755.421805 19.922338      NaN  -29    13 c    0   1.25 79.83454 -17.61159  7929.82  6111.74 3.77 3.43  83.2 -0.414    19.76 21.79 02a57755o0439c 0x000000  -2.230769
57755.435438 19.696897      NaN  -12    16 c    0   0.96 79.83454 -17.61159  7949.89  5996.47 3.81 3.49  87.7 -0.409    19.74 21.77 02a57755o0465c 0x000000  -0.750000
57755.448869 19.922338      NaN  -59    13 c    0   0.94 79.83454 -17.61159  7914.85  6053.76 3.77 3.48  86.8 -0.412    19.75 21.78 02a57755o0491c 0x000000  -4.538462
57779.338487 19.766969      NaN  -47    15 c    0   1.09 79.83454 -17.61159  7379.97  6413.37 3.99 3.61  86.3 -0.397    19.74 21.84 02a57779o0239c 0x000000  -3.133333
57779.352666 19.766969      NaN  -34    15 c    0   1.12 79.83454 -17.61159  7362.98  6376.11 4.31 3.65  86.7 -0.392    19.70 21.84 02a57779o0266c 0x000000  -2.266667
57779.367301 19.696897      NaN   -6    16 c    0   0.95 79.83454 -17.61159  7418.96  6453.87 4.18 3.77   3.2 -0.407    19.69 21.83 02a57779o0294c 0x000000  -0.375000
57779.381936 19.569016      NaN  -22    18 c    0   0.92 79.83454 -17.61159  7439.54  6337.22 4.19 3.77   2.2 -0.397    19.66 21.78 02a57779o0322c 0x000000  -1.222222
57779.396458 19.696897      NaN  -21    16 c    0   0.94 79.83454 -17.61159  7406.33  6394.21 4.11 3.79   0.5 -0.394    19.65 21.76 02a57779o0350c 0x000000  -1.312500
57783.333339 19.334813      NaN   16    17 c    0   1.20 79.83454 -17.61159  6458.83  4593.70 4.08 3.80  85.7 -0.396    19.59 21.65 02a57783o0225c 0x000000   0.941176
57783.346980 19.652575      NaN    2    16 c    0   0.97 79.83454 -17.61159  6443.45  4554.67 3.94 3.71  84.1 -0.400    19.61 21.62 02a57783o0251c 0x000000   0.125000
57783.361756 19.510313      NaN  -12    19 c    0   0.91 79.83454 -17.61159  6501.01  4633.27 3.98 3.93  12.8 -0.383    19.55 21.60 02a57783o0279c 0x000000  -0.631579
57783.376501 19.631075      NaN  -19    17 c    0   1.41 79.83454 -17.61159  6522.17  4516.30 4.10 3.86   4.1 -0.381    19.52 21.54 02a57783o0307c 0x000000  -1.117647
57783.391776 19.631075      NaN   -1    17 c    0   0.90 79.83454 -17.61159  6487.64  4573.13 3.95 3.87   5.3 -0.376    19.52 21.52 02a57783o0336c 0x000000  -0.058824
57787.288603 19.302877      NaN  -20    23 c    0   1.06 79.83454 -17.61159  5638.49  3396.39 4.09 3.96  74.4 -0.374    19.11 20.72 02a57787o0141c 0x000000  -0.869565
57787.302473 19.183773      NaN   14    21 c    0   1.28 79.83454 -17.61159  5620.62  3358.03 3.95 3.83  81.1 -0.382    19.18 20.78 02a57787o0169c 0x000000   0.666667
57787.316763 19.454622      NaN  -20    20 c    0   1.45 79.83454 -17.61159  5676.55  3436.35 4.06 3.91  82.3 -0.370    19.16 20.79 02a57787o0197c 0x000000  -1.000000
57787.330159 19.212347      NaN    6    23 c    0   0.98 79.83454 -17.61159  5696.56  3319.02 3.99 3.98  33.0 -0.367    19.16 20.80 02a57787o0222c 0x000000   0.260870
57787.346483 19.401649      NaN  -17    21 c    0   1.05 79.83454 -17.61159  5663.51  3379.64 4.07 3.90   3.6 -0.372    19.14 20.79 02a57787o0254c 0x000000  -0.809524
57803.319870 19.841877      NaN   -2    14 c    0   1.03 79.83454 -17.61159  8476.04  4807.98 3.98 3.64  87.0 -0.391    19.67 21.71 02a57803o0192c 0x000000  -0.142857
57803.331577 19.384550      NaN   13    17 c    0   1.06 79.83454 -17.61159  8440.15  4769.39 3.89 3.55  89.4 -0.397    19.66 21.66 02a57803o0214c 0x000000   0.764706
57803.355415 19.696897      NaN  -24    16 c    0   0.85 79.83454 -17.61159  8535.87  4728.27 3.90 3.62  86.5 -0.401    19.61 21.61 02a57803o0261c 0x000000  -1.500000
57803.367085 19.454622      NaN  -21    20 c    0   0.80 79.83454 -17.61159  8500.30  4784.89 3.93 3.62  86.0 -0.394    19.57 21.57 02a57803o0284c 0x000000  -1.050000
57807.302771 19.766969      NaN  -24    15 c    0   1.38 79.83454 -17.61159  5734.92  6513.18 3.91 3.76  85.8 -0.379    19.61 21.66 02a57807o0146c 0x000000  -1.600000
57807.332797 19.766969      NaN  -36    15 c    0   1.14 79.83454 -17.61159  5793.57  6549.86 3.77 3.66  86.5 -0.398    19.59 21.58 02a57807o0204c 0x000000  -2.400000
57807.347794 19.766969      NaN   -1    15 c    0   1.49 79.83454 -17.61159  5814.31  6431.60 3.71 3.59  80.7 -0.398    19.56 21.52 02a57807o0233c 0x000000  -0.066667
57807.362795 19.569016      NaN  -26    18 c    0   0.96 79.83454 -17.61159  5760.98  6487.11 3.84 3.69  84.0 -0.387    19.46 21.42 02a57807o0262c 0x000000  -1.444444
57811.294581 19.696897      NaN   -3    16 c    0   1.36 79.83454 -17.61159  6036.34  4175.89 3.96 3.75  82.6 -0.415    19.62 21.69 02a57811o0137c 0x000000  -0.187500
57811.308525 19.631075      NaN  -14    17 c    0   1.19 79.83454 -17.61159  6022.80  4133.43 3.89 3.74  88.3 -0.415    19.65 21.71 02a57811o0164c 0x000000  -0.823529
57811.324617 19.696897      NaN   -5    16 c    0   1.08 79.83454 -17.61159  6080.02  4209.34 3.93 3.77 -87.7 -0.414    19.62 21.69 02a57811o0195c 0x000000  -0.312500
57811.339749 19.226921      NaN   20    18 c    0   1.15 79.83454 -17.61159  6099.35  4091.87 3.90 3.73  86.3 -0.417    19.59 21.63 02a57811o0224c 0x000000   1.111111
57811.354751 19.569016      NaN  -22    18 c    0   1.04 79.83454 -17.61159  6062.78  4148.18 3.90 3.74  88.2 -0.421    19.53 21.55 02a57811o0253c 0x000000  -1.222222
57835.274108 19.401649      NaN  -14    21 c    0   1.28 79.83454 -17.61159  6830.83  5857.26 4.04 3.86  86.8 -0.364    18.73 20.53 02a57835o0024c 0x000000  -0.666667
57835.288253 19.128787      NaN  -34    27 c    0   0.89 79.83454 -17.61159  6852.56  5739.24 4.29 4.22   6.1 -0.357    18.64 20.55 02a57835o0052c 0x000000  -1.259259
57835.302513 19.256669      NaN   -2    24 c    0   1.22 79.83454 -17.61159  6816.79  5794.91 4.04 3.87  83.9 -0.373    18.63 20.41 02a57835o0080c 0x000000  -0.083333
57839.233575 19.014394      NaN  -30    30 c    0   0.94 79.83454 -17.61159  6930.15  5353.85 3.95 3.75  87.0 -0.377    18.49 19.91 02a57839o0032c 0x100002  -1.000000
57839.241927 19.454622      NaN  -49    20 c    0   1.89 79.83454 -17.61159  6912.76  5312.73 4.04 3.84  88.2 -0.371    18.76 20.51 02a57839o0048c 0x000000  -2.450000
57839.253476 19.351140      NaN  -86    22 c    0   0.99 79.83454 -17.61159  6969.26  5389.49 4.12 3.93  83.7 -0.367    18.71 20.51 02a57839o0070c 0x000000  -3.909091
57839.267151 18.847027      NaN   36    23 c    0   1.24 79.83454 -17.61159  6986.89  5272.50 4.12 3.96  87.7 -0.369    18.68 20.48 02a57839o0096c 0x000000   1.565217
57839.282954 19.510313      NaN  -14    19 c    0   1.72 79.83454 -17.61159  6950.61  5329.36 3.95 3.77  88.5 -0.378    18.68 20.39 02a57839o0126c 0x000000  -0.736842
57843.233529 19.014394      NaN  -13    30 c    0   1.65 79.83454 -17.61159  7852.41  6842.20 3.67 3.39 -58.6 -0.420    18.27 19.38 02a57843o0006c 0x100002  -0.433333
57843.239280 19.089302      NaN    9    25 c    0   0.84 79.83454 -17.61159  7834.95  6801.02 3.78 3.57 -65.2 -0.445    18.57 20.04 02a57843o0017c 0x000000   0.360000
57843.247612 19.302877      NaN  -18    23 c    0   1.37 79.83454 -17.61159  7888.91  6877.61 4.13 3.98 -86.4 -0.385    18.56 20.20 02a57843o0033c 0x000000  -0.782609
57843.258735 19.089302      NaN  -86    28 c    0   1.05 79.83454 -17.61159  7906.20  6759.73 4.19 4.07 -89.3 -0.377    18.52 20.19 02a57843o0054c 0x100002  -3.071429
57843.272856 19.302877      NaN   -7    23 c    0   1.37 79.83454 -17.61159  7869.41  6815.39 3.90 3.71 -88.1 -0.400    18.57 20.12 02a57843o0081c 0x000000  -0.304348
57847.227770 16.685184      NaN  184   195 c    0   0.73 79.83454 -17.61159  7674.81  5447.64 3.94 3.73 -65.0 -0.464    17.33 17.70 02a57847o0003c 0x100002   0.943590
57847.231953 17.751519      NaN   42    82 c    0   1.13 79.83454 -17.61159  7657.84  5406.31 3.91 3.70 -71.4 -0.426    17.74 18.47 02a57847o0011c 0x100002   0.512195
57847.263237 18.526952      NaN  -12    47 c    0   1.25 79.83454 -17.61159  7692.72  5421.85 3.98 3.80 -87.8 -0.384    17.96 18.92 02a57847o0071c 0x100002  -0.255319
58013.601625 20.321591      NaN  -10     9 c    0   0.78 79.83454 -17.61159  2747.07  1530.64 2.52 2.43  84.2 -0.410    19.75 21.58 02a58013o0837c 0x000000  -1.111111
