         MJD         m       dm    uJy  duJy F  err  chi/N       RA       Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs     Mask    __tmp_SN
57703.521469 19.089302      NaN   -341    28 o    0   0.95 79.83454 -17.61159  6014.61  5180.86  3.40 3.25 -75.5 -0.456    18.91 19.99 02a57703o0666o 0x000000  -12.178571
57703.534360 19.128787      NaN   -401    27 o    0   0.94 79.83454 -17.61159  5997.83  5142.71  3.36 3.20 -67.7 -0.470    18.94 20.05 02a57703o0691o 0x000000  -14.851852
57703.548359 19.212347      NaN   -345    25 o    0   0.85 79.83454 -17.61159  6071.78  5223.15  3.38 3.22 -73.5 -0.469    19.00 20.18 02a57703o0718o 0x000000  -13.800000
57703.562335 19.454622      NaN   -334    20 o    0   1.01 79.83454 -17.61159  6091.71  5106.17  3.41 3.27 -73.2 -0.456    19.18 20.54 02a57703o0745o 0x000000  -16.700000
57703.575796 19.841877      NaN   -392    14 o    0   1.30 79.83454 -17.61159  6038.25  5165.26  3.38 3.25 -77.9 -0.468    19.37 20.94 02a57703o0771o 0x000000  -28.000000
57707.515993 18.504094      NaN   -364    48 o    0   1.19 79.83454 -17.61159  6464.12  3709.10  3.65 3.58 -86.6 -0.400    18.19 18.76 02a57707o0633o 0x000000   -7.583333
57707.529363 18.417189      NaN   -342    52 o    0   1.00 79.83454 -17.61159  6448.02  3670.52  3.82 3.67  -0.3 -0.393    18.13 18.75 02a57707o0659o 0x000000   -6.576923
57707.538132 18.396507      NaN   -396    53 o    0   0.81 79.83454 -17.61159  6504.05  3749.63  3.69 3.52 -88.1 -0.410    18.18 18.74 02a57707o0676o 0x100002   -7.471698
57707.560268 18.504094      NaN   -418    48 o    0   1.14 79.83454 -17.61159  6524.91  3632.36  3.75 3.56 -86.3 -0.396    18.12 18.71 02a57707o0719o 0x000000   -8.708333
57707.563849 18.481707      NaN   -298    49 o    0   1.08 79.83454 -17.61159  6488.41  3687.49  3.64 3.45 -87.7 -0.415    18.16 18.70 02a57707o0726o 0x000000   -6.081633
57711.503569 18.550302      NaN   -421    46 o    0   1.02 79.83454 -17.61159  8502.83  6780.38  3.67 3.40  82.8 -0.441    18.35 19.26 02a57711o0536o 0x000000   -9.152174
57711.516468 18.757738      NaN   -404    38 o    0   0.94 79.83454 -17.61159  8485.30  6744.16  3.75 3.47  88.3 -0.435    18.51 19.56 02a57711o0561o 0x000000  -10.631579
57711.529900 18.125925      NaN   -411    68 o    0   1.34 79.83454 -17.61159  8542.89  6822.77  3.86 3.49  87.2 -0.429    17.79 18.55 02a57711o0587o 0x100002   -6.044118
57711.543323 18.816441      NaN   -333    36 o    0   0.91 79.83454 -17.61159  8562.86  6707.45  3.91 3.73  84.9 -0.420    18.62 19.81 02a57711o0613o 0x000000   -9.250000
57711.556715 19.302877      NaN   -405    23 o    0   1.43 79.83454 -17.61159  8526.51  6765.28  3.79 3.64  81.0 -0.425    18.88 20.15 02a57711o0639o 0x000000  -17.608696
57735.436756 18.396507      NaN   -418    53 o    0   1.12 79.83454 -17.61159  7250.56  5048.00  3.68 3.46  79.5 -0.414    18.10 18.59 02a57735o0380o 0x100002   -7.886792
57735.449563 18.317510      NaN   -338    57 o    0   0.98 79.83454 -17.61159  7213.27  5012.45  3.79 3.52  82.5 -0.405    18.06 18.56 02a57735o0405o 0x100002   -5.929825
57735.462441 18.417189      NaN   -368    52 o    0   1.00 79.83454 -17.61159  7288.36  5092.18  3.65 3.37  86.9 -0.426    18.11 18.56 02a57735o0430o 0x000000   -7.076923
57735.475314 18.459772      NaN   -345    50 o    0   1.24 79.83454 -17.61159  7309.32  4975.31  3.64 3.33  87.7 -0.429    18.10 18.54 02a57735o0455o 0x000000   -6.900000
57735.488651 18.261819      NaN   -343    60 o    0   0.94 79.83454 -17.61159  7274.04  5032.98  3.89 3.76  12.9 -0.410    17.99 18.51 02a57735o0481o 0x100002   -5.716667
57743.480397 19.089302      NaN   -303    28 o    0   1.21 79.83454 -17.61159  6244.94  3793.92  4.78 4.61  85.5 -0.388    18.92 20.73 02a57743o0577o 0x000000  -10.821429
57743.492304 19.401649      NaN   -358    21 o    0   1.04 79.83454 -17.61159  6227.01  3755.17  4.14 3.93 -88.5 -0.387    19.06 20.70 02a57743o0600o 0x000000  -17.047619
57743.504694 19.212347      NaN   -326    25 o    0   1.27 79.83454 -17.61159  6283.18  3831.05  4.43 4.20  85.5 -0.383    18.96 20.61 02a57743o0624o 0x000000  -13.040000
57743.518237 19.169763      NaN   -369    26 o    0   1.30 79.83454 -17.61159  6304.11  3714.23  5.09 4.48  -1.7 -0.361    18.79 20.55 02a57743o0650o 0x000000  -14.192308
