         MJD         m       dm    uJy  duJy F  err  chi/N     RA      Dec       x        y   maj   min   phi  apfit  mag5sig   Sky            Obs     Mask  __tmp_SN
57700.492983 19.169763      NaN   -101    26 o    0   1.25 62.259 -1.16002 3339.16  6525.48  3.49  3.39  34.8 -0.461    18.90 20.29 02a57700o0361o 0x000000 -3.884615
57700.515290 19.089302      NaN   -105    28 o    0   1.52 62.259 -1.16002 3319.53  6485.67  3.49  3.38  34.6 -0.464    18.81 20.18 02a57700o0404o 0x000000 -3.750000
57700.534901 18.623526      NaN    -96    43 o    0   1.02 62.259 -1.16002 3381.95  6564.37  3.40  3.32  18.0 -0.471    18.44 19.79 02a57700o0441o 0x100002 -2.232558
57700.544623 18.550302      NaN   -209    46 o    0   1.71 62.259 -1.16002 3400.13  6445.74  3.49  3.44  49.2 -0.465    18.29 19.67 02a57700o0460o 0x100002 -4.543478
57700.561807 19.051202      NaN    -10    29 o    0   1.14 62.259 -1.16002 3365.34  6502.52  3.36  3.28  11.3 -0.463    18.84 20.19 02a57700o0492o 0x000000 -0.344828
57704.452929 18.847027      NaN    -76    35 o    0   1.46 62.259 -1.16002 2580.81  7122.74  3.64  3.46  39.3 -0.441    18.56 19.43 02a57704o0313o 0x000000 -2.171429
57704.468261 18.878500      NaN    -72    34 o    0   1.33 62.259 -1.16002 2560.88  7082.25  3.55  3.41  37.2 -0.453    18.58 19.43 02a57704o0343o 0x000000 -2.117647
57704.487629 18.878500      NaN    -73    34 o    0   1.48 62.259 -1.16002 2618.95  7161.03  3.56  3.39  41.9 -0.458    18.57 19.42 02a57704o0380o 0x000000 -2.147059
57704.498930 19.014394      NaN    -62    30 o    0   1.91 62.259 -1.16002 2640.67  7045.63  3.54  3.38  44.9 -0.464    18.56 19.40 02a57704o0402o 0x000000 -2.066667
57704.521657 18.816441      NaN    -11    36 o    0   1.09 62.259 -1.16002 2598.62  7103.66  3.47  3.35  29.7 -0.474    18.55 19.37 02a57704o0445o 0x000000 -0.305556
57712.484681 17.190132      NaN     63   140 o    0   1.10 62.259 -1.16002 4133.89  9596.15  3.70  3.42   9.0 -0.422    17.55 18.38 02a57712o0143o 0x100002  0.450000
57712.499332 14.235168      NaN  -2891  2448 o    0   1.15 62.259 -1.16002 4114.20  9556.51  3.96  3.80  24.9 -0.457    14.30 14.75 02a57712o0171o 0x100002 -1.180964
57712.531025 19.169763      NaN    -52    26 o    0   1.66 62.259 -1.16002 4198.07  9516.06  4.00  3.75  14.1 -0.430    18.87 20.30 02a57712o0232o 0x000000 -2.000000
57712.537214 18.336727      NaN    -14    56 o    0   1.07 62.259 -1.16002 4159.03  9573.36  4.15  3.59   3.5 -0.409    18.09 19.34 02a57712o0244o 0x100002 -0.250000
57736.420473 18.280067      NaN    -38    59 o    0   1.03 62.259 -1.16002 3438.45  6313.71  3.34  3.30  16.2 -0.450    18.17 18.59 02a57736o0447o 0x100002 -0.644068
57736.433463 18.174913      NaN    -58    65 o    0   0.97 62.259 -1.16002 3420.86  6275.27  3.34  3.30  21.1 -0.458    18.16 18.56 02a57736o0471o 0x100002 -0.892308
57736.447295 18.120615      NaN     19    62 o    0   1.08 62.259 -1.16002 3478.63  6351.04  3.47  3.37  14.3 -0.467    18.11 18.54 02a57736o0496o 0x100002  0.306452
57743.422989 19.351140      NaN    -79    22 o    0   1.18 62.259 -1.16002 2495.93  6645.55  4.45  4.28  73.5 -0.389    19.16 21.06 02a57743o0466o 0x000000 -3.590909
57743.435938 19.401649      NaN    -41    21 o    0   1.50 62.259 -1.16002 2477.00  6606.44  4.33  4.16  70.9 -0.394    19.18 21.03 02a57743o0491o 0x000000 -1.952381
57743.448879 19.302877      NaN    -14    23 o    0   1.28 62.259 -1.16002 2535.33  6683.23  3.79  3.67  65.0 -0.434    19.20 20.83 02a57743o0516o 0x000000 -0.608696
57743.461793 19.128787      NaN    -74    27 o    0   1.05 62.259 -1.16002 2558.31  6565.95  4.64  4.16   3.7 -0.394    18.95 20.69 02a57743o0541o 0x000000 -2.740741
57743.473656 19.169763      NaN    -26    26 o    0   1.27 62.259 -1.16002 2521.40  6622.52  4.61  4.49  36.9 -0.393    18.86 20.59 02a57743o0564o 0x000000 -1.000000
57764.368201 14.365047      NaN   -795  2172 o    0   1.24 62.259 -1.16002 3422.79  9114.81 13.40  3.65  -0.4 -0.258    16.54 16.25 02a57764o0347o 0x100002 -0.366022
57764.383835 15.535096      NaN    280   646 o    0   0.97 62.259 -1.16002 3481.90  9190.99  3.41  3.14   7.0 -0.500    17.26 17.27 02a57764o0376o 0x100002  0.433437
57764.399499 15.882261      NaN    -22   537 o    0   1.05 62.259 -1.16002 3505.12  9070.91  4.93  3.21   3.2 -0.509    17.20 17.52 02a57764o0405o 0x100002 -0.040968
57764.415516 15.010149      NaN   -681  1199 o    0   1.18 62.259 -1.16002 3468.07  9129.15  5.93  3.58   3.6 -0.433    16.49 16.58 02a57764o0434o 0x100002 -0.567973
57768.329830 16.453408      NaN     85   289 o    0   1.69 62.259 -1.16002 4289.50  7231.34  3.34  3.16  -2.4 -0.510    16.44 16.73 02a57768o0277o 0x100002  0.294118
