         MJD         m       dm   uJy  duJy F  err  chi/N       RA     Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask    __tmp_SN
57716.487559 18.336727      NaN  -336    56 c    0   0.84 69.96139 7.06534   183.54  4457.57 4.36 4.15  60.9 -0.340    18.06 19.95 02a57716o0589c 0x100002   -6.000000
57716.502449 18.336727      NaN  -428    56 c    0   0.92 69.96139 7.06534   163.58  4420.02 4.34 4.08  64.1 -0.344    18.09 19.96 02a57716o0618c 0x100002   -7.642857
57716.505005 18.438271      NaN  -336    51 c    0   1.12 69.96139 7.06534  9979.19  4498.18 4.38 4.08  80.0 -0.381    18.22 20.12 02a57716o0623c 0x100002   -6.588235
57716.508086 18.847027      NaN  -374    35 c    0   0.89 69.96139 7.06534  9960.83  4459.14 4.30 3.97  82.4 -0.398    18.70 20.64 02a57716o0629c 0x100002  -10.685714
57716.518873 19.454622      NaN  -358    20 c    0   1.06 69.96139 7.06534   222.94  4496.99 4.15 3.87  65.9 -0.364    19.21 21.11 02a57716o0650c 0x000000  -17.900000
57716.529170 18.786693      NaN  -402    37 c    0   1.01 69.96139 7.06534 10019.37  4537.63 4.14 3.77  88.1 -0.411    18.63 20.47 02a57716o0670c 0x100002  -10.864865
57716.531236 18.336727      NaN  -437    56 c    0   0.87 69.96139 7.06534   245.67  4379.51 4.17 3.91  66.7 -0.367    18.06 19.83 02a57716o0674c 0x100002   -7.803571
57716.535850 17.797727      NaN  -422    92 c    0   1.12 69.96139 7.06534 10039.15  4420.55 4.06 3.62  89.7 -0.420    17.62 19.33 02a57716o0683c 0x100002   -4.586957
57716.545139 19.128787      NaN  -422    27 c    0   1.17 69.96139 7.06534   209.49  4436.33 4.46 4.25  40.4 -0.344    18.62 20.49 02a57716o0701c 0x100002  -15.629630
57716.558374 18.336727      NaN  -419    56 c    0   1.09 69.96139 7.06534 10004.49  4478.33 4.25 4.17  47.0 -0.385    17.98 19.70 02a57716o0725c 0x100002   -7.482143
57752.396359 16.558716      NaN  -188   288 c    0   0.96 69.96139 7.06534   681.43  4194.20 4.19 3.58  68.2 -0.396    16.31 17.98 02a57752o0363c 0x100002   -0.652778
57752.409426 16.725454      NaN  -165   247 c    0   0.93 69.96139 7.06534 10478.78  4235.68 4.11 3.51  81.8 -0.481    16.89 18.61 02a57752o0388c 0x100002   -0.668016
57752.416039 17.349660      NaN  -557   139 c    0   1.21 69.96139 7.06534   665.50  4156.06 3.95 3.80  85.1 -0.394    17.08 18.74 02a57752o0401c 0x100002   -4.007194
57752.425482 18.142010      NaN  -402    67 c    0   1.39 69.96139 7.06534   724.30  4231.89 3.94 3.79  87.7 -0.389    17.85 19.57 02a57752o0420c 0x100002   -6.000000
57752.426472 18.094452      NaN  -390    70 c    0   0.92 69.96139 7.06534 10461.40  4198.47 4.05 3.46  81.6 -0.439    18.02 19.76 02a57752o0422c 0x100002   -5.571429
57752.435933 17.051069      NaN  -131   183 c    0   7.66 69.96139 7.06534 10522.77  4276.88 4.06 3.51  81.0 -0.474    17.72 19.51 02a57752o0441c 0x100002   -0.715847
57752.441011 16.381698      NaN   -96   339 c    0   0.97 69.96139 7.06534   747.46  4114.37 3.91 3.78  84.2 -0.397    16.20 17.84 02a57752o0451c 0x100002   -0.283186
57752.458468 17.870951      NaN  -466    86 c    0   0.80 69.96139 7.06534   710.26  4170.29 3.89 3.66  85.5 -0.387    17.16 18.90 02a57752o0485c 0x100002   -5.418605
57752.460452 17.422338      NaN  -316   130 c    0   0.98 69.96139 7.06534 10505.44  4215.89 4.01 3.45  81.9 -0.465    18.09 19.81 02a57752o0489c 0x100002   -2.430769
57756.378639 20.009244      NaN  -345    12 c    0   1.05 69.96139 7.06534  2974.11  2842.39 3.83 3.65  77.3 -0.386    19.77 21.74 02a57756o0349c 0x000000  -28.750000
57756.394593 20.009244      NaN  -404    12 c    0   1.15 69.96139 7.06534  2954.67  2802.99 3.82 3.65  76.3 -0.389    19.78 21.74 02a57756o0379c 0x000000  -33.666667
57756.405944 20.009244      NaN  -401    12 c    0   0.99 69.96139 7.06534  3013.76  2879.40 3.82 3.64  79.8 -0.390    19.76 21.72 02a57756o0399c 0x000000  -33.416667
57756.427345 19.841877      NaN  -390    14 c    0   1.01 69.96139 7.06534  3037.91  2760.83 3.84 3.67  81.5 -0.388    19.74 21.69 02a57756o0437c 0x000000  -27.857143
57756.436174 19.841877      NaN  -390    14 c    0   1.05 69.96139 7.06534  3000.14  2819.87 3.82 3.63  79.6 -0.389    19.74 21.68 02a57756o0451c 0x000000  -27.857143
57776.356512 19.766969      NaN  -362    15 c    0   1.00 69.96139 7.06534  1545.62  3608.08 3.92 3.65  75.8 -0.391    19.70 21.69 02a57776o0284c 0x000000  -24.133333
57776.373212 18.786693      NaN  -442    37 c    0   0.99 69.96139 7.06534  1527.51  3568.62 4.08 3.84  78.9 -0.382    19.00 20.94 02a57776o0316c 0x100002  -11.945946
57776.389863 19.841877      NaN  -388    14 c    0   1.07 69.96139 7.06534  1587.84  3644.45 3.98 3.77  77.5 -0.383    19.70 21.70 02a57776o0348c 0x000000  -27.714286
57776.406915 16.451129      NaN -1520   318 c    0   1.25 69.96139 7.06534  1609.27  3526.84 4.01 3.83  74.5 -0.378    15.82 17.54 02a57776o0381c 0x100002   -4.779874
57780.345831 20.009244      NaN  -420    12 c    0   1.10 69.96139 7.06534  1388.33  5141.36 3.92 3.62  66.0 -0.409    19.73 21.69 02a57780o0260c 0x000000  -35.000000
57780.362279 19.922338      NaN  -395    13 c    0   1.13 69.96139 7.06534  1372.53  5101.57 3.90 3.60  64.6 -0.411    19.71 21.66 02a57780o0291c 0x000000  -30.384615
57780.379622 19.696897      NaN  -383    16 c    0   0.94 69.96139 7.06534  1433.53  5176.97 3.92 3.63  66.8 -0.413    19.68 21.62 02a57780o0324c 0x000000  -23.937500
57780.397143 19.922338      NaN  -400    13 c    0   1.25 69.96139 7.06534  1454.68  5060.57 3.86 3.64  63.8 -0.415    19.63 21.53 02a57780o0357c 0x000000  -30.769231
57780.414487 19.766969      NaN  -419    15 c    0   1.03 69.96139 7.06534  1416.99  5117.77 3.93 3.65  62.7 -0.415    19.59 21.47 02a57780o0390c 0x000000  -27.933333
57784.337287 19.766969      NaN  -380    15 c    0   0.80 69.96139 7.06534  3094.76  3321.16 3.96 3.79  77.7 -0.370    19.64 21.61 02a57784o0064c 0x000000  -25.333333
57784.353241 19.922338      NaN  -394    13 c    0   1.19 69.96139 7.06534  3076.12  3282.04 3.95 3.80  81.7 -0.369    19.61 21.59 02a57784o0094c 0x000000  -30.307692
57784.369007 19.841877      NaN  -400    14 c    0   1.23 69.96139 7.06534  3138.13  3357.24 3.97 3.85  82.4 -0.369    19.57 21.55 02a57784o0124c 0x000000  -28.571429
57784.384166 19.631075      NaN  -411    17 c    0   0.81 69.96139 7.06534  3178.72  3240.24 3.99 3.97  74.2 -0.373    19.50 21.48 02a57784o0153c 0x000000  -24.176471
57784.399461 19.766969      NaN  -359    15 c    0   1.02 69.96139 7.06534  3121.78  3297.75 3.95 3.89  85.2 -0.368    19.50 21.44 02a57784o0182c 0x000000  -23.933333
57804.313603 19.169763      NaN  -359    26 c    0   0.99 69.96139 7.06534  9955.02  5689.59 4.02 3.55  88.0 -0.422    19.17 21.06 02a57804o0207c 0x100002  -13.807692
57804.342994 19.696897      NaN  -400    16 c    0   1.06 69.96139 7.06534  9997.34  5727.97 4.06 3.71  83.5 -0.413    19.43 21.33 02a57804o0264c 0x000000  -25.000000
57804.356860 19.631075      NaN  -388    17 c    0   1.18 69.96139 7.06534 10016.96  5610.68 4.12 3.85  77.2 -0.409    19.32 21.20 02a57804o0291c 0x000000  -22.823529
57804.360564 19.569016      NaN  -435    18 c    0   1.02 69.96139 7.06534   186.55  5624.52 4.15 3.96  26.2 -0.358    19.13 20.97 02a57804o0298c 0x000000  -24.166667
57804.371990 18.019544      NaN  -468    75 c    0   0.87 69.96139 7.06534  9978.43  5667.90 4.09 3.74  81.0 -0.430    18.26 19.96 02a57804o0320c 0x100002   -6.240000
57808.290506 18.675237      NaN  -435    41 c    0   1.13 69.96139 7.06534   263.20  4388.66 4.05 3.72  74.9 -0.365    18.02 19.70 02a57808o0135c 0x100002  -10.609756
57808.302259 19.510313      NaN  -399    19 c    0   1.53 69.96139 7.06534 10058.73  4430.44 4.01 3.51  85.3 -0.432    19.10 20.94 02a57808o0158c 0x000000  -21.000000
57808.306283 19.351140      NaN  -377    22 c    0   1.06 69.96139 7.06534   245.73  4347.81 4.03 3.74  76.0 -0.363    19.17 20.94 02a57808o0166c 0x000000  -17.136364
57808.321681 18.757738      NaN  -408    38 c    0   0.85 69.96139 7.06534   305.17  4424.09 4.04 3.76  76.4 -0.370    18.77 20.49 02a57808o0196c 0x100002  -10.736842
57808.337604 14.375596      NaN -2701  2151 c    0   0.98 69.96139 7.06534   324.89  4305.74 3.99 3.72  78.2 -0.405    15.79 17.15 02a57808o0227c 0x100002   -1.255695
57808.348886 16.391349      NaN  -732   336 c    0   0.97 69.96139 7.06534 10122.77  4348.46 3.96 3.54  84.4 -0.453    16.21 17.81 02a57808o0249c 0x100002   -2.178571
57808.364798 17.785989      NaN  -595    93 c    0   1.07 69.96139 7.06534 10083.52  4404.95 3.92 3.46  82.2 -0.468    17.23 18.72 02a57808o0280c 0x100002   -6.397849
57836.240475 19.302877      NaN  -417    23 c    0   0.76 69.96139 7.06534   656.18  4716.38 4.34 3.72  72.1 -0.415    18.61 20.17 02a57836o0024c 0x000000  -18.130435
57836.248867 19.510313      NaN  -392    19 c    0   1.30 69.96139 7.06534 10448.25  4762.41 4.35 3.67  84.9 -0.442    18.70 20.35 02a57836o0040c 0x000000  -20.631579
57836.262053 19.401649      NaN  -415    21 c    0   1.03 69.96139 7.06534 10425.41  4723.52 4.32 3.64  84.1 -0.454    18.69 20.35 02a57836o0065c 0x000000  -19.761905
57836.264673 19.454622      NaN  -386    20 c    0   1.12 69.96139 7.06534   693.10  4752.62 4.36 3.85  78.5 -0.395    18.63 20.24 02a57836o0070c 0x000000  -19.300000
57836.278396 19.169763      NaN  -410    26 c    0   1.01 69.96139 7.06534 10485.76  4800.90 4.37 3.64  83.8 -0.458    18.65 20.29 02a57836o0096c 0x100002  -15.769231
57836.281045 19.351140      NaN  -383    22 c    0   1.10 69.96139 7.06534   715.41  4635.13 4.26 3.83  84.3 -0.397    18.57 20.13 02a57836o0101c 0x000000  -17.409091
57836.293716 18.847027      NaN  -395    35 c    0   0.97 69.96139 7.06534 10509.13  4682.52 4.61 4.10  78.3 -0.428    18.42 20.21 02a57836o0125c 0x100002  -11.285714
57836.296313 19.256669      NaN  -400    24 c    0   1.21 69.96139 7.06534   679.29  4691.95 4.58 4.23  85.5 -0.344    18.43 20.04 02a57836o0130c 0x000000  -16.666667
57836.308988 19.128787      NaN  -399    27 c    0   1.15 69.96139 7.06534 10466.62  4740.77 4.33 3.74  80.4 -0.443    18.54 20.14 02a57836o0154c 0x100002  -14.777778
57840.233497 19.089302      NaN  -467    28 c    0   1.20 69.96139 7.06534   877.97  4291.99 4.12 3.59  65.4 -0.452    18.33 19.46 02a57840o0010c 0x100002  -16.678571
57840.240304 19.256669      NaN  -330    24 c    0   0.83 69.96139 7.06534   856.94  4253.30 4.23 3.69  66.1 -0.408    18.58 20.04 02a57840o0023c 0x000000  -13.750000
57840.250891 19.401649      NaN  -382    21 c    0   1.12 69.96139 7.06534   913.87  4330.02 4.15 3.63  66.1 -0.404    18.61 20.11 02a57840o0043c 0x000000  -18.190476
57840.264528 19.510313      NaN  -409    19 c    0   1.23 69.96139 7.06534   934.15  4211.72 4.20 3.74  69.3 -0.387    18.56 20.09 02a57840o0069c 0x000000  -21.526316
57840.281243 19.256669      NaN  -386    24 c    0   0.93 69.96139 7.06534   897.72  4267.82 4.27 3.89  72.3 -0.387    18.47 20.06 02a57840o0101c 0x000000  -16.083333
58018.536967 20.761819      NaN  -360     6 c    0   1.23 69.96139 7.06534  2436.97  2839.47 2.61 2.44 -50.5 -0.382    19.65 21.37 02a58018o0373c 0x000000  -60.000000
58018.543676 20.321591      NaN  -351     9 c    0   0.84 69.96139 7.06534  2455.84  2879.88 2.67 2.48 -53.8 -0.375    19.68 21.42 02a58018o0387c 0x000000  -39.000000
58018.550901 21.954622      NaN  -418     2 c    0   2.09 69.96139 7.06534  2397.42  2804.42 2.63 2.48 -54.0 -0.379    19.66 21.42 02a58018o0402c 0x000000 -209.000000
58018.557603 21.202047      NaN  -391     4 c    0   1.36 69.96139 7.06534  2377.97  2922.35 2.66 2.49 -57.0 -0.379    19.64 21.45 02a58018o0416c 0x000000  -97.750000
58019.584880 21.954622      NaN  -413     2 c    0   2.73 69.96139 7.06534  7989.78  9470.10 2.57 2.44  34.4 -0.431    19.77 21.46 02a58019o0732c 0x000000 -206.500000
58019.594451 20.594452      NaN  -353     7 c    0   1.07 69.96139 7.06534  8007.81  9511.80 2.56 2.43  43.3 -0.427    19.75 21.48 02a58019o0749c 0x000000  -50.428571
58019.603416 20.761819      NaN  -362     6 c    0   2.10 69.96139 7.06534  7929.76  9434.35 2.59 2.49  33.8 -0.417    19.77 21.51 02a58019o0766c 0x000000  -60.333333
58019.612796 20.959772      NaN  -372     5 c    0   1.42 69.96139 7.06534  7909.84  9553.24 2.54 2.45  41.9 -0.432    19.80 21.52 02a58019o0783c 0x000000  -74.400000
58071.492647 15.592386 0.009805  2104    19 c    0   6.66 69.96139 7.06534  1085.47  1285.56 2.97 2.47  44.8 -0.501    19.74 21.53 02a58071o0535c 0x000000  110.736842
