         MJD         m       dm    uJy  duJy F  err  chi/N       RA     Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57700.514759 19.014394      NaN   -233    30 o    0   1.13 69.96139 7.06534  1915.84  3084.03  3.71 3.54  72.5 -0.432    18.85 20.22 02a57700o0403o 0x000000  -7.766667
57700.528711 18.623526      NaN   -212    43 o    0   1.08 69.96139 7.06534  1896.11  3047.19  3.73 3.55  73.7 -0.429    18.50 19.86 02a57700o0429o 0x000000  -4.930233
57700.545665 18.550302      NaN   -236    46 o    0   1.23 69.96139 7.06534  1956.49  3123.67  3.74 3.55  74.6 -0.428    18.19 19.53 02a57700o0462o 0x100002  -5.130435
57700.561292 19.089302      NaN   -256    28 o    0   0.90 69.96139 7.06534  1979.34  3007.75  3.68 3.52  78.3 -0.435    18.90 20.28 02a57700o0491o 0x000000  -9.142857
57700.578264 19.169763      NaN   -256    26 o    0   1.18 69.96139 7.06534  1941.35  3064.28  3.69 3.51  76.9 -0.438    18.91 20.25 02a57700o0522o 0x000000  -9.846154
57704.470322 18.878500      NaN   -266    34 o    0   1.15 69.96139 7.06534  1163.39  3683.65  3.77 3.55  72.8 -0.430    18.64 19.53 02a57704o0347o 0x000000  -7.823529
57704.491220 18.847027      NaN   -243    35 o    0   0.87 69.96139 7.06534  1144.90  3647.00  3.78 3.56  73.2 -0.430    18.64 19.54 02a57704o0387o 0x000000  -6.942857
57704.496879 18.878500      NaN   -193    34 o    0   1.26 69.96139 7.06534  1203.32  3724.98  3.93 3.71  71.5 -0.419    18.58 19.55 02a57704o0398o 0x000000  -5.676471
57704.522174 18.878500      NaN   -249    34 o    0   1.04 69.96139 7.06534  1217.16  3606.49  3.81 3.54  71.9 -0.432    18.64 19.53 02a57704o0446o 0x000000  -7.323529
57704.525469 18.910912      NaN   -273    33 o    0   1.02 69.96139 7.06534  1178.08  3663.47  3.77 3.50  71.6 -0.429    18.65 19.52 02a57704o0452o 0x000000  -8.272727
57712.499841 15.396068      NaN     67   818 o    0   1.12 69.96139 7.06534  2714.39  6144.42  3.91 3.77  72.8 -0.374    15.17 15.61 02a57712o0172o 0x100002   0.081907
57712.510501 11.365044      NaN -11117 34424 o    0   1.18 69.96139 7.06534  2695.83  6105.59  3.85 3.75 -67.8 -0.411    12.16 12.47 02a57712o0192o 0x100002  -0.322943
57712.530519 19.128787      NaN   -248    27 o    0   1.11 69.96139 7.06534  2754.01  6182.86  4.01 3.86  72.5 -0.404    18.76 20.14 02a57712o0231o 0x000000  -9.185185
57712.536700 18.598565      NaN   -252    44 o    0   0.93 69.96139 7.06534  2773.35  6064.94  3.90 3.76  74.2 -0.410    18.32 19.60 02a57712o0243o 0x000000  -5.727273
57712.554659 17.274231      NaN   -478   149 o    0   0.98 69.96139 7.06534  2738.95  6121.07  3.75 3.65  75.3 -0.424    17.27 18.00 02a57712o0278o 0x100002  -3.208054
57764.386999 16.492893      NaN   -568   306 o    0   1.48 69.96139 7.06534  2006.78  5668.48  3.58 3.40  73.5 -0.506    17.03 16.77 02a57764o0382o 0x100002  -1.856209
57764.402506 16.620775      NaN   -216   272 o    0   1.54 69.96139 7.06534  2065.21  5745.23  3.54 3.36  67.4 -0.460    17.01 16.75 02a57764o0411o 0x100002  -0.794118
57764.435938 15.270150      NaN    332   833 o    0   2.30 69.96139 7.06534  2052.09  5683.27 24.22 2.17  -1.5 -0.355    16.40 16.17 02a57764o0469o 0x100002   0.398559
57768.359068 14.942854      NaN   1277   850 o    0   0.94 69.96139 7.06534  2866.17  3792.12  3.58 3.44  83.2 -0.431    15.17 15.16 02a57768o0332o 0x100002   1.502353
57768.375874 17.224385      NaN   -464   156 o    0   0.88 69.96139 7.06534  2849.60  3754.56  3.51 3.41  81.2 -0.462    17.07 17.37 02a57768o0363o 0x100002  -2.974359
57768.392838 14.889435      NaN   1035   995 o    0   1.08 69.96139 7.06534  2908.27  3830.27  3.52 3.44  87.0 -0.438    15.04 14.91 02a57768o0394o 0x100002   1.040201
57768.410269 15.438668      NaN   -766   808 o    0   1.32 69.96139 7.06534  2929.18  3712.19  3.58 3.45  89.0 -0.455    15.32 15.17 02a57768o0425o 0x100002  -0.948020
57768.427660 16.901649      NaN   -342   210 o    0   1.05 69.96139 7.06534  2892.78  3768.06  3.62 3.50  80.7 -0.442    16.75 16.90 02a57768o0456o 0x100002  -1.628571
57788.291127 19.169763      NaN   -243    26 o    0   1.32 69.96139 7.06534   436.94  5995.38  3.87 3.55  80.7 -0.418    18.82 19.95 02a57788o0183o 0x000000  -9.346154
57788.302929 18.944322      NaN   -246    32 o    0   0.81 69.96139 7.06534 10233.63  6034.87  4.05 3.12  88.6 -0.474    18.87 20.08 02a57788o0204o 0x000000  -7.687500
57788.305677 18.944322      NaN   -247    32 o    0   1.00 69.96139 7.06534   419.82  5956.40  3.82 3.53  81.9 -0.421    18.74 19.80 02a57788o0209o 0x000000  -7.718750
57788.318414 18.978793      NaN   -247    31 o    0   0.97 69.96139 7.06534 10215.83  5996.16  3.96 2.97  89.4 -0.484    18.84 19.96 02a57788o0231o 0x000000  -7.967742
57788.321790 18.944322      NaN   -261    32 o    0   0.94 69.96139 7.06534   479.80  6032.72  3.74 3.50  78.9 -0.422    18.75 19.78 02a57788o0237o 0x000000  -8.156250
57788.336637 18.944322      NaN   -328    32 o    0   1.03 69.96139 7.06534 10276.58  6075.52  3.97 3.09  87.5 -0.468    18.81 19.93 02a57788o0262o 0x000000 -10.250000
57788.340104 19.014394      NaN   -234    30 o    0   0.99 69.96139 7.06534   501.17  5913.79  3.74 3.52  79.3 -0.427    18.71 19.73 02a57788o0268o 0x000000  -7.800000
57788.354940 18.878500      NaN   -233    34 o    0   1.00 69.96139 7.06534 10296.60  5957.81  3.93 3.03  87.2 -0.474    18.77 19.83 02a57788o0293o 0x000000  -6.852941
57788.359013 18.847027      NaN   -261    35 o    0   0.94 69.96139 7.06534   463.65  5971.55  3.73 3.48  81.8 -0.425    18.67 19.64 02a57788o0300o 0x000000  -7.457143
57788.373867 18.816441      NaN   -275    36 o    0   0.88 69.96139 7.06534 10258.87  6015.77  3.86 2.90  87.6 -0.487    18.77 19.79 02a57788o0325o 0x000000  -7.638889
57800.298586 19.351140      NaN   -262    22 o    0   0.99 69.96139 7.06534   288.38  5513.99  3.98 3.49  56.2 -0.445    19.31 20.96 02a57800o0010o 0x000000 -11.909091
57800.306166 19.569016      NaN   -256    18 o    0   1.25 69.96139 7.06534 10080.78  5556.73  3.89 3.19 -85.5 -0.440    19.33 21.01 02a57800o0025o 0x000000 -14.222222
57800.307169 19.454622      NaN   -206    20 o    0   1.10 69.96139 7.06534   268.87  5475.45  3.94 3.44  62.5 -0.441    19.30 20.93 02a57800o0027o 0x000000 -10.300000
57800.317323 19.302877      NaN   -266    23 o    0   0.86 69.96139 7.06534 10062.25  5517.81  3.98 3.42  88.6 -0.450    19.31 21.02 02a57800o0047o 0x000000 -11.565217
57800.317825 19.302877      NaN   -219    23 o    0   0.80 69.96139 7.06534   328.55  5552.36  3.92 3.41  67.3 -0.433    19.30 20.92 02a57800o0048o 0x000000  -9.521739
57800.329807 19.302877      NaN   -252    23 o    0   0.76 69.96139 7.06534 10120.97  5594.40  3.93 3.41  87.2 -0.454    19.27 20.92 02a57800o0071o 0x000000 -10.956522
