         MJD         m       dm   uJy  duJy F  err  chi/N        RA      Dec       x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  __tmp_SN
57870.398435 20.207197      NaN   -28    10 c    0   1.09 175.70687 77.37022 1458.61  3970.25 2.56 2.36  10.5 -0.470    19.30 20.47 02a57870o0262c 0x000000 -2.800000
57870.420597 20.103715      NaN   -46    11 c    0   1.14 175.70687 77.37022 1435.13  3928.29 2.45 2.29  10.5 -0.480    19.31 20.46 02a57870o0304c 0x000000 -4.181818
57870.440076 20.103715      NaN   -39    11 c    0   1.13 175.70687 77.37022 1499.56  3988.37 2.47 2.35  16.0 -0.471    19.24 20.38 02a57870o0341c 0x000000 -3.545455
57870.440597 20.103715      NaN   -31    11 c    0   1.52 175.70687 77.37022 1512.94  3870.20 2.49 2.34   9.2 -0.472    19.23 20.37 02a57870o0342c 0x000000 -2.818182
57870.451624 20.321591      NaN   -44     9 c    0   1.67 175.70687 77.37022 1475.06  3933.21 2.56 2.37  12.9 -0.476    19.21 20.29 02a57870o0363c 0x000000 -4.888889
58194.425748 19.351140 0.164505    66    10 c    0   1.00 175.70687 77.37022 1862.86  4226.36 2.47 2.33  47.6 -0.425    19.61 21.39 02a58194o0455c 0x000000  6.600000
58194.429398 19.529530 0.193881    56    10 c    0   1.50 175.70687 77.37022 1841.52  4188.67 2.40 2.30  54.4 -0.432    19.63 21.37 02a58194o0463c 0x000000  5.600000
58194.444795 20.137125 0.339293    32    10 c    0   1.37 175.70687 77.37022 1897.79  4253.28 2.45 2.31  49.6 -0.424    19.65 21.36 02a58194o0496c 0x000000  3.200000
58194.447991 19.589310 0.184370    53     9 c    0   1.54 175.70687 77.37022 1919.11  4133.55 2.42 2.32  50.2 -0.426    19.63 21.35 02a58194o0503c 0x000000  5.888889
58196.467442 11.721725      NaN 25038 16439 c    0   0.88 175.70687 77.37022 7716.50 10011.15 3.31 2.46  37.5 -0.432    16.62 18.70 02a58196o0520c 0x100002  1.523085
58196.485851 12.405872      NaN  9899  9899 c    0   1.08 175.70687 77.37022 8106.75   251.24 3.01 2.55  50.3 -0.415    12.27 14.44 02a58196o0559c 0x100002  1.000000
58196.494234 16.566282      NaN   195   221 c    0   1.46 175.70687 77.37022 7761.30  9934.71 2.65 2.43  29.2 -0.445    17.55 19.63 02a58196o0577c 0x100002  0.882353
58196.503040 19.652575 0.347436    50    16 c    0   1.13 175.70687 77.37022 8138.26   133.04 3.07 2.51  46.9 -0.399    19.48 21.48 02a58196o0596c 0x000000  3.125000
58224.463570 19.569016      NaN    18    12 c    0   1.33 175.70687 77.37022 5875.85   359.14 2.76 2.47 -66.6 -0.373    19.46 21.13 02a58224o0124c 0x000000  1.500000
58224.464482 20.009244      NaN   -12    12 c    0   1.59 175.70687 77.37022 6221.26 10203.29 2.75 2.56  46.0 -0.415    19.55 21.24 02a58224o0126c 0x000000 -1.000000
58224.465850 20.171596      NaN     1    10 c    0   1.46 175.70687 77.37022 5894.30   243.47 2.62 2.48 -85.1 -0.407    19.44 21.14 02a58224o0129c 0x000000  0.100000
58224.474241 18.243872      NaN    81    34 c    0   1.95 175.70687 77.37022 6233.37 10086.29 2.65 2.44  37.3 -0.441    19.05 20.70 02a58224o0147c 0x100002  2.382353
58251.473267 20.137125      NaN     2    10 c    0   1.84 175.70687 77.37022 7010.18  9990.43 2.75 2.50  22.1 -0.427    19.53 21.27 02a58251o0524c 0x000000  0.200000
58251.473724 19.302877      NaN    30    13 c    0   1.34 175.70687 77.37022 7071.38   155.77 2.81 2.66  67.0 -0.392    19.52 21.23 02a58251o0525c 0x000000  2.307692
58251.487699 20.009244      NaN    -7    12 c    0   1.14 175.70687 77.37022 7073.20   158.54 2.63 2.53  86.3 -0.414    19.50 21.19 02a58251o0553c 0x000000 -0.583333
58251.491675 19.589310      NaN    17    12 c    0   1.44 175.70687 77.37022 7006.75  9997.96 2.76 2.57  14.2 -0.416    19.51 21.22 02a58251o0561c 0x000000  1.416667
58251.502895 20.009244      NaN   -12    12 c    0   1.45 175.70687 77.37022 7002.06 10007.37 2.73 2.51  11.3 -0.422    19.50 21.20 02a58251o0584c 0x000000 -1.000000
58251.503352 20.103715      NaN   -24    11 c    0   1.98 175.70687 77.37022 7064.60   171.18 2.64 2.60  67.5 -0.408    19.47 21.18 02a58251o0585c 0x000000 -2.181818
58251.512107 19.841877      NaN   -10    14 c    0   1.04 175.70687 77.37022 7009.95 10016.77 2.67 2.49   4.7 -0.426    19.46 21.16 02a58251o0603c 0x000000 -0.714286
58251.512564 19.743105      NaN    13    11 c    0   2.09 175.70687 77.37022 7072.49   181.40 2.53 2.52 -57.1 -0.415    19.49 21.15 02a58251o0604c 0x000000  1.181818
58252.422312 19.922338      NaN   -14    13 c    0   0.98 175.70687 77.37022 7021.80  9988.63 2.72 2.45  37.5 -0.432    19.58 21.25 02a58252o0393c 0x000000 -1.076923
58252.422769 20.009244      NaN   -29    12 c    0   1.29 175.70687 77.37022 7075.69   154.15 2.67 2.49  60.5 -0.422    19.52 21.15 02a58252o0394c 0x000000 -2.416667
58252.439117 19.841877      NaN     3    13 c    0   1.30 175.70687 77.37022 7078.83   151.95 2.66 2.47  64.1 -0.418    19.54 21.14 02a58252o0428c 0x000000  0.230769
58252.447725 19.841877      NaN    -1    14 c    0   1.18 175.70687 77.37022 7016.29  9987.35 2.68 2.43  34.9 -0.442    19.55 21.19 02a58252o0446c 0x000000 -0.071429
58252.448181 19.922338      NaN   -11    13 c    0   1.22 175.70687 77.37022 7070.45   150.83 2.69 2.53  61.5 -0.420    19.48 21.13 02a58252o0447c 0x000000 -0.846154
58252.448636 19.922338      NaN   -24    13 c    0   0.84 175.70687 77.37022 7010.89  9979.83 2.69 2.45  31.9 -0.429    19.55 21.19 02a58252o0448c 0x000000 -1.846154
58252.466602 19.841877      NaN   -20    14 c    0   1.02 175.70687 77.37022 7074.57   151.49 2.68 2.52  70.8 -0.415    19.48 21.11 02a58252o0483c 0x000000 -1.428571
58252.467059 19.922338      NaN   -24    13 c    0   1.13 175.70687 77.37022 7013.43  9983.46 2.71 2.48  28.3 -0.427    19.51 21.16 02a58252o0484c 0x000000 -1.846154
58256.371395 20.321591      NaN    -9     9 c    0   1.56 175.70687 77.37022 5960.85  1722.98 2.73 2.62 -73.9 -0.395    19.48 21.38 02a58256o0156c 0x000000 -1.000000
58256.387243 20.103715      NaN   -11    11 c    0   1.28 175.70687 77.37022 5933.96  1674.67 2.78 2.66 -71.5 -0.400    19.48 21.36 02a58256o0190c 0x000000 -1.000000
58256.389980 20.009244      NaN     0    12 c    0   0.98 175.70687 77.37022 6005.67  1756.36 2.72 2.65  79.5 -0.405    19.47 21.36 02a58256o0196c 0x000000  0.000000
58256.406262 20.207197      NaN    -7    10 c    0   1.48 175.70687 77.37022 6022.66  1633.99 2.62 2.50 -84.8 -0.403    19.55 21.33 02a58256o0231c 0x000000 -0.700000
58280.391388 20.103715      NaN   -33    11 c    0   1.64 175.70687 77.37022 8581.80  1419.34 2.80 2.59  59.3 -0.406    19.47 21.22 02a58280o0318c 0x000000 -3.000000
58284.359607 19.922338      NaN   -31    13 c    0   1.34 175.70687 77.37022 5547.55  1993.36 3.59 3.33  44.5 -0.369    19.23 21.30 02a58284o0250c 0x000000 -2.384615
58284.360979 20.009244      NaN    -2    12 c    0   1.17 175.70687 77.37022 5521.99  1949.10 2.88 2.71  47.8 -0.388    19.40 21.29 02a58284o0253c 0x000000 -0.166667
58284.379637 19.922338      NaN   -34    13 c    0   1.19 175.70687 77.37022 5589.61  2026.42 2.84 2.64  47.1 -0.404    19.24 21.07 02a58284o0291c 0x000000 -2.615385
58284.388044 19.922338      NaN   -21    13 c    0   0.81 175.70687 77.37022 5603.10  1913.43 2.65 2.50  44.2 -0.406    19.31 21.02 02a58284o0309c 0x000000 -1.615385
58308.367163 19.696897      NaN   -29    16 c    0   1.76 175.70687 77.37022 8887.36   428.13 2.92 2.67  34.9 -0.386    19.45 21.19 02a58308o0019c 0x000000 -1.812500
58312.320051 19.841877      NaN   -23    14 c    0   1.62 175.70687 77.37022 7833.89 10281.70 2.76 2.45  33.3 -0.430    19.37 21.00 02a58312o0165c 0x000000 -1.642857
58312.329624 19.696897      NaN   -29    16 c    0   1.22 175.70687 77.37022 8293.97   489.11 2.70 2.67  56.1 -0.393    19.44 21.15 02a58312o0185c 0x000000 -1.812500
58312.330082 19.841877      NaN   -31    14 c    0   1.15 175.70687 77.37022 7818.97 10239.29 2.76 2.50  29.3 -0.410    19.47 21.14 02a58312o0186c 0x000000 -2.214286
58312.336758 19.696897      NaN   -55    16 c    0   1.19 175.70687 77.37022 8273.28   441.53 2.83 2.59  44.4 -0.401    19.44 21.15 02a58312o0200c 0x000000 -3.437500
58312.339081 20.009244      NaN   -35    12 c    0   1.67 175.70687 77.37022 7864.62 10321.52 2.84 2.52  28.2 -0.416    19.42 21.17 02a58312o0205c 0x000000 -2.916667
