         MJD         m       dm    uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57759.680117 16.910300      NaN     82   181 o    0   1.00 175.70687 77.37022  2043.27  4220.14 3.72 3.48 -79.6 -0.419    17.17 16.77 02a57759o0109o 0x100002   0.453039
57799.540430 18.336727      NaN   -197    56 o    0   1.49 175.70687 77.37022  9300.31  6760.73 3.58 3.35  72.4 -0.596    18.60 20.10 01a57799o0574o 0x100002  -3.517857
57799.562844 18.243872      NaN   -185    61 o    0   1.23 175.70687 77.37022  9324.87  6802.74 3.67 3.34  75.9 -0.596    18.57 20.08 01a57799o0615o 0x100002  -3.032787
57799.565484 18.208845      NaN   -252    63 o    0   1.46 175.70687 77.37022  9254.80  6741.20 4.05 3.55  86.1 -0.643    18.51 20.08 01a57799o0620o 0x100002  -4.000000
57799.584462 18.079051      NaN   -211    71 o    0   1.07 175.70687 77.37022  9247.94  6866.33 3.71 3.38  74.5 -0.603    18.54 20.06 01a57799o0655o 0x100002  -2.971831
57801.531468 18.481707      NaN   -285    49 o    0   1.23 175.70687 77.37022  6703.64  7754.00 5.25 5.09  86.7 -0.555    18.18 20.15 01a57801o0537o 0x000000  -5.816327
57801.547119 18.376212      NaN   -299    54 o    0   1.18 175.70687 77.37022  6724.20  7793.46 3.67 3.61 -78.6 -0.646    18.51 20.10 01a57801o0565o 0x000000  -5.537037
57801.557401 18.550302      NaN   -263    46 o    0   1.58 175.70687 77.37022  6661.60  7724.08 3.64 3.56  85.6 -0.639    18.53 20.09 01a57801o0584o 0x000000  -5.717391
57801.567110 18.459772      NaN   -312    50 o    0   1.38 175.70687 77.37022  6638.37  7845.11 3.56 3.51 -81.7 -0.646    18.52 20.06 01a57801o0603o 0x000000  -6.240000
57802.531524 18.396507      NaN   -220    53 o    0   1.34 175.70687 77.37022  6705.05  7754.39 4.21 3.97 -85.5 -0.584    18.37 19.99 01a57802o0538o 0x000000  -4.150943
57802.547094 18.417189      NaN   -304    52 o    0   1.46 175.70687 77.37022  6725.41  7794.65 3.98 3.81 -86.5 -0.594    18.38 19.93 01a57802o0566o 0x000000  -5.846154
57802.557855 18.396507      NaN   -334    53 o    0   1.40 175.70687 77.37022  6662.85  7724.41 4.40 4.20 -81.4 -0.571    18.29 19.92 01a57802o0585o 0x000000  -6.301887
57802.567131 18.298627      NaN   -257    58 o    0   1.29 175.70687 77.37022  6639.51  7846.82 4.78 4.48 -73.7 -0.552    18.19 19.86 01a57802o0603o 0x100002  -4.431034
57803.512914 18.574166      NaN   -338    45 o    0   1.37 175.70687 77.37022  7750.45  5183.53 4.59 4.18  80.9 -0.592    18.54 20.46 01a57803o0395o 0x000000  -7.511111
57803.523189 18.481707      NaN   -315    49 o    0   1.17 175.70687 77.37022  7770.34  5222.57 4.96 4.53  86.8 -0.576    18.45 20.46 01a57803o0415o 0x000000  -6.428571
57803.543030 18.623526      NaN   -294    43 o    0   1.40 175.70687 77.37022  7714.61  5157.11 4.31 4.01  81.5 -0.585    18.57 20.45 01a57803o0451o 0x000000  -6.837209
57803.553080 18.623526      NaN   -422    43 o    0   1.53 175.70687 77.37022  7700.24  5277.70 4.08 3.77  86.6 -0.595    18.62 20.43 01a57803o0469o 0x000000  -9.813953
57805.510223 18.598565      NaN   -200    44 o    0   1.27 175.70687 77.37022  9579.77  5401.49 4.09 3.43  86.8 -0.601    18.62 20.41 01a57805o0523o 0x000000  -4.545455
57805.521859 18.574166      NaN   -169    45 o    0   1.23 175.70687 77.37022  9603.67  5438.64 4.26 3.52  85.6 -0.610    18.59 20.43 01a57805o0542o 0x000000  -3.755556
57805.533712 18.550302      NaN   -268    46 o    0   1.07 175.70687 77.37022  9538.91  5378.43 3.95 3.35  87.4 -0.604    18.59 20.31 01a57805o0562o 0x000000  -5.826087
57805.549123 18.649074      NaN   -195    42 o    0   1.32 175.70687 77.37022  9528.59  5503.23 3.86 3.35  84.2 -0.623    18.56 20.24 01a57805o0589o 0x000000  -4.642857
57805.586021 18.336727      NaN    -98    56 o    0   1.24 175.70687 77.37022    56.21  5638.33 4.97 4.49  83.1 -0.404    18.54 20.33 01a57805o0657o 0x100002  -1.750000
57805.595610 17.637125 0.166253    320    49 o    0  16.00 175.70687 77.37022    80.07  5681.68 5.00 4.49  86.6 -0.405    18.52 20.34 01a57805o0676o 0x100001   6.530612
57807.502946 18.847027      NaN   -241    35 o    0   1.25 175.70687 77.37022  7475.81  6169.39 3.89 3.50 -85.0 -0.577    18.88 20.88 01a57807o0452o 0x000000  -6.885714
57807.514695 18.910912      NaN   -298    33 o    0   1.32 175.70687 77.37022  7495.29  6207.49 4.03 3.73 -86.2 -0.585    18.84 20.89 01a57807o0472o 0x000000  -9.030303
57811.531426 18.729535      NaN   -220    39 o    0   1.28 175.70687 77.37022  7283.79  6313.90 3.95 3.72  88.9 -0.590    18.79 20.74 01a57811o0018o 0x000000  -5.641026
57817.508956 19.169763      NaN   -234    26 o    0   1.26 175.70687 77.37022  8043.01  5566.52 4.08 3.66 -53.7 -0.443    18.82 20.97 01a57817o0512o 0x000000  -9.000000
57817.521923 19.128787      NaN   -216    27 o    0   1.15 175.70687 77.37022  7983.10  5502.85 4.00 3.55 -49.3 -0.455    18.85 20.96 01a57817o0535o 0x000000  -8.000000
57817.534225 19.212347      NaN   -294    25 o    0   1.17 175.70687 77.37022  7968.26  5626.10 4.00 3.50 -47.9 -0.454    18.88 20.99 01a57817o0556o 0x000000 -11.760000
57819.462374 18.847027      NaN   -182    35 o    0   1.57 175.70687 77.37022  6561.69  5603.75 4.09 3.84 -60.6 -0.435    18.32 19.95 01a57819o0466o 0x000000  -5.200000
57819.474054 18.729535      NaN   -298    39 o    0   1.18 175.70687 77.37022  6581.06  5642.62 4.32 4.08 -59.1 -0.423    18.29 19.99 01a57819o0487o 0x000000  -7.641026
57819.486492 18.816441      NaN   -254    36 o    0   1.32 175.70687 77.37022  6528.89  5573.54 3.93 3.63 -58.0 -0.448    18.43 20.05 01a57819o0509o 0x000000  -7.055556
57819.498632 18.878500      NaN   -256    34 o    0   1.40 175.70687 77.37022  6506.11  5693.79 3.91 3.63 -57.7 -0.447    18.47 20.11 01a57819o0532o 0x000000  -7.529412
57827.465164 18.598565      NaN   -250    44 o    0   1.10 175.70687 77.37022  8920.55  6399.96 3.56 3.48  -6.1 -0.472    18.26 19.60 01a57827o0466o 0x000000  -5.681818
57827.468584 18.702047      NaN   -191    40 o    0   1.13 175.70687 77.37022  8943.93  6436.18 3.46 3.32  -4.0 -0.472    18.30 19.60 01a57827o0473o 0x000000  -4.775000
57827.486518 18.729535      NaN   -281    39 o    0   1.40 175.70687 77.37022  8877.34  6375.93 3.48 3.37  -0.5 -0.476    18.28 19.58 01a57827o0507o 0x000000  -7.205128
57827.507376 18.598565      NaN   -211    44 o    0   1.26 175.70687 77.37022  8871.71  6505.74 3.48 3.24 -14.1 -0.489    18.27 19.55 01a57827o0547o 0x000000  -4.795455
57829.446368 18.702047      NaN   -202    40 o    0   1.06 175.70687 77.37022  8312.27  7007.56 3.67 3.56   6.2 -0.469    18.39 19.95 01a57829o0410o 0x000000  -5.050000
57829.458527 18.847027      NaN   -217    35 o    0   1.21 175.70687 77.37022  8336.25  7045.83 3.52 3.40   1.8 -0.485    18.45 19.96 01a57829o0429o 0x000000  -6.200000
57829.481626 18.847027      NaN   -191    35 o    0   1.29 175.70687 77.37022  8255.32  7104.23 3.47 3.32  -4.8 -0.482    18.46 19.96 01a57829o0470o 0x000000  -5.457143
57831.451876 19.014394      NaN   -258    30 o    0   1.15 175.70687 77.37022  6654.63  7320.30 3.38 3.16  16.9 -0.487    18.74 20.40 01a57831o0426o 0x000000  -8.600000
57831.464922 19.051202      NaN   -244    29 o    0   1.10 175.70687 77.37022  6675.23  7359.85 3.43 3.28  15.7 -0.485    18.70 20.36 01a57831o0450o 0x000000  -8.413793
57831.477212 18.910912      NaN   -204    33 o    0   1.11 175.70687 77.37022  6612.46  7291.16 3.45 3.24  10.2 -0.487    18.68 20.32 01a57831o0473o 0x000000  -6.181818
57831.494779 19.089302      NaN   -230    28 o    0   1.28 175.70687 77.37022  6589.85  7414.75 3.34 3.11   6.3 -0.495    18.69 20.28 01a57831o0503o 0x000000  -8.214286
57835.436578 19.128787      NaN   -161    27 o    0   1.16 175.70687 77.37022  7583.33  7174.80 3.35 3.17  27.4 -0.491    18.97 20.82 01a57835o0300o 0x000000  -5.962963
