         MJD         m       dm   uJy  duJy F  err   chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask    __tmp_SN
57745.629601 19.631075      NaN   -36    17 c    0    1.69 183.11254 29.14935  4290.82  2300.76 4.12 3.95  86.4 -0.372    19.49 21.36 02a57745o0790c 0x000000   -2.117647
57745.644778 19.696897      NaN   -70    16 c    0    2.16 183.11254 29.14935  4316.79  2338.06 4.08 3.91  85.0 -0.378    19.53 21.39 02a57745o0813c 0x000000   -4.375000
57745.660695 19.766969      NaN   -64    15 c    0    2.12 183.11254 29.14935  4265.87  2261.35 3.94 3.75  88.0 -0.387    19.46 21.18 02a57745o0837c 0x000000   -4.266667
57745.675853 17.883650      NaN  -156    85 c    0    1.39 183.11254 29.14935  4247.27  2380.10 4.05 3.86  86.3 -0.396    17.84 18.13 02a57745o0861c 0x100002   -1.835294
57753.611637 17.027593      NaN  -274   187 c    0    0.66 183.11254 29.14935  6611.80  1584.65 3.72 3.66  86.0 -0.448    17.57 19.41 02a57753o0640c 0x100002   -1.465241
57753.627076 17.004613      NaN   -76   191 c    0    1.10 183.11254 29.14935  6635.13  1623.68 3.73 3.67  88.2 -0.414    17.22 19.05 02a57753o0663c 0x100002   -0.397906
57753.644188 18.438271      NaN -1075    51 c    0    3.14 183.11254 29.14935  6566.03  1546.30 3.75 3.65  89.5 -0.414    18.03 19.89 02a57753o0687c 0x100002  -21.078431
57753.661171 18.675237      NaN  -109    41 c    0    1.49 183.11254 29.14935  6547.21  1667.68 3.78 3.68 -87.0 -0.406    18.51 20.32 02a57753o0711c 0x100002   -2.658537
57753.677378 16.062168      NaN  -646   455 c    0    1.00 183.11254 29.14935  3924.23  8841.07 3.73 3.62  -5.3 -0.459    16.81 17.54 02a57753o0734c 0x100002   -1.419780
57757.604416 20.103715      NaN  -324    11 c    0    4.39 183.11254 29.14935  4269.61  1523.04 3.78 3.66 -83.6 -0.404    19.84 21.85 02a57757o0731c 0x000000  -29.454545
57757.619947 20.009244      NaN   -73    12 c    0    3.02 183.11254 29.14935  4294.23  1562.30 3.79 3.67 -82.6 -0.407    19.86 21.89 02a57757o0754c 0x000000   -6.083333
