         MJD         m       dm    uJy  duJy F  err   chi/N        RA      Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs     Mask    __tmp_SN
57709.660753 17.439172      NaN    -57   128 o    0    1.19 183.11254 29.14935  7196.83  2530.55  5.12 4.32  80.4 -0.367    17.19 17.37 02a57709o0021o 0x100002   -0.445312
57761.554261 20.207197      NaN  -3193    10 o    0  126.42 183.11254 29.14935 10479.27  9973.08  3.44 2.77 -72.2 -0.553    19.52 21.23 02a57761o0611o 0x100001 -319.300000
57761.577935 19.696897      NaN   -766    16 o    0    6.76 183.11254 29.14935  5704.87   312.56  3.75 3.52 -69.0 -0.448    19.56 21.34 02a57761o0649o 0x000000  -47.875000
57761.579231 18.944322      NaN   -491    32 o    0   19.89 183.11254 29.14935 10516.43 10014.56  3.38 2.74 -69.0 -0.578    19.62 21.42 02a57761o0651o 0x100001  -15.343750
57761.581278 21.202047      NaN  -1586     4 o    0   20.88 183.11254 29.14935   536.99  9958.23  3.31 2.86  14.7 -0.512    19.62 21.44 02a57761o0654o 0x100001 -396.500000
57761.588998 19.696897      NaN   -879    16 o    0    5.99 183.11254 29.14935  5723.34   353.58  3.69 3.48 -64.9 -0.448    19.57 21.31 02a57761o0666o 0x000000  -54.937500
57761.593637 20.761819      NaN  -1894     6 o    0   59.42 183.11254 29.14935 10447.74  9937.95  3.34 2.71 -67.5 -0.544    19.57 21.32 02a57761o0673o 0x100001 -315.666667
57761.596256 19.454622      NaN   -658    20 o    0    4.07 183.11254 29.14935   571.17 10001.05  3.26 2.87  10.4 -0.515    19.54 21.29 02a57761o0676o 0x000000  -32.900000
57761.603705 19.631075      NaN   -753    17 o    0    5.45 183.11254 29.14935  5657.31   276.13  3.76 3.57 -62.6 -0.441    19.58 21.35 02a57761o0688o 0x000000  -44.294118
57761.609469 19.696897      NaN   -983    16 o    0   12.30 183.11254 29.14935 10427.71 10062.25  3.38 2.72 -69.9 -0.556    19.59 21.36 02a57761o0695o 0x100001  -61.437500
57761.611405 19.569016      NaN   -872    18 o    0    5.05 183.11254 29.14935   504.28  9921.86  3.32 2.90  17.3 -0.517    19.58 21.33 02a57761o0698o 0x000000  -48.444444
57761.619703 19.841877      NaN   -995    14 o    0   10.72 183.11254 29.14935  5635.37   396.58  3.70 3.51 -64.6 -0.452    19.58 21.34 02a57761o0710o 0x100001  -71.071429
57761.625341 19.841877      NaN   -969    14 o    0   19.72 183.11254 29.14935 10461.14 10005.13  3.39 2.82 -69.0 -0.551    19.60 21.39 02a57761o0717o 0x100001  -69.214286
