         MJD         m       dm   uJy  duJy F  err   chi/N        RA     Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57756.621386 19.631075      NaN  -228    17 c    0    1.67 167.68551 4.84744  7614.44  8264.49 3.42 3.09 -52.6 -0.401    19.71 21.61 02a57756o0780c 0x000000 -13.411765
57756.642544 19.841877      NaN  -198    14 c    0    1.99 167.68551 4.84744  7597.81  8228.32 3.44 3.16 -53.0 -0.397    19.71 21.63 02a57756o0819c 0x000000 -14.142857
57756.655177 19.766969      NaN  -211    15 c    0    1.83 167.68551 4.84744  7653.56  8304.31 3.45 3.14 -59.1 -0.404    19.70 21.61 02a57756o0841c 0x000000 -14.066667
57756.666568 19.510313      NaN  -219    19 c    0    2.02 167.68551 4.84744  7674.60  8190.29 3.43 3.12 -52.1 -0.394    19.37 20.92 02a57756o0862c 0x000000 -11.526316
57776.604589 19.841877      NaN  -221    14 c    0    1.67 167.68551 4.84744  6177.74  9031.53 3.66 3.62 -83.7 -0.447    19.72 21.69 02a57776o0744c 0x000000 -15.785714
57776.615596 19.631075      NaN  -200    17 c    0    1.43 167.68551 4.84744  6160.93  8993.89 3.69 3.64  83.6 -0.451    19.70 21.65 02a57776o0763c 0x000000 -11.764706
57776.636197 19.569016      NaN  -159    18 c    0    1.23 167.68551 4.84744  6222.17  9071.74 3.72 3.68  73.2 -0.436    19.65 21.57 02a57776o0805c 0x000000  -8.833333
57776.651760 19.766969      NaN  -179    15 c    0    1.86 167.68551 4.84744  6243.33  8953.95 3.87 3.81  73.5 -0.412    19.59 21.50 02a57776o0836c 0x000000 -11.933333
57776.663978 19.569016      NaN  -185    18 c    0    1.55 167.68551 4.84744  6204.71  9009.63 3.77 3.72  59.2 -0.429    19.49 21.27 02a57776o0857c 0x000000 -10.277778
57780.603185 19.766969      NaN  -214    15 c    0    1.51 167.68551 4.84744  8901.99   866.22 3.81 3.64  87.8 -0.425    19.80 21.79 02a57780o0735c 0x000000 -14.266667
57780.623215 19.841877      NaN  -193    14 c    0    1.46 167.68551 4.84744  8884.51   829.21 3.86 3.71  87.7 -0.421    19.77 21.79 02a57780o0770c 0x000000 -13.785714
57780.632301 19.766969      NaN  -190    15 c    0    1.73 167.68551 4.84744  8943.12   905.83 3.87 3.71  83.2 -0.421    19.77 21.76 02a57780o0789c 0x000000 -12.666667
57780.648554 18.776955      NaN    22    30 c    0    1.92 167.68551 4.84744  6088.77 10499.00 3.76 3.45  -3.8 -0.395    19.72 21.75 02a57780o0821c 0x100002   0.733333
57780.653906 19.696897      NaN  -221    16 c    0    1.33 167.68551 4.84744  8970.29   787.14 4.00 3.93 -85.5 -0.410    19.68 21.70 02a57780o0830c 0x000000 -13.812500
57780.670560 19.169763      NaN  -237    26 c    0    1.23 167.68551 4.84744  8931.65   845.14 4.00 3.93 -77.7 -0.412    18.97 20.30 02a57780o0858c 0x000000  -9.115385
57784.581569 19.766969      NaN  -188    15 c    0    1.34 167.68551 4.84744  7727.93  8746.56 3.88 3.69  87.2 -0.427    19.77 21.87 02a57784o0511c 0x000000 -12.533333
57784.596839 19.841877      NaN  -145    14 c    0    1.83 167.68551 4.84744  7709.22  8708.59 3.79 3.57 -88.0 -0.439    19.77 21.84 02a57784o0539c 0x000000 -10.357143
57784.612590 19.766969      NaN  -173    15 c    0    1.52 167.68551 4.84744  7768.34  8785.61 3.92 3.72  88.0 -0.421    19.73 21.81 02a57784o0571c 0x000000 -11.533333
57784.628407 19.510313      NaN  -205    19 c    0    1.74 167.68551 4.84744  7791.19  8669.62 3.94 3.74 -89.7 -0.416    19.40 21.42 02a57784o0602c 0x000000 -10.789474
57784.645250 19.631075      NaN  -193    17 c    0    1.68 167.68551 4.84744  7756.19  8725.07 3.90 3.72  89.5 -0.417    19.60 21.63 02a57784o0630c 0x000000 -11.352941
57804.543860 16.608865      NaN  -788   275 c    0    1.04 167.68551 4.84744  7666.34  1378.95 4.09 3.89 -80.6 -0.387    16.26 18.03 02a57804o0641c 0x100002  -2.865455
57804.576731 19.302877      NaN  -114    23 c    0    1.62 167.68551 4.84744  7707.55  1419.04 3.93 3.85  79.2 -0.401    19.05 20.68 02a57804o0699c 0x000000  -4.956522
57804.589921 19.510313      NaN  -188    19 c    0    1.46 167.68551 4.84744  7729.15  1300.62 3.92 3.83  77.4 -0.402    19.33 21.04 02a57804o0724c 0x000000  -9.894737
57804.607621 19.454622      NaN  -192    20 c    0    1.56 167.68551 4.84744  7693.33  1358.58 3.88 3.82  76.2 -0.406    19.30 20.97 02a57804o0758c 0x000000  -9.600000
57808.524886 19.631075      NaN  -203    17 c    0    1.63 167.68551 4.84744  4911.91  9814.59 3.70 3.52   8.3 -0.411    19.65 21.56 02a57808o0584c 0x000000 -11.941176
57808.529884 19.569016      NaN  -184    18 c    0    1.68 167.68551 4.84744  7771.64   106.42 3.84 3.70   6.3 -0.430    19.64 21.52 02a57808o0593c 0x000000 -10.222222
57808.542292 19.696897      NaN  -238    16 c    0    1.82 167.68551 4.84744  4894.63  9774.13 3.72 3.57   6.9 -0.414    19.61 21.49 02a57808o0616c 0x000000 -14.875000
57808.547082 19.351140      NaN  -225    22 c    0    2.91 167.68551 4.84744  7754.94    66.56 3.84 3.72   5.0 -0.445    19.60 21.43 02a57808o0625c 0x000000 -10.227273
57808.556235 19.569016      NaN  -173    18 c    0    1.68 167.68551 4.84744  4954.08  9851.59 3.66 3.51   5.1 -0.412    19.58 21.42 02a57808o0642c 0x000000  -9.611111
57808.564042 19.569016      NaN  -201    18 c    0    1.93 167.68551 4.84744  7815.73   144.04 3.91 3.74  13.8 -0.435    19.53 21.36 02a57808o0657c 0x000000 -11.166667
57808.574471 19.510313      NaN  -196    19 c    0    1.73 167.68551 4.84744  4975.41  9732.39 3.68 3.57   3.2 -0.423    19.49 21.31 02a57808o0676c 0x000000 -10.315789
57808.590371 18.417189      NaN    24    44 c    0    1.42 167.68551 4.84744  7800.96    81.34 3.90 3.75   7.5 -0.437    18.94 20.73 02a57808o0707c 0x100002   0.545455
57808.591864 18.459772      NaN  -350    50 c    0    1.47 167.68551 4.84744  4940.79  9787.90 3.77 3.65  20.9 -0.408    18.51 20.33 02a57808o0710c 0x100002  -7.000000
57816.449367 19.922338      NaN  -245    13 c    0    2.15 167.68551 4.84744  7900.95  8301.99 3.67 3.51 -86.3 -0.444    19.68 21.73 02a57816o0389c 0x000000 -18.846154
57816.454681 19.841877      NaN  -154    14 c    0    1.79 167.68551 4.84744  7881.42  8265.20 3.63 3.46 -84.2 -0.456    19.69 21.74 02a57816o0400c 0x000000 -11.000000
57816.477570 19.841877      NaN  -170    14 c    0    1.73 167.68551 4.84744  7941.44  8345.64 3.55 3.33 -75.0 -0.459    19.70 21.75 02a57816o0443c 0x000000 -12.142857
57816.487682 19.922338      NaN  -237    13 c    0    1.88 167.68551 4.84744  7957.97  8228.99 3.64 3.42 -81.8 -0.458    19.69 21.75 02a57816o0461c 0x000000 -18.230769
57816.506311 19.766969      NaN  -198    15 c    0    1.28 167.68551 4.84744  7917.76  8289.74 3.83 3.65  88.5 -0.428    19.66 21.76 02a57816o0496c 0x000000 -13.200000
57836.460845 19.302877      NaN  -149    23 c    0    1.61 167.68551 4.84744  5295.53 10149.05 3.67 3.45   2.0 -0.399    18.95 20.73 02a57836o0440c 0x000000  -6.478261
57836.465761 19.401649      NaN  -215    21 c    0    1.31 167.68551 4.84744  8155.67   441.92 3.82 3.73  30.4 -0.430    18.95 20.72 02a57836o0449c 0x000000 -10.238095
57836.477206 19.351140      NaN  -236    22 c    0    1.89 167.68551 4.84744  5277.89 10108.53 3.59 3.39   1.3 -0.403    18.94 20.70 02a57836o0470c 0x000000 -10.727273
