         MJD         m       dm   uJy  duJy F  err  chi/N        RA     Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs     Mask    __tmp_SN
57736.601653 18.702047      NaN  -643    40 o    0   1.37 167.68551 4.84744  3864.26  2147.60  4.30  4.13 -88.4 -0.393    18.35 19.32 02a57736o0775o 0x000000  -16.075000
57736.613776 18.878500      NaN  -591    34 o    0   1.66 167.68551 4.84744  3880.43  2186.70  3.79  3.65 -80.9 -0.413    18.51 19.35 02a57736o0797o 0x000000  -17.382353
57736.626292 18.878500      NaN  -487    34 o    0   1.62 167.68551 4.84744  3818.39  2111.37  3.73  3.56 -80.5 -0.423    18.54 19.35 02a57736o0819o 0x000000  -14.323529
57736.638814 18.816441      NaN  -577    36 o    0   1.22 167.68551 4.84744  3799.41  2228.61  3.69  3.57 -80.5 -0.416    18.55 19.37 02a57736o0841o 0x000000  -16.027778
57736.651370 19.051202      NaN  -595    29 o    0   1.72 167.68551 4.84744  3839.76  2172.61  3.58  3.46 -78.8 -0.440    18.58 19.38 02a57736o0863o 0x000000  -20.517241
57764.587939 15.715761      NaN  -366   626 o    0   1.01 167.68551 4.84744   954.39  9009.16  3.34  3.05  15.4 -0.652    17.16 17.44 02a57764o0746o 0x100002   -0.584665
57764.605133 18.158337      NaN  -455    66 o    0   1.13 167.68551 4.84744  9524.19  1399.47  3.59  3.06  88.4 -0.484    17.97 18.36 02a57764o0779o 0x100002   -6.893939
57764.619471 18.757738      NaN  -696    38 o    0   1.39 167.68551 4.84744  9583.22  1477.09  3.63  2.96  88.8 -0.476    18.62 19.45 02a57764o0805o 0x000000  -18.315789
57764.636270 17.976960      NaN  -499    78 o    0   1.03 167.68551 4.84744  9603.42  1361.93  3.61  2.99  89.1 -0.478    18.08 18.65 02a57764o0834o 0x100002   -6.397436
57764.653183 18.978793      NaN  -636    31 o    0   1.33 167.68551 4.84744  9563.07  1420.90  3.64  3.15  83.5 -0.473    18.84 19.88 02a57764o0863o 0x000000  -20.516129
57768.584616 17.069016      NaN  -462   180 o    0   1.53 167.68551 4.84744  7504.69  9218.81  3.44  3.33 -45.9 -0.490    18.02 18.52 02a57768o0735o 0x100002   -2.566667
57768.604636 17.156927      NaN  -409   166 o    0   1.58 167.68551 4.84744  7486.41  9183.96  3.49  3.44 -54.7 -0.489    17.99 18.48 02a57768o0776o 0x100002   -2.463855
57768.617419 17.729132      NaN  -640    98 o    0   1.77 167.68551 4.84744  7539.98  9259.29  3.47  3.36 -47.2 -0.466    18.00 18.47 02a57768o0802o 0x100002   -6.530612
57768.635814 17.057018      NaN  -442   182 o    0   1.64 167.68551 4.84744  7564.53  9145.23  3.53  3.39 -22.2 -0.493    17.95 18.44 02a57768o0837o 0x100002   -2.428571
57768.650964 16.886248      NaN  -293   213 o    0   1.03 167.68551 4.84744  7527.10  9200.21  3.44  3.29 -47.2 -0.520    17.96 18.40 02a57768o0865o 0x100002   -1.375587
57788.565603 19.766969      NaN  -638    15 o    0   2.88 167.68551 4.84744  7943.74  1724.34  3.59  3.40  74.6 -0.476    19.48 21.18 02a57788o0680o 0x000000  -42.533333
57788.580114 19.128787      NaN  -625    27 o    0   2.02 167.68551 4.84744  7923.51  1684.59  3.56  3.42  74.2 -0.477    19.48 21.19 02a57788o0709o 0x000000  -23.148148
57788.598873 19.696897      NaN  -626    16 o    0   2.92 167.68551 4.84744  7984.75  1762.07  3.50  3.35  78.2 -0.474    19.49 21.17 02a57788o0741o 0x000000  -39.125000
57788.613943 19.841877      NaN  -663    14 o    0   3.46 167.68551 4.84744  8007.92  1644.83  3.50  3.35  75.4 -0.481    19.47 21.13 02a57788o0770o 0x000000  -47.357143
57788.633697 19.696897      NaN  -668    16 o    0   3.28 167.68551 4.84744  7971.11  1702.38  3.78  3.52  15.7 -0.456    19.37 21.06 02a57788o0809o 0x000000  -41.750000
57792.610118 19.014394      NaN  -510    30 o    0   3.11 167.68551 4.84744  7600.27  8081.55  3.61  3.57  -1.4 -0.453    18.72 19.82 02a57792o0026o 0x000000  -17.000000
57792.623844 19.256669      NaN  -458    24 o    0   2.28 167.68551 4.84744  7561.14  8140.38  3.61  3.48  84.5 -0.458    18.97 20.25 02a57792o0049o 0x000000  -19.083333
57800.552617 19.212347      NaN  -394    25 o    0   1.61 167.68551 4.84744  7786.17  1240.35  3.50  3.37  88.3 -0.479    18.97 20.10 02a57800o0482o 0x000000  -15.760000
57800.569303 19.169763      NaN  -448    26 o    0   1.34 167.68551 4.84744  7767.67  1201.54  3.50  3.39  88.7 -0.487    18.95 20.07 02a57800o0512o 0x000000  -17.230769
57800.586561 19.089302      NaN  -431    28 o    0   1.35 167.68551 4.84744  7827.18  1278.70  3.52  3.42  85.5 -0.485    18.92 20.03 02a57800o0543o 0x000000  -15.392857
57800.602436 19.014394      NaN  -470    30 o    0   1.64 167.68551 4.84744  7851.12  1161.84  4.03  3.58   6.7 -0.457    18.80 19.98 02a57800o0573o 0x000000  -15.666667
57800.610600 18.944322      NaN  -388    32 o    0   1.13 167.68551 4.84744  7812.45  1217.78  3.78  3.60   7.7 -0.456    18.80 19.95 02a57800o0586o 0x000000  -12.125000
57804.557043 18.910912      NaN  -691    33 o    0   1.67 167.68551 4.84744  2244.47  8668.98  4.42  4.29 -70.0 -0.515    18.76 20.61 01a57804o0547o 0x000000  -20.939394
57804.570979 19.014394      NaN  -662    30 o    0   2.02 167.68551 4.84744  2266.21  8707.56  4.29  4.17 -68.0 -0.523    18.74 20.48 01a57804o0574o 0x000000  -22.066667
57804.598751 18.878500      NaN  -917    34 o    0   2.25 167.68551 4.84744  2187.36  8744.47  4.47  4.34 -70.5 -0.527    18.60 20.31 01a57804o0628o 0x000000  -26.970588
57806.550380 18.944322      NaN  -750    32 o    0   1.99 167.68551 4.84744  1004.38 10293.84  4.63  4.48  83.0 -0.485    18.80 20.62 01a57806o0654o 0x000000  -23.437500
57806.557046 18.978793      NaN  -904    31 o    0   3.25 167.68551 4.84744  3753.15   573.41  4.63  4.47 -71.1 -0.476    18.80 20.61 01a57806o0667o 0x000000  -29.161290
57806.564767 18.910912      NaN  -632    33 o    0   1.82 167.68551 4.84744  1025.21 10332.50  4.61  4.47  82.4 -0.489    18.82 20.62 01a57806o0682o 0x000000  -19.151515
57806.570943 19.014394      NaN  -802    30 o    0   3.11 167.68551 4.84744  3694.04   497.11  4.79  4.58 -71.8 -0.456    18.76 20.58 01a57806o0694o 0x000000  -26.733333
57806.578096 18.847027      NaN  -648    35 o    0   1.59 167.68551 4.84744   965.18 10253.98  4.66  4.54  74.2 -0.492    18.75 20.52 01a57806o0708o 0x000000  -18.514286
57806.584898 18.910912      NaN  -806    33 o    0   3.53 167.68551 4.84744  3677.86   612.17  4.76  4.55 -71.9 -0.464    18.71 20.49 01a57806o0721o 0x000000  -24.424242
