         MJD         m       dm   uJy  duJy F  err  chi/N        RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57779.622322 19.766969      NaN  -162    15 c    0   1.05 198.30071 -19.52091   352.11  2598.07 4.19 3.85  70.7 -0.374    19.70 21.68 02a57779o0786c 0x000000 -10.800000
57779.636584 19.766969      NaN  -104    15 c    0   1.10 198.30071 -19.52091  9865.57  2620.15 4.06 3.60  88.1 -0.415    19.62 21.59 02a57779o0814c 0x000000  -6.933333
57779.638131 19.922338      NaN   -94    13 c    0   1.29 198.30071 -19.52091   333.96  2561.15 4.15 3.79  69.2 -0.365    19.72 21.67 02a57779o0817c 0x000000  -7.230769
57779.652442 19.841877      NaN  -124    14 c    0   1.13 198.30071 -19.52091  9847.93  2583.95 4.01 3.60  86.8 -0.417    19.63 21.57 02a57779o0845c 0x000000  -8.857143
57779.653982 19.841877      NaN  -117    14 c    0   1.02 198.30071 -19.52091   392.40  2641.80 4.15 3.82  65.4 -0.377    19.70 21.66 02a57779o0848c 0x000000  -8.357143
57779.668292 19.454622      NaN  -138    20 c    0   0.94 198.30071 -19.52091  9904.63  2666.06 4.04 3.73  85.2 -0.408    19.24 20.83 02a57779o0876c 0x000000  -6.900000
57779.669828 19.302877      NaN  -151    23 c    0   1.06 198.30071 -19.52091   411.71  2526.46 4.29 4.08  44.2 -0.359    19.10 20.58 02a57779o0879c 0x000000  -6.565217
57783.634178 19.631075      NaN  -136    17 c    0   0.96 198.30071 -19.52091  8936.67   798.99 4.02 3.78  45.6 -0.445    19.70 21.74 02a57783o0800c 0x000000  -8.000000
57783.650242 19.569016      NaN  -130    18 c    0   0.84 198.30071 -19.52091  8918.58   761.84 4.23 4.03  38.4 -0.421    19.63 21.72 02a57783o0831c 0x000000  -7.222222
57783.666246 19.351140      NaN  -120    22 c    0   0.97 198.30071 -19.52091  8993.92   843.38 4.17 4.02  43.0 -0.432    19.35 21.12 02a57783o0862c 0x000000  -5.454545
57783.676509 17.751519      NaN  -203    96 c    0   1.14 198.30071 -19.52091  9015.04   723.14 4.09 3.96  43.9 -0.458    18.06 18.71 02a57783o0882c 0x100002  -2.114583
57787.610643 17.051069      NaN  -273   183 c    0   1.09 198.30071 -19.52091  9754.82  9432.54 4.07 3.70  88.2 -0.406    18.46 20.42 02a57787o0768c 0x100002  -1.491803
57787.631206 19.922338      NaN  -122    13 c    0   1.38 198.30071 -19.52091  9736.80  9396.93 3.78 3.36 -83.7 -0.416    19.74 21.76 02a57787o0809c 0x000000  -9.384615
57787.639184 19.696897      NaN   -82    16 c    0   1.12 198.30071 -19.52091  9792.15  9476.84 3.82 3.41 -85.7 -0.419    19.73 21.74 02a57787o0824c 0x000000  -5.125000
57787.653563 19.696897      NaN  -122    16 c    0   1.07 198.30071 -19.52091  9810.68  9363.67 3.89 3.47 -86.4 -0.410    19.69 21.69 02a57787o0853c 0x000000  -7.625000
57787.668132 19.351140      NaN  -136    22 c    0   1.20 198.30071 -19.52091  9774.21  9422.10 3.83 3.51 -87.0 -0.428    19.21 20.75 02a57787o0882c 0x000000  -6.181818
57803.600193 19.351140      NaN  -148    22 c    0   0.95 198.30071 -19.52091  1405.98  1005.51 3.97 3.89 -80.2 -0.405    19.22 20.73 02a57803o0743c 0x000000  -6.727273
