         MJD         m       dm   uJy  duJy F  err  chi/N        RA       Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57767.660934 18.847027      NaN   -49    35 o    0   1.29 198.30071 -19.52091   694.96   615.25  3.78  3.62 -78.4 -0.447    18.64 19.50 02a57767o0881o 0x000000  -1.400000
57767.662939 18.417189      NaN    -7    52 o    0   1.11 198.30071 -19.52091  2000.63 10494.93  3.24  2.76  -2.4 -0.469    18.60 19.44 02a57767o0885o 0x000000  -0.134615
57767.676173 18.019544      NaN   -23    75 o    0   1.11 198.30071 -19.52091   676.77   578.50  3.79  3.65 -77.6 -0.441    17.99 18.20 02a57767o0911o 0x100002  -0.306667
57767.678713 17.199161      NaN    20   153 o    0   0.93 198.30071 -19.52091  1982.04 10459.71  3.42  2.96   4.3 -0.562    17.61 17.50 02a57767o0916o 0x100002   0.130719
57767.680232 16.856087      NaN   234   141 o    0   1.27 198.30071 -19.52091 10259.44   626.94  3.70  3.08  83.4 -0.456    17.45 17.19 02a57767o0919o 0x100002   1.659574
57771.662411 18.550302      NaN   -85    46 o    0   1.20 198.30071 -19.52091  9697.76  9164.79  3.69  3.30 -84.7 -0.473    18.54 19.41 02a57771o0898o 0x000000  -1.847826
57799.577137 18.208845      NaN   -26    63 o    0   1.30 198.30071 -19.52091   183.13   244.54  4.19  3.98  83.5 -0.426    18.03 18.62 02a57799o0692o 0x100002  -0.412698
57799.579704 18.550302      NaN   -85    46 o    0   1.52 198.30071 -19.52091  1480.50 10135.69  3.46  3.02   7.1 -0.496    18.35 19.07 02a57799o0697o 0x000000  -1.847826
57799.588979 17.685696      NaN  -229   102 o    0   1.15 198.30071 -19.52091  9736.97   281.33  3.66  3.23  85.9 -0.472    18.02 18.41 02a57799o0715o 0x100002  -2.245098
57799.592690 18.094452      NaN   -69    70 o    0   1.00 198.30071 -19.52091   164.41   207.31  4.18  4.00  88.6 -0.445    18.02 18.61 02a57799o0722o 0x100002  -0.985714
57799.595257 18.417189      NaN   -53    52 o    0   1.02 198.30071 -19.52091  1462.21 10097.51  3.43  3.05   9.6 -0.485    18.33 19.06 02a57799o0727o 0x000000  -1.019231
57799.604551 17.546052      NaN  -201   116 o    0   0.95 198.30071 -19.52091  9719.32   245.21  3.90  3.77  30.9 -0.519    17.92 18.41 02a57799o0745o 0x100002  -1.732759
57799.608295 18.125925      NaN  -103    68 o    0   0.98 198.30071 -19.52091   222.88   287.50  3.96  3.71 -83.9 -0.451    18.10 18.60 02a57799o0752o 0x100002  -1.514706
57799.610931 18.336727      NaN   -38    56 o    0   0.82 198.30071 -19.52091  1518.39 10176.55  3.44  3.00   7.6 -0.473    18.33 19.05 02a57799o0757o 0x000000  -0.678571
57799.620256 17.414019      NaN   -38   131 o    0   0.75 198.30071 -19.52091  9795.38   322.41  3.77  3.55  75.1 -0.521    17.96 18.40 02a57799o0775o 0x100002  -0.290076
57799.623956 18.063866      NaN  -124    72 o    0   0.97 198.30071 -19.52091   243.84   170.39  4.33  3.93  -0.4 -0.412    18.00 18.58 02a57799o0782o 0x100002  -1.722222
57799.626576 18.396507      NaN    -6    53 o    0   1.09 198.30071 -19.52091  1540.95 10059.59  3.73  3.08   8.8 -0.485    18.27 19.03 02a57799o0787o 0x000000  -0.113208
57799.635921 17.264559 0.334628   451   139 o    0   1.58 198.30071 -19.52091  9817.09   204.44  3.67  3.24  85.5 -0.499    17.99 18.37 02a57799o0805o 0x100002   3.244604
57799.639631 18.034118      NaN  -158    74 o    0   0.91 198.30071 -19.52091   208.65   230.64  4.20  4.10 -10.4 -0.463    17.99 18.57 02a57799o0812o 0x100002  -2.135135
57799.642224 18.356290      NaN   -58    55 o    0   1.07 198.30071 -19.52091  1504.68 10118.73  3.77  3.22  15.2 -0.477    18.25 19.00 02a57799o0817o 0x000000  -1.054545
57799.652009 17.154749      NaN   109   130 o    0   1.02 198.30071 -19.52091  9762.28   263.94  4.25  3.75  10.3 -0.492    17.85 18.35 02a57799o0836o 0x100002   0.838462
57804.665669 10.679489      NaN 60383 44599 o    0   1.26 198.30071 -19.52091  2082.77  7603.98  4.23  3.98 -71.5 -0.656    14.73 16.01 01a57804o0758o 0x100002   1.353909
57806.640654 18.598565      NaN   -71    44 o    0   1.01 198.30071 -19.52091 10387.02  9113.58  3.92  3.25 -82.0 -0.557    18.71 20.46 01a57806o0830o 0x000000  -1.613636
57806.654508 18.526952      NaN  -124    47 o    0   0.74 198.30071 -19.52091 10405.18  9154.34  4.06  3.36 -81.8 -0.622    18.58 20.28 01a57806o0857o 0x000000  -2.638298
57806.659236 18.043943      NaN    73    49 o    0   1.28 198.30071 -19.52091   864.58  9238.01  4.78  4.57  77.3 -0.509    18.42 19.95 01a57806o0866o 0x000000   1.489796
57808.638044 18.675237      NaN  -146    41 o    0   0.84 198.30071 -19.52091  9323.18  8539.05  4.33  3.71 -82.9 -0.602    18.72 20.65 01a57808o0726o 0x000000  -3.560976
57808.651931 18.376212      NaN  -114    54 o    0   1.08 198.30071 -19.52091  9342.40  8578.25  4.50  3.90 -82.9 -0.581    18.33 20.19 01a57808o0753o 0x000000  -2.111111
57808.665304 15.586724      NaN  -195   705 o    0   1.58 198.30071 -19.52091  9285.12  8500.43  4.64  4.05 -82.1 -0.625    16.03 17.30 01a57808o0779o 0x100002  -0.276596
57810.627777 15.508024      NaN   261   671 o    0   1.21 198.30071 -19.52091  9582.90 10265.68  3.74  3.39  87.0 -0.665    15.30 17.20 01a57810o0796o 0x100002   0.388972
57810.629312 16.372132      NaN    45   327 o    0   1.07 198.30071 -19.52091  8108.85   421.42  3.86  3.31  24.5 -0.612    16.36 18.25 01a57810o0799o 0x100002   0.137615
57810.656031 12.478205      NaN  9747  9099 o    0   1.14 198.30071 -19.52091  9545.48 10225.61  3.96  3.35 -89.7 -0.722    14.90 16.75 01a57810o0851o 0x100002   1.071217
57810.657565       NaN      NaN     0     0 o    0  -0.00 198.30071 -19.52091  8071.26   385.32  3.90  3.31  18.3 -0.609    16.38 18.17 01a57810o0854o 0x100002        NaN
57816.629172 19.089302      NaN   -65    28 o    0   1.08 198.30071 -19.52091  2717.86 10035.81  4.17  3.96  31.3 -0.431    19.11 21.16 01a57816o0810o 0x000000  -2.321429
57816.633152 18.623526      NaN  -162    43 o    0   1.07 198.30071 -19.52091   921.08   230.92  5.57  4.08 -81.7 -0.398    19.03 21.08 01a57816o0818o 0x000000  -3.767442
57816.643201 19.089302      NaN   -76    28 o    0   1.13 198.30071 -19.52091  2732.58 10076.61  4.27  4.05  38.2 -0.425    19.02 21.05 01a57816o0838o 0x000000  -2.714286
57816.646730 18.550302      NaN  -167    46 o    0   0.99 198.30071 -19.52091   941.01   270.32  5.52  4.02 -83.2 -0.410    18.96 20.91 01a57816o0845o 0x000000  -3.630435
57816.657678 18.191747      NaN  -114    64 o    0   1.00 198.30071 -19.52091  2675.86  9998.90  4.27  4.09  32.4 -0.416    18.05 19.14 01a57816o0867o 0x100002  -1.781250
57816.661188 17.045152      NaN  -281   184 o    0   1.17 198.30071 -19.52091   884.67   191.42  5.90  4.32 -82.7 -0.393    17.34 18.40 01a57816o0874o 0x100002  -1.527174
57818.620938 18.978793      NaN  -142    31 o    0   1.07 198.30071 -19.52091  2690.25  9316.12  5.21  4.70   5.0 -0.379    18.99 21.17 01a57818o0799o 0x000000  -4.580645
57818.634449 18.878500      NaN  -165    34 o    0   0.96 198.30071 -19.52091  2707.72  9354.05  5.23  4.69   7.6 -0.395    18.94 21.13 01a57818o0826o 0x000000  -4.852941
57818.649411 18.786693      NaN  -132    37 o    0   1.16 198.30071 -19.52091  2651.08  9276.78  5.38  4.78   8.6 -0.388    18.70 20.67 01a57818o0856o 0x000000  -3.567568
57818.662854 16.218456      NaN -1500   394 o    0   0.93 198.30071 -19.52091  2633.21  9394.16  5.98  5.57  -0.9 -0.279    16.85 18.10 01a57818o0883o 0x100002  -3.807107
57819.558077 19.401649      NaN   -50    21 o    0   0.94 198.30071 -19.52091   654.52  2062.99  3.74  3.59 -70.0 -0.434    19.36 21.05 02a57819o0534o 0x000000  -2.380952
57819.567302 19.256669      NaN   -60    24 o    0   1.13 198.30071 -19.52091 10191.85  2077.86  3.66  3.01  83.1 -0.480    19.34 21.03 02a57819o0552o 0x000000  -2.500000
57819.573118 19.351140      NaN   -80    22 o    0   1.20 198.30071 -19.52091   638.21  2022.78  3.75  3.58 -80.1 -0.436    19.35 21.02 02a57819o0563o 0x000000  -3.636364
57819.582471 19.302877      NaN   -65    23 o    0   1.13 198.30071 -19.52091 10175.49  2039.76  3.64  2.96  85.5 -0.477    19.35 21.02 02a57819o0581o 0x000000  -2.826087
57819.588324 19.351140      NaN   -56    22 o    0   1.11 198.30071 -19.52091   717.38  2102.48  3.78  3.59 -76.0 -0.436    19.33 21.01 02a57819o0592o 0x000000  -2.545455
57819.597692 19.351140      NaN  -100    22 o    0   1.32 198.30071 -19.52091 10234.05  2116.79  3.66  3.03  84.0 -0.477    19.28 20.92 02a57819o0610o 0x000000  -4.545455
57819.612860 19.256669      NaN   -48    24 o    0   1.52 198.30071 -19.52091 10256.63  1997.57  3.72  3.25  80.2 -0.483    19.22 20.85 02a57819o0639o 0x000000  -2.000000
57819.619093 19.169763      NaN  -100    26 o    0   0.70 198.30071 -19.52091   684.09  2039.97  3.80  3.65 -69.6 -0.430    19.18 20.77 02a57819o0651o 0x000000  -3.846154
57820.582201 18.729535      NaN   -97    39 o    0   1.46 198.30071 -19.52091 10236.89  9638.48  3.72  3.43  17.5 -0.442    18.18 20.23 01a57820o0745o 0x000000  -2.487179
57820.596191 18.878500      NaN  -148    34 o    0   1.07 198.30071 -19.52091 10257.75  9677.98  3.46  3.22  31.2 -0.478    18.62 20.64 01a57820o0773o 0x000000  -4.352941
57820.600772 18.504094      NaN   -59    48 o    0   1.24 198.30071 -19.52091   703.28  9772.53  5.33  4.57  30.2 -0.413    18.81 20.86 01a57820o0782o 0x000000  -1.229167
57820.609861 18.944322      NaN   -36    32 o    0   1.54 198.30071 -19.52091 10198.59  9599.19  3.61  3.33  19.0 -0.461    18.55 20.59 01a57820o0800o 0x000000  -1.125000
57820.614817 18.280067      NaN  -184    59 o    0   1.00 198.30071 -19.52091   720.84  9810.18  5.41  4.60  28.6 -0.396    18.71 20.75 01a57820o0810o 0x100002  -3.118644
57820.623850 18.847027      NaN   -39    35 o    0   1.29 198.30071 -19.52091 10181.85  9717.37  3.42  3.19  22.5 -0.481    18.47 20.43 01a57820o0828o 0x000000  -1.114286
57820.628345 18.191747      NaN  -219    64 o    0   0.93 198.30071 -19.52091   662.56  9733.90  5.43  4.36  22.6 -0.407    18.66 20.67 01a57820o0837o 0x100002  -3.421875
57820.642385 18.702047      NaN   -96    40 o    0   0.82 198.30071 -19.52091   644.26  9850.89  5.62  4.48  23.4 -0.369    18.99 21.04 01a57820o0865o 0x000000  -2.400000
57823.524156 18.481707      NaN   -84    49 o    0   0.88 198.30071 -19.52091  8269.72  2900.80  3.55  3.14  83.5 -0.477    18.31 18.96 02a57823o0585o 0x000000  -1.714286
57823.539734 18.526952      NaN  -108    47 o    0   0.97 198.30071 -19.52091  8252.95  2868.42  3.64  3.45  76.2 -0.442    18.27 18.98 02a57823o0617o 0x000000  -2.297872
57823.553260 17.464922      NaN  -180   125 o    0   1.13 198.30071 -19.52091  8324.63  2946.50  3.54  3.13  88.5 -0.480    17.43 17.64 02a57823o0645o 0x100002  -1.440000
57823.568811 17.633737      NaN  -112   107 o    0   0.88 198.30071 -19.52091  8345.66  2830.81  3.49  3.16  84.8 -0.477    17.22 17.75 02a57823o0677o 0x100002  -1.046729
57823.584207 15.989118      NaN   506   318 o    0   0.84 198.30071 -19.52091  8311.95  2888.20  3.48  3.16  88.1 -0.470    16.83 17.32 02a57823o0708o 0x100002   1.591195
57828.588395 17.909502      NaN  -182    83 o    0   1.11 198.30071 -19.52091  2606.65 10102.60  4.85  4.47  13.7 -0.366    17.87 18.82 01a57828o0738o 0x100002  -2.192771
