         MJD         m       dm   uJy  duJy F  err  chi/N       RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57699.596679 19.256669      NaN  -312    24 c    0   0.86 92.23671 -27.79586  6607.41  6199.74 3.67 3.49 -88.4 -0.421    19.17 20.88 02a57699o0800c 0x000000 -13.000000
57699.611656 19.454622      NaN  -358    20 c    0   0.78 92.23671 -27.79586  6677.61  6275.72 3.66 3.47 -85.2 -0.421    19.43 21.15 02a57699o0829c 0x000000 -17.900000
57699.626575 19.631075      NaN  -387    17 c    0   1.01 92.23671 -27.79586  6697.67  6159.41 3.83 3.77  75.7 -0.395    19.37 21.14 02a57699o0858c 0x000000 -22.764706
57699.640961 19.569016      NaN  -378    18 c    0   1.05 92.23671 -27.79586  6664.89  6216.41 3.99 3.87  88.0 -0.379    19.25 20.99 02a57699o0886c 0x000000 -21.000000
57715.577994 19.212347      NaN  -360    25 c    0   1.16 92.23671 -27.79586  4773.30  4141.43 4.48 4.32 -87.9 -0.364    19.06 20.95 02a57715o0644c 0x000000 -14.400000
57747.439868 19.631075      NaN  -362    17 c    0   0.84 92.23671 -27.79586  4775.15  4419.77 4.06 4.04 -87.1 -0.369    19.57 21.64 02a57747o0507c 0x000000 -21.294118
57747.452865 19.696897      NaN  -361    16 c    0   0.85 92.23671 -27.79586  4759.53  4381.64 3.98 3.84  71.8 -0.377    19.60 21.61 02a57747o0533c 0x000000 -22.562500
57747.465803 19.766969      NaN  -342    15 c    0   0.99 92.23671 -27.79586  4810.86  4461.21 4.03 3.88  18.2 -0.377    19.59 21.63 02a57747o0559c 0x000000 -22.800000
57747.478835 19.631075      NaN  -379    17 c    0   0.94 92.23671 -27.79586  4845.41  4345.63 4.35 4.02   5.8 -0.367    19.55 21.68 02a57747o0585c 0x000000 -22.294118
57747.491835 19.569016      NaN  -363    18 c    0   0.95 92.23671 -27.79586  4796.04  4403.76 4.77 4.13   1.8 -0.344    19.47 21.68 02a57747o0611c 0x000000 -20.166667
57755.425977 19.696897      NaN  -358    16 c    0   0.79 92.23671 -27.79586  6959.75  5715.46 3.76 3.51  80.4 -0.397    19.72 21.74 02a57755o0447c 0x000000 -22.375000
57755.439009 19.696897      NaN  -347    16 c    0   0.76 92.23671 -27.79586  6943.12  5679.87 3.72 3.46  82.8 -0.402    19.74 21.76 02a57755o0472c 0x000000 -21.687500
57755.452520 19.696897      NaN  -362    16 c    0   0.72 92.23671 -27.79586  6995.40  5756.85 3.72 3.47  84.3 -0.403    19.75 21.79 02a57755o0498c 0x000000 -22.625000
57755.465884 19.696897      NaN  -375    16 c    0   0.93 92.23671 -27.79586  7014.36  5641.59 3.71 3.45  85.2 -0.406    19.74 21.78 02a57755o0523c 0x000000 -23.437500
57755.478875 19.696897      NaN  -352    16 c    0   0.89 92.23671 -27.79586  6981.63  5700.01 3.74 3.57  83.5 -0.397    19.71 21.76 02a57755o0548c 0x000000 -22.000000
57758.298559 19.212347      NaN  -327    25 c    0   1.08 92.23671 -27.79586  3290.36  6730.39 3.93 3.80  69.6 -0.385    19.04 20.57 02a57758o0207c 0x000000 -13.080000
57758.308359 19.256669      NaN  -394    24 c    0   0.89 92.23671 -27.79586  4165.96  5855.57 3.90 3.74  83.5 -0.378    19.09 20.62 02a57758o0225c 0x000000 -16.416667
57758.317702 19.256669      NaN  -374    24 c    0   0.83 92.23671 -27.79586  4164.85  5855.25 3.92 3.75  83.5 -0.377    19.11 20.66 02a57758o0242c 0x000000 -15.583333
57779.366790 19.569016      NaN  -378    18 c    0   0.63 92.23671 -27.79586  6433.36  6058.45 3.75 3.57  86.5 -0.409    19.73 21.79 02a57779o0293c 0x000000 -21.000000
57779.381426 19.696897      NaN  -370    16 c    0   0.81 92.23671 -27.79586  6418.01  6019.15 3.79 3.59  85.2 -0.406    19.71 21.77 02a57779o0321c 0x000000 -23.125000
57779.395934 19.631075      NaN  -369    17 c    0   0.91 92.23671 -27.79586  6471.07  6097.34 3.72 3.67 -82.9 -0.411    19.70 21.76 02a57779o0349c 0x000000 -21.705882
57779.410492 19.696897      NaN  -378    16 c    0   0.99 92.23671 -27.79586  6507.83  5980.26 4.10 3.88   6.4 -0.386    19.61 21.72 02a57779o0377c 0x000000 -23.625000
57779.425505 19.569016      NaN  -372    18 c    0   0.90 92.23671 -27.79586  6459.48  6038.13 4.49 3.93   4.8 -0.380    19.54 21.70 02a57779o0406c 0x000000 -20.666667
57783.361247 19.696897      NaN  -355    16 c    0   0.90 92.23671 -27.79586  5513.75  4237.61 3.84 3.70  85.0 -0.397    19.57 21.54 02a57783o0278c 0x000000 -22.187500
57783.375977 19.766969      NaN  -368    15 c    0   1.10 92.23671 -27.79586  5499.91  4197.73 3.86 3.72  89.9 -0.393    19.54 21.50 02a57783o0306c 0x000000 -24.533333
57783.391252 19.401649      NaN  -371    21 c    0   0.69 92.23671 -27.79586  5553.48  4276.25 3.85 3.83 -82.0 -0.385    19.53 21.51 02a57783o0335c 0x000000 -17.666667
57783.406426 19.569016      NaN  -338    18 c    0   0.68 92.23671 -27.79586  5572.83  4157.73 3.85 3.81 -66.6 -0.384    19.53 21.51 02a57783o0364c 0x000000 -18.777778
57783.421571 19.510313      NaN  -367    19 c    0   0.66 92.23671 -27.79586  5540.83  4215.49 3.79 3.77 -88.2 -0.387    19.51 21.46 02a57783o0393c 0x000000 -19.315789
57787.320772 19.302877      NaN  -357    23 c    0   0.97 92.23671 -27.79586  4700.27  3033.22 3.99 3.93  70.8 -0.380    19.14 20.75 02a57787o0204c 0x000000 -15.521739
57787.334447 19.302877      NaN  -382    23 c    0   0.99 92.23671 -27.79586  4683.88  2996.77 3.94 3.89  78.5 -0.379    19.17 20.79 02a57787o0231c 0x000000 -16.608696
57787.350770 19.351140      NaN  -356    22 c    0   0.92 92.23671 -27.79586  4735.78  3074.33 3.90 3.84  85.9 -0.382    19.19 20.81 02a57787o0263c 0x000000 -16.181818
57787.363004 19.401649      NaN  -346    21 c    0   1.13 92.23671 -27.79586  4772.75  2960.11 3.92 3.92 -11.5 -0.378    19.19 20.85 02a57787o0288c 0x000000 -16.476190
57787.376834 19.256669      NaN  -370    24 c    0   0.84 92.23671 -27.79586  4724.75  3015.12 4.32 3.96  -0.7 -0.370    19.14 20.87 02a57787o0316c 0x000000 -15.416667
57803.349300 19.569016      NaN  -361    18 c    0   0.77 92.23671 -27.79586  7517.46  4450.99 3.89 3.63  86.2 -0.383    19.61 21.63 02a57803o0249c 0x000000 -20.055556
57803.361012 19.569016      NaN  -380    18 c    0   0.86 92.23671 -27.79586  7502.48  4412.29 3.84 3.61  85.9 -0.387    19.61 21.63 02a57803o0272c 0x000000 -21.111111
57803.373172 19.510313      NaN  -349    19 c    0   0.82 92.23671 -27.79586  7554.74  4487.92 3.89 3.67  86.1 -0.383    19.58 21.60 02a57803o0296c 0x000000 -18.368421
57803.384823 19.454622      NaN  -361    20 c    0   0.64 92.23671 -27.79586  7590.98  4369.38 3.92 3.70  85.8 -0.377    19.54 21.55 02a57803o0319c 0x000000 -18.050000
57803.396414 19.510313      NaN  -332    19 c    0   0.87 92.23671 -27.79586  7541.40  4425.91 3.87 3.68  87.1 -0.382    19.53 21.52 02a57803o0342c 0x000000 -17.473684
57807.332275 19.631075      NaN  -352    17 c    0   0.79 92.23671 -27.79586  4805.19  6152.81 3.75 3.63  84.3 -0.386    19.61 21.62 02a57807o0203c 0x000000 -20.705882
57807.347269 19.631075      NaN  -382    17 c    0   0.90 92.23671 -27.79586  4790.53  6111.82 3.78 3.63  78.6 -0.380    19.58 21.57 02a57807o0232c 0x000000 -22.470588
57807.362290 19.696897      NaN  -380    16 c    0   1.18 92.23671 -27.79586  4843.46  6188.34 3.87 3.73  76.2 -0.377    19.51 21.50 02a57807o0261c 0x000000 -23.750000
57807.376668 19.631075      NaN  -375    17 c    0   1.11 92.23671 -27.79586  4862.91  6068.68 3.76 3.66 -89.6 -0.384    19.50 21.48 02a57807o0289c 0x000000 -22.058824
57807.392140 19.510313      NaN  -355    19 c    0   1.09 92.23671 -27.79586  4831.92  6123.80 3.86 3.71 -89.7 -0.378    19.41 21.38 02a57807o0319c 0x000000 -18.684211
57811.324095 19.569016      NaN  -346    18 c    0   0.89 92.23671 -27.79586  5086.61  3815.51 3.90 3.78  83.5 -0.412    19.64 21.72 02a57811o0194c 0x000000 -19.222222
57811.339223 19.510313      NaN  -358    19 c    0   0.80 92.23671 -27.79586  5072.07  3774.97 3.85 3.73 -86.2 -0.421    19.63 21.70 02a57811o0223c 0x000000 -18.842105
57811.354246 19.696897      NaN  -358    16 c    0   1.24 92.23671 -27.79586  5143.95  3850.58 3.88 3.82 -79.9 -0.410    19.58 21.64 02a57811o0252c 0x000000 -22.375000
57811.368752 19.454622      NaN  -362    20 c    0   0.77 92.23671 -27.79586  5164.12  3730.47 3.78 3.69 -86.8 -0.412    19.57 21.58 02a57811o0280c 0x000000 -18.100000
57811.384330 19.351140      NaN  -372    22 c    0   0.81 92.23671 -27.79586  5130.22  3787.26 3.89 3.83 -63.0 -0.398    19.47 21.48 02a57811o0310c 0x000000 -16.909091
57835.266327 19.256669      NaN  -345    24 c    0   0.93 92.23671 -27.79586  5855.69  5461.26 4.05 3.83  82.4 -0.374    18.78 20.61 02a57835o0009c 0x000000 -14.375000
57835.280595 19.051202      NaN  -336    29 c    0   0.66 92.23671 -27.79586  5838.79  5420.95 4.13 3.88  84.7 -0.367    18.75 20.57 02a57835o0037c 0x000000 -11.586207
