         MJD         m       dm    uJy  duJy F  err   chi/N       RA       Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57703.547336 18.978793      NaN   -145    31 o    0    0.69 92.23671 -27.79586  5084.81  4822.66  3.42 3.30 -82.3 -0.457    18.96 20.12 02a57703o0716o 0x000000  -4.677419
57703.560781 19.051202      NaN   -204    29 o    0    0.79 92.23671 -27.79586  5069.51  4786.53  3.43 3.33 -80.6 -0.451    19.14 20.48 02a57703o0742o 0x000000  -7.034483
57703.574758 19.351140      NaN   -196    22 o    0    0.94 92.23671 -27.79586  5122.30  4864.66  3.39 3.34 -65.0 -0.458    19.33 20.90 02a57703o0769o 0x000000  -8.909091
57703.589254 19.089302      NaN   -190    28 o    0    0.55 92.23671 -27.79586  5158.50  4750.08  3.37 3.27 -71.2 -0.463    19.28 20.77 02a57703o0797o 0x000000  -6.785714
57703.604746 19.212347      NaN   -246    25 o    0    0.66 92.23671 -27.79586  5108.46  4806.02  3.37 3.28 -72.4 -0.462    19.32 20.86 02a57703o0827o 0x000000  -9.840000
57707.546895 18.526952      NaN   -202    47 o    0    1.04 92.23671 -27.79586  5519.62  3352.31  3.83 3.77 -83.2 -0.398    18.21 18.89 02a57707o0693o 0x000000  -4.297872
57707.555630 18.438271      NaN   -203    51 o    0    0.98 92.23671 -27.79586  5504.66  3317.78  3.72 3.66 -69.1 -0.407    18.25 18.89 02a57707o0710o 0x000000  -3.980392
57707.574629 18.526952      NaN   -203    47 o    0    0.91 92.23671 -27.79586  5558.96  3396.60  3.73 3.58   2.1 -0.416    18.24 18.88 02a57707o0747o 0x000000  -4.319149
57707.584941 18.481707      NaN   -215    49 o    0    1.03 92.23671 -27.79586  5593.72  3276.00  4.15 3.65   0.6 -0.392    18.15 18.87 02a57707o0767o 0x000000  -4.387755
57707.601453 18.481707      NaN   -239    49 o    0    1.10 92.23671 -27.79586  5544.37  3336.97  4.20 3.74  -3.5 -0.394    18.11 18.83 02a57707o0799o 0x000000  -4.877551
57711.534005 18.376212      NaN   -214    54 o    0    0.76 92.23671 -27.79586  7559.34  6423.71  3.83 3.55  84.1 -0.414    18.15 19.01 02a57711o0595o 0x000000  -3.962963
57711.546911 18.944322      NaN   -224    32 o    0    0.77 92.23671 -27.79586  7543.21  6387.99  3.75 3.57  82.9 -0.415    18.64 19.77 02a57711o0620o 0x000000  -7.000000
57711.560322 19.051202      NaN   -190    29 o    0    0.97 92.23671 -27.79586  7596.85  6465.97  3.73 3.65  59.9 -0.417    18.83 20.09 02a57711o0646o 0x000000  -6.551724
57711.574257 19.014394      NaN   -236    30 o    0    0.80 92.23671 -27.79586  7615.94  6351.24  3.79 3.55  85.7 -0.416    18.82 20.04 02a57711o0673o 0x000000  -7.866667
57711.579944 18.978793      NaN   -175    31 o    0    0.81 92.23671 -27.79586  7582.59  6406.62  3.84 3.55  85.1 -0.414    18.77 20.00 02a57711o0684o 0x000000  -5.645161
57735.466532 18.336727      NaN   -121    56 o    0    0.81 92.23671 -27.79586  6299.85  4692.21  3.65 3.55  73.4 -0.414    18.15 18.70 02a57735o0438o 0x000000  -2.160714
57735.479942 18.356290      NaN   -174    55 o    0    0.95 92.23671 -27.79586  6283.07  4654.94  3.69 3.50  84.7 -0.420    18.14 18.70 02a57735o0464o 0x000000  -3.163636
57735.493275 18.336727      NaN   -277    56 o    0    0.79 92.23671 -27.79586  6336.32  4736.07  3.65 3.43  86.5 -0.427    18.15 18.68 02a57735o0490o 0x000000  -4.946429
57735.501537 18.280067      NaN   -175    59 o    0    0.69 92.23671 -27.79586  6372.07  4618.56  3.66 3.43  86.5 -0.420    18.15 18.66 02a57735o0506o 0x000000  -2.966102
