         MJD         m       dm   uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57862.312368 19.318728      NaN     2    22 c    0   1.16 123.37812 71.42898  5869.76   926.53 3.85 3.61   6.1 -0.498    18.76 20.35 02a57862o0185c 0x000000   0.090909
57862.330918 19.454622      NaN   -10    20 c    0   1.19 123.37812 71.42898  5850.37   884.75 3.93 3.69   6.6 -0.475    18.77 20.45 02a57862o0223c 0x000000  -0.500000
57862.340680 19.510313      NaN   -28    19 c    0   1.14 123.37812 71.42898  5911.66   964.22 4.06 3.82   8.1 -0.451    18.74 20.49 02a57862o0243c 0x000000  -1.473684
57862.359262 18.376212      NaN   -97    54 c    0   0.98 123.37812 71.42898  5939.33   865.98 4.63 4.25   7.2 -0.394    17.68 19.43 02a57862o0281c 0x100002  -1.796296
57862.361669 18.729535      NaN   -24    39 c    0   1.32 123.37812 71.42898  5895.28   901.66 4.15 3.84  10.4 -0.435    17.94 19.60 02a57862o0286c 0x100002  -0.615385
57870.313133 20.207197      NaN   -32    10 c    0   2.73 123.37812 71.42898  4024.54  2526.58 3.01 2.54  23.7 -0.426    19.30 20.45 02a57870o0100c 0x000000  -3.200000
57870.334725 20.103715      NaN   -16    11 c    0   3.08 123.37812 71.42898  4003.01  2479.72 2.92 2.42  23.9 -0.440    19.31 20.41 02a57870o0141c 0x000000  -1.454545
57870.345226 20.103715      NaN   -59    11 c    0   2.85 123.37812 71.42898  4063.60  2555.73 2.98 2.45  22.1 -0.438    19.30 20.39 02a57870o0161c 0x000000  -5.363636
57870.346793 20.071303      NaN     4    10 c    0   3.26 123.37812 71.42898  4082.50  2437.69 3.04 2.45  24.0 -0.441    19.29 20.39 02a57870o0164c 0x000000   0.400000
57870.364822 20.207197      NaN   -34    10 c    0   4.26 123.37812 71.42898  4039.60  2498.99 3.08 2.51  22.9 -0.437    19.23 20.31 02a57870o0198c 0x000000  -3.400000
58194.335578 20.449472      NaN   -17     8 c    0   1.72 123.37812 71.42898  4415.32  2832.88 2.56 2.44  53.5 -0.402    19.63 21.47 02a58194o0263c 0x000000  -2.125000
58194.352165 20.103715      NaN     3    10 c    0   1.92 123.37812 71.42898  4394.89  2791.37 2.53 2.46  71.4 -0.401    19.66 21.46 02a58194o0298c 0x000000   0.300000
58194.353532 20.594452      NaN   -40     7 c    0   5.01 123.37812 71.42898  4456.12  2868.13 2.53 2.41  61.0 -0.401    19.67 21.46 02a58194o0301c 0x000000  -5.714286
58194.371317 20.594452      NaN    -4     7 c    0   3.18 123.37812 71.42898  4473.92  2748.73 2.58 2.47  59.6 -0.398    19.63 21.46 02a58194o0339c 0x000000  -0.571429
58196.365992 20.321591 0.361912    27     9 c    0   3.02 123.37812 71.42898  5327.22  8034.35 2.53 2.32  30.1 -0.468    19.73 21.82 02a58196o0306c 0x000000   3.000000
58196.368730 20.207197      NaN   -37    10 c    0   1.66 123.37812 71.42898  5307.26  7990.86 2.47 2.30  27.8 -0.471    19.69 21.82 02a58196o0312c 0x000000  -3.700000
58196.390978 19.589310      NaN    23    10 c    0   4.81 123.37812 71.42898  5356.07  8066.34 2.47 2.30  35.9 -0.475    19.73 21.78 02a58196o0356c 0x000000   2.300000
58196.400262 20.207197      NaN   -13    10 c    0   3.00 123.37812 71.42898  5377.25  7951.14 2.42 2.27  28.2 -0.476    19.72 21.74 02a58196o0376c 0x000000  -1.300000
58224.339715 20.009244      NaN   -38    12 c    0   1.30 123.37812 71.42898  3672.50  8335.70 2.67 2.50 -33.7 -0.404    19.49 21.18 02a58224o0075c 0x000000  -3.166667
58224.340172 20.207197      NaN   -46    10 c    0   2.42 123.37812 71.42898  3654.33  8297.05 2.59 2.45 -31.2 -0.405    19.49 21.15 02a58224o0076c 0x000000  -4.600000
58224.349996 13.255504      NaN -9032  6035 c    0   0.94 123.37812 71.42898  3706.84  8372.70 2.55 2.49 -25.1 -0.436    15.05 16.65 02a58224o0097c 0x100002  -1.496603
58252.323288 19.922338      NaN   -49    13 c    0   1.46 123.37812 71.42898  4594.16  8101.95 2.74 2.55 -28.9 -0.414    19.37 21.01 02a58252o0192c 0x000000  -3.769231
58252.340690 20.009244      NaN   -19    12 c    0   1.65 123.37812 71.42898  4597.45  8094.61 2.57 2.43   2.8 -0.445    19.39 20.96 02a58252o0227c 0x000000  -1.583333
58252.344823 20.207197      NaN   -51    10 c    0   2.69 123.37812 71.42898  4590.28  8093.38 2.51 2.38   9.0 -0.453    19.40 20.94 02a58252o0236c 0x000000  -5.100000
58252.361611 20.009244      NaN   -37    12 c    0   1.41 123.37812 71.42898  4595.63  8104.71 2.57 2.49 -36.9 -0.442    19.33 20.89 02a58252o0272c 0x000000  -3.083333
58256.304123 14.732769      NaN  -393  1548 c    0   1.32 123.37812 71.42898  3720.58  9686.52 2.87 2.70 -37.2 -0.378    15.31 17.03 02a58256o0013c 0x100002  -0.253876
58256.314180 19.256669      NaN  -112    24 c    0   2.44 123.37812 71.42898  3770.46  9763.38 2.76 2.63 -37.6 -0.408    18.60 20.29 02a58256o0034c 0x000000  -4.666667
58256.327499 19.841877      NaN   -37    14 c    0   1.69 123.37812 71.42898  3779.75  9647.94 2.89 2.78 -53.0 -0.401    19.26 21.05 02a58256o0062c 0x000000  -2.642857
58280.259915 19.351140 0.296110    66    18 c    0   2.02 123.37812 71.42898  5693.47  9277.29 2.68 2.57 -18.3 -0.425    18.87 20.17 02a58280o0043c 0x000000   3.666667
58280.269471 18.574166 0.193020   135    24 c    0   1.16 123.37812 71.42898  5673.23  9235.30 2.76 2.61 -15.9 -0.429    19.09 20.63 02a58280o0062c 0x000000   5.625000
58280.279412 19.454622      NaN   -74    20 c    0   1.20 123.37812 71.42898  5720.32  9320.83 2.83 2.68 -34.3 -0.403    19.18 20.77 02a58280o0083c 0x000000  -3.700000
58280.289239 19.419021      NaN    14    16 c    0   1.64 123.37812 71.42898  5743.41  9210.27 2.86 2.72 -26.8 -0.401    19.08 20.67 02a58280o0104c 0x000000   0.875000
58284.254767 18.526952      NaN   -20    47 c    0   1.15 123.37812 71.42898  3407.21 10034.56 3.26 3.22 -89.1 -0.418    18.11 19.41 02a58284o0030c 0x100002  -0.425532
58284.261453 19.454622      NaN   -69    20 c    0   1.81 123.37812 71.42898  3388.42  9995.14 3.37 3.32  37.3 -0.418    18.84 20.39 02a58284o0044c 0x000000  -3.450000
58284.265856 19.766969      NaN   -68    15 c    0   2.53 123.37812 71.42898  3606.91   291.35 3.30 3.01  38.7 -0.396    19.05 20.70 02a58284o0053c 0x000000  -4.533333
58284.270547 19.510313      NaN  -157    19 c    0   1.17 123.37812 71.42898  3441.39 10074.74 3.32 3.21  22.3 -0.428    19.04 20.73 02a58284o0063c 0x000000  -8.263158
58284.275827 19.696897      NaN   -32    16 c    0   1.64 123.37812 71.42898  3579.70   253.12 3.31 2.93  37.5 -0.399    19.07 20.82 02a58284o0074c 0x000000  -2.000000
58284.280539 19.529530      NaN     8    16 c    0   1.65 123.37812 71.42898  3453.47  9960.24 3.04 2.91 -10.9 -0.420    19.08 20.70 02a58284o0084c 0x000000   0.500000
58284.285770 19.631075      NaN   -58    17 c    0   1.34 123.37812 71.42898  3644.87   314.15 3.67 3.33  33.2 -0.365    19.00 20.80 02a58284o0095c 0x000000  -3.411765
58396.637901 19.051202      NaN  -140    29 c    0   1.87 123.37812 71.42898  5914.84  1056.99 2.72 2.55  89.8 -0.411    18.22 19.41 02a58396o0930c 0x100002  -4.827586
58396.646791 17.439172      NaN    96    96 c    0   0.77 123.37812 71.42898  5940.11  1092.79 2.76 2.59  83.8 -0.404    17.13 17.92 02a58396o0949c 0x100002   1.000000
58400.642300 19.569016      NaN   -98    18 c    0   1.66 123.37812 71.42898  4753.24  3252.33 2.76 2.58 -83.0 -0.385    18.88 19.93 02a58400o0768c 0x000000  -5.444444
58400.650618 17.027593      NaN   165   132 c    0   0.71 123.37812 71.42898  4775.07  3292.93 2.74 2.57 -88.2 -0.462    16.91 17.50 02a58400o0786c 0x100002   1.250000
58424.629651 20.009244      NaN   -86    12 c    0   1.95 123.37812 71.42898  7711.86  2323.10 2.71 2.60  60.7 -0.430    19.41 20.87 02a58424o0859c 0x000000  -7.166667
58424.639072 19.841877      NaN   -95    14 c    0   1.93 123.37812 71.42898  7742.83  2361.78 2.67 2.57  81.9 -0.427    19.39 20.76 02a58424o0877c 0x000000  -6.785714
58428.588118 20.449472      NaN   -64     8 c    0   2.96 123.37812 71.42898  5370.06  4262.99 2.60 2.47  68.2 -0.424    19.68 21.64 02a58428o0747c 0x000000  -8.000000
58428.596427 20.207197      NaN   -68    10 c    0   1.39 123.37812 71.42898  5390.36  4302.91 2.56 2.45  60.8 -0.429    19.71 21.63 02a58428o0765c 0x000000  -6.800000
58428.605253 20.594452      NaN   -68     7 c    0   2.91 123.37812 71.42898  5335.63  4226.77 2.66 2.51  87.9 -0.402    19.68 21.67 02a58428o0784c 0x000000  -9.714286
58428.613538 20.321591      NaN   -71     9 c    0   1.86 123.37812 71.42898  5317.85  4345.24 2.67 2.59  77.3 -0.400    19.66 21.66 02a58428o0802c 0x000000  -7.888889
58432.584518 20.207197      NaN   -72    10 c    0   2.68 123.37812 71.42898  6479.55   967.74 2.83 2.63  49.0 -0.427    19.67 21.52 02a58432o0849c 0x000000  -7.200000
58432.592931 20.207197      NaN   -31    10 c    0   2.04 123.37812 71.42898  6500.29  1008.18 2.77 2.60  51.4 -0.431    19.67 21.53 02a58432o0867c 0x000000  -3.100000
58432.601777 20.321591      NaN   -79     9 c    0   2.40 123.37812 71.42898  6446.93   933.33 2.71 2.58  56.3 -0.436    19.66 21.54 02a58432o0886c 0x000000  -8.777778
58432.610155 20.321591      NaN   -42     9 c    0   2.04 123.37812 71.42898  6430.41  1052.41 2.72 2.57  58.6 -0.433    19.67 21.50 02a58432o0904c 0x000000  -4.666667
58436.575802 19.766969      NaN   -79    15 c    0   1.38 123.37812 71.42898  5687.54  3565.24 2.68 2.58  80.4 -0.411    19.08 20.81 02a58436o0829c 0x000000  -5.266667
58436.584222 20.207197      NaN   -65    10 c    0   2.02 123.37812 71.42898  5708.15  3605.87 2.63 2.54  66.9 -0.411    19.46 21.23 02a58436o0847c 0x000000  -6.500000
