         MJD         m       dm    uJy   duJy F  err   chi/N        RA      Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs     Mask    __tmp_SN
57799.380436 18.526952      NaN  -1636     47 o    0    1.41 123.37812 71.42898  6772.73  8344.82  3.81  3.67 -77.2 -0.627    18.68 20.31 01a57799o0289o 0x100002  -34.808511
57799.393245 18.417189      NaN  -1541     52 o    0    1.07 123.37812 71.42898  6800.47  8384.16  3.73  3.64 -68.7 -0.647    18.68 20.28 01a57799o0312o 0x100002  -29.634615
57799.405809 18.417189      NaN  -1539     52 o    0    1.17 123.37812 71.42898  6731.98  8313.76  3.81  3.70 -77.6 -0.622    18.65 20.24 01a57799o0335o 0x100002  -29.596154
57799.424739 18.598565      NaN  -1509     44 o    0    1.65 123.37812 71.42898  6723.05  8435.88  3.83  3.66 -66.0 -0.635    18.63 20.23 01a57799o0367o 0x100002  -34.295455
57801.381852 19.014394      NaN  -1677     30 o    0    1.41 123.37812 71.42898  4142.64  9073.32  4.23  4.11 -49.0 -0.582    18.76 20.71 01a57801o0273o 0x000000  -55.900000
57801.393910 19.302877      NaN  -1916     23 o    0    2.46 123.37812 71.42898  4165.25  9114.47  3.83  3.74 -39.0 -0.611    18.80 20.64 01a57801o0293o 0x000000  -83.304348
57801.405535 19.256669      NaN  -1693     24 o    0    2.17 123.37812 71.42898  4101.88  9019.06  3.79  3.65 -36.7 -0.611    18.71 20.42 01a57801o0314o 0x000000  -70.541667
57803.386992 18.944322      NaN  -1590     32 o    0    1.28 123.37812 71.42898  5244.17  6616.36  4.31  4.16 -57.1 -0.575    18.75 20.80 01a57803o0182o 0x000000  -49.687500
57803.398796 19.212347      NaN  -1430     25 o    0    1.57 123.37812 71.42898  5182.13  6543.20  4.04  4.02 -58.9 -0.594    18.82 20.82 01a57803o0201o 0x000000  -57.200000
57805.366859 18.910912      NaN  -1597     33 o    0    1.90 123.37812 71.42898  7101.46  7044.40  3.78  3.64  80.4 -0.624    18.65 20.40 01a57805o0281o 0x000000  -48.393939
57805.379173 18.978793      NaN  -1518     31 o    0    1.89 123.37812 71.42898  7124.26  7083.99  3.71  3.60 -89.6 -0.615    18.67 20.42 01a57805o0301o 0x000000  -48.967742
57805.390989 18.978793      NaN  -1398     31 o    0    1.87 123.37812 71.42898  7061.25  7012.90  3.80  3.65 -89.5 -0.617    18.66 20.43 01a57805o0322o 0x000000  -45.096774
57805.403261 18.878500      NaN  -1489     34 o    0    1.79 123.37812 71.42898  7047.58  7132.83  3.68  3.61 -80.4 -0.625    18.68 20.43 01a57805o0344o 0x000000  -43.794118
57807.360562 19.256669      NaN  -1193     24 o    0    1.61 123.37812 71.42898  4930.21  7548.53  3.98  3.88 -78.0 -0.592    18.74 20.65 01a57807o0212o 0x000000  -49.708333
57807.372663 19.256669      NaN  -1225     24 o    0    1.66 123.37812 71.42898  4952.94  7590.04  4.12  3.96 -67.2 -0.575    18.76 20.73 01a57807o0233o 0x000000  -51.041667
57807.385442 20.321591      NaN  -1856      9 o    0    2.43 123.37812 71.42898  4890.13  7514.72  4.03  3.90 -69.5 -0.588    18.79 20.77 01a57807o0255o 0x000000 -206.222222
57809.355205 16.500013      NaN  -2563    304 o    0    0.95 123.37812 71.42898  7610.18  6068.07  3.73  3.48 -84.3 -0.712    17.52 19.37 01a57809o0258o 0x100002   -8.430921
57809.367355 18.019544      NaN  -1284     75 o    0    1.64 123.37812 71.42898  7637.63  6087.21  3.87  3.62  88.8 -0.639    18.13 20.01 01a57809o0278o 0x100002  -17.120000
57809.392560 19.169763      NaN  -2067     26 o    0    2.44 123.37812 71.42898  7561.63  6156.69  3.78  3.53 -83.9 -0.613    18.46 20.32 01a57809o0320o 0x000000  -79.500000
57817.326726 19.302877      NaN  -1706     23 o    0    1.82 123.37812 71.42898  5492.70  6945.05  3.88  3.73 -72.7 -0.453    18.57 20.31 01a57817o0200o 0x000000  -74.173913
57817.341542 19.302877      NaN  -1779     23 o    0    2.06 123.37812 71.42898  5514.57  6985.96  3.92  3.79 -78.4 -0.454    18.57 20.34 01a57817o0226o 0x000000  -77.347826
57817.354653 19.089302      NaN  -1530     28 o    0    1.42 123.37812 71.42898  5452.44  6913.45  3.83  3.76 -59.9 -0.454    18.62 20.40 01a57817o0249o 0x000000  -54.642857
57817.367344 19.401649      NaN  -1672     21 o    0    2.26 123.37812 71.42898  5438.25  7032.60  3.97  3.81 -54.5 -0.451    18.61 20.42 01a57817o0272o 0x000000  -79.619048
57819.293473 18.910912      NaN  -1414     33 o    0    1.55 123.37812 71.42898  6585.57  3659.17  3.83  3.45 -39.8 -0.460    18.32 19.65 01a57819o0176o 0x000000  -42.848485
57819.307200 18.649074      NaN  -1433     42 o    0    1.33 123.37812 71.42898  6563.54  3617.01  4.25  3.73 -45.5 -0.435    18.19 19.57 01a57819o0202o 0x000000  -34.119048
57819.322404 18.574166      NaN  -1523     45 o    0    1.29 123.37812 71.42898  3951.62  6852.06  4.58  4.27  75.4 -0.424    18.13 19.55 01a57819o0227o 0x100002  -33.844444
57819.339845 18.757738      NaN  -1490     38 o    0    1.42 123.37812 71.42898  3947.58  6970.48  4.19  3.96 -76.4 -0.436    18.26 19.69 01a57819o0249o 0x000000  -39.210526
57823.337352 18.110074      NaN  -1288     69 o    0    1.48 123.37812 71.42898  4073.37  8095.46  3.64  3.53  59.0 -0.467    17.98 19.00 01a57823o0027o 0x100002  -18.666667
57823.349199 18.158337      NaN  -1323     66 o    0    1.15 123.37812 71.42898  4053.31  8213.01  3.77  3.62  61.0 -0.446    17.96 19.00 01a57823o0049o 0x100002  -20.045455
57827.329444 18.816441      NaN  -1197     36 o    0    1.14 123.37812 71.42898  6397.67  7957.53  3.46  3.24  20.5 -0.498    18.40 19.78 01a57827o0214o 0x000000  -33.250000
57827.343102 18.847027      NaN  -1167     35 o    0    1.14 123.37812 71.42898  6424.48  7996.75  3.36  3.20   7.9 -0.493    18.41 19.76 01a57827o0241o 0x000000  -33.342857
57827.357700 18.878500      NaN  -1232     34 o    0    1.09 123.37812 71.42898  6353.67  7925.84  3.58  3.34   8.9 -0.495    18.35 19.74 01a57827o0268o 0x000000  -36.235294
57827.372600 18.847027      NaN  -1444     35 o    0    1.42 123.37812 71.42898  6338.84  8046.22  3.55  3.29  -7.1 -0.492    18.33 19.70 01a57827o0295o 0x000000  -41.257143
57829.290605 20.594452      NaN  -1725      7 o    0    3.41 123.37812 71.42898  5762.93  8464.82  3.27  3.09  42.0 -0.501    18.98 20.81 01a57829o0135o 0x000000 -246.428571
57829.305376 19.841877      NaN  -1438     14 o    0    2.23 123.37812 71.42898  5790.85  8505.94  3.49  3.35  35.0 -0.489    18.91 20.81 01a57829o0162o 0x000000 -102.714286
57829.320055 19.351140      NaN  -1244     22 o    0    1.37 123.37812 71.42898  5722.25  8433.92  3.50  3.33  26.6 -0.489    18.93 20.82 01a57829o0189o 0x000000  -56.545455
57829.334617 19.510313      NaN  -1267     19 o    0    1.84 123.37812 71.42898  5708.52  8553.61  3.53  3.31  26.1 -0.489    18.92 20.80 01a57829o0215o 0x000000  -66.684211
57831.283978 19.401649      NaN  -1134     21 o    0    1.21 123.37812 71.42898  4080.51  8612.05  3.32  3.10  37.7 -0.492    18.90 20.63 01a57831o0123o 0x000000  -54.000000
57831.298725 20.761819      NaN  -1526      6 o    0    1.95 123.37812 71.42898  4108.07  8654.11  3.38  3.20  38.2 -0.483    18.88 20.65 01a57831o0150o 0x000000 -254.333333
