         MJD         m       dm   uJy  duJy F  err  chi/N        RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57779.663257 19.401649      NaN  -100    21 c    0   1.87 209.60942 -34.51609  4910.61  2830.55 3.96 3.80  88.5 -0.377    19.44 21.25 02a57779o0866c 0x000000  -4.761905
57779.678473 17.279100      NaN    73   124 c    0   1.07 209.60942 -34.51609  4880.29  2795.52 3.99 3.85  89.8 -0.395    17.69 17.91 02a57779o0896c 0x100002   0.588710
57783.656526 19.454622      NaN  -130    20 c    0   2.51 209.60942 -34.51609  3999.31   991.65 4.22 3.98  -9.0 -0.418    19.61 21.67 02a57783o0843c 0x000000  -6.500000
57783.672522 18.317510      NaN  -105    57 c    0   1.39 209.60942 -34.51609  3967.84   952.95 4.26 4.03 -12.2 -0.429    18.47 19.52 02a57783o0874c 0x100002  -1.842105
57787.637702 19.256669      NaN   -96    24 c    0   3.17 209.60942 -34.51609  6609.79  9477.76 3.71 3.63  49.2 -0.434    19.02 20.84 02a57787o0821c 0x000000  -4.000000
57787.652044 19.256669      NaN  -126    24 c    0   3.19 209.60942 -34.51609  6595.15  9439.57 3.76 3.70  49.5 -0.430    19.38 21.28 02a57787o0850c 0x000000  -5.250000
57787.666624 19.302877      NaN  -117    23 c    0   2.68 209.60942 -34.51609  6659.28  9517.29 3.86 3.77  62.8 -0.422    19.13 20.68 02a57787o0879c 0x000000  -5.086957
57807.620296 19.569016      NaN  -115    18 c    0   2.54 209.60942 -34.51609  3290.40  2913.66 3.85 3.80 -53.5 -0.387    19.57 21.51 02a57807o0757c 0x000000  -6.388889
57807.635458 19.454622      NaN  -109    20 c    0   2.83 209.60942 -34.51609  3275.66  2873.37 3.89 3.85 -44.9 -0.383    19.52 21.43 02a57807o0786c 0x000000  -5.450000
57807.650651 19.569016      NaN  -135    18 c    0   2.87 209.60942 -34.51609  3327.16  2952.25 3.93 3.87 -51.8 -0.381    19.44 21.32 02a57807o0815c 0x000000  -7.500000
57807.666235 18.208845      NaN  -206    63 c    0   1.16 209.60942 -34.51609  3362.13  2833.67 3.92 3.85 -56.9 -0.386    18.28 19.17 02a57807o0845c 0x100002  -3.269841
57835.557773 19.169763      NaN  -143    26 c    0   2.99 209.60942 -34.51609  4324.98  2225.60 3.98 3.83  79.4 -0.380    18.53 20.24 02a57835o0567c 0x000000  -5.500000
57835.572832 19.351140      NaN  -120    22 c    0   2.64 209.60942 -34.51609  4310.66  2186.69 3.72 3.61  84.2 -0.395    18.81 20.40 02a57835o0596c 0x000000  -5.454545
57835.589125 18.675237      NaN  -169    41 c    0   2.30 209.60942 -34.51609  4360.18  2263.37 3.73 3.63  84.5 -0.397    18.11 19.64 02a57835o0627c 0x100002  -4.121951
57835.620754 19.089302      NaN  -103    28 c    0   2.11 209.60942 -34.51609  4347.05  2201.94 3.92 3.79 -84.2 -0.386    18.55 20.04 02a57835o0687c 0x000000  -3.678571
57839.540622 19.454622      NaN  -136    20 c    0   2.94 209.60942 -34.51609  4441.63  1759.17 3.80 3.67  84.5 -0.401    18.94 20.73 02a57839o0610c 0x000000  -6.800000
57839.556523 19.510313      NaN  -111    19 c    0   3.62 209.60942 -34.51609  4426.62  1718.51 3.85 3.81  84.3 -0.395    18.90 20.71 02a57839o0640c 0x000000  -5.842105
57839.571972 19.401649      NaN  -235    21 c    0   3.09 209.60942 -34.51609  4475.70  1794.74 3.89 3.77  89.6 -0.398    18.89 20.69 02a57839o0669c 0x000000 -11.190476
57839.587959 19.351140      NaN  -153    22 c    0   2.75 209.60942 -34.51609  4508.50  1676.86 3.85 3.72 -89.2 -0.397    18.84 20.57 02a57839o0699c 0x000000  -6.954545
57839.603456 19.569016      NaN  -206    18 c    0   2.78 209.60942 -34.51609  4463.51  1734.24 3.85 3.72 -83.9 -0.395    18.82 20.56 02a57839o0728c 0x000000 -11.444444
57847.520617 19.401649      NaN  -208    21 c    0   2.58 209.60942 -34.51609  5155.87  1853.78 3.91 3.82 -87.6 -0.390    18.80 20.51 02a57847o0564c 0x000000  -9.904762
57847.536279 19.401649      NaN   -34    21 c    0  10.13 209.60942 -34.51609  5140.70  1813.66 4.19 4.13  77.6 -0.372    18.69 20.48 02a57847o0594c 0x100001  -1.619048
57847.551960 19.351140      NaN  -158    22 c    0   2.86 209.60942 -34.51609  5207.86  1889.72 4.03 3.96  84.1 -0.380    18.73 20.47 02a57847o0624c 0x000000  -7.181818
57847.567615 19.169763      NaN   -90    26 c    0   2.82 209.60942 -34.51609  5225.14  1774.62 4.29 4.22 -89.6 -0.371    18.62 20.41 02a57847o0654c 0x000000  -3.461538
57847.583312 19.212347      NaN  -113    25 c    0   2.54 209.60942 -34.51609  5178.47  1830.12 3.98 3.93 -54.1 -0.385    18.64 20.29 02a57847o0684c 0x000000  -4.520000
57863.508559 19.401649      NaN    -9    21 c    0   2.97 209.60942 -34.51609  3558.13  2999.27 3.74 3.69  84.1 -0.391    18.64 20.13 02a57863o0523c 0x000000  -0.428571
57863.521187 19.212347      NaN   -27    25 c    0   2.16 209.60942 -34.51609  3544.51  2958.69 3.71 3.61  83.8 -0.396    18.55 19.93 02a57863o0547c 0x000000  -1.080000
57863.534286 18.847027      NaN    36    23 c    0   2.41 209.60942 -34.51609  3596.19  3035.11 3.78 3.67  87.7 -0.386    18.45 19.76 02a57863o0572c 0x000000   1.565217
57863.547375 18.615142 0.233851   130    28 c    0   3.09 209.60942 -34.51609  3613.73  2916.95 3.83 3.74 -82.1 -0.382    18.34 19.63 02a57863o0597c 0x000000   4.642857
57863.561007 18.978793      NaN   -23    31 c    0   1.74 209.60942 -34.51609  3582.37  2973.04 3.90 3.76 -81.7 -0.381    18.23 19.48 02a57863o0623c 0x000000  -0.741935
57871.463669 19.841877      NaN  -149    14 c    0   6.34 209.60942 -34.51609  6467.73  1923.05 3.12 2.74  27.4 -0.440    19.35 20.53 02a57871o0303c 0x000000 -10.642857
57871.479470 19.766969      NaN  -201    15 c    0   3.40 209.60942 -34.51609  6454.83  1883.37 3.38 2.95  26.4 -0.446    19.26 20.44 02a57871o0333c 0x000000 -13.400000
57871.495230 19.841877      NaN  -159    14 c    0   3.91 209.60942 -34.51609  6521.20  1959.24 3.48 3.04  26.3 -0.451    19.19 20.39 02a57871o0363c 0x000000 -11.357143
57871.511038 19.922338      NaN  -109    13 c    0   6.87 209.60942 -34.51609  6538.35  1840.85 3.34 2.85  24.8 -0.449    19.23 20.31 02a57871o0393c 0x000000  -8.384615
57871.526783 19.696897      NaN  -142    16 c    0   3.59 209.60942 -34.51609  6493.04  1899.95 3.16 2.76  22.1 -0.451    19.18 20.21 02a57871o0423c 0x000000  -8.875000
