         MJD         m       dm    uJy  duJy F  err  chi/N        RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57799.606127 18.438271      NaN    -90    51 o    0   1.51 209.60942 -34.51609  4765.96   493.19 3.92 3.86   8.4 -0.445    18.41 19.34 02a57799o0748o 0x000000  -1.764706
57799.614032 18.009935      NaN     98    43 o    0   2.22 209.60942 -34.51609  8294.22 10170.61 3.83 3.68  48.8 -0.448    18.37 19.27 02a57799o0763o 0x000000   2.279070
57799.621774 18.534680 0.356742    140    46 o    0   2.11 209.60942 -34.51609  4750.66   456.19 3.69 3.62 -26.4 -0.466    18.48 19.33 02a57799o0778o 0x000000   3.043478
57799.629766 18.459772      NaN    -14    50 o    0   1.81 209.60942 -34.51609  8279.22 10134.76 3.46 3.34 -47.8 -0.462    18.46 19.32 02a57799o0793o 0x000000  -0.280000
57799.637480 18.438271      NaN    -46    51 o    0   1.11 209.60942 -34.51609  4815.66   534.45 3.66 3.53 -23.8 -0.472    18.49 19.31 02a57799o0808o 0x000000  -0.901961
57799.645349 18.550302      NaN     -4    46 o    0   2.14 209.60942 -34.51609  8329.06 10212.24 3.53 3.43 -71.5 -0.477    18.43 19.30 02a57799o0823o 0x000000  -0.086957
57799.653551 18.459772      NaN    -49    50 o    0   2.17 209.60942 -34.51609  4834.97   419.76 3.73 3.61 -18.9 -0.465    18.44 19.27 02a57799o0839o 0x000000  -0.980000
57799.660718 18.079051      NaN     72    47 o    0   2.06 209.60942 -34.51609  8362.67 10100.08 3.68 3.66 -52.7 -0.475    18.32 19.14 02a57799o0853o 0x000000   1.531915
57799.674021 17.105824      NaN   -214   174 o    0   1.25 209.60942 -34.51609  4791.67   472.32 4.05 3.85  -6.6 -0.431    17.21 16.97 02a57799o0878o 0x100002  -1.229885
57816.658660 17.833722      NaN     21    82 o    0   2.02 209.60942 -34.51609  7643.62  9798.75 3.69 3.60  47.1 -0.490    17.79 18.72 01a57816o0869o 0x100002   0.256098
57818.650394 18.649074      NaN   -129    42 o    0   3.61 209.60942 -34.51609  7613.70  9076.68 4.36 3.99 -13.8 -0.415    18.55 20.48 01a57818o0858o 0x000000  -3.071429
57818.664391 15.242508      NaN  -1026   968 o    0   1.39 209.60942 -34.51609  7646.25  9117.79 4.22 3.71 -12.6 -0.498    16.52 17.79 01a57818o0886o 0x100002  -1.059917
57819.590459 19.014394      NaN    -31    30 o    0   2.90 209.60942 -34.51609  5221.87  2290.26 3.52 3.49 -32.3 -0.443    19.23 20.90 02a57819o0596o 0x000000  -1.033333
