         MJD         m       dm  uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  __tmp_SN
57862.282642 19.454622      NaN  -29    20 c    0   1.57 105.73121 62.77241  4153.17  3839.55 3.80 3.62 -81.2 -0.496    18.70 20.22 02a57862o0124c 0x000000 -1.450000
57862.299729 19.401649      NaN   -6    21 c    0   1.26 105.73121 62.77241  4135.65  3801.78 3.75 3.52 -84.7 -0.488    18.71 20.23 02a57862o0159c 0x000000 -0.285714
57862.304558 19.351140      NaN  -17    22 c    0   1.42 105.73121 62.77241  4196.20  3876.04 3.73 3.52 -82.6 -0.485    18.70 20.21 02a57862o0169c 0x000000 -0.772727
57862.316323 19.351140      NaN  -20    22 c    0   1.34 105.73121 62.77241  4216.83  3759.02 3.73 3.55 -80.5 -0.455    18.71 20.25 02a57862o0193c 0x000000 -0.909091
57862.325492 19.256669      NaN    6    22 c    0   1.37 105.73121 62.77241  4179.53  3816.77 3.74 3.56 -81.5 -0.447    18.71 20.27 02a57862o0212c 0x000000  0.272727
57870.282050 20.207197      NaN  -10    10 c    0   2.75 105.73121 62.77241  2471.07  5479.63 2.37 2.33 -34.2 -0.464    19.30 20.35 02a57870o0041c 0x000000 -1.000000
57870.291987 20.103715      NaN  -29    11 c    0   2.54 105.73121 62.77241  2452.20  5443.61 2.43 2.39   4.3 -0.477    19.24 20.31 02a57870o0060c 0x000000 -2.636364
57870.299464 20.207197      NaN  -36    10 c    0   2.63 105.73121 62.77241  2513.19  5509.66 2.38 2.31   6.1 -0.483    19.27 20.32 02a57870o0074c 0x000000 -3.600000
57870.308372 20.009244      NaN  -27    12 c    0   1.69 105.73121 62.77241  2529.99  5397.99 2.44 2.37   4.5 -0.478    19.21 20.28 02a57870o0091c 0x000000 -2.250000
57870.330468 19.816329      NaN    7    12 c    0   2.44 105.73121 62.77241  2492.32  5452.71 2.47 2.35   2.8 -0.476    19.16 20.22 02a57870o0133c 0x000000  0.583333
58044.652119 17.564935      NaN -206   114 c    0   0.93 105.73121 62.77241   963.37  7784.99 3.35 3.20  21.3 -0.498    17.11 18.23 02a58044o0487c 0x100002 -1.807018
58194.297713 19.841877 0.258509   42    10 c    0   1.97 105.73121 62.77241  2829.39  5767.88 2.51 2.40  36.8 -0.426    19.63 21.43 02a58194o0182c 0x000000  4.200000
58194.307064 19.401649 0.206807   63    12 c    0   2.38 105.73121 62.77241  2811.18  5728.34 2.50 2.44  31.7 -0.428    19.65 21.46 02a58194o0202c 0x000000  5.250000
58194.324391 19.384550 0.169646   64    10 c    0   3.00 105.73121 62.77241  2873.09  5803.72 2.29 2.23  -2.9 -0.428    19.72 21.47 02a58194o0239c 0x000000  6.400000
58194.327141 19.569016 0.201062   54    10 c    0   2.93 105.73121 62.77241  2890.78  5684.86 2.35 2.28  26.4 -0.434    19.68 21.47 02a58194o0245c 0x000000  5.400000
58196.340487 19.169763      NaN   30    16 c    0   3.64 105.73121 62.77241  5162.52 10415.34 2.71 2.45  23.6 -0.447    19.52 21.54 02a58196o0251c 0x000000  1.875000
58196.349302 19.631075 0.298045   51    14 c    0   2.63 105.73121 62.77241 10240.47  1106.85 3.15 2.58  55.4 -0.411    19.73 21.75 02a58196o0270c 0x000000  3.642857
58196.355347 19.002397      NaN   40    17 c    0   4.46 105.73121 62.77241  5196.93 10454.58 2.67 2.41  26.6 -0.447    19.70 21.75 02a58196o0283c 0x000000  2.352941
58196.356259 19.334813      NaN   25    14 c    0   3.01 105.73121 62.77241  5143.67 10373.22 2.66 2.38  21.7 -0.444    19.73 21.77 02a58196o0285c 0x000000  1.785714
58196.359006 19.401649      NaN   24    13 c    0   2.98 105.73121 62.77241 10214.86  1064.20 3.18 2.57  59.3 -0.410    19.76 21.79 02a58196o0291c 0x000000  1.846154
58196.359918 19.868040 0.317776   41    12 c    0   2.24 105.73121 62.77241 10275.99  1148.60 3.22 2.54  57.3 -0.421    19.71 21.79 02a58196o0293c 0x000000  3.416667
58196.361744 19.401649      NaN   21    14 c    0   3.51 105.73121 62.77241  5213.56 10333.21 2.62 2.36  20.1 -0.442    19.73 21.76 02a58196o0297c 0x000000  1.500000
58196.374804 19.979496 0.322786   37    11 c    0   2.19 105.73121 62.77241 10304.84  1034.64 3.19 2.54  54.1 -0.417    19.69 21.77 02a58196o0325c 0x000000  3.363636
58196.379835 19.454622      NaN   24    12 c    0   2.06 105.73121 62.77241 10303.96  1032.00 3.24 2.56  53.8 -0.407    19.70 21.74 02a58196o0332c 0x000000  2.000000
58224.308573 20.009244      NaN    0    12 c    0   2.48 105.73121 62.77241  8316.50  1250.52 3.02 2.75 -59.6 -0.386    19.40 21.21 02a58224o0009c 0x000000  0.000000
58224.312781 20.009244      NaN   -6    12 c    0   1.45 105.73121 62.77241  8283.27  1206.18 2.83 2.58 -61.1 -0.387    19.48 21.19 02a58224o0018c 0x000000 -0.500000
58224.326531 19.816329      NaN    7    12 c    0   2.29 105.73121 62.77241  8345.94  1288.94 2.69 2.59 -68.7 -0.400    19.48 21.09 02a58224o0047c 0x000000  0.583333
58224.334097 19.922338      NaN   -6    13 c    0   1.94 105.73121 62.77241  8363.24  1172.33 2.68 2.57  70.8 -0.409    19.49 21.11 02a58224o0063c 0x000000 -0.461538
58252.262439 19.089302      NaN   24    20 c    0   3.12 105.73121 62.77241  4440.90 10481.64 2.65 2.53  -6.7 -0.408    19.46 21.01 02a58252o0071c 0x000000  1.200000
58252.281035 19.128787      NaN  -42    27 c    0   3.13 105.73121 62.77241  4448.12 10482.99 2.84 2.54  11.8 -0.440    19.40 20.91 02a58252o0107c 0x000000 -1.555556
58252.285015 19.841877      NaN  -40    14 c    0   2.50 105.73121 62.77241  9388.08  1111.07 2.64 2.56  24.8 -0.407    19.46 21.01 02a58252o0114c 0x000000 -2.857143
58252.302603 19.089302      NaN   -2    28 c    0   1.80 105.73121 62.77241  4434.40 10502.16 2.83 2.66 -29.2 -0.388    19.29 20.79 02a58252o0149c 0x100002 -0.071429
58252.304445 19.841877      NaN   -2    14 c    0   2.65 105.73121 62.77241  9388.22  1113.77 3.01 2.60  36.6 -0.410    19.40 20.92 02a58252o0153c 0x000000 -0.142857
58252.320021 18.816441      NaN  -51    36 c    0   3.10 105.73121 62.77241  4442.09 10500.67 2.85 2.62   8.4 -0.438    19.20 20.66 02a58252o0185c 0x100002 -1.416667
58252.321420 19.696897      NaN  -12    16 c    0   1.88 105.73121 62.77241  9384.87  1121.90 3.11 2.86  50.3 -0.397    19.27 20.84 02a58252o0188c 0x000000 -0.750000
58252.338827 19.696897      NaN  -34    16 c    0   2.06 105.73121 62.77241  9388.92  1136.95 2.94 2.75  25.8 -0.416    19.23 20.70 02a58252o0223c 0x000000 -2.125000
58396.628690 19.351140      NaN  -32    22 c    0   1.76 105.73121 62.77241  1163.67  8048.05 2.53 2.41 -31.8 -0.427    18.72 20.05 02a58396o0910c 0x000000 -1.454545
58396.637444 18.615142      NaN   34    32 c    0   1.15 105.73121 62.77241  1191.46  8089.23 2.61 2.50 -39.0 -0.414    18.40 19.62 02a58396o0929c 0x100002  1.062500
58396.646334 17.603715      NaN -132   110 c    0   1.05 105.73121 62.77241  1135.29  8005.34 2.58 2.47 -28.9 -0.445    17.56 18.31 02a58396o0948c 0x100002 -1.200000
58400.612487 19.155932      NaN   22    19 c    0   9.65 105.73121 62.77241 10111.82 10500.28 2.86 2.70  30.3 -0.412    19.66 21.55 02a58400o0704c 0x000000  1.157895
58400.623723 20.449472      NaN  -10     8 c    0   4.24 105.73121 62.77241  4942.72   878.55 2.88 2.64  51.2 -0.416    19.67 21.62 02a58400o0728c 0x000000 -1.250000
58400.629774 19.841877      NaN  -10    14 c    0   4.36 105.73121 62.77241 10067.31 10467.62 2.73 2.59  18.8 -0.436    19.70 21.55 02a58400o0741c 0x000000 -0.714286
58400.632093 20.321591      NaN  -24     9 c    0   4.36 105.73121 62.77241  4960.44   919.84 2.95 2.70  54.6 -0.403    19.65 21.53 02a58400o0746c 0x000000 -2.666667
58400.640927 19.922338      NaN  -30    13 c    0   2.19 105.73121 62.77241  4908.83   841.71 2.77 2.51  51.4 -0.430    19.29 20.50 02a58400o0765c 0x000000 -2.307692
58400.649247 18.459772      NaN  -39    50 c    0   1.60 105.73121 62.77241  4883.59   960.15 2.76 2.57  56.1 -0.424    17.65 18.22 02a58400o0783c 0x100002 -0.780000
58424.608981 20.009244      NaN  -26    12 c    0   2.62 105.73121 62.77241  7394.06  1082.68 2.83 2.57  52.8 -0.408    19.46 20.96 02a58424o0819c 0x000000 -2.166667
58424.618079 20.207197      NaN   -9    10 c    0   3.23 105.73121 62.77241  7356.86  1039.46 2.65 2.53  68.2 -0.407    19.52 20.95 02a58424o0837c 0x000000 -0.900000
58424.627981 19.841877      NaN  -52    14 c    0   1.76 105.73121 62.77241  3204.47  9450.40 2.77 2.47   1.9 -0.449    19.49 20.95 02a58424o0856c 0x000000 -3.714286
58424.637546 19.652575      NaN   14    12 c    0   1.72 105.73121 62.77241  7432.06  1008.79 2.69 2.50  64.0 -0.410    19.49 20.86 02a58424o0874c 0x000000  1.166667
58428.560092 20.449472      NaN  -10     8 c    0   3.63 105.73121 62.77241  5550.19  1894.53 2.78 2.62  49.5 -0.400    19.67 21.70 02a58428o0687c 0x000000 -1.250000
58428.568408 20.321591      NaN  -29     9 c    0   3.68 105.73121 62.77241  5568.89  1934.16 2.73 2.57  56.9 -0.404    19.72 21.70 02a58428o0705c 0x000000 -3.222222
58428.577231 20.103715      NaN   -6    11 c    0   3.06 105.73121 62.77241  5516.45  1857.66 2.70 2.51  60.4 -0.411    19.71 21.72 02a58428o0724c 0x000000 -0.545455
58428.585766 20.207197      NaN  -34    10 c    0   2.35 105.73121 62.77241  5499.74  1975.25 2.73 2.52  54.0 -0.408    19.77 21.73 02a58428o0742c 0x000000 -3.400000
58432.567700 20.103715      NaN  -37    11 c    0   2.77 105.73121 62.77241  1819.75  8012.39 2.62 2.37   9.0 -0.438    19.64 21.46 02a58432o0813c 0x000000 -3.363636
58432.576029 20.321591      NaN  -18     9 c    0   3.48 105.73121 62.77241  1837.31  8052.27 2.55 2.40   6.9 -0.438    19.67 21.52 02a58432o0831c 0x000000 -2.000000
58432.584975 20.207197      NaN  -38    10 c    0   6.64 105.73121 62.77241  1775.95  7973.02 2.57 2.42   1.3 -0.427    19.68 21.57 02a58432o0850c 0x000000 -3.800000
58432.593388 20.009244      NaN  -35    12 c    0   3.17 105.73121 62.77241  1758.18  8089.86 2.62 2.45   4.1 -0.424    19.68 21.59 02a58432o0868c 0x000000 -2.916667
58436.549508 20.103715      NaN   -6    11 c    0   3.38 105.73121 62.77241  5844.96  1198.97 2.86 2.61  50.3 -0.418    19.49 21.35 02a58436o0773c 0x000000 -0.545455
58436.558071 20.207197      NaN  -14    10 c    0   2.47 105.73121 62.77241  5870.50  1234.29 2.76 2.62  72.7 -0.405    19.60 21.51 02a58436o0791c 0x000000 -1.400000
58436.566892 18.816441      NaN  -32    36 c    0   1.29 105.73121 62.77241  5819.39  1157.04 2.68 2.50  69.5 -0.411    18.00 19.53 02a58436o0810c 0x100002 -0.888889
58436.575344 19.841877      NaN   -6    14 c    0   1.92 105.73121 62.77241  5803.80  1274.70 2.73 2.56  63.4 -0.417    19.22 20.99 02a58436o0828c 0x000000 -0.428571
58436.576260 16.881162      NaN   90   184 c    0   0.10 105.73121 62.77241   822.74 10513.82 2.72 2.39  -3.2 -0.413    19.28 21.05 02a58436o0830c 0x100002  0.489130
58456.602313 20.103715      NaN  -38    11 c    0   1.36 105.73121 62.77241  5882.24  7184.69 2.61 2.57 -22.7 -0.416    19.68 21.68 02a58456o0759c 0x000000 -3.454545
58456.610738 20.103715      NaN  -36    11 c    0   2.23 105.73121 62.77241  5858.97  7145.45 2.70 2.61 -41.0 -0.403    19.68 21.65 02a58456o0777c 0x000000 -3.272727
58456.627591 20.207197      NaN  -45    10 c    0   3.00 105.73121 62.77241  5910.97  7221.31 2.53 2.52  -2.8 -0.419    19.70 21.60 02a58456o0812c 0x000000 -4.500000
58456.638499 20.103715      NaN  -39    11 c    0   1.15 105.73121 62.77241  5929.61  7104.61 2.47 2.44  11.3 -0.437    19.66 21.54 02a58456o0834c 0x000000 -3.545455
58460.558600 20.207197      NaN  -23    10 c    0   3.39 105.73121 62.77241  8609.47  4959.04 2.87 2.71  67.0 -0.409    19.61 21.78 02a58460o0797c 0x000000 -2.300000
58460.574901 20.207197      NaN  -54    10 c    0   2.51 105.73121 62.77241  8588.88  4919.16 2.96 2.79  60.1 -0.411    19.64 21.80 02a58460o0831c 0x000000 -5.400000
58460.578211 20.207197      NaN  -37    10 c    0   2.77 105.73121 62.77241  8649.95  5000.83 3.09 2.89  59.9 -0.404    19.59 21.79 02a58460o0838c 0x000000 -3.700000
58460.588172 20.009244      NaN  -33    12 c    0   1.36 105.73121 62.77241  8665.63  4884.20 2.91 2.72  58.0 -0.418    19.63 21.80 02a58460o0859c 0x000000 -2.750000
58488.491418 20.009244      NaN  -39    12 c    0   2.05 105.73121 62.77241  5440.95  2908.05 3.77 3.64 -60.4 -0.379    19.20 21.64 02a58488o0638c 0x000000 -3.250000
58488.493704 20.009244      NaN  -40    12 c    0   2.08 105.73121 62.77241  5423.23  2867.52 3.42 3.33  48.3 -0.378    19.29 21.64 02a58488o0643c 0x000000 -3.333333
58488.510634 20.009244      NaN  -37    12 c    0   1.76 105.73121 62.77241  5485.60  2945.62 3.09 2.96  55.8 -0.387    19.42 21.62 02a58488o0679c 0x000000 -3.083333
58488.513385 20.103715      NaN  -72    11 c    0   2.74 105.73121 62.77241  5502.17  2828.23 3.55 3.45  66.7 -0.394    19.30 21.62 02a58488o0685c 0x000000 -6.545455
58492.514856 19.922338      NaN  -14    13 c    0   1.35 105.73121 62.77241  3913.59  8717.03 2.49 2.43  11.6 -0.436    19.66 21.73 02a58492o0676c 0x000000 -1.076923
58492.518947 20.207197      NaN  -18    10 c    0   2.37 105.73121 62.77241  3890.43  8676.51 2.50 2.40 -12.8 -0.432    19.67 21.73 02a58492o0683c 0x000000 -1.800000
58492.536853 20.103715      NaN  -41    11 c    0   2.40 105.73121 62.77241  3945.17  8754.43 2.55 2.41  11.7 -0.439    19.63 21.70 02a58492o0718c 0x000000 -3.727273
58492.542825 20.207197      NaN  -38    10 c    0   2.59 105.73121 62.77241  3958.82  8632.56 2.55 2.39   1.9 -0.444    19.62 21.69 02a58492o0729c 0x000000 -3.800000
58576.345131 20.009244      NaN  -21    12 c    0   1.85 105.73121 62.77241  5345.00  6786.35 2.53 2.26  41.8 -0.393    19.59 21.30 02a58576o0264c 0x000000 -1.750000
58576.353176 20.103715      NaN  -12    11 c    0   2.53 105.73121 62.77241  5316.18  6742.85 2.57 2.27  40.5 -0.393    19.55 21.25 02a58576o0281c 0x000000 -1.090909
58576.365784 20.207197      NaN  -15    10 c    0   1.73 105.73121 62.77241  5378.17  6822.36 2.46 2.28  39.8 -0.399    19.54 21.23 02a58576o0308c 0x000000 -1.500000
58576.374041 20.321591      NaN  -15     9 c    0   3.85 105.73121 62.77241  5395.95  6703.00 2.43 2.29  36.2 -0.403    19.51 21.20 02a58576o0326c 0x000000 -1.666667
58580.334128 20.009244      NaN  -18    12 c    0   2.07 105.73121 62.77241  4689.06  4848.09 2.72 2.29  42.9 -0.385    19.51 21.21 02a58580o0241c 0x000000 -1.500000
58580.348992 20.009244      NaN   -3    12 c    0   1.38 105.73121 62.77241  4670.63  4805.62 2.48 2.20  38.7 -0.395    19.53 21.15 02a58580o0273c 0x000000 -0.250000
58580.355860 20.103715      NaN  -17    11 c    0   1.57 105.73121 62.77241  4720.90  4882.86 2.42 2.24  37.7 -0.394    19.52 21.14 02a58580o0286c 0x000000 -1.545455
58580.366156 20.103715      NaN  -33    11 c    0   2.29 105.73121 62.77241  4741.05  4766.29 2.49 2.29  40.7 -0.397    19.45 21.08 02a58580o0308c 0x000000 -3.000000
58604.300125 19.841877      NaN  -25    14 c    0   1.44 105.73121 62.77241  8305.95  1064.35 2.63 2.38 -57.8 -0.412    19.29 20.96 02a58604o0135c 0x000000 -1.785714
58604.310661 19.841877      NaN  -50    14 c    0   1.65 105.73121 62.77241  8280.35  1024.44 2.57 2.35 -54.7 -0.409    19.29 20.92 02a58604o0157c 0x000000 -3.571429
58604.320819 19.841877      NaN  -56    14 c    0   1.98 105.73121 62.77241  8341.58  1103.22 2.62 2.31 -52.4 -0.415    19.29 20.91 02a58604o0178c 0x000000 -4.000000
58604.331351 19.696897      NaN   -7    16 c    0   1.31 105.73121 62.77241  8369.55   985.47 2.62 2.42 -52.5 -0.407    19.23 20.88 02a58604o0200c 0x000000 -0.437500
58788.605704 20.009244      NaN  -17    12 c    0   2.04 105.73121 62.77241  1739.36  9417.02 2.90 2.10 -54.0 -0.448    19.66 21.41 02a58788o0832c 0x000000 -1.416667
58788.608467 20.103715      NaN  -20    11 c    0   2.40 105.73121 62.77241  1720.24  9378.01 2.85 2.05 -53.4 -0.447    19.68 21.43 02a58788o0838c 0x000000 -1.818182
58788.624495 20.009244      NaN  -30    12 c    0   1.59 105.73121 62.77241  1765.30  9448.77 2.78 2.09 -52.8 -0.454    19.63 21.31 02a58788o0872c 0x000000 -2.500000
58788.636356 19.841877      NaN  -38    14 c    0   1.19 105.73121 62.77241  1777.92  9329.60 2.37 2.17 -48.3 -0.435    19.59 21.25 02a58788o0897c 0x000000 -2.714286
58792.592165 19.766969      NaN  -20    15 c    0   1.19 105.73121 62.77241  1741.92  9413.45 2.47 2.06 -51.3 -0.453    19.46 21.14 02a58792o0870c 0x000000 -1.333333
58792.595365 19.922338      NaN    3    12 c    0   1.86 105.73121 62.77241  1720.65  9377.41 2.36 2.22 -43.9 -0.435    19.47 21.16 02a58792o0877c 0x000000  0.250000
