         MJD         m       dm    uJy  duJy F  err   chi/N        RA      Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs     Mask     __tmp_SN
57799.355763 18.459772      NaN  -1349    50 o    0    2.22 105.73121 62.77241  8156.47  5360.16  3.84  3.59  80.8 -0.628    18.82 20.55 01a57799o0248o 0x100002   -26.980000
57801.319669 18.623526      NaN  -1312    43 o    0    2.29 105.73121 62.77241  5786.21  6134.54  3.65  3.58 -80.2 -0.633    18.84 20.69 01a57801o0159o 0x100002   -30.511628
57801.331663 18.786693      NaN  -1304    37 o    0    1.68 105.73121 62.77241  5805.99  6172.92  3.83  3.72 -76.9 -0.632    18.84 20.74 01a57801o0182o 0x000000   -35.243243
57801.343908 19.014394      NaN  -1222    30 o    0    2.87 105.73121 62.77241  5744.52  6099.03  3.97  3.78 -61.5 -0.625    18.79 20.69 01a57801o0204o 0x000000   -40.733333
57801.355878 18.910912      NaN  -1242    33 o    0    3.09 105.73121 62.77241  5730.84  6216.43  4.02  3.86 -69.0 -0.617    18.78 20.71 01a57801o0226o 0x000000   -37.636364
57803.312268 18.675237      NaN  -1244    41 o    0    1.75 105.73121 62.77241  6774.44  3618.75  4.70  4.32  70.9 -0.584    18.60 20.62 01a57803o0053o 0x000000   -30.341463
57803.336929 18.847027      NaN  -1299    35 o    0    2.21 105.73121 62.77241  6747.29  3587.45  4.16  3.90  63.5 -0.572    18.79 20.75 01a57803o0096o 0x000000   -37.114286
57803.348904 18.757738      NaN  -1081    38 o    0    1.25 105.73121 62.77241  6733.37  3705.95  4.33  4.10  80.1 -0.578    18.78 20.81 01a57803o0117o 0x000000   -28.447368
57805.295422 18.649074      NaN  -1348    42 o    0    2.03 105.73121 62.77241  8527.32  4073.97  4.25  3.78  78.4 -0.613    18.69 20.61 01a57805o0152o 0x000000   -32.095238
57805.309312 18.757738      NaN  -1247    38 o    0    2.38 105.73121 62.77241  8547.78  4112.26  3.93  3.57  72.6 -0.627    18.71 20.54 01a57805o0178o 0x000000   -32.815789
57805.323049 18.675237      NaN  -1222    41 o    0    1.90 105.73121 62.77241  8494.34  4037.80  4.15  3.72  71.4 -0.616    18.70 20.59 01a57805o0203o 0x000000   -29.804878
57805.337181 18.675237      NaN  -1339    41 o    0    2.49 105.73121 62.77241  8479.94  4156.66  3.96  3.64  76.0 -0.613    18.71 20.55 01a57805o0229o 0x000000   -32.658537
57807.293957 18.757738      NaN  -1265    38 o    0    1.46 105.73121 62.77241  6498.51  4596.73  4.03  3.81  81.6 -0.594    18.79 20.74 01a57807o0093o 0x000000   -33.289474
57807.307768 18.944322      NaN  -1175    32 o    0    1.80 105.73121 62.77241  6519.14  4636.38  4.07  3.85  77.8 -0.584    18.80 20.77 01a57807o0119o 0x000000   -36.718750
57807.322751 18.978793      NaN  -1304    31 o    0    2.62 105.73121 62.77241  6466.65  4563.42  4.10  3.90  78.4 -0.585    18.76 20.70 01a57807o0146o 0x000000   -42.064516
