         MJD         m       dm   uJy  duJy F  err  chi/N        RA      Dec       x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask    __tmp_SN
57699.211472 18.417189      NaN  -168    52 c    0   1.93 353.65196 -4.53453 9431.30  7575.56 3.96 3.57  88.1 -0.431    17.80 18.96 02a57699o0065c 0x100002   -3.230769
57699.223380 18.566153 0.247484   136    31 c    0   2.72 353.65196 -4.53453 9448.92  7616.72 3.83 3.36 -79.6 -0.407    18.83 20.11 02a57699o0088c 0x100002    4.387097
57699.237904 18.786693      NaN    -3    37 c    0   2.48 353.65196 -4.53453 9387.11  7539.30 3.85 3.40 -81.7 -0.416    18.67 19.87 02a57699o0116c 0x100002   -0.081081
57699.253792 17.976960      NaN  -430    78 c    0   1.48 353.65196 -4.53453 9363.54  7658.72 3.81 3.42 -83.9 -0.456    18.16 19.18 02a57699o0147c 0x100002   -5.512821
57699.268255 17.976960      NaN    66    56 c    0   2.37 353.65196 -4.53453 9401.08  7602.09 3.81 3.36 -82.2 -0.432    18.29 19.35 02a57699o0175c 0x100002    1.178571
57716.313697 18.944322      NaN  -364    32 c    0   1.64 353.65196 -4.53453 8568.16  1325.72 4.32 4.24  77.4 -0.373    18.88 20.76 02a57716o0260c 0x100002  -11.375000
57716.328879 18.649074      NaN  -230    42 c    0   1.17 353.65196 -4.53453 8552.16  1286.37 4.78 4.39   2.4 -0.365    18.40 20.28 02a57716o0289c 0x100002   -5.476190
57716.343599 15.072901 0.023346  3395    73 c    0   8.24 353.65196 -4.53453 8612.97  1364.18 4.73 4.51   3.5 -0.351    17.79 19.63 02a57716o0317c 0x100002   46.506849
57716.358235 19.302877      NaN  -124    23 c    0   2.14 353.65196 -4.53453 8634.96  1245.54 4.68 4.57  10.4 -0.360    19.16 21.13 02a57716o0345c 0x000000   -5.391304
57716.372973 19.367717      NaN     5    20 c    0   1.81 353.65196 -4.53453 8595.14  1304.17 4.41 4.27  10.2 -0.376    19.31 21.22 02a57716o0373c 0x000000    0.250000
57744.251028 19.401649      NaN  -109    21 c    0   2.01 353.65196 -4.53453 2930.68  9736.57 3.93 3.62  21.1 -0.383    19.33 21.04 02a57744o0129c 0x000000   -5.190476
57744.262406 19.510313      NaN   -36    19 c    0   2.56 353.65196 -4.53453 2914.66  9695.39 3.97 3.63  16.3 -0.386    19.30 21.01 02a57744o0151c 0x000000   -1.894737
57744.267546 19.302877      NaN  -603    23 c    0   6.29 353.65196 -4.53453  709.11    61.91 4.27 4.23 -82.1 -0.360    19.30 21.00 02a57744o0161c 0x000000  -26.217391
57744.274302 19.351140      NaN   -94    22 c    0   2.19 353.65196 -4.53453 2973.95  9772.35 3.98 3.70  19.8 -0.382    19.29 20.98 02a57744o0174c 0x000000   -4.272727
57744.287321 19.401649      NaN  -150    21 c    0   2.16 353.65196 -4.53453 2996.51  9653.25 3.98 3.69  19.1 -0.410    19.28 20.98 02a57744o0199c 0x000000   -7.142857
57744.299692 19.401649      NaN  -174    21 c    0   2.38 353.65196 -4.53453 2958.14  9710.50 4.07 3.77  14.8 -0.409    19.22 20.93 02a57744o0223c 0x000000   -8.285714
57752.234408 16.496447      NaN -1046   305 c    0   0.88 353.65196 -4.53453 9078.68  1059.51 4.10 3.83  88.1 -0.428    16.73 18.27 02a57752o0049c 0x100002   -3.429508
57752.249168 15.872199      NaN  -324   542 c    0   1.10 353.65196 -4.53453 9059.62  1019.51 4.06 3.96  85.3 -0.457    16.29 17.80 02a57752o0078c 0x100002   -0.597786
57752.262300 16.407627 0.253666   993   232 c    0   1.13 353.65196 -4.53453 9119.49  1096.62 4.02 3.90  64.3 -0.440    16.78 18.31 02a57752o0104c 0x100002    4.280172
57752.275900 15.935437      NaN   211   441 c    0   0.94 353.65196 -4.53453 9140.72   977.58 3.97 3.86  74.2 -0.448    16.12 17.64 02a57752o0131c 0x100002    0.478458
57752.290512 13.962225      NaN  3485  1986 c    0   0.91 353.65196 -4.53453 9102.26  1034.39 3.92 3.85 -86.6 -0.470    15.54 17.02 02a57752o0160c 0x100002    1.754783
57776.213690 15.691747 0.029405  1920    52 c    0   1.63 353.65196 -4.53453 9938.75   456.28 4.18 3.71 -84.3 -0.400    18.58 19.76 02a57776o0004c 0x100002   36.923077
57776.218237 15.683298 0.024127  1935    43 c    0   1.59 353.65196 -4.53453 9921.51   416.95 4.03 3.63  89.3 -0.406    18.85 20.14 02a57776o0013c 0x100002   45.000000
57776.225657 15.702545 0.027415  1901    48 c    0   1.22 353.65196 -4.53453 9979.34   495.42 3.97 3.72  83.0 -0.414    18.94 20.38 02a57776o0028c 0x100002   39.604167
57776.235226 15.683298 0.024127  1935    43 c    0   1.58 353.65196 -4.53453 9999.39   376.70 3.93 3.71  82.0 -0.431    18.95 20.41 02a57776o0047c 0x100002   45.000000
57982.529653 19.922338      NaN     6    11 c    0  11.49 353.65196 -4.53453 1942.66 10278.08 2.60 2.25  14.7 -0.439    19.72 21.42 02a57982o0569c 0x100001    0.545455
57982.536112 19.841877 0.284359    42    11 c    0   9.99 353.65196 -4.53453 9422.82   590.46 2.63 2.45  85.4 -0.435    19.77 21.46 02a57982o0581c 0x000000    3.818182
57982.539693 20.207197      NaN   -22    10 c    0  10.99 353.65196 -4.53453 1925.09 10239.00 2.63 2.33  13.0 -0.419    19.71 21.41 02a57982o0587c 0x100001   -2.200000
57982.546048 19.950541      NaN     2    12 c    0   8.22 353.65196 -4.53453 9405.27   551.53 2.64 2.48  85.8 -0.416    19.77 21.44 02a57982o0599c 0x000000    0.166667
57982.548891 20.321591      NaN    -5     9 c    0  14.65 353.65196 -4.53453 1983.74 10318.05 2.61 2.35  13.9 -0.427    19.72 21.39 02a57982o0604c 0x100001   -0.555556
57982.555255 20.103715      NaN   -58    11 c    0   7.24 353.65196 -4.53453 9465.70   629.95 2.64 2.49  84.3 -0.421    19.72 21.44 02a57982o0616c 0x000000   -5.272727
57982.564871 20.207197      NaN   -23    10 c    0   7.55 353.65196 -4.53453 9487.25   513.20 2.63 2.52  71.9 -0.413    19.74 21.41 02a57982o0634c 0x000000   -2.300000
57986.516828 13.763180      NaN -8805  3781 c    0   1.38 353.65196 -4.53453 2666.67  2815.88 2.52 2.24  55.9 -0.229    14.76 16.50 02a57986o0525c 0x100002   -2.328749
57986.526718 20.449472      NaN   -41     8 c    0   6.76 353.65196 -4.53453 2648.70  2776.70 2.50 2.39  68.8 -0.396    19.62 21.42 02a57986o0543c 0x000000   -5.125000
57986.535913 18.767304 0.153733   113    16 c    0   3.10 353.65196 -4.53453 2708.83  2854.28 2.52 2.40  71.9 -0.388    18.95 20.73 02a57986o0560c 0x000000    7.062500
57986.545636 20.594452      NaN  -147     7 c    0  16.25 353.65196 -4.53453 2729.43  2739.06 2.51 2.39  72.5 -0.394    19.72 21.53 02a57986o0578c 0x100001  -21.000000
58018.395238 20.449472      NaN  -127     8 c    0   7.57 353.65196 -4.53453 1149.00  4491.79 2.67 2.51 -24.6 -0.391    19.61 21.37 02a58018o0085c 0x000000  -15.875000
58018.402227 20.207197      NaN    -7    10 c    0   3.49 353.65196 -4.53453 9339.88  5980.37 2.68 2.61 -30.8 -0.394    19.69 21.40 02a58018o0099c 0x000000   -0.700000
58018.410965 19.719755 0.184806    47     8 c    0  10.98 353.65196 -4.53453 9278.84  5903.67 2.64 2.52 -32.9 -0.396    19.70 21.41 02a58018o0117c 0x100001    5.875000
58018.419945 20.282105      NaN     4     8 c    0   9.44 353.65196 -4.53453 1208.05  4415.13 2.80 2.61  -6.1 -0.399    19.59 21.42 02a58018o0134c 0x000000    0.500000
58074.309026 20.207197      NaN    -9    10 c    0   6.89 353.65196 -4.53453 2121.97  5308.96 2.68 2.44  39.2 -0.455    19.62 21.42 02a58074o0160c 0x000000   -0.900000
