         MJD         m       dm    uJy  duJy F  err    chi/N        RA      Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs     Mask    __tmp_SN
57700.369787 18.675237      NaN   -244    41 o    0     1.63 353.65196 -4.53453  2872.52  9652.27  3.38 2.88  -1.7 -0.497    18.55 19.44 02a57700o0124o 0x000000   -5.951220
57700.383446 18.702047      NaN   -317    40 o    0     2.86 353.65196 -4.53453  2893.94  9532.79  3.45 2.89   2.4 -0.485    18.58 19.50 02a57700o0150o 0x000000   -7.925000
57700.402738 18.317510      NaN   -711    57 o    0     2.08 353.65196 -4.53453  2857.02  9589.33  3.66 3.24  11.0 -0.434    17.80 18.86 02a57700o0187o 0x100002  -12.473684
57704.339070 17.935984 0.245743    243    55 o    0     1.54 353.65196 -4.53453  2041.60 10222.91  3.56 3.00   7.6 -0.494    18.25 18.87 02a57704o0094o 0x100002    4.418182
57704.352670 17.654224      NaN    153    54 o    0     1.71 353.65196 -4.53453  2024.18 10182.01  3.74 3.32  16.1 -0.448    18.20 18.84 02a57704o0120o 0x100002    2.833333
57704.357455 18.158337      NaN    -65    66 o    0     1.32 353.65196 -4.53453  9510.88   497.45  3.75 3.29  89.6 -0.449    18.17 18.77 02a57704o0129o 0x100002   -0.984848
57704.366404 18.356290      NaN    -75    55 o    0     1.38 353.65196 -4.53453  2082.57 10258.86  3.58 3.11  14.4 -0.509    18.21 18.78 02a57704o0146o 0x100002   -1.363636
57704.375065 18.174913      NaN   -256    65 o    0     1.24 353.65196 -4.53453  9579.37   574.37  3.72 3.35  85.0 -0.504    18.14 18.71 02a57704o0162o 0x100002   -3.938462
57704.385346 18.142010      NaN    -76    67 o    0     1.37 353.65196 -4.53453  9595.84   454.87  3.71 3.24  87.4 -0.499    18.13 18.67 02a57704o0182o 0x100002   -1.134328
57704.385845 18.356290      NaN    -43    55 o    0     1.75 353.65196 -4.53453  2109.47 10136.85  3.73 3.30  18.4 -0.443    18.12 18.69 02a57704o0183o 0x100002   -0.781818
57704.396800 18.208845      NaN    -70    63 o    0     1.52 353.65196 -4.53453  2072.43 10195.96  3.74 3.28  16.7 -0.453    18.09 18.63 02a57704o0204o 0x100002   -1.111111
57704.397308 18.243872      NaN   -153    61 o    0     1.60 353.65196 -4.53453  9556.64   515.63  3.72 3.25  88.8 -0.500    18.09 18.62 02a57704o0205o 0x100002   -2.508197
57705.190889 17.527492      NaN   -460   118 o    0     1.63 353.65196 -4.53453  8689.28  7090.71  4.14 3.76 -82.7 -0.491    17.91 18.39 02a57705o0024o 0x100002   -3.898305
57705.191402 17.527492      NaN   -367   118 o    0     1.40 353.65196 -4.53453  8689.36  7090.29  4.09 3.75 -87.1 -0.485    17.96 18.46 02a57705o0025o 0x100002   -3.110169
57705.191915 17.785989      NaN   -848    93 o    0     2.06 353.65196 -4.53453  8689.34  7089.88  4.15 3.73 -86.2 -0.487    17.99 18.53 02a57705o0026o 0x100002   -9.118280
57705.192425 17.729132      NaN   -380    98 o    0     1.86 353.65196 -4.53453  8689.42  7089.76  4.01 3.66 -84.9 -0.491    18.04 18.59 02a57705o0027o 0x100002   -3.877551
57705.192946 17.909502      NaN   -250    83 o    0     2.16 353.65196 -4.53453  8689.46  7089.57  4.10 3.71 -89.8 -0.470    18.07 18.65 02a57705o0028o 0x100002   -3.012048
57705.193464 17.963129      NaN   -377    79 o    0     2.23 353.65196 -4.53453  8689.43  7089.38  4.09 3.70 -88.2 -0.474    18.10 18.70 02a57705o0029o 0x100002   -4.772152
57705.193981 17.883650      NaN  -1004    85 o    0     2.08 353.65196 -4.53453  8689.48  7089.30  4.15 3.81  86.9 -0.469    18.10 18.75 02a57705o0030o 0x100002  -11.811765
57705.194491 18.048890      NaN   -828    73 o    0     2.26 353.65196 -4.53453  8689.53  7089.20  4.07 3.64 -86.0 -0.482    18.14 18.78 02a57705o0031o 0x100002  -11.342466
57705.195007 17.883650      NaN   -672    85 o    0     1.56 353.65196 -4.53453  8689.58  7089.23  4.11 3.73 -89.6 -0.473    18.15 18.82 02a57705o0032o 0x100002   -7.905882
57705.195520 17.990970      NaN   -845    77 o    0     1.77 353.65196 -4.53453  8689.56  7089.17  4.11 3.69  85.3 -0.474    18.18 18.85 02a57705o0033o 0x100002  -10.974026
57706.190816 17.751519      NaN   -314    96 o    0     1.47 353.65196 -4.53453  6775.02  7076.87  3.72 3.59 -89.4 -0.450    17.98 18.35 02a57706o0025o 0x100002   -3.270833
57706.191326 18.034118      NaN   -216    74 o    0     1.89 353.65196 -4.53453  6774.84  7076.71  3.67 3.50 -85.1 -0.452    18.04 18.43 02a57706o0026o 0x100002   -2.918919
57706.191835 18.063866      NaN   -494    72 o    0     1.99 353.65196 -4.53453  6774.56  7076.79  3.61 3.46 -80.6 -0.463    18.09 18.49 02a57706o0027o 0x100002   -6.861111
