         MJD         m       dm  uJy  duJy F  err  chi/N        RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  __tmp_SN
58161.501444 19.063754 0.126248   86    10 c    0   1.36 160.08875 -46.41962  2568.11  3219.89 3.01 2.66  55.6 -0.411    19.53 21.56 02a58161o0636c 0x000000  8.600000
58161.507862 19.212347 0.188194   75    13 c    0   1.14 160.08875 -46.41962  2543.18  3179.72 3.31 2.98  60.2 -0.383    19.43 21.54 02a58161o0650c 0x000000  5.769231
58161.516102 19.256669 0.180956   72    12 c    0   1.12 160.08875 -46.41962  2611.83  3257.89 3.25 2.88  64.6 -0.388    19.42 21.52 02a58161o0668c 0x000000  6.000000
58161.530246 19.115465 0.172129   82    13 c    0   1.09 160.08875 -46.41962  2629.39  3138.54 3.04 2.74  62.1 -0.401    19.45 21.45 02a58161o0699c 0x000000  6.307692
58193.405121 20.009244      NaN    0    12 c    0   0.68 160.08875 -46.41962  5674.34  3943.80 2.54 2.35  57.3 -0.458    19.50 21.21 02a58193o0378c 0x000000  0.000000
58193.406490 20.009244      NaN    6    10 c    0   1.45 160.08875 -46.41962  5687.85  3981.48 2.52 2.34  59.5 -0.453    19.52 21.21 02a58193o0381c 0x000000  0.600000
58193.413336 20.207197      NaN   -3    10 c    0   0.89 160.08875 -46.41962  5728.87  4020.01 2.52 2.32  61.5 -0.450    19.51 21.17 02a58193o0396c 0x000000 -0.300000
58193.421005 20.009244      NaN   -3    12 c    0   1.02 160.08875 -46.41962  5756.29  3898.91 2.65 2.47  53.0 -0.448    19.43 21.12 02a58193o0412c 0x000000 -0.250000
58225.341315 17.896499      NaN -192    84 c    0   0.86 160.08875 -46.41962  3250.83  3913.31 3.43 2.69  78.1 -0.400    17.35 20.13 02a58225o0254c 0x100002 -2.285714
58225.349116 17.990970      NaN   -9    77 c    0   1.24 160.08875 -46.41962  3225.33  3872.86 3.34 2.64  82.7 -0.402    17.35 20.08 02a58225o0271c 0x100002 -0.116883
58225.356905 18.376212      NaN  -40    54 c    0   1.30 160.08875 -46.41962  3294.00  3950.88 3.52 2.90  82.0 -0.390    17.54 20.31 02a58225o0288c 0x100002 -0.740741
58225.364730 16.066153      NaN  412   316 c    0   0.95 160.08875 -46.41962  3309.66  3834.15 3.79 3.17  83.0 -0.394    16.24 19.09 02a58225o0305c 0x100002  1.303797
58250.298409 19.841877      NaN  -57    14 c    0   1.17 160.08875 -46.41962  2331.50  2698.90 2.88 2.72  71.5 -0.377    19.13 20.76 02a58250o0122c 0x000000 -4.071429
58250.305790 19.051202      NaN  -17    29 c    0   1.33 160.08875 -46.41962  2306.25  2658.37 2.83 2.64  74.6 -0.374    18.01 19.55 02a58250o0138c 0x000000 -0.586207
58250.313716 18.574166      NaN  -97    45 c    0   1.21 160.08875 -46.41962  2375.58  2736.59 3.26 3.14  74.7 -0.357    17.78 19.51 02a58250o0155c 0x100002 -2.155556
58252.297369 20.103715      NaN  -62    11 c    0   0.99 160.08875 -46.41962  3836.61  2464.47 2.62 2.38  74.1 -0.399    19.40 21.00 02a58252o0138c 0x000000 -5.636364
58257.277236 18.978793      NaN  -37    31 c    0   1.01 160.08875 -46.41962  2936.44  3084.19 3.49 2.97  75.5 -0.384    18.36 20.95 02a58257o0095c 0x000000 -1.193548
58257.284756 18.944322      NaN  -87    32 c    0   0.95 160.08875 -46.41962  2923.46  3045.27 3.42 2.91  77.9 -0.391    18.40 20.88 02a58257o0111c 0x000000 -2.718750
58257.292683 19.014394      NaN  -19    30 c    0   1.04 160.08875 -46.41962  2978.58  3122.68 3.45 2.97  75.2 -0.386    18.28 20.77 02a58257o0128c 0x000000 -0.633333
58485.623828 18.910912      NaN  -88    33 c    0   1.11 160.08875 -46.41962  7677.00  2514.49 3.78 3.00  83.4 -0.400    18.27 21.06 02a58485o0929c 0x000000 -2.666667
58485.625200 18.574166      NaN  -64    45 c    0   1.00 160.08875 -46.41962  5805.86  7331.27 3.90 2.92  82.5 -0.393    17.77 20.85 02a58485o0932c 0x100002 -1.422222
58485.633456 19.089302      NaN  -48    28 c    0   1.34 160.08875 -46.41962  7665.25  2474.75 3.92 3.16  83.3 -0.391    18.32 21.07 02a58485o0950c 0x000000 -1.714286
58485.637592 18.526952      NaN  -51    47 c    0   0.80 160.08875 -46.41962  5861.29  7408.11 3.78 2.92  79.9 -0.401    17.93 20.90 02a58485o0959c 0x100002 -1.085106
58485.645843 19.089302      NaN  -59    28 c    0   1.08 160.08875 -46.41962  7719.84  2553.43 3.67 2.90  85.8 -0.397    18.46 21.05 02a58485o0977c 0x000000 -2.107143
58485.646757 18.675237      NaN  -64    41 c    0   1.21 160.08875 -46.41962  5889.14  7293.19 3.98 3.16  87.0 -0.388    17.90 20.89 02a58485o0979c 0x100002 -1.560976
58485.652246 19.351140      NaN -125    22 c    0   1.78 160.08875 -46.41962  7734.06  2437.30 3.50 2.77 -89.2 -0.396    18.53 21.04 02a58485o0991c 0x000000 -5.681818
58489.604999 18.623526      NaN  -80    43 c    0   1.19 160.08875 -46.41962  1810.51  7302.92 3.48 2.76  80.7 -0.424    17.82 20.85 02a58489o0500c 0x100002 -1.860465
