         MJD         m       dm    uJy  duJy F  err  chi/N        RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  __tmp_SN
58117.546042 16.557460 0.041421    865    33 o    0   1.17 160.08875 -46.41962  7892.80  7119.15 2.32 2.04  51.3 -0.514    18.69 19.19 02a58117o0441o 0x000000 26.212121
58117.546954 16.492893 0.041395    918    35 o    0   0.94 160.08875 -46.41962  7919.74  7158.82 2.23 1.98  50.6 -0.512    18.65 19.20 02a58117o0443o 0x000000 26.228571
58117.555625 16.478793 0.036191    930    31 o    0   1.25 160.08875 -46.41962  7854.85  7078.99 2.59 2.19  56.6 -0.474    18.56 19.24 02a58117o0462o 0x000000 30.000000
58117.564916 16.497635 0.038013    914    32 o    0   0.91 160.08875 -46.41962  7840.95  7195.72 2.35 2.07  52.0 -0.506    18.62 19.29 02a58117o0481o 0x000000 28.562500
58119.541704 16.591890 0.053121    838    41 o    0   1.67 160.08875 -46.41962  5208.69  4001.35 3.86 3.26 -87.0 -0.406    17.89 18.76 01a58119o0762o 0x000000 20.439024
58119.548589 16.516809 0.051990    898    43 o    0   1.16 160.08875 -46.41962  5184.39  3938.76 3.92 3.24  89.6 -0.397    17.91 18.80 01a58119o0777o 0x000000 20.883721
58119.555477 16.438682 0.050630    965    45 o    0   0.91 160.08875 -46.41962  5228.28  3991.34 3.72 3.13 -89.5 -0.409    17.94 18.82 01a58119o0792o 0x000000 21.444444
58119.562359 16.430834 0.048032    972    43 o    0   1.27 160.08875 -46.41962  5245.51  3850.97 3.84 3.29 -89.8 -0.395    17.93 18.86 01a58119o0807o 0x000000 22.604651
58121.541995 16.331626 0.080538   1065    79 o    0   1.54 160.08875 -46.41962  5267.46  9347.83 2.49 2.45  65.7 -0.484    17.67 18.22 02a58121o0757o 0x100002 13.481013
58121.549754 16.496447 0.113913    915    96 o    0   1.20 160.08875 -46.41962  5277.83  9388.27 2.67 2.57 -84.1 -0.489    17.67 18.22 02a58121o0774o 0x100002  9.531250
58121.557512 16.732805 0.118015    736    80 o    0   1.44 160.08875 -46.41962  5222.41  9311.31 2.29 2.18  69.1 -0.515    17.81 18.21 02a58121o0791o 0x100002  9.200000
58121.564821 16.409816 0.102986    991    94 o    0   1.39 160.08875 -46.41962  5205.17  9430.64 2.55 2.44  79.6 -0.501    17.63 18.19 02a58121o0807o 0x100002 10.542553
58123.555697 16.548709 0.044824    872    36 o    0   0.99 160.08875 -46.41962  2731.09  1596.32 3.50 3.03  85.6 -0.449    18.35 19.37 01a58123o0475o 0x000000 24.222222
58123.561691 16.398915 0.039047   1001    36 o    0   1.03 160.08875 -46.41962  2710.69  1513.29 3.40 3.01  82.6 -0.451    18.32 19.40 01a58123o0487o 0x000000 27.805556
58123.567644 16.469493 0.039355    938    34 o    0   1.20 160.08875 -46.41962  2760.40  1591.31 3.36 3.10  89.1 -0.450    18.29 19.41 01a58123o0500o 0x000000 27.588235
58123.576356 16.526525 0.043917    890    36 o    0   1.33 160.08875 -46.41962  2766.54  1441.73 3.24 3.06  83.9 -0.456    18.36 19.39 01a58123o0519o 0x000000 24.722222
58127.539313 16.692267 0.029844    764    21 o    0   1.37 160.08875 -46.41962  3755.76  3129.67 4.07 3.55  88.1 -0.414    18.76 20.54 01a58127o0753o 0x000000 36.380952
58127.549650 16.709455 0.031764    752    22 o    0   1.12 160.08875 -46.41962  3730.20  3053.58 4.02 3.58  88.7 -0.411    18.77 20.56 01a58127o0775o 0x000000 34.181818
58127.561095 16.702260 0.034422    757    24 o    0   1.43 160.08875 -46.41962  3774.33  3090.02 3.94 3.59 -89.2 -0.408    18.73 20.51 01a58127o0800o 0x000000 31.541667
58127.571169 16.686597 0.043825    768    31 o    0   1.52 160.08875 -46.41962  3792.59  2935.49 3.95 3.68 -88.3 -0.406    18.51 20.30 01a58127o0822o 0x000000 24.774194
58129.544308 16.949207 0.120637    603    67 o    0   0.91 160.08875 -46.41962  5130.27  7023.92 2.57 2.31  55.0 -0.472    17.87 19.21 02a58129o0762o 0x000000  9.000000
58129.554264 16.409816      NaN    427   188 o    0   1.22 160.08875 -46.41962  5154.31  7063.94 2.54 2.21  54.4 -0.494    16.57 17.68 02a58129o0783o 0x100002  2.271277
58129.556089 16.037009 0.341964   1397   440 o    0   1.33 160.08875 -46.41962  5101.25  6986.35 2.23 1.96  47.1 -0.537    16.50 17.49 02a58129o0787o 0x100002  3.175000
58129.565219 16.774917 0.151819    708    99 o    0   0.94 160.08875 -46.41962  5072.84  7103.68 2.21 1.93  43.7 -0.527    17.26 18.21 02a58129o0807o 0x100002  7.151515
58131.539628 17.033415 0.040861    558    21 o    0   1.37 160.08875 -46.41962  5598.10  2571.04 4.15 3.57  85.6 -0.391    18.88 20.92 01a58131o0569o 0x000000 26.571429
58131.547869 17.002720 0.039722    574    21 o    0   1.09 160.08875 -46.41962  5575.69  2502.92 4.00 3.51  84.8 -0.399    18.94 20.94 01a58131o0587o 0x000000 27.333333
58131.554735 17.073044 0.052471    538    26 o    0   1.49 160.08875 -46.41962  5623.14  2554.52 4.27 3.99  72.6 -0.363    18.81 20.87 01a58131o0602o 0x000000 20.692308
58131.562524 17.187887 0.060568    484    27 o    0   1.52 160.08875 -46.41962  5630.41  2406.46 4.08 3.77  75.0 -0.402    18.68 20.77 01a58131o0619o 0x000000 17.925926
58135.552874 17.219755 0.170946    470    74 o    0   1.64 160.08875 -46.41962  6715.38  7455.02 4.83 4.36 -73.8 -0.355    18.12 20.31 01a58135o0777o 0x100002  6.351351
58135.561619 17.262154 0.112897    452    47 o    0   1.13 160.08875 -46.41962  6751.09  7529.74 4.73 3.99 -79.7 -0.373    18.53 20.41 01a58135o0795o 0x000000  9.617021
58135.569862 17.254972 0.081132    455    34 o    0   1.38 160.08875 -46.41962  6703.29  7484.01 5.57 4.61 -74.7 -0.340    18.53 20.46 01a58135o0813o 0x000000 13.382353
58135.576748 17.185646 0.060443    485    27 o    0   1.55 160.08875 -46.41962  6683.18  7628.37 5.53 4.63 -74.8 -0.336    18.57 20.43 01a58135o0827o 0x000000 17.962963
58139.536931 17.167883 0.059462    493    27 o    0   0.90 160.08875 -46.41962  3820.41  1632.88 3.35 3.15  88.0 -0.414    18.76 20.69 01a58139o0424o 0x000000 18.259259
58139.547272 17.128948 0.091363    511    43 o    0   1.34 160.08875 -46.41962  6988.72  8723.82 5.20 4.32 -70.6 -0.311    18.40 20.38 01a58139o0446o 0x000000 11.883721
58139.549099 17.203704 0.102428    477    45 o    0   1.17 160.08875 -46.41962  6935.21  8652.32 5.42 4.45 -72.2 -0.308    18.71 20.74 01a58139o0450o 0x000000 10.600000
58139.557088 17.231368 0.070047    465    30 o    0   1.28 160.08875 -46.41962  6916.60  8801.92 5.38 4.32 -78.3 -0.297    18.86 20.78 01a58139o0466o 0x000000 15.500000
58147.525068 17.456271 0.226913    378    79 o    0   1.26 160.08875 -46.41962  7829.17  6266.52 4.90 4.06 -75.2 -0.349    17.81 19.12 01a58147o0288o 0x100002  4.784810
