         MJD         m  dm  uJy  duJy F  err  chi/N       RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  __tmp_SN
57718.341154 19.510313 NaN  -18    19 c    0   0.97 27.71033 48.35381  2613.75  5762.77 4.13 4.03  77.7 -0.382    19.46 21.46 02a57718o0292c 0x000000 -0.947368
57718.352129 19.002397 NaN   37    18 c    0   1.27 27.71033 48.35381  2603.44  5727.76 4.89 4.44  -0.1 -0.343    19.40 21.58 02a57718o0313c 0x000000  2.055556
57718.369502 19.569016 NaN  -12    18 c    0   0.99 27.71033 48.35381  2652.68  5797.74 4.29 4.15  72.9 -0.383    19.52 21.59 02a57718o0346c 0x000000 -0.666667
57718.377758 19.696897 NaN   -1    16 c    0   1.58 27.71033 48.35381  2680.36  5682.95 4.46 4.27   3.7 -0.357    19.47 21.58 02a57718o0362c 0x000000 -0.062500
57718.387836 19.491430 NaN    7    17 c    0   1.12 27.71033 48.35381  2636.76  5744.47 4.17 4.03  74.7 -0.382    19.55 21.59 02a57718o0381c 0x000000  0.411765
57746.300582 19.549093 NaN    1    18 c    0   1.10 27.71033 48.35381   803.90  6182.28 4.45 4.06  11.0 -0.387    19.57 21.67 02a57746o0224c 0x000000  0.055556
57746.301601 19.841877 NaN  -15    14 c    0   1.27 27.71033 48.35381 10314.46  6230.75 4.06 3.51  89.9 -0.422    19.68 21.68 02a57746o0226c 0x000000 -1.071429
57746.310436 19.696897 NaN  -40    16 c    0   1.31 27.71033 48.35381   777.94  6143.32 4.37 4.17  28.8 -0.381    19.54 21.64 02a57746o0243c 0x000000 -2.500000
57746.313541 19.549093 NaN    4    17 c    0   1.16 27.71033 48.35381 10289.59  6189.92 4.21 3.91  76.7 -0.397    19.62 21.64 02a57746o0249c 0x000000  0.235294
57746.314563 19.271854 NaN   20    17 c    0   1.06 27.71033 48.35381   844.75  6218.57 3.95 3.69  58.3 -0.427    19.65 21.63 02a57746o0251c 0x000000  1.176471
57746.326093 19.212347 NaN   24    17 c    0   1.53 27.71033 48.35381   858.23  6098.42 4.66 4.33  11.2 -0.359    19.45 21.58 02a57746o0273c 0x000000  1.411765
57746.328158 19.569016 NaN  -45    18 c    0   0.98 27.71033 48.35381 10354.56  6270.03 4.49 4.26  26.2 -0.367    19.50 21.61 02a57746o0277c 0x000000 -2.500000
57746.337916 19.384550 NaN    7    19 c    0   0.91 27.71033 48.35381   817.89  6156.30 4.05 3.83  57.7 -0.409    19.60 21.57 02a57746o0296c 0x000000  0.368421
57746.347331 19.631075 NaN  -14    17 c    0   0.93 27.71033 48.35381 10369.25  6153.11 4.20 3.89  81.9 -0.401    19.57 21.57 02a57746o0314c 0x000000 -0.823529
57746.359140 19.569016 NaN  -56    18 c    0   1.16 27.71033 48.35381 10329.71  6207.58 4.67 4.29  80.2 -0.361    19.44 21.55 02a57746o0337c 0x000000 -3.111111
