         MJD         m       dm    uJy   duJy F  err  chi/N       RA      Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57702.357464 19.089302      NaN    -19     28 o    0   1.23 27.71033 48.35381  2400.88  8333.56  3.22  2.88  -7.0 -0.452    18.94 20.05 02a57702o0346o 0x000000  -0.678571
57702.386362 18.786693      NaN     18     31 o    0   0.75 27.71033 48.35381  2384.23  8294.30  3.21  2.94  -8.8 -0.448    18.95 20.09 02a57702o0401o 0x000000   0.580645
57702.391231 19.089302      NaN    -53     28 o    0   1.03 27.71033 48.35381  2428.80  8372.71  3.28  3.04  -1.0 -0.439    18.94 20.09 02a57702o0410o 0x000000  -1.892857
57702.404240 19.169763      NaN    -45     26 o    0   1.36 27.71033 48.35381  2446.12  8255.13  3.21  2.99  -7.5 -0.438    18.94 20.07 02a57702o0434o 0x000000  -1.730769
57702.416857 18.944322      NaN    -39     32 o    0   0.82 27.71033 48.35381  2420.17  8316.48  3.24  2.94  -2.4 -0.437    18.94 20.07 02a57702o0458o 0x000000  -1.218750
57706.357897 18.376212      NaN    -12     54 o    0   0.98 27.71033 48.35381  2732.24  6500.51  3.44  3.38  19.4 -0.486    18.20 18.67 02a57706o0345o 0x100002  -0.222222
57706.368308 18.396507      NaN   -158     53 o    0   1.17 27.71033 48.35381  2706.22  6461.79  3.80  3.69  55.0 -0.447    18.11 18.66 02a57706o0365o 0x100002  -2.981132
57706.386740 18.376212      NaN   -108     54 o    0   1.31 27.71033 48.35381  2767.16  6534.82  3.82  3.67  59.5 -0.434    18.09 18.61 02a57706o0400o 0x100002  -2.000000
57706.393411 18.317510      NaN    -56     57 o    0   1.24 27.71033 48.35381  2781.19  6421.47  3.74  3.63  48.9 -0.439    18.10 18.61 02a57706o0413o 0x100002  -0.982456
57706.403369 18.481707      NaN   -169     49 o    0   1.31 27.71033 48.35381  2735.92  6479.75  3.57  3.48  45.2 -0.455    18.13 18.60 02a57706o0432o 0x100002  -3.448980
57710.354749 18.978793      NaN    -30     31 o    0   0.97 27.71033 48.35381   825.43  6850.20  3.75  3.53  47.3 -0.470    18.88 20.11 02a57710o0320o 0x000000  -0.967742
57710.355778 19.014394      NaN    -70     30 o    0   0.89 27.71033 48.35381 10344.87  6898.09  3.93  3.39  89.5 -0.439    18.87 20.08 02a57710o0322o 0x000000  -2.333333
57710.365051 19.014394      NaN    -83     30 o    0   1.13 27.71033 48.35381   811.65  6811.35  3.64  3.44  47.4 -0.483    18.92 20.13 02a57710o0340o 0x000000  -2.766667
57710.367636 18.978793      NaN    -52     31 o    0   0.92 27.71033 48.35381   865.49  6891.77  3.81  3.50  14.6 -0.476    18.88 20.13 02a57710o0345o 0x000000  -1.677419
57710.380753 19.128787      NaN    -60     27 o    0   1.10 27.71033 48.35381   887.89  6774.30  3.69  3.49  35.5 -0.478    18.90 20.14 02a57710o0370o 0x000000  -2.222222
57710.384414 19.014394      NaN    -55     30 o    0   0.74 27.71033 48.35381 10326.74  6861.63  3.96  3.42  88.6 -0.433    18.91 20.14 02a57710o0377o 0x000000  -1.833333
57710.390285 19.089302      NaN    -39     28 o    0   0.97 27.71033 48.35381 10379.41  6945.31  3.88  3.30 -90.0 -0.438    18.93 20.15 02a57710o0388o 0x000000  -1.392857
57710.401516 19.051202      NaN     -5     29 o    0   1.10 27.71033 48.35381   846.39  6831.21  3.89  3.66  47.0 -0.456    18.90 20.13 02a57710o0409o 0x000000  -0.172414
57710.402586 19.128787      NaN    -50     27 o    0   1.43 27.71033 48.35381 10391.70  6827.37  4.17  4.00  41.3 -0.407    18.79 20.11 02a57710o0411o 0x000000  -1.851852
57710.414690 19.014394      NaN    -37     30 o    0   0.89 27.71033 48.35381 10353.76  6885.14  3.86  3.45  88.4 -0.444    18.89 20.10 02a57710o0434o 0x000000  -1.233333
57762.258289 18.878500      NaN    -74     34 o    0   1.02 27.71033 48.35381  4453.98  6157.05  3.52  3.45  72.2 -0.450    18.66 19.58 02a57762o0144o 0x000000  -2.176471
57762.268390 18.729535      NaN    -48     39 o    0   0.79 27.71033 48.35381  4428.79  6115.24  3.47  3.40 -82.0 -0.461    18.66 19.57 02a57762o0164o 0x000000  -1.230769
57762.282918 18.786693      NaN    -20     37 o    0   0.84 27.71033 48.35381  4491.53  6190.03  3.47  3.45  62.2 -0.453    18.65 19.55 02a57762o0193o 0x000000  -0.540541
57762.291876 18.847027      NaN    -19     35 o    0   1.02 27.71033 48.35381  4506.67  6072.86  3.49  3.48  70.7 -0.444    18.61 19.50 02a57762o0211o 0x000000  -0.542857
57762.312431 18.978793      NaN    -30     31 o    0   1.20 27.71033 48.35381  4469.97  6127.73  3.42  3.39 -76.7 -0.456    18.59 19.42 02a57762o0252o 0x000000  -0.967742
57766.267140 18.623526      NaN    -15     43 o    0   1.04 27.71033 48.35381  2177.25  6267.56  3.65  3.49  76.7 -0.447    18.51 19.34 02a57766o0131o 0x000000  -0.348837
57766.276213 18.623526      NaN    -87     43 o    0   1.13 27.71033 48.35381  2151.34  6227.78  3.69  3.53  80.7 -0.447    18.44 19.30 02a57766o0149o 0x000000  -2.023256
57766.293330 18.729535      NaN     -4     39 o    0   1.03 27.71033 48.35381  2215.12  6297.62  3.62  3.46  81.0 -0.452    18.52 19.37 02a57766o0183o 0x000000  -0.102564
57766.321350 18.757738      NaN    -65     38 o    0   1.18 27.71033 48.35381  2227.92  6175.95  3.62  3.45  80.1 -0.444    18.49 19.30 02a57766o0203o 0x000000  -1.710526
57766.329312 18.496580      NaN      4     47 o    0   0.86 27.71033 48.35381  2189.82  6234.87  3.61  3.46  80.8 -0.445    18.46 19.24 02a57766o0219o 0x000000   0.085106
57774.265401 19.351140      NaN    -55     22 o    0   1.26 27.71033 48.35381  2543.23  5318.11  3.85  3.70  69.0 -0.419    19.16 20.76 02a57774o0138o 0x000000  -2.500000
57774.273347 19.256669      NaN     -6     24 o    0   1.07 27.71033 48.35381  2519.22  5278.97  3.84  3.73  76.8 -0.414    19.14 20.77 02a57774o0154o 0x000000  -0.250000
57774.286587 19.256669      NaN    -39     24 o    0   1.06 27.71033 48.35381  2583.64  5353.81  3.88  3.74  74.0 -0.411    19.16 20.81 02a57774o0181o 0x000000  -1.625000
57774.304148 19.212347      NaN    -58     25 o    0   0.90 27.71033 48.35381  2598.66  5234.23  3.91  3.74  76.4 -0.422    19.13 20.75 02a57774o0217o 0x000000  -2.320000
57774.315189 19.302877      NaN    -63     23 o    0   1.29 27.71033 48.35381  2560.24  5291.23  3.69  3.55  80.2 -0.428    19.18 20.75 02a57774o0240o 0x000000  -2.739130
57790.237988 18.816441      NaN     -3     36 o    0   1.13 27.71033 48.35381  1803.18  5588.70  4.06  3.78  70.4 -0.421    18.65 19.78 02a57790o0089o 0x000000  -0.083333
57790.247057 18.631975      NaN     14     38 o    0   0.97 27.71033 48.35381  1777.27  5548.84  4.15  3.89  71.7 -0.414    18.55 19.69 02a57790o0107o 0x000000   0.368421
