         MJD         m       dm  uJy  duJy F  err  chi/N        RA     Dec        x       y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  __tmp_SN
57718.582457 19.569016      NaN  -21    18 c    0   1.07 153.45112 38.7631  3278.99 3792.54 4.21 4.02  69.9 -0.379    19.53 21.60 02a57718o0747c 0x000000 -1.166667
57718.594618 19.454622      NaN  -23    20 c    0   0.89 153.45112 38.7631  3310.25 3833.39 4.25 4.03  72.3 -0.374    19.47 21.51 02a57718o0770c 0x000000 -1.150000
57718.606596 19.351140      NaN  -41    22 c    0   0.74 153.45112 38.7631  3248.50 3757.00 4.11 3.86  71.9 -0.392    19.48 21.47 02a57718o0793c 0x000000 -1.863636
57718.618626 19.454622      NaN  -36    20 c    0   1.13 153.45112 38.7631  3233.32 3874.49 4.26 3.97  76.6 -0.384    19.38 21.37 02a57718o0816c 0x000000 -1.800000
57718.630563 19.351140      NaN  -43    22 c    0   1.03 153.45112 38.7631  3263.96 3818.00 4.34 4.11  72.3 -0.374    19.32 21.32 02a57718o0839c 0x000000 -1.954545
57746.522874 19.766969      NaN  -75    15 c    0   1.24 153.45112 38.7631  5086.57 3456.34 3.95 3.83  84.5 -0.370    19.81 21.93 02a57746o0646c 0x000000 -5.000000
57746.536071 19.766969      NaN  -51    15 c    0   1.11 153.45112 38.7631  5118.40 3496.73 4.00 3.90  83.5 -0.363    19.79 21.97 02a57746o0671c 0x000000 -3.400000
57746.547737 19.841877      NaN  -48    14 c    0   1.38 153.45112 38.7631  5059.22 3419.83 4.03 3.86  84.8 -0.367    19.78 21.93 02a57746o0693c 0x000000 -3.428571
57746.559429 19.766969      NaN  -50    15 c    0   1.34 153.45112 38.7631  5039.42 3535.45 4.35 4.27  76.9 -0.351    19.64 21.85 02a57746o0715c 0x000000 -3.333333
57746.571007 19.696897      NaN  -63    16 c    0   1.00 153.45112 38.7631  5071.02 3481.27 4.02 3.86  88.8 -0.368    19.73 21.84 02a57746o0737c 0x000000 -3.937500
57750.523778 19.631075      NaN  -25    17 c    0   1.11 153.45112 38.7631  3003.79 1643.90 4.28 4.16  82.1 -0.370    19.62 21.74 02a57750o0479c 0x000000 -1.470588
57750.528491 19.569016      NaN  -47    18 c    0   1.00 153.45112 38.7631  3035.46 1683.01 4.35 4.22  81.0 -0.367    19.63 21.76 02a57750o0488c 0x000000 -2.611111
57750.542660 18.675237      NaN  -34    41 c    0   0.59 153.45112 38.7631  2978.53 1605.32 4.22 4.11  85.5 -0.372    19.11 21.17 02a57750o0515c 0x100002 -0.829268
57750.554196 18.459772      NaN   57    31 c    0   0.85 153.45112 38.7631  2958.00 1722.33 4.31 4.19  83.3 -0.363    19.21 21.29 02a57750o0537c 0x100002  1.838710
57750.565605 18.990530      NaN   20    24 c    0   0.71 153.45112 38.7631  2989.04 1666.64 4.74 4.61  81.4 -0.344    19.41 21.64 02a57750o0559c 0x000000  0.833333
57778.478200 19.401649      NaN  -17    21 c    0   0.72 153.45112 38.7631  3325.10 1387.55 4.00 3.75 -12.8 -0.425    19.73 21.77 02a57778o0396c 0x000000 -0.809524
