         MJD         m       dm    uJy  duJy F  err  chi/N        RA     Dec        x       y   maj   min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57702.633896 18.933071      NaN     19    26 o    0   0.81 153.45112 38.7631  3489.94 1232.38  3.61  3.48 -64.3 -0.455    19.39 20.95 02a57702o0863o 0x000000   0.730769
57702.646051 18.445391      NaN     65    29 o    0   0.93 153.45112 38.7631  3506.24 1272.95  3.63  3.50 -67.2 -0.455    19.18 20.55 02a57702o0886o 0x000000   2.241379
57702.656095 17.922662      NaN    -93    82 o    0   0.80 153.45112 38.7631  3447.68 1195.04  3.71  3.53 -77.0 -0.453    17.92 18.10 02a57702o0905o 0x100002  -1.134146
57706.611595 18.163834      NaN     59    46 o    0   0.74 153.45112 38.7631  3169.17 3054.11  3.73  3.64 -86.0 -0.413    18.44 19.20 02a57706o0825o 0x000000   1.282609
57706.623042 18.376212      NaN     18    48 o    0   0.63 153.45112 38.7631  3184.86 3094.63  3.62  3.53 -88.1 -0.432    18.52 19.25 02a57706o0847o 0x000000   0.375000
57706.634572 18.255804      NaN     49    44 o    0   0.78 153.45112 38.7631  3125.54 3017.68  3.59  3.49 -85.6 -0.434    18.55 19.30 02a57706o0869o 0x000000   1.113636
57706.643402 18.403357      NaN     38    40 o    0   1.02 153.45112 38.7631  3109.47 3134.72  3.57  3.52 -59.9 -0.435    18.54 19.32 02a57706o0886o 0x000000   0.950000
57706.650094 18.261819      NaN     36    48 o    0   0.83 153.45112 38.7631  3139.90 3077.74  3.73  3.61 -88.2 -0.421    18.42 19.13 02a57706o0899o 0x000000   0.750000
57710.621691 18.944322      NaN    -31    32 o    0   1.05 153.45112 38.7631  5059.84 2789.16  3.53  3.37 -57.2 -0.455    18.80 19.76 02a57710o0824o 0x000000  -0.968750
57710.633311 19.128787      NaN    -18    27 o    0   1.49 153.45112 38.7631  5076.47 2829.51  3.49  3.30 -57.6 -0.469    18.84 19.80 02a57710o0846o 0x000000  -0.666667
57710.645424 19.014394      NaN    -44    30 o    0   1.09 153.45112 38.7631  5018.32 2753.31  3.51  3.34 -56.1 -0.461    18.85 19.81 02a57710o0869o 0x000000  -1.466667
