         MJD         m       dm   uJy  duJy F  err  chi/N       RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57715.577481 19.401649      NaN   -84    21 c    0   1.45 96.76571 -25.63984  6719.44  8281.26 4.15 4.07  51.2 -0.415    19.22 21.09 02a57715o0643c 0x000000  -4.000000
57715.593407 19.401649      NaN   -71    21 c    0   1.34 96.76571 -25.63984  6664.53  8342.56 4.73 4.55   9.0 -0.355    19.19 21.21 02a57715o0671c 0x000000  -3.380952
57747.453860 19.569016      NaN   -27    18 c    0   1.25 96.76571 -25.63984  6671.22  8619.39 3.71 3.68  84.8 -0.448    19.61 21.60 02a57747o0535c 0x000000  -1.500000
57747.466810 19.696897      NaN   -38    16 c    0   1.15 96.76571 -25.63984  6654.45  8581.27 3.64 3.60 -10.0 -0.459    19.62 21.62 02a57747o0561c 0x000000  -2.375000
57747.479846 19.569016      NaN   -46    18 c    0   1.49 96.76571 -25.63984  6723.86  8661.53 4.26 3.81   7.4 -0.427    19.56 21.65 02a57747o0587c 0x000000  -2.555556
57747.492844 19.569016      NaN   -87    18 c    0   1.12 96.76571 -25.63984  6741.93  8545.94 4.57 3.86   4.0 -0.410    19.52 21.68 02a57747o0613c 0x000000  -4.833333
57747.506311 19.454622      NaN   -53    20 c    0   1.29 96.76571 -25.63984  6709.15  8603.55 4.56 3.92   4.3 -0.391    19.51 21.68 02a57747o0640c 0x000000  -2.650000
57751.502349 19.696897      NaN   -69    16 c    0   1.35 96.76571 -25.63984 10154.74  7533.69 3.93 3.42 -86.4 -0.427    19.72 21.83 02a57751o0152c 0x000000  -4.312500
57755.428058 19.302877      NaN   -73    23 c    0   2.06 96.76571 -25.63984  1263.99    65.42 4.06 3.87 -25.0 -0.399    19.74 21.76 02a57755o0451c 0x000000  -3.173913
57755.440066 19.510313      NaN   -32    19 c    0   1.17 96.76571 -25.63984  8920.28  9921.73 3.82 3.58  81.4 -0.443    19.72 21.74 02a57755o0474c 0x000000  -1.684211
57755.453014 19.631075      NaN  -133    17 c    0   1.26 96.76571 -25.63984  8903.16  9884.94 3.74 3.50  88.0 -0.457    19.73 21.76 02a57755o0499c 0x000000  -7.823529
57755.455083 19.696897      NaN   -13    16 c    0   1.67 96.76571 -25.63984  1301.81   107.13 4.04 3.89 -33.3 -0.397    19.77 21.81 02a57755o0503c 0x000000  -0.812500
57755.466376 19.631075      NaN   -63    17 c    0   1.52 96.76571 -25.63984  8957.62  9964.85 3.74 3.49 -85.7 -0.452    19.72 21.75 02a57755o0524c 0x000000  -3.705882
57755.479942 19.696897      NaN  -161    16 c    0   1.50 96.76571 -25.63984  8975.66  9847.60 3.80 3.51 -86.8 -0.448    19.72 21.76 02a57755o0550c 0x000000 -10.062500
57755.480967 16.828350      NaN   170   168 c    0   0.18 96.76571 -25.63984  1287.41    46.79 4.15 3.95 -26.5 -0.391    19.73 21.79 02a57755o0552c 0x100002   1.011905
57755.493365 19.569016      NaN   -85    18 c    0   1.35 96.76571 -25.63984  8942.31  9907.37 3.89 3.74  88.6 -0.435    19.68 21.74 02a57755o0575c 0x000000  -4.722222
57779.369443 19.766969      NaN   -83    15 c    0   1.22 96.76571 -25.63984   757.89   394.29 4.21 3.91  87.2 -0.397    19.71 21.80 02a57779o0298c 0x000000  -5.533333
57779.379811 19.631075      NaN   -92    17 c    0   1.44 96.76571 -25.63984  8379.16 10271.62 3.49 3.25 -39.0 -0.424    19.70 21.74 02a57779o0318c 0x000000  -5.411765
57779.382475 19.256669      NaN   -79    24 c    0   1.15 96.76571 -25.63984 10173.87   423.35 4.02 3.59  85.9 -0.446    19.67 21.73 02a57779o0323c 0x000000  -3.291667
57779.384064 19.569016      NaN   -28    18 c    0   1.40 96.76571 -25.63984   741.85   354.30 4.15 3.89  86.3 -0.404    19.72 21.79 02a57779o0326c 0x000000  -1.555556
57779.394365 19.569016      NaN   -81    18 c    0   1.31 96.76571 -25.63984  8364.00 10233.13 3.51 3.22 -24.8 -0.416    19.70 21.74 02a57779o0346c 0x000000  -4.500000
57779.397010 19.271854      NaN     5    22 c    0   1.21 96.76571 -25.63984 10159.05   385.03 3.91 3.58  85.2 -0.447    19.69 21.74 02a57779o0351c 0x000000   0.227273
57779.398567 19.631075      NaN   -51    17 c    0   1.23 96.76571 -25.63984   798.71   435.66 4.17 3.81  84.5 -0.402    19.72 21.78 02a57779o0354c 0x000000  -3.000000
57779.408904 19.569016      NaN  -100    18 c    0   1.37 96.76571 -25.63984  8436.01 10313.16 3.74 3.56 -18.1 -0.411    19.65 21.72 02a57779o0374c 0x000000  -5.555556
57779.411543 19.351140      NaN   -91    22 c    0   1.44 96.76571 -25.63984 10213.84   464.43 3.98 3.67  88.3 -0.442    19.66 21.72 02a57779o0379c 0x000000  -4.136364
57779.413103 19.631075      NaN   -75    17 c    0   1.19 96.76571 -25.63984   817.76   316.69 4.20 3.89  83.9 -0.397    19.68 21.75 02a57779o0382c 0x000000  -4.411765
57779.423978 19.454622      NaN   -66    20 c    0   1.01 96.76571 -25.63984  8455.19 10193.94 3.82 3.53  -7.7 -0.424    19.63 21.71 02a57779o0403c 0x000000  -3.300000
57779.426556 19.401649      NaN   -95    21 c    0   1.51 96.76571 -25.63984 10235.37   345.08 4.05 3.99  14.3 -0.428    19.59 21.69 02a57779o0408c 0x000000  -4.523810
57779.428114 19.696897      NaN   -51    16 c    0   1.26 96.76571 -25.63984   786.21   373.57 4.35 4.02  76.1 -0.385    19.64 21.73 02a57779o0411c 0x000000  -3.187500
57779.439047 19.631075      NaN   -57    17 c    0   1.86 96.76571 -25.63984  8406.17 10252.90 3.80 3.26  -6.5 -0.418    19.61 21.65 02a57779o0432c 0x000000  -3.352941
57779.441610 19.128787      NaN  -117    27 c    0   1.29 96.76571 -25.63984 10201.42   404.53 4.09 3.95  -6.6 -0.433    19.56 21.65 02a57779o0437c 0x000000  -4.333333
57783.374361 19.510313      NaN   -27    19 c    0   1.03 96.76571 -25.63984  7426.11  8431.81 3.98 3.70  82.7 -0.417    19.54 21.49 02a57783o0303c 0x000000  -1.421053
57783.389667 19.631075      NaN   -59    17 c    0   1.63 96.76571 -25.63984  7410.85  8391.90 4.08 3.76  85.2 -0.407    19.52 21.49 02a57783o0332c 0x000000  -3.470588
57783.404836 19.569016      NaN   -89    18 c    0   1.37 96.76571 -25.63984  7465.59  8471.38 4.02 3.85  84.9 -0.410    19.52 21.52 02a57783o0361c 0x000000  -4.944444
57783.420038 19.454622      NaN   -53    20 c    0   1.10 96.76571 -25.63984  7502.42  8353.76 4.02 3.87  85.1 -0.414    19.50 21.48 02a57783o0390c 0x000000  -2.650000
57783.435231 19.569016      NaN   -16    18 c    0   1.36 96.76571 -25.63984  7453.03  8411.25 4.03 3.84  87.3 -0.408    19.46 21.44 02a57783o0419c 0x000000  -0.888889
57787.334922 19.401649      NaN  -126    21 c    0   1.53 96.76571 -25.63984  6591.88  7229.45 3.98 3.79  76.9 -0.390    19.17 20.80 02a57787o0232c 0x000000  -6.000000
57787.352674 19.256669      NaN   -94    24 c    0   0.88 96.76571 -25.63984  6576.17  7193.38 3.95 3.73  78.2 -0.393    19.20 20.83 02a57787o0267c 0x000000  -3.916667
57787.363479 19.351140      NaN   -67    22 c    0   0.90 96.76571 -25.63984  6645.80  7271.14 3.94 3.73  81.5 -0.394    19.22 20.88 02a57787o0289c 0x000000  -3.045455
57787.377314 19.256669      NaN   -41    24 c    0   1.12 96.76571 -25.63984  6665.56  7153.08 4.23 4.00  80.7 -0.380    19.14 20.89 02a57787o0317c 0x000000  -1.708333
57803.363005 19.569016      NaN   -82    18 c    0   0.97 96.76571 -25.63984  9484.56  8639.86 3.91 3.55 -88.6 -0.436    19.61 21.62 02a57803o0276c 0x000000  -4.555556
57803.386852 19.510313      NaN   -69    19 c    0   1.33 96.76571 -25.63984  9540.67  8678.08 4.19 3.91  84.7 -0.404    19.50 21.57 02a57803o0323c 0x000000  -3.631579
57803.398425 19.510313      NaN   -29    19 c    0   1.29 96.76571 -25.63984  9559.52  8558.91 3.89 3.60 -88.9 -0.432    19.53 21.52 02a57803o0346c 0x000000  -1.526316
57803.410066 19.454622      NaN   -56    20 c    0   1.19 96.76571 -25.63984  9508.46  8615.58 4.10 3.79  87.2 -0.413    19.45 21.49 02a57803o0369c 0x000000  -2.800000
57807.345683 19.569016      NaN   -41    18 c    0   1.13 96.76571 -25.63984  6705.05 10374.70 3.79 3.78  -8.1 -0.439    19.59 21.59 02a57807o0229c 0x000000  -2.277778
57807.348345 19.256669      NaN   -39    24 c    0   1.06 96.76571 -25.63984  8539.56   560.91 3.84 3.80  58.8 -0.440    19.59 21.59 02a57807o0234c 0x000000  -1.625000
57807.360709 19.510313      NaN   -74    19 c    0   1.43 96.76571 -25.63984  6689.82 10332.82 3.74 3.68 -10.8 -0.439    19.57 21.57 02a57807o0258c 0x000000  -3.894737
57807.363331 19.169763      NaN  -122    26 c    0   1.27 96.76571 -25.63984  8524.57   520.66 3.98 3.92  30.5 -0.421    19.55 21.56 02a57807o0263c 0x000000  -4.692308
57807.375102 19.569016      NaN   -77    18 c    0   1.29 96.76571 -25.63984  6744.88 10409.64 3.78 3.74 -27.7 -0.432    19.55 21.53 02a57807o0286c 0x000000  -4.277778
57807.377666 19.212347      NaN   -48    25 c    0   1.11 96.76571 -25.63984  8597.05   596.60 3.90 3.83  21.4 -0.434    19.54 21.54 02a57807o0291c 0x000000  -1.920000
57807.390582 19.569016      NaN  -100    18 c    0   1.48 96.76571 -25.63984  6764.68 10288.76 3.93 3.87 -55.4 -0.423    19.47 21.47 02a57807o0316c 0x000000  -5.555556
57807.393130 19.051202      NaN   -84    29 c    0   1.46 96.76571 -25.63984  8617.02   476.58 3.89 3.86  -1.0 -0.439    19.50 21.48 02a57807o0321c 0x000000  -2.896552
57807.406197 19.401649      NaN   -58    21 c    0   1.19 96.76571 -25.63984  6732.59 10344.77 3.91 3.84  89.6 -0.420    19.42 21.37 02a57807o0346c 0x000000  -2.761905
57807.408855 19.051202      NaN   -97    29 c    0   1.34 96.76571 -25.63984  8564.77   534.43 3.96 3.89  15.0 -0.429    19.46 21.41 02a57807o0351c 0x000000  -3.344828
57811.337631 19.696897      NaN   -54    16 c    0   1.97 96.76571 -25.63984  7003.97  8010.59 3.94 3.65  81.4 -0.433    19.63 21.69 02a57811o0220c 0x000000  -3.375000
57811.352667 19.510313      NaN   -59    19 c    0   1.25 96.76571 -25.63984  6988.75  7969.88 4.03 3.72  84.6 -0.422    19.59 21.67 02a57811o0249c 0x000000  -3.105263
57811.367201 19.510313      NaN   -59    19 c    0   1.29 96.76571 -25.63984  7046.82  8044.06 3.86 3.60  86.7 -0.434    19.59 21.61 02a57811o0277c 0x000000  -3.105263
57811.382771 19.696897      NaN   -91    16 c    0   1.47 96.76571 -25.63984  7065.25  7925.80 3.87 3.63  87.2 -0.426    19.54 21.55 02a57811o0307c 0x000000  -5.687500
57811.398347 19.454622      NaN  -102    20 c    0   1.44 96.76571 -25.63984  7032.06  7982.19 3.95 3.71  89.0 -0.419    19.37 21.37 02a57811o0337c 0x000000  -5.100000
57835.281082 19.256669      NaN   -88    24 c    0   1.10 96.76571 -25.63984  7780.30  9666.64 3.94 3.85  73.1 -0.420    18.79 20.61 02a57835o0038c 0x000000  -3.666667
57835.295788 19.302877      NaN   -22    23 c    0   1.54 96.76571 -25.63984  7763.82  9627.50 4.05 3.93  82.8 -0.408    18.77 20.62 02a57835o0067c 0x000000  -0.956522
57835.310996 19.169763      NaN   -78    26 c    0   1.51 96.76571 -25.63984  7835.06  9703.40 4.10 3.98  78.9 -0.411    18.72 20.58 02a57835o0096c 0x000000  -3.000000
57835.341975 19.302877      NaN  -145    23 c    0   1.79 96.76571 -25.63984  7806.04  9638.44 4.00 3.98 -81.1 -0.406    18.64 20.44 02a57835o0155c 0x000000  -6.304348
57839.269233 19.256669      NaN  -131    24 c    0   1.49 96.76571 -25.63984  7908.14  9195.60 4.14 4.06  69.0 -0.406    18.73 20.58 02a57839o0100c 0x000000  -5.458333
57839.284523 19.169763      NaN   -51    26 c    0   1.27 96.76571 -25.63984  7891.98  9154.58 4.01 3.92  82.2 -0.421    18.72 20.53 02a57839o0129c 0x000000  -1.961538
57839.298320 19.212347      NaN   -32    25 c    0   1.18 96.76571 -25.63984  7947.18  9230.56 3.95 3.88  80.9 -0.429    18.67 20.44 02a57839o0154c 0x000000  -1.280000
57839.313709 17.922662      NaN  -519    82 c    0   0.94 96.76571 -25.63984  7982.41  9111.24 4.22 4.10  80.4 -0.400    17.76 19.48 02a57839o0183c 0x100002  -6.329268
57839.329099 19.089302      NaN  -140    28 c    0   1.04 96.76571 -25.63984  7930.74  9167.60 4.05 3.97  81.8 -0.404    18.52 20.28 02a57839o0212c 0x000000  -5.000000
57843.269218 19.401649      NaN   -86    21 c    0   1.91 96.76571 -25.63984  1209.70   797.73 4.13 3.83  88.8 -0.398    18.71 20.34 02a57843o0074c 0x000000  -4.095238
57843.283852 19.302877      NaN  -136    23 c    0   1.50 96.76571 -25.63984  1263.56   875.95 4.21 3.97  89.4 -0.387    18.64 20.28 02a57843o0102c 0x000000  -5.913043
57843.298432 19.256669      NaN  -101    24 c    0   1.25 96.76571 -25.63984  1285.14   757.43 4.13 3.91 -82.1 -0.397    18.63 20.23 02a57843o0130c 0x000000  -4.208333
57843.313547 19.128787      NaN  -167    27 c    0   1.41 96.76571 -25.63984  1250.35   813.86 4.19 4.02 -79.9 -0.389    18.54 20.16 02a57843o0159c 0x000000  -6.185185
57847.252795 18.438271      NaN   -52    51 c    0   1.08 96.76571 -25.63984  8667.47  9287.03 3.53 3.31 -35.4 -0.419    18.13 19.13 02a57847o0051c 0x100002  -1.019608
57847.267416 18.226218      NaN   -94    62 c    0   1.02 96.76571 -25.63984  8649.33  9246.25 3.59 3.43 -44.6 -0.439    18.09 19.08 02a57847o0079c 0x100002  -1.516129
57847.282505 18.261819      NaN  -101    60 c    0   1.21 96.76571 -25.63984  8703.97  9322.17 3.77 3.72 -38.4 -0.454    18.01 19.02 02a57847o0108c 0x100002  -1.683333
57847.296561 18.125925      NaN    -6    68 c    0   1.08 96.76571 -25.63984  8723.69  9202.47 4.25 4.16  79.1 -0.399    17.86 18.92 02a57847o0135c 0x100002  -0.088235
57847.311644 17.870951      NaN  -168    86 c    0   0.77 96.76571 -25.63984  8690.00  9259.48 4.32 4.27 -67.8 -0.399    17.75 18.79 02a57847o0164c 0x100002  -1.953488
57863.239493 18.467034      NaN    32    39 c    0   1.37 96.76571 -25.63984  7005.03 10458.58 3.84 3.10  -7.5 -0.481    18.10 19.31 02a57863o0011c 0x100002   0.820513
57863.244216 18.438271      NaN    54    33 c    0   1.04 96.76571 -25.63984  8837.66   642.19 4.34 4.06 -89.4 -0.417    18.34 19.84 02a57863o0020c 0x100002   1.636364
