         MJD         m       dm    uJy  duJy F  err   chi/N       RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57703.569060 19.256669      NaN    -19    24 o    0    1.08 96.76571 -25.63984  6990.77  9028.25 3.24 3.01 -33.5 -0.418    19.28 20.79 02a57703o0758o 0x000000  -0.791667
57703.583020 19.212347      NaN      6    23 o    0    1.31 96.76571 -25.63984  6975.29  8988.68 3.22 2.96 -39.7 -0.419    19.33 20.89 02a57703o0785o 0x000000   0.260870
57703.597017 19.401649      NaN    -46    21 o    0    1.67 96.76571 -25.63984  7046.27  9067.01 3.25 3.03 -40.7 -0.415    19.32 20.87 02a57703o0812o 0x000000  -2.190476
57703.605250 19.302877      NaN     -4    23 o    0    1.16 96.76571 -25.63984  7063.87  8948.64 3.21 2.95 -34.8 -0.421    19.32 20.86 02a57703o0828o 0x000000  -0.173913
57703.622802 19.401649      NaN    -22    21 o    0    1.94 96.76571 -25.63984  7013.01  9010.35 3.25 3.02 -40.1 -0.417    19.28 20.81 02a57703o0862o 0x000000  -1.047619
57707.554087 18.356290      NaN   -123    55 o    0    1.02 96.76571 -25.63984  7430.80  7544.22 3.69 3.60   1.3 -0.462    18.24 18.94 02a57707o0707o 0x100002  -2.236364
57707.572568 18.191747      NaN     27    55 o    0    0.99 96.76571 -25.63984  7416.08  7507.74 3.53 3.46 -68.1 -0.471    18.29 18.94 02a57707o0743o 0x100002   0.490909
57707.586999 18.481707      NaN    -39    49 o    0    1.39 96.76571 -25.63984  7486.70  7583.28 3.46 3.30 -72.6 -0.485    18.31 18.93 02a57707o0771o 0x000000  -0.795918
57707.599919 18.396507      NaN      0    53 o    0    1.54 96.76571 -25.63984  7506.26  7468.55 3.89 3.66  -1.2 -0.447    18.19 18.92 02a57707o0796o 0x100002   0.000000
57707.617932 17.879400      NaN     73    61 o    0    0.92 96.76571 -25.63984  7472.49  7524.86 3.70 3.52   2.1 -0.450    18.21 18.87 02a57707o0831o 0x100002   1.196721
57711.536045 18.417189      NaN   -188    52 o    0    1.16 96.76571 -25.63984  1870.11   804.49 4.20 3.87 -10.9 -0.423    18.26 19.20 02a57711o0599o 0x000000  -3.615385
57711.549469 18.878500      NaN    -96    34 o    0    1.31 96.76571 -25.63984  1853.32   767.07 3.95 3.75 -23.3 -0.440    18.69 19.78 02a57711o0625o 0x000000  -2.823529
57711.562897 18.978793      NaN    -97    31 o    0    1.16 96.76571 -25.63984  1908.72   846.81 3.87 3.68 -29.6 -0.452    18.89 20.10 02a57711o0651o 0x000000  -3.129032
57711.576828 18.910912      NaN   -152    33 o    0    1.23 96.76571 -25.63984  1928.61   728.96 4.09 3.83 -19.4 -0.428    18.79 20.03 02a57711o0678o 0x000000  -4.606061
57711.590208 18.944322      NaN    -80    32 o    0    1.14 96.76571 -25.63984  1894.52   789.74 4.08 3.83 -21.7 -0.431    18.83 20.07 02a57711o0704o 0x000000  -2.500000
57735.480969 17.593889      NaN    -87   111 o    0    1.09 96.76571 -25.63984  8234.97  8886.44 3.82 3.71  43.3 -0.463    18.14 18.75 02a57735o0466o 0x100002  -0.783784
57735.494295 17.623637      NaN    -16   108 o    0    1.42 96.76571 -25.63984  8218.20  8850.64 3.75 3.44  81.7 -0.475    18.18 18.74 02a57735o0492o 0x100002  -0.148148
57735.507717 17.564935      NaN     18   108 o    0    1.07 96.76571 -25.63984  8289.68  8930.72 3.75 3.47  85.3 -0.476    18.17 18.73 02a57735o0518o 0x100002   0.166667
57735.521566 17.574501      NaN     27   104 o    0    1.17 96.76571 -25.63984  8309.51  8812.33 3.83 3.53  87.5 -0.472    18.13 18.73 02a57735o0545o 0x100002   0.259615
57735.535427 17.365395      NaN     63   116 o    0    1.15 96.76571 -25.63984  8275.97  8873.17 3.86 3.60  89.7 -0.470    18.11 18.70 02a57735o0572o 0x100002   0.543103
57743.525466 18.878500      NaN     33    23 o    0    1.31 96.76571 -25.63984  7221.32  7629.23 3.69 3.51 -79.5 -0.458    19.10 20.61 02a57743o0664o 0x000000   1.434783
57743.537904 19.169763      NaN   -132    26 o    0    1.16 96.76571 -25.63984  7204.71  7589.39 4.02 3.85 -88.8 -0.433    19.02 20.59 02a57743o0688o 0x000000  -5.076923
57743.551297 19.302877      NaN    -43    23 o    0    1.23 96.76571 -25.63984  7257.87  7665.39 3.71 3.48 -76.5 -0.450    19.06 20.55 02a57743o0714o 0x000000  -1.869565
57763.418664 18.417189      NaN    -19    52 o    0    1.55 96.76571 -25.63984  6497.41  8480.29 3.53 3.44  63.1 -0.471    18.42 19.18 02a57763o0327o 0x000000  -0.365385
57763.431612 18.243872      NaN    -92    61 o    0    1.20 96.76571 -25.63984  6482.13  8441.16 3.60 3.51  70.8 -0.463    18.40 19.17 02a57763o0352o 0x100002  -1.508197
57763.444292 18.226218      NaN    -12    62 o    0    1.07 96.76571 -25.63984  6553.90  8519.46 3.46 3.44  57.9 -0.480    18.41 19.15 02a57763o0377o 0x100002  -0.193548
57763.456492 18.226218      NaN     -2    62 o    0    0.81 96.76571 -25.63984  6572.99  8401.67 3.46 3.43 -13.8 -0.483    18.39 19.15 02a57763o0401o 0x100002  -0.032258
57763.469283 18.014729      NaN     28    66 o    0    1.26 96.76571 -25.63984  6522.00  8461.04 3.40 3.34 -34.0 -0.487    18.39 19.14 02a57763o0426o 0x100002   0.424242
57767.405761 18.376212      NaN    -73    54 o    0    1.14 96.76571 -25.63984  8761.72  8278.55 3.64 3.32 -88.7 -0.476    18.49 19.32 02a57767o0388o 0x100002  -1.351852
57767.420927 18.417189      NaN     -5    52 o    0    1.50 96.76571 -25.63984  8727.10  8241.31 3.65 3.29 -87.7 -0.477    18.48 19.29 02a57767o0417o 0x000000  -0.096154
57767.436557 18.356290      NaN    -46    55 o    0    1.18 96.76571 -25.63984  8799.97  8317.94 3.50 3.14 -81.9 -0.483    18.50 19.28 02a57767o0447o 0x100002  -0.836364
57767.452074 18.481707      NaN   -100    49 o    0    2.05 96.76571 -25.63984  8821.02  8202.73 3.50 3.11 -79.1 -0.465    18.47 19.24 02a57767o0477o 0x000000  -2.040816
